Date,Open,High,Low,Close,Volume
1999-11-18,28.43,31.24,24.99,27.49,62546300
1999-11-19,26.83,26.87,24.88,25.23,15234100
1999-11-22,25.81,27.49,25.03,27.49,6577800
1999-11-23,26.55,27.26,24.99,24.99,5975600
1999-11-24,25.07,26.2,24.99,25.66,4843200
1999-11-26,25.54,25.93,25.46,25.73,1729400
1999-11-29,25.62,26.52,25.34,26.32,4074700
1999-11-30,26.24,26.83,25.58,26.36,4310000
1999-12-01,26.36,27.14,26.16,26.83,2957300
1999-12-02,27.34,28.12,26.98,27.57,3069800
1999-12-03,28.08,28.55,27.69,27.8,3041600
1999-12-06,28.27,29.01,28.23,28.59,2250700
1999-12-07,28.59,28.74,27.69,28.27,2215900
1999-12-08,28.27,28.51,28.0,28.23,1887800
1999-12-09,28.27,28.7,28.27,28.62,2029000
1999-12-10,28.55,28.7,27.96,27.96,1664700
1999-12-13,28.43,28.9,27.73,28.43,4020500
1999-12-14,28.35,28.35,26.28,26.87,2328900
1999-12-15,26.24,26.44,25.62,26.05,2917700
1999-12-16,26.24,29.52,26.24,29.52,2583900
1999-12-17,28.98,29.44,28.39,28.7,3708000
1999-12-20,28.9,29.33,28.82,29.29,1196800
1999-12-21,29.17,29.17,28.74,29.13,2259400
1999-12-22,29.13,29.72,28.94,29.72,1905700
1999-12-23,29.68,31.24,29.64,31.08,2159400
1999-12-27,31.2,33.23,30.97,33.0,2029600
1999-12-28,33.9,38.43,33.7,38.43,3560000
1999-12-29,39.36,49.4,39.32,44.99,10518500
1999-12-30,47.49,49.98,46.39,49.52,6671100
1999-12-31,49.67,49.95,47.64,48.31,1931100
2000-01-03,49.2,49.32,42.1,44.99,4674300
2000-01-04,42.57,43.03,40.46,41.55,4765000
2000-01-05,41.39,41.55,37.68,38.97,5758600
2000-01-06,38.5,38.74,36.32,37.49,2534400
2000-01-07,36.9,41.2,36.86,40.61,2819600
2000-01-10,43.11,43.5,42.21,43.07,2148400
2000-01-11,43.07,43.07,41.51,42.49,1855900
2000-01-12,42.49,42.49,40.03,41.63,1429800
2000-01-13,42.72,43.62,41.24,42.25,1134300
2000-01-14,41.86,43.35,41.86,42.72,1316900
2000-01-18,42.88,45.53,42.57,44.67,2101700
2000-01-19,44.99,44.99,43.62,43.74,2624800
2000-01-20,44.21,44.28,42.17,42.57,2007900
2000-01-21,43.19,43.35,41.51,42.96,1918300
2000-01-24,42.8,44.87,42.49,42.8,2095800
2000-01-25,42.96,43.5,41.51,42.29,1153700
2000-01-26,42.45,43.27,42.41,42.68,1022300
2000-01-27,43.66,44.05,42.02,42.76,868500
2000-01-28,43.42,43.42,42.14,42.53,1609200
2000-01-31,42.21,42.25,40.46,41.35,1040300
2000-02-01,41.39,44.99,41.39,44.36,1404200
2000-02-02,44.91,47.8,44.71,47.8,1945100
2000-02-03,46.98,48.58,46.12,48.58,1779500
