Date,Open,High,Low,Close,Volume
2005-09-27,19.98,20.31,18.13,18.32,961200
2005-09-28,18.32,19.49,18.23,19.46,5747900
2005-09-29,19.37,19.54,19.08,19.19,1078200
2005-09-30,19.23,19.98,19.16,19.94,3123300
2005-10-03,19.84,20.65,19.84,20.41,1057900
2005-10-04,20.35,21.36,20.35,21.04,1768800
2005-10-05,20.98,21.18,20.65,21.07,904300
2005-10-06,21.45,21.83,21.26,21.44,1614200
2005-10-07,21.12,21.45,20.69,21.03,753400
2005-10-10,21.15,21.16,20.98,21.08,538700
2005-10-11,21.13,21.17,20.69,20.87,764600
2005-10-12,20.79,20.93,20.54,20.66,912900
2005-10-13,20.6,20.69,20.31,20.61,531300
2005-10-14,20.74,21.26,20.74,21.14,887800
2005-10-17,21.03,21.09,20.74,20.96,464000
2005-10-18,20.94,21.17,20.27,20.4,1815500
2005-10-19,20.29,20.5,19.79,20.3,1466000
2005-10-20,20.27,20.39,19.79,19.95,640900
2005-10-21,19.95,21.28,19.94,20.85,917000
2005-10-24,20.89,21.23,20.84,21.18,508800
2005-10-25,21.12,21.4,20.6,20.88,437300
2005-10-26,20.88,21.31,20.87,21.19,543200
2005-10-27,21.13,21.42,21.07,21.42,351200
2005-10-28,21.41,22.69,21.24,22.69,1614900
2005-10-31,22.78,24.06,22.78,23.43,706400
2005-11-01,23.45,23.81,23.44,23.75,866800
2005-11-02,23.95,26.68,23.92,26.15,2870200
2005-11-03,26.2,26.68,26.2,26.46,906100
2005-11-04,26.39,27.53,26.36,27.34,912600
2005-11-07,27.53,27.94,26.94,27.46,486900
2005-11-08,27.62,28.19,27.53,27.94,1395000
2005-11-09,27.94,29.71,27.94,29.71,1312300
2005-11-10,29.57,32.24,29.57,31.14,1948900
2005-11-11,31.37,32.23,31.33,31.66,1183900
2005-11-14,31.8,32.75,31.75,32.04,1059200
2005-11-15,32.04,32.16,31.17,32.16,759200
2005-11-16,31.81,32.13,31.71,31.9,542600
2005-11-17,31.71,32.8,31.54,32.58,1011900
2005-11-18,32.61,32.61,31.19,31.37,529800
2005-11-21,31.09,31.09,29.67,30.37,636300
2005-11-22,30.37,31.08,30.0,30.85,421900
2005-11-23,30.57,31.97,30.53,31.36,671300
2005-11-25,31.34,31.52,31.06,31.18,138500
2005-11-28,31.37,32.13,31.33,31.72,630400
2005-11-29,31.61,31.8,30.98,31.23,428600
2005-11-30,31.23,32.09,31.23,31.89,690100
2005-12-01,32.28,33.17,32.28,32.54,371800
