Date,Open,High,Low,Close,Volume
2001-11-29,12.74,13.77,12.71,13.21,371100
2001-11-30,13.21,13.58,13.21,13.58,165300
2001-12-03,13.54,13.54,13.12,13.12,127500
2001-12-04,13.12,13.12,12.59,12.59,95400
2001-12-05,12.78,14.07,12.78,13.96,598200
2001-12-06,14.02,14.02,13.86,13.87,157200
2001-12-07,13.88,13.96,13.77,13.96,215100
2001-12-10,13.92,13.93,13.88,13.91,119100
2001-12-11,13.89,14.0,13.88,13.88,378600
2001-12-12,13.88,13.88,13.36,13.42,114600
2001-12-13,13.4,13.58,13.29,13.29,113700
2001-12-14,13.27,13.27,12.86,12.97,233400
2001-12-17,13.0,13.32,13.0,13.0,106200
2001-12-18,13.02,13.2,13.0,13.0,101400
2001-12-19,13.0,13.02,12.92,13.02,157800
2001-12-20,13.07,13.54,13.07,13.42,97200
2001-12-21,13.5,14.56,13.48,14.38,659400
2001-12-24,14.37,14.61,14.34,14.53,50700
2001-12-26,14.56,14.9,14.53,14.59,378000
2001-12-27,14.99,15.11,14.65,14.89,349200
2001-12-28,14.97,14.97,14.88,14.92,295500
2001-12-31,14.94,15.78,14.81,15.78,255900
2002-01-02,15.38,15.38,15.11,15.16,132300
2002-01-03,15.13,15.13,14.37,14.37,89700
2002-01-04,14.37,14.46,13.0,13.48,346500
2002-01-07,13.48,13.67,12.64,13.26,601500
2002-01-08,13.18,13.26,12.85,13.04,442200
2002-01-09,13.05,13.2,13.04,13.07,60000
2002-01-10,13.07,13.45,13.07,13.35,216300
2002-01-11,13.64,14.04,13.62,13.8,340800
2002-01-14,13.8,13.86,13.61,13.61,230700
2002-01-15,14.04,14.7,14.04,14.59,1030200
2002-01-16,14.57,15.02,14.43,14.88,526200
2002-01-17,14.91,15.16,14.91,14.97,42900
2002-01-18,14.94,15.23,14.81,15.0,70500
2002-01-22,15.01,15.01,14.5,14.81,130800
2002-01-23,14.84,14.96,14.81,14.88,38700
2002-01-24,14.91,14.97,14.59,14.67,125100
2002-01-25,14.72,15.0,14.58,14.88,88800
2002-01-28,14.92,15.13,14.52,14.69,75300
2002-01-29,14.7,14.78,14.69,14.71,27300
2002-01-30,14.72,14.81,14.62,14.8,67800
2002-01-31,14.83,14.94,14.73,14.86,36600
2002-02-01,14.89,14.97,14.89,14.94,9000
2002-02-04,14.91,14.91,14.69,14.7,13200
2002-02-05,14.62,14.64,14.54,14.56,39300
2002-02-06,14.52,14.53,14.43,14.5,54300
2002-02-07,14.12,14.23,13.89,14.18,216000
2002-02-08,14.16,14.23,14.12,14.21,71100
