Date,Open,High,Low,Close,Volume
2013-01-02,26.26,26.62,25.65,26.41,13767900
2013-01-03,26.32,26.32,25.69,26.2,16739300
2013-01-04,26.04,26.24,25.76,25.86,21372100
2013-01-07,25.68,26.66,25.68,25.92,17897100
2013-01-08,25.79,26.05,25.09,25.35,17863300
2013-01-09,25.28,25.53,25.28,25.5,18800400
2013-01-10,25.32,25.57,25.07,25.57,15658100
2013-01-11,25.56,25.8,25.38,25.76,11191500
2013-01-14,25.88,26.07,25.72,25.94,11584900
2013-01-15,25.65,26.42,25.65,26.33,13040200
2013-01-16,26.23,27.05,26.22,27.05,16512700
2013-01-17,27.21,27.93,27.21,27.72,14424800
2013-01-18,27.72,28.4,27.43,28.4,17842200
2013-01-22,28.14,28.35,27.34,27.72,15809700
2013-01-23,28.09,28.8,27.78,28.77,10981600
2013-01-24,28.76,29.32,28.33,28.51,11327100
2013-01-25,28.55,28.8,27.88,28.61,8934600
2013-01-28,28.65,28.82,27.94,28.07,7140100
2013-01-29,27.94,28.51,27.59,28.39,8838500
2013-01-30,28.01,28.56,28.01,28.11,10841800
2013-01-31,28.04,28.11,27.6,27.92,10720700
2013-02-01,28.04,28.31,27.79,28.3,9527500
2013-02-04,27.88,28.39,27.82,28.37,6348000
2013-02-05,28.48,28.71,28.3,28.31,7284400
2013-02-06,28.13,28.37,28.05,28.26,5738900
2013-02-07,28.59,28.59,27.25,27.72,9872500
2013-02-08,27.68,27.72,27.27,27.59,13858700
2013-02-11,27.5,27.53,27.21,27.28,6032100
2013-02-12,27.22,27.32,26.79,26.96,7473800
2013-02-13,26.96,27.07,26.75,26.84,4859800
2013-02-14,26.67,27.95,26.64,27.83,7570100
2013-02-15,28.11,28.77,28.11,28.6,13296300
2013-02-19,28.57,29.17,28.24,29.06,8292700
2013-02-20,29.04,29.78,28.62,29.38,8096400
2013-02-21,29.29,29.7,29.06,29.51,7260900
2013-02-22,29.52,29.57,29.03,29.27,4490400
2013-02-25,29.33,29.38,28.44,28.44,4665600
2013-02-26,28.61,28.61,28.13,28.23,4463000
2013-02-27,28.14,28.14,27.7,27.95,12238400
2013-02-28,27.9,28.26,27.78,28.1,10321000
2013-03-01,28.01,28.97,27.82,28.77,8929400
2013-03-04,28.56,29.11,28.56,29.1,5420800
2013-03-05,29.26,29.35,28.38,28.55,6650400
2013-03-06,28.58,28.81,28.44,28.72,5489500
2013-03-07,28.65,28.93,28.49,28.53,4442500
2013-03-08,28.65,28.65,28.28,28.42,4114500
2013-03-11,28.35,29.03,28.22,28.67,4614400
2013-03-12,28.69,29.15,28.2,28.29,6523900
2013-03-13,28.31,28.61,28.19,28.29,3710600
2013-03-14,28.49,28.61,28.05,28.58,9859700
2013-03-15,28.49,29.33,28.37,29.3,12208300
2013-03-18,28.96,29.29,28.91,29.04,5178700
2013-03-19,29.11,29.22,28.8,29.19,5108400
2013-03-20,29.3,29.83,29.23,29.73,7072900
2013-03-21,29.54,29.66,29.28,29.29,4736100
2013-03-22,29.35,29.66,29.15,29.66,3323400
2013-03-25,29.77,30.08,29.63,29.92,6065000
2013-03-26,30.11,30.84,30.11,30.6,7249500
2013-03-27,30.61,30.66,30.18,30.56,4274800
2013-03-28,30.64,31.05,30.27,31.04,7263400
2013-04-01,30.41,31.31,30.41,31.29,5740000
2013-04-02,31.37,31.37,30.84,30.98,5510700
2013-04-03,31.01,31.54,30.71,30.88,4122100
2013-04-04,31.03,31.8,30.91,31.66,20687600
2013-04-05,31.44,31.58,31.27,31.44,14089800
2013-04-08,31.41,31.86,31.26,31.79,16449200
2013-04-09,31.93,33.15,31.81,32.38,8673900
2013-04-10,32.46,33.31,32.34,33.2,7809200
2013-04-11,33.35,33.57,33.11,33.18,6494100
2013-04-12,33.0,33.25,32.74,33.1,4199800
2013-04-15,32.93,33.05,31.81,31.83,7152500
2013-04-16,32.01,32.67,31.59,32.61,6998000
2013-04-17,32.37,32.59,31.81,32.44,5046200
2013-04-18,32.54,32.75,32.17,32.51,5009000
2013-04-19,32.65,32.7,32.41,32.56,6493200
2013-04-22,33.03,34.43,32.94,33.95,8531300
2013-04-23,34.26,35.58,34.1,34.67,9378100
2013-04-24,34.67,34.82,33.75,34.04,5541300
2013-04-25,34.37,34.4,33.61,33.98,5236900
2013-04-26,34.53,35.57,34.37,35.21,10096800
2013-04-29,35.2,35.28,34.6,34.74,6024700
2013-04-30,34.6,35.51,34.57,35.37,6798600
2013-05-01,35.13,35.4,34.99,34.99,6398100
2013-05-02,35.09,35.09,33.69,33.79,9649400
2013-05-03,34.03,34.39,33.66,34.32,4641200
2013-05-06,34.53,34.53,33.91,34.25,4085700
