Date,Open,High,Low,Close,Volume
1995-04-04,2.38,2.4,2.28,2.39,40387200
1995-04-05,2.35,2.4,2.3,2.3,12236800
1995-04-06,2.3,2.38,2.3,2.34,3776000
1995-04-07,2.35,2.35,2.3,2.3,1920800
1995-04-10,2.3,2.35,2.3,2.33,2047200
1995-04-11,2.3,2.35,2.3,2.32,4096800
1995-04-12,2.3,2.33,2.3,2.32,2457600
1995-04-13,2.3,2.33,2.3,2.33,2297600
1995-04-17,2.3,2.39,2.3,2.39,2233600
1995-04-18,2.34,2.39,2.33,2.38,2441600
1995-04-19,2.33,2.35,2.28,2.3,1422400
1995-04-20,2.28,2.28,2.2,2.22,1023200
1995-04-21,2.2,2.28,2.2,2.27,2803200
1995-04-24,2.23,2.28,2.23,2.23,644800
1995-04-25,2.23,2.28,2.23,2.28,484800
1995-04-26,2.23,2.28,2.23,2.23,151200
1995-04-27,2.23,2.28,2.23,2.25,3552000
1995-04-28,2.25,2.28,2.24,2.24,1076000
1995-05-01,2.28,2.28,2.24,2.24,2287200
1995-05-02,2.24,2.34,2.24,2.3,1212000
1995-05-03,2.28,2.34,2.25,2.32,791200
1995-05-04,2.3,2.34,2.28,2.28,1011200
1995-05-05,2.28,2.33,2.28,2.28,164000
1995-05-08,2.28,2.34,2.28,2.28,59200
1995-05-09,2.28,2.3,2.22,2.23,592800
1995-05-10,2.28,2.28,2.22,2.23,817600
1995-05-11,2.23,2.28,2.22,2.23,615200
1995-05-12,2.28,2.28,2.22,2.23,1013600
1995-05-15,2.27,2.27,2.19,2.19,3689600
1995-05-16,2.19,2.22,2.19,2.2,2481600
1995-05-17,2.22,2.22,2.19,2.2,328000
1995-05-18,2.19,2.2,2.1,2.14,514400
1995-05-19,2.13,2.14,2.1,2.11,1853600
1995-05-22,2.14,2.15,2.1,2.15,432800
1995-05-23,2.1,2.24,2.1,2.23,809600
1995-05-24,2.2,2.28,2.2,2.28,1676800
1995-05-25,2.28,2.28,2.2,2.28,209600
1995-05-26,2.28,2.28,2.2,2.28,64000
1995-05-30,2.25,2.3,2.2,2.25,558400
1995-05-31,2.29,2.3,2.25,2.3,487200
1995-06-01,2.32,2.43,2.28,2.33,1427200
1995-06-02,2.33,2.48,2.33,2.43,1112800
1995-06-05,2.43,2.48,2.43,2.44,799200
1995-06-06,2.48,2.48,2.43,2.43,264800
1995-06-07,2.43,2.48,2.4,2.46,469600
1995-06-08,2.46,2.46,2.38,2.38,68000
1995-06-09,2.43,2.43,2.38,2.4,249600
1995-06-12,2.38,2.43,2.38,2.43,95200
1995-06-13,2.43,2.43,2.38,2.38,504800
1995-06-14,2.38,2.38,2.33,2.38,649600
1995-06-15,2.33,2.38,2.33,2.34,700800
1995-06-16,2.38,2.38,2.33,2.35,432000
1995-06-19,2.33,2.43,2.33,2.43,398400
1995-06-20,2.46,2.46,2.38,2.38,120800
1995-06-21,2.4,2.48,2.38,2.43,1254400
1995-06-22,2.43,2.48,2.42,2.42,284800
1995-06-23,2.4,2.46,2.38,2.46,276800
1995-06-26,2.46,2.46,2.38,2.42,39200
1995-06-27,2.46,2.46,2.38,2.4,632000
1995-06-28,2.38,2.46,2.38,2.38,495200
1995-06-29,2.38,2.46,2.33,2.33,940800
1995-06-30,2.35,2.35,2.3,2.31,737600
1995-07-03,2.3,2.33,2.28,2.28,96800
1995-07-05,2.35,2.35,2.28,2.28,228800
1995-07-06,2.35,2.35,2.25,2.28,1457600
1995-07-07,2.28,2.33,2.28,2.33,199200
1995-07-10,2.3,2.35,2.25,2.28,1148000
1995-07-11,2.3,2.3,2.25,2.28,418400
1995-07-12,2.25,2.33,2.25,2.33,1061600
1995-07-13,2.28,2.33,2.25,2.32,2342400
