Date,Open,High,Low,Close,Volume
2001-07-19,11.4,11.54,11.32,11.45,34994300
2001-07-20,11.36,11.36,11.17,11.33,9238500
2001-07-23,11.32,11.33,10.98,11.32,7501000
2001-07-24,11.28,11.3,11.09,11.21,3537300
2001-07-25,11.09,11.28,11.06,11.28,4208100
2001-07-26,11.28,11.31,10.94,10.94,6335300
2001-07-27,10.95,11.01,10.94,10.95,3524000
2001-07-30,10.94,11.15,10.94,11.09,3654300
2001-07-31,11.1,11.33,11.02,11.29,1429000
2001-08-01,11.32,11.7,11.24,11.7,2087900
2001-08-02,11.62,11.7,11.4,11.62,1717400
2001-08-03,11.62,11.62,11.31,11.43,983600
2001-08-06,11.43,11.49,11.34,11.4,777400
2001-08-07,11.4,11.74,11.4,11.7,788900
2001-08-08,11.62,11.77,11.32,11.32,2190300
2001-08-09,11.36,11.7,11.32,11.7,928000
2001-08-10,11.62,11.62,11.41,11.46,703300
2001-08-13,11.43,11.58,11.24,11.33,1770400
2001-08-14,11.36,11.37,11.06,11.09,1000800
2001-08-15,11.13,11.24,11.09,11.16,530900
2001-08-16,11.15,11.15,10.6,10.6,1522700
2001-08-17,10.61,11.17,10.49,10.96,2342400
2001-08-20,11.02,11.58,10.94,11.58,1434900
2001-08-21,11.51,11.77,11.33,11.67,1038200
2001-08-22,11.56,11.61,11.15,11.58,829000
2001-08-23,11.66,11.66,11.51,11.51,470000
2001-08-24,11.51,11.68,11.32,11.62,689000
2001-08-27,11.68,11.81,11.62,11.68,827700
2001-08-28,11.64,11.76,11.51,11.59,736900
2001-08-29,11.54,11.55,11.32,11.33,397400
2001-08-30,11.21,11.35,11.21,11.28,640100
2001-08-31,11.32,11.4,11.24,11.24,3337900
2001-09-04,11.32,11.81,11.32,11.61,1068600
2001-09-05,11.61,11.61,11.24,11.25,1053200
2001-09-06,11.13,11.33,10.87,10.94,1384500
2001-09-07,10.91,11.05,10.83,10.96,1408500
2001-09-10,11.0,11.44,10.98,11.43,622100
2001-09-17,11.43,11.43,10.92,11.02,1934300
2001-09-18,11.02,11.32,10.83,10.98,902800
2001-09-19,11.02,11.09,10.35,10.53,2415400
2001-09-20,10.49,10.49,9.69,9.77,3498900
2001-09-21,9.7,9.81,9.18,9.62,2051800
2001-09-24,9.81,10.02,9.77,9.96,1964200
2001-09-25,9.96,9.96,9.58,9.66,1827300
2001-09-26,9.66,9.78,9.21,9.21,3327200
2001-09-27,9.25,9.25,8.76,8.94,2347500
2001-09-28,9.13,10.15,9.13,9.62,2844000
2001-10-01,9.55,9.81,9.55,9.58,878800
2001-10-02,9.47,9.58,9.15,9.49,1900400
2001-10-03,9.52,9.86,9.51,9.77,2539400
2001-10-04,9.79,10.41,9.79,10.18,3108500
2001-10-05,10.19,10.37,10.05,10.23,2172300
2001-10-08,10.26,10.33,9.98,9.98,576100
2001-10-09,10.17,10.41,10.1,10.11,1601100
2001-10-10,10.07,10.38,10.04,10.32,1700400
2001-10-11,11.7,11.7,11.09,11.44,4214100
2001-10-12,11.52,12.49,11.52,12.49,5193300
2001-10-15,12.46,13.55,12.46,13.21,3277900
2001-10-16,13.32,13.62,12.75,13.17,1996000
2001-10-17,13.32,13.39,12.72,12.81,1877100
2001-10-18,12.81,12.81,12.54,12.6,942000
2001-10-19,12.6,12.72,12.48,12.72,2062500
2001-10-22,12.83,13.26,12.81,13.21,469600
2001-10-23,13.21,13.38,13.03,13.3,915400
2001-10-24,13.34,13.4,13.26,13.39,472600
2001-10-25,13.39,13.4,12.93,13.39,265100
2001-10-26,13.36,13.42,13.21,13.3,566500
2001-10-29,13.37,13.38,13.13,13.24,616200
2001-10-30,13.17,13.18,12.94,13.09,574700
2001-10-31,13.15,13.28,12.91,13.26,718600
2001-11-01,13.22,14.03,13.22,13.82,1089900
2001-11-02,13.96,14.41,13.66,13.77,2372800
2001-11-05,13.77,13.79,13.41,13.66,1552700
2001-11-06,13.57,13.57,13.09,13.56,562600
2001-11-07,13.57,14.26,13.55,14.26,1987000
2001-11-08,14.11,15.07,14.11,15.06,1747200
2001-11-09,14.9,15.06,14.83,15.06,1325400
2001-11-12,14.9,14.9,14.34,14.71,2398300
2001-11-13,14.87,16.03,14.84,15.7,1463000
2001-11-14,15.85,16.15,15.07,15.25,1391400
2001-11-15,15.13,15.43,15.13,15.28,628200
2001-11-16,15.28,16.04,15.24,15.88,639100
2001-11-19,15.92,16.79,15.92,16.6,1430000
2001-11-20,16.57,16.57,15.96,16.04,1017400
2001-11-21,16.0,16.01,14.94,15.36,1442600
2001-11-23,15.35,15.56,15.29,15.51,286500
2001-11-26,15.61,16.3,15.3,16.23,1064900
2001-11-27,16.3,17.17,16.23,16.98,1210000
2001-11-28,16.6,16.68,15.74,16.49,1415900
2001-11-29,16.47,16.78,15.86,16.17,1326400
2001-11-30,16.2,17.1,16.16,17.06,2075400
2001-12-03,17.17,18.11,16.98,17.28,1244400
2001-12-04,17.17,18.49,17.09,18.26,2087000
2001-12-05,18.41,20.23,18.37,20.11,3386200
2001-12-06,20.11,20.5,19.55,19.81,3190200
2001-12-07,19.55,19.58,18.72,18.76,1115400
2001-12-10,18.87,19.77,18.49,18.57,1732100
2001-12-11,18.53,18.78,18.49,18.69,1713200
2001-12-12,18.68,19.09,18.52,19.0,2044100
2001-12-13,18.96,18.97,17.51,17.58,1446600
2001-12-14,17.62,18.0,17.09,17.85,1156200
2001-12-17,17.96,19.24,17.89,19.21,1428100
2001-12-18,19.43,19.7,19.25,19.58,2640200
2001-12-19,19.55,19.91,19.21,19.64,1160100
2001-12-20,20.83,21.13,19.33,20.41,2425100
2001-12-21,20.11,20.57,19.71,19.73,1900500
2001-12-24,19.73,19.73,19.58,19.63,181100
2001-12-26,19.7,19.8,19.63,19.8,667000
2001-12-27,19.8,19.85,19.62,19.84,702000
2001-12-28,19.84,20.07,19.62,20.04,1174700
2001-12-31,20.04,20.32,19.7,20.32,920700
2002-01-02,20.3,20.31,19.58,19.78,900500
2002-01-03,19.8,19.83,19.09,19.16,698200
2002-01-04,19.16,21.28,19.05,20.9,2708500
2002-01-07,20.96,20.98,19.96,19.96,1113600
2002-01-08,19.97,20.6,18.2,20.59,1746900
2002-01-09,20.38,21.39,19.82,20.81,3008600
2002-01-10,21.12,21.24,20.57,21.0,2384900
2002-01-11,20.83,20.94,19.63,19.98,3910300
2002-01-14,19.32,19.36,18.72,18.82,4285500
2002-01-15,18.87,19.62,18.87,19.16,3987000
2002-01-16,19.18,20.13,18.79,19.62,3153700
2002-01-17,19.62,19.81,19.5,19.62,1226800
2002-01-18,19.58,19.61,19.31,19.44,758100
2002-01-22,19.38,19.38,18.79,18.84,1914100
2002-01-23,18.79,18.87,18.35,18.53,2515200
2002-01-24,19.06,19.8,19.06,19.4,1689200
2002-01-25,19.36,19.43,19.02,19.02,1057900
2002-01-28,19.04,19.04,17.46,18.11,3010300
2002-01-29,18.38,18.43,17.95,18.02,2563400
2002-01-30,17.92,18.86,17.58,18.83,1677500
2002-01-31,19.24,19.73,19.24,19.46,1785300
2002-02-01,19.55,21.36,19.47,21.13,2698000
2002-02-04,21.06,21.09,20.38,20.61,1659800
2002-02-05,20.34,20.69,20.23,20.53,1007200
2002-02-06,20.53,20.54,20.29,20.39,825700
2002-02-07,20.38,20.87,20.14,20.75,3080600
2002-02-08,20.38,20.94,20.15,20.92,1346400
2002-02-11,20.68,21.17,20.07,20.23,1225300
2002-02-12,19.47,19.77,19.4,19.61,1278100
2002-02-13,19.62,19.73,19.36,19.47,1198100
2002-02-14,19.62,20.38,19.32,20.38,1449900
2002-02-15,20.26,20.75,19.89,20.72,964900
2002-02-19,20.72,20.72,20.26,20.34,814300
2002-02-20,20.3,20.65,20.26,20.45,1156200
2002-02-21,20.3,20.3,18.83,19.62,1514200
2002-02-22,19.47,19.47,18.64,19.34,2449100
2002-02-25,19.59,19.8,18.68,19.02,2103500
2002-02-26,19.09,19.51,18.89,19.38,787100
2002-02-27,20.38,20.56,19.24,19.43,1830800
2002-02-28,19.58,19.92,19.47,19.77,1782900
2002-03-01,19.85,19.85,19.66,19.77,560300
2002-03-04,19.77,20.52,19.77,20.23,1758700
2002-03-05,20.38,21.01,20.38,20.94,2029800
2002-03-06,20.75,21.17,20.71,20.78,770000
2002-03-07,20.8,21.02,20.23,20.48,1056000
2002-03-08,20.94,23.02,20.94,22.56,2507500
2002-03-11,22.79,22.92,22.26,22.56,1379200
2002-03-12,22.41,22.81,21.95,22.5,1616000
2002-03-13,22.45,22.47,21.83,22.0,702500
2002-03-14,21.89,21.91,21.38,21.64,1106700
2002-03-15,21.52,21.88,21.32,21.88,892800
2002-03-18,21.89,22.41,21.89,22.2,838500
2002-03-19,21.13,21.24,18.87,19.62,8931800
2002-03-20,19.62,20.53,19.06,20.04,3732200
2002-03-21,20.19,20.72,20.0,20.67,1457900
2002-03-22,20.79,21.32,20.57,20.85,1225100
2002-03-25,20.85,20.85,20.11,20.41,917300
2002-03-26,20.34,20.66,19.92,20.16,426800
2002-03-27,20.22,20.32,19.94,20.01,517700
2002-03-28,20.0,20.38,19.7,20.15,904700
2002-04-01,20.11,20.15,19.81,20.11,992600
2002-04-02,19.13,19.7,19.13,19.62,1685100
2002-04-03,19.34,19.7,19.08,19.63,1223600
2002-04-04,19.61,19.62,18.8,18.94,2005200
2002-04-05,18.94,19.31,18.94,18.99,2232300
2002-04-08,17.92,18.26,17.35,18.13,4992800
2002-04-09,18.17,18.68,18.15,18.42,4387500
2002-04-10,18.49,18.75,18.3,18.3,3001300
2002-04-11,17.62,17.73,16.21,17.02,4328000
2002-04-12,17.17,17.33,16.64,17.0,2328700
2002-04-15,17.12,17.12,16.8,16.93,1178400
2002-04-16,16.98,18.26,16.98,17.92,1584800
2002-04-17,17.95,18.2,17.81,18.1,1409100
2002-04-18,18.04,18.04,17.37,17.43,1078900
2002-04-19,17.28,18.61,17.28,18.47,3423600
2002-04-22,18.3,18.47,18.13,18.42,1148300
2002-04-23,18.32,18.45,17.85,18.07,1451800
2002-04-24,17.92,18.04,17.28,17.47,1897500
2002-04-25,16.9,17.47,16.6,16.97,1785300
2002-04-26,16.94,16.97,16.45,16.45,1581100
2002-04-29,16.52,16.53,15.16,15.29,2037600
2002-04-30,15.36,16.26,15.15,16.18,1552400
2002-05-01,16.14,16.14,15.28,15.91,1883900
2002-05-02,15.92,16.23,15.85,16.0,2146900
2002-05-03,15.89,15.89,14.9,15.0,3315900
2002-05-06,15.02,15.47,15.0,15.24,1666900
2002-05-07,15.25,15.69,15.22,15.59,1462200
2002-05-08,16.75,17.09,16.41,16.77,2003300
2002-05-09,16.23,16.45,15.17,15.24,2551700
2002-05-10,16.04,16.14,14.72,15.44,2037900
2002-05-13,15.55,16.0,15.43,15.96,1121800
2002-05-14,16.23,16.49,15.96,16.49,1764000
2002-05-15,16.45,17.42,16.26,16.77,1669900
2002-05-16,15.47,15.58,15.02,15.09,8267900
2002-05-17,15.09,15.27,15.06,15.09,33453400
2002-05-20,15.09,16.37,14.79,16.2,20891200
2002-05-21,16.37,16.53,15.7,15.77,6467200
2002-05-22,15.6,15.75,15.43,15.62,6725800
2002-05-23,15.85,15.91,15.58,15.86,5913700
2002-05-24,15.82,15.92,15.59,15.71,2190900
2002-05-28,15.81,15.96,15.7,15.96,2776000
2002-05-29,15.83,15.92,15.7,15.91,1915700
2002-05-30,15.91,15.91,15.51,15.63,1794300
2002-05-31,15.79,15.92,15.6,15.74,3056000
2002-06-03,15.66,15.66,15.3,15.33,2583700
2002-06-04,15.32,15.33,14.41,14.81,5704400
2002-06-05,14.75,14.92,14.75,14.86,4015300
2002-06-06,14.87,14.94,14.57,14.73,5180900
2002-06-07,14.57,15.18,14.57,15.06,3005700
2002-06-10,15.32,15.47,15.1,15.35,2083200
2002-06-11,15.24,15.57,15.24,15.39,1870200
2002-06-12,15.47,15.47,14.83,15.18,2625600
2002-06-13,15.09,15.17,14.9,14.91,2771800
2002-06-14,14.91,15.15,14.6,15.09,3848700
2002-06-17,15.28,15.63,15.21,15.58,3424500
2002-06-18,15.7,15.84,15.62,15.81,1780800
2002-06-19,15.74,15.74,15.38,15.4,1098900
2002-06-20,15.4,15.46,14.98,15.07,2289300
2002-06-21,14.94,15.02,14.63,14.87,2386400
2002-06-24,14.74,14.94,14.4,14.45,3360900
2002-06-25,14.64,14.75,14.14,14.15,2814300
2002-06-26,13.58,14.41,13.21,14.15,3623400
2002-06-27,14.23,14.5,14.02,14.2,967800
2002-06-28,14.26,14.71,14.26,14.34,1571200
2002-07-01,14.34,14.34,12.47,12.64,5758000
2002-07-02,12.75,13.06,12.53,12.75,5323700
2002-07-03,12.75,13.4,12.11,13.21,3582400
2002-07-05,13.43,13.81,13.37,13.51,1190200
2002-07-08,13.36,13.4,12.94,13.26,5472700
2002-07-09,13.35,13.36,12.34,12.53,3892200
2002-07-10,12.45,12.81,11.4,11.51,7509200
2002-07-11,11.34,11.96,11.24,11.74,6081300
2002-07-12,11.51,11.66,10.56,10.64,8898500
2002-07-15,10.6,11.02,10.49,10.91,6102600
2002-07-16,10.94,11.47,10.94,11.28,4151900
2002-07-17,11.47,11.77,11.24,11.28,4234300
2002-07-18,11.13,11.36,10.44,10.49,9051100
2002-07-19,10.49,11.47,10.47,11.21,3939000
2002-07-22,11.21,11.54,10.83,11.21,2544200
2002-07-23,11.13,11.19,10.91,10.96,2072100
2002-07-24,10.49,11.55,10.34,11.55,2307200
2002-07-25,11.51,11.51,10.87,11.12,2426200
2002-07-26,11.13,11.36,10.94,11.22,1814100
2002-07-29,11.36,12.57,11.36,12.43,2377200
2002-07-30,12.45,13.21,12.11,12.85,2308700
2002-07-31,12.47,12.57,12.17,12.45,3322900
2002-08-01,12.45,12.6,12.26,12.44,2391200
2002-08-02,12.34,12.5,12.15,12.34,1684100
2002-08-05,12.34,12.34,11.49,11.53,1597800
2002-08-06,11.51,12.44,11.51,12.28,1430400
2002-08-07,12.38,12.5,12.0,12.44,849300
2002-08-08,12.47,12.72,12.26,12.6,1234100
2002-08-09,12.57,12.68,12.0,12.47,1484500
2002-08-12,12.39,12.53,12.38,12.41,627400
2002-08-13,12.23,12.6,12.13,12.17,2234900
2002-08-14,12.07,12.41,11.92,12.26,1964500
2002-08-15,12.38,13.21,12.38,12.91,1033800
2002-08-16,12.72,13.7,12.72,13.52,1278600
2002-08-19,13.52,14.16,13.52,14.12,1085300
2002-08-20,14.12,14.26,13.74,14.11,1103900
2002-08-21,14.49,14.49,13.81,14.11,1163200
2002-08-22,14.11,14.34,13.83,13.96,1731800
2002-08-23,13.86,13.87,13.41,13.51,563800
2002-08-26,13.13,13.36,13.13,13.21,1577100
