Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.52,0.5,0.5,374600
1980-03-18,0.0,0.5,0.49,0.49,211400
1980-03-19,0.0,0.5,0.49,0.49,151200
1980-03-20,0.0,0.5,0.49,0.49,41000
1980-03-21,0.0,0.49,0.47,0.47,553000
1980-03-24,0.0,0.47,0.43,0.44,380200
1980-03-25,0.0,0.43,0.41,0.42,322600
1980-03-26,0.0,0.44,0.43,0.44,98600
1980-03-27,0.0,0.43,0.41,0.41,511400
1980-03-28,0.0,0.44,0.42,0.44,242600
1980-03-31,0.0,0.44,0.43,0.44,60200
1980-04-01,0.0,0.44,0.44,0.44,48200
1980-04-02,0.0,0.46,0.44,0.45,124800
1980-04-03,0.0,0.46,0.44,0.44,124800
1980-04-07,0.0,0.44,0.43,0.43,262600
1980-04-08,0.0,0.43,0.42,0.43,92200
1980-04-09,0.0,0.44,0.44,0.44,48200
1980-04-10,0.0,0.45,0.44,0.45,50600
1980-04-11,0.0,0.45,0.44,0.45,240200
1980-04-14,0.0,0.44,0.43,0.43,160800
1980-04-15,0.0,0.44,0.43,0.43,34600
1980-04-16,0.0,0.44,0.43,0.43,140200
1980-04-17,0.0,0.43,0.42,0.43,180000
1980-04-18,0.0,0.43,0.41,0.41,393800
1980-04-21,0.0,0.42,0.41,0.41,22600
1980-04-22,0.0,0.44,0.42,0.44,387400
1980-04-23,0.0,0.45,0.44,0.45,502600
1980-04-24,0.0,0.45,0.44,0.44,230600
1980-04-25,0.0,0.45,0.44,0.45,144200
1980-04-28,0.0,0.46,0.45,0.45,163400
1980-04-29,0.0,0.46,0.45,0.45,32200
1980-04-30,0.0,0.46,0.45,0.45,99400
1980-05-01,0.0,0.45,0.45,0.45,214600
1980-05-02,0.0,0.45,0.44,0.44,220800
1980-05-05,0.0,0.45,0.44,0.45,265000
1980-05-06,0.0,0.44,0.44,0.44,84000
1980-05-07,0.0,0.44,0.43,0.44,134600
1980-05-08,0.0,0.44,0.43,0.44,108200
1980-05-09,0.0,0.44,0.43,0.43,63400
1980-05-12,0.0,0.45,0.44,0.45,178600
1980-05-13,0.0,0.45,0.44,0.45,73000
1980-05-14,0.0,0.47,0.45,0.47,403400
1980-05-15,0.0,0.47,0.46,0.47,144000
1980-05-16,0.0,0.47,0.46,0.47,144200
1980-05-19,0.0,0.49,0.48,0.49,319400
1980-05-20,0.0,0.54,0.49,0.54,399400
1980-05-21,0.0,0.54,0.52,0.52,291400
1980-05-22,0.0,0.52,0.51,0.51,153600
1980-05-23,0.0,0.54,0.52,0.52,140200
1980-05-27,0.0,0.54,0.53,0.53,192200
1980-05-28,0.0,0.54,0.53,0.54,140200
1980-05-29,0.0,0.55,0.53,0.54,259400
1980-05-30,0.0,0.54,0.53,0.54,98600
1980-06-02,0.0,0.54,0.53,0.53,32200
1980-06-03,0.0,0.53,0.52,0.53,370600
1980-06-04,0.0,0.53,0.52,0.53,274600
1980-06-05,0.0,0.56,0.53,0.55,319400
1980-06-06,0.0,0.57,0.55,0.57,531400
1980-06-09,0.0,0.6,0.57,0.57,422600
1980-06-10,0.0,0.57,0.57,0.57,130600
1980-06-11,0.0,0.58,0.57,0.58,211200
1980-06-12,0.0,0.58,0.57,0.57,409000
1980-06-13,0.0,0.59,0.57,0.59,332200
1980-06-16,0.0,0.59,0.58,0.58,259200
1980-06-17,0.0,0.58,0.57,0.58,132000
1980-06-18,0.0,0.58,0.57,0.58,79400
1980-06-19,0.0,0.58,0.57,0.57,230600
1980-06-20,0.0,0.56,0.55,0.56,108200
