Date,Open,High,Low,Close,Volume
2001-06-15,12.71,12.71,12.31,12.42,511400
2001-06-18,12.41,12.7,12.27,12.66,408000
2001-06-19,12.94,13.14,12.7,13.09,216400
2001-06-20,13.04,13.18,12.85,13.09,54400
2001-06-21,13.07,13.43,13.06,13.41,80700
2001-06-22,13.52,14.47,13.52,14.05,127900
2001-06-25,14.25,14.34,13.91,14.15,87100
2001-06-26,14.2,14.28,14.15,14.2,48900
2001-06-27,14.1,14.63,14.05,14.59,139800
2001-06-28,14.5,14.73,14.39,14.49,195100
2001-06-29,14.58,15.36,14.49,14.49,130700
2001-07-02,14.73,15.07,13.82,13.91,42000
2001-07-03,13.96,14.54,13.96,14.46,35600
2001-07-05,14.39,14.92,14.39,14.68,97100
2001-07-06,14.87,14.87,14.25,14.44,149700
2001-07-09,14.49,14.68,14.35,14.39,130000
2001-07-10,14.39,14.58,14.2,14.2,189200
2001-07-11,14.2,14.29,14.1,14.1,76800
2001-07-12,14.2,14.69,14.2,14.69,177600
2001-07-13,14.49,15.27,14.49,15.27,144200
2001-07-16,15.27,15.27,14.69,14.97,38600
2001-07-17,14.97,15.45,14.97,15.31,32900
2001-07-18,15.26,16.18,14.97,16.18,102500
2001-07-19,16.32,16.81,15.45,15.84,303700
2001-07-20,15.84,15.84,14.2,14.44,82700
2001-07-23,14.47,14.54,14.3,14.34,55500
2001-07-24,14.34,14.34,13.52,13.62,45600
2001-07-25,13.62,13.62,13.04,13.04,65800
2001-07-26,13.04,13.43,13.04,13.28,653100
2001-07-27,13.38,13.67,13.37,13.67,62000
2001-07-30,13.67,14.0,13.67,13.89,54800
2001-07-31,13.88,14.49,13.88,14.49,268500
2001-08-01,14.39,14.87,14.39,14.49,19200
2001-08-02,14.49,14.97,14.39,14.97,36900
2001-08-03,14.97,14.97,14.78,14.97,34300
2001-08-06,14.97,15.06,14.92,15.06,2700
2001-08-07,15.06,15.15,14.78,14.87,23200
2001-08-08,15.12,15.24,14.68,14.68,28500
2001-08-09,14.73,14.73,14.34,14.48,9400
2001-08-10,14.58,14.78,14.44,14.44,26800
2001-08-13,14.44,15.35,14.44,14.92,55800
2001-08-14,14.92,15.16,14.92,14.97,59200
2001-08-15,15.12,15.6,14.98,15.6,29400
2001-08-16,15.6,15.62,15.47,15.6,12300
2001-08-17,15.64,15.74,15.64,15.7,6100
2001-08-20,15.6,15.84,15.6,15.84,36200
2001-08-21,15.74,16.08,15.74,15.94,92800
2001-08-22,15.84,15.84,15.07,15.21,11600
2001-08-23,15.16,15.16,14.73,14.95,23500
2001-08-24,14.87,14.94,14.44,14.57,11100
2001-08-27,14.49,14.53,14.2,14.44,16900
2001-08-28,14.34,14.38,13.91,14.38,10800
2001-08-29,14.48,14.87,13.76,14.54,209600
2001-08-30,14.49,14.58,14.25,14.5,388900
2001-08-31,14.58,14.87,14.58,14.73,103800
2001-09-04,14.83,14.87,14.79,14.87,17100
2001-09-05,14.86,15.99,14.86,15.7,108600
2001-09-06,15.6,15.7,15.55,15.55,70100
2001-09-07,15.5,15.65,15.5,15.63,48500
2001-09-10,15.6,15.65,15.45,15.45,91400
2001-09-17,14.0,14.0,13.43,13.43,28900
2001-09-18,13.33,13.33,12.07,12.07,111300
2001-09-19,12.07,12.07,10.72,11.01,23300
2001-09-20,11.25,11.25,10.96,10.96,166200
2001-09-21,10.72,11.59,10.67,11.59,280000
2001-09-24,11.69,14.05,11.69,13.23,98800
2001-09-25,13.52,14.39,13.52,13.82,54600
2001-09-26,13.82,14.15,13.82,14.1,25100
2001-09-27,14.05,15.36,14.05,15.26,65100
2001-09-28,15.21,15.7,14.39,15.7,104400
2001-10-01,15.5,15.5,14.39,14.4,180100
2001-10-02,14.4,14.4,14.0,14.0,12600
2001-10-03,14.01,14.01,13.96,13.96,57300
2001-10-04,13.96,14.05,13.91,14.0,83300
2001-10-05,14.0,14.01,13.91,13.91,49100
2001-10-08,13.91,13.92,13.88,13.88,53900
2001-10-09,13.83,13.84,13.83,13.84,13800
2001-10-10,13.81,14.0,13.81,13.91,74000
2001-10-11,14.0,14.1,14.0,14.1,118600
2001-10-12,14.1,14.29,14.1,14.25,30700
2001-10-15,14.26,14.39,14.25,14.39,62300
2001-10-16,14.39,14.48,14.39,14.47,31700
2001-10-17,14.73,14.92,14.69,14.79,106400
2001-10-18,14.79,14.95,14.79,14.86,49100
2001-10-19,14.86,14.92,14.78,14.87,52000
2001-10-22,14.97,15.15,14.96,15.06,117100
2001-10-23,15.06,15.22,15.05,15.22,44200
2001-10-24,15.31,15.41,15.21,15.41,67000
2001-10-25,15.31,15.65,15.31,15.65,21800
2001-10-26,15.45,15.45,15.36,15.38,30700
2001-10-29,15.43,15.45,15.12,15.31,24300
2001-10-30,15.36,15.36,14.92,15.08,20800
2001-10-31,14.97,15.45,14.39,15.45,40900
2001-11-01,15.45,15.45,15.16,15.45,61600
2001-11-02,15.37,15.45,14.88,15.41,87100
2001-11-05,15.27,15.27,14.58,15.21,19800
2001-11-06,15.15,15.64,14.48,14.48,28600
2001-11-07,14.48,15.43,14.48,15.36,16100
2001-11-08,15.26,15.45,15.13,15.45,44400
2001-11-09,15.26,15.41,15.17,15.33,7900
2001-11-12,15.33,15.42,15.26,15.26,8900
2001-11-13,15.33,15.33,15.23,15.26,11200
2001-11-14,15.21,15.45,15.21,15.42,29800
2001-11-15,15.18,15.98,15.16,15.84,24500
2001-11-16,15.74,16.23,15.74,15.94,16100
2001-11-19,16.03,16.61,16.03,16.42,95800
2001-11-20,16.42,16.42,15.7,15.7,33600
2001-11-21,15.7,15.98,15.7,15.98,3100
2001-11-23,16.13,16.37,16.13,16.37,7100
2001-11-26,16.66,16.76,16.63,16.76,198600
2001-11-27,16.71,16.71,16.44,16.47,12400
2001-11-28,16.44,16.45,16.35,16.42,6000
2001-11-29,16.43,16.65,16.13,16.42,22000
2001-11-30,16.42,16.68,15.65,15.94,54900
2001-12-03,15.89,15.9,15.41,15.41,33200
2001-12-04,15.41,15.41,15.21,15.21,36600
2001-12-05,15.22,15.34,14.34,15.34,64500
2001-12-06,15.58,16.52,15.58,16.42,129300
2001-12-07,16.42,17.37,16.42,16.52,101000
2001-12-10,16.61,16.61,16.13,16.19,73800
2001-12-11,16.27,16.37,16.26,16.32,74800
2001-12-12,16.25,16.52,15.74,16.34,113700
2001-12-13,16.32,16.46,16.3,16.4,16400
2001-12-14,16.42,16.47,15.84,15.98,28700
2001-12-17,15.84,16.42,15.57,16.41,22000
2001-12-18,16.47,16.77,16.44,16.68,175400
2001-12-19,16.69,16.69,16.56,16.6,76600
2001-12-20,16.62,16.62,16.32,16.33,81600
2001-12-21,16.32,16.42,16.27,16.42,41700
2001-12-24,16.52,16.74,16.42,16.71,26700
2001-12-26,16.71,16.76,16.43,16.56,36300
2001-12-27,16.56,18.06,16.56,18.06,123500
2001-12-28,18.83,18.83,17.55,18.25,103600
2001-12-31,18.33,18.64,18.25,18.5,59100
2002-01-02,18.54,18.54,16.81,16.91,102000
2002-01-03,16.81,18.06,16.78,17.44,44400
2002-01-04,17.48,18.59,17.48,18.54,106000
2002-01-07,18.54,20.17,18.54,19.67,172600
2002-01-08,19.53,20.77,19.33,20.72,111200
2002-01-09,20.57,20.72,19.8,19.89,159100
2002-01-10,19.89,19.99,19.78,19.9,303300
2002-01-11,19.94,20.09,19.8,19.8,281700
2002-01-14,19.87,19.9,19.65,19.7,63000
2002-01-15,19.71,20.14,19.71,20.14,191800
2002-01-16,20.14,20.38,20.09,20.36,25500
2002-01-17,20.38,20.41,20.28,20.36,20900
2002-01-18,20.46,20.52,20.38,20.48,21400
2002-01-22,20.48,20.48,20.19,20.33,136600
2002-01-23,20.34,21.25,20.28,21.25,378700
2002-01-24,21.1,21.36,20.28,21.32,147400
2002-01-25,21.33,21.88,21.2,21.44,105400
2002-01-28,21.44,21.49,21.2,21.44,78300
2002-01-29,21.44,21.7,20.89,20.89,109000
2002-01-30,20.86,21.63,20.77,21.63,98000
2002-01-31,21.44,21.45,20.66,20.77,375800
2002-02-01,20.77,20.77,20.28,20.28,237700
2002-02-04,20.04,20.04,19.12,19.32,137700
2002-02-05,19.22,19.3,18.35,18.35,133800
2002-02-06,18.4,18.59,17.77,18.4,234600
2002-02-07,18.43,18.6,18.35,18.59,161100
2002-02-08,18.59,19.17,18.45,18.98,320100
2002-02-11,18.74,19.12,18.35,19.12,51500
2002-02-12,19.27,20.48,19.08,20.48,96400
2002-02-13,20.57,20.72,19.85,20.33,75400
2002-02-14,20.38,20.77,20.38,20.71,100500
2002-02-15,20.75,20.75,20.33,20.46,28500
2002-02-19,20.55,20.76,20.24,20.74,168400
2002-02-20,20.75,20.96,20.67,20.96,93800
2002-02-21,20.96,20.96,20.38,20.48,6700
2002-02-22,20.52,20.52,20.28,20.28,94400
2002-02-25,20.28,20.28,20.15,20.17,17200
2002-02-26,20.14,20.19,19.79,19.81,81600
2002-02-27,19.91,20.09,19.87,20.04,249000
2002-02-28,20.04,20.48,19.6,20.48,95700
2002-03-01,20.33,20.96,20.33,20.79,76500
2002-03-04,21.03,22.2,21.03,21.83,80600
2002-03-05,21.83,22.36,21.83,22.22,148200
2002-03-06,21.98,24.14,21.98,22.94,238300
2002-03-07,22.99,23.04,22.36,22.42,91600
2002-03-08,22.43,22.7,22.22,22.7,26300
2002-03-11,22.89,23.37,22.53,23.08,107000
2002-03-12,23.08,23.18,23.04,23.04,48200
2002-03-13,23.04,23.13,21.73,21.97,64100
2002-03-14,22.07,22.69,21.73,21.79,43200
2002-03-15,21.75,22.26,21.73,21.73,45600
2002-03-18,21.63,22.46,21.63,22.46,6200
2002-03-19,22.7,22.99,22.32,22.32,39300
2002-03-20,22.26,22.5,21.73,21.83,22500
