Date,Open,High,Low,Close,Volume
1998-01-02,14.12,14.14,13.92,14.06,444000
1998-01-05,14.14,14.16,13.82,13.96,564300
1998-01-06,13.84,13.86,13.71,13.75,253600
1998-01-07,13.75,13.75,13.43,13.63,358100
1998-01-08,13.65,13.65,13.38,13.47,325100
1998-01-09,13.45,13.73,13.45,13.59,306600
1998-01-12,13.51,13.73,13.47,13.71,268300
1998-01-13,13.71,13.71,13.53,13.61,193300
1998-01-14,13.61,13.61,13.51,13.55,139500
1998-01-15,13.53,13.53,13.22,13.24,155400
1998-01-16,13.34,13.4,13.28,13.3,251100
1998-01-20,12.32,12.36,11.99,12.17,1051500
1998-01-21,12.11,12.11,11.74,12.09,1026300
1998-01-22,11.95,12.03,11.87,11.95,492700
1998-01-23,11.87,11.95,11.7,11.82,323500
1998-01-26,11.84,11.91,11.68,11.89,273000
1998-01-27,11.89,11.97,11.76,11.91,563700
1998-01-28,11.84,11.99,11.84,11.99,284000
1998-01-29,11.99,12.15,11.95,12.07,383800
1998-01-30,12.07,12.11,12.01,12.03,486500
1998-02-02,12.07,12.11,11.99,12.05,233000
1998-02-03,12.03,12.09,11.95,12.03,189200
1998-02-04,12.03,12.03,11.91,11.99,557800
1998-02-05,12.13,12.19,12.03,12.13,210000
1998-02-06,12.15,12.34,12.07,12.34,251100
1998-02-09,12.3,12.46,12.3,12.44,271700
1998-02-10,12.42,12.58,12.42,12.46,357200
1998-02-11,12.42,12.44,12.36,12.4,280600
1998-02-12,12.32,12.46,12.28,12.42,496100
1998-02-13,12.36,12.44,12.3,12.32,181800
1998-02-17,12.3,12.48,12.19,12.48,360600
1998-02-18,12.48,12.56,12.46,12.48,267600
1998-02-19,12.48,12.54,12.48,12.54,386300
1998-02-20,12.52,12.58,12.42,12.58,798600
1998-02-23,12.58,12.69,12.5,12.69,347100
1998-02-24,12.62,12.65,12.52,12.65,228500
1998-02-25,12.67,12.73,12.6,12.6,342500
1998-02-26,12.56,12.62,12.5,12.54,152800
1998-02-27,12.52,12.64,12.5,12.62,218800
1998-03-02,12.54,12.65,12.54,12.62,219700
1998-03-03,12.62,12.65,12.6,12.62,416300
1998-03-04,12.6,12.65,12.56,12.6,146700
1998-03-05,12.54,12.62,12.52,12.58,293600
1998-03-06,12.48,12.73,12.48,12.73,3544900
1998-03-09,12.69,12.71,12.61,12.63,309000
1998-03-10,12.63,12.77,12.61,12.73,290000
1998-03-11,12.71,12.98,12.71,12.94,543800
1998-03-12,12.94,12.94,12.84,12.88,241700
1998-03-13,12.84,12.94,12.82,12.92,425000
1998-03-16,12.92,13.26,12.9,13.19,395400
1998-03-17,13.19,13.46,13.19,13.46,351500
1998-03-18,13.4,13.69,13.4,13.65,668800
1998-03-19,13.61,13.86,13.57,13.86,431500
