Date,Open,High,Low,Close,Volume
1970-01-02,0.94,0.96,0.94,0.95,10300
1970-01-05,0.95,0.96,0.94,0.96,17600
1970-01-06,0.96,0.97,0.96,0.96,14000
1970-01-07,0.96,0.96,0.95,0.96,7700
1970-01-08,0.96,0.96,0.95,0.95,16300
1970-01-09,0.95,0.96,0.94,0.96,16800
1970-01-12,0.95,0.95,0.94,0.95,11700
1970-01-13,0.95,0.95,0.92,0.92,15900
1970-01-14,0.92,0.92,0.9,0.92,37800
1970-01-15,0.92,0.92,0.91,0.92,23500
1970-01-16,0.92,0.93,0.91,0.91,23300
1970-01-19,0.92,0.94,0.92,0.93,12600
1970-01-20,0.93,0.93,0.91,0.91,19800
1970-01-21,0.91,0.94,0.91,0.92,22400
1970-01-22,0.92,0.95,0.92,0.95,25300
1970-01-23,0.95,0.95,0.91,0.91,11900
1970-01-26,0.91,0.92,0.9,0.9,12000
1970-01-27,0.9,0.9,0.89,0.9,12700
1970-01-28,0.9,0.9,0.87,0.88,26700
1970-01-29,0.88,0.88,0.86,0.87,26100
1970-01-30,0.87,0.88,0.86,0.86,15200
1970-02-02,0.87,0.9,0.87,0.88,27200
1970-02-03,0.88,0.89,0.86,0.88,23600
1970-02-04,0.89,0.9,0.88,0.89,21300
1970-02-05,0.89,0.89,0.88,0.88,13100
1970-02-06,0.89,0.91,0.89,0.89,15200
1970-02-09,0.89,0.91,0.89,0.89,15300
1970-02-10,0.89,0.89,0.87,0.87,36400
1970-02-11,0.87,0.88,0.86,0.88,24400
1970-02-12,0.88,0.88,0.87,0.88,17500
1970-02-13,0.88,0.88,0.87,0.88,27700
1970-02-16,0.88,0.89,0.86,0.86,22700
1970-02-17,0.86,0.88,0.86,0.86,22600
1970-02-18,0.87,0.89,0.87,0.89,16800
1970-02-19,0.89,0.9,0.88,0.88,17900
1970-02-20,0.88,0.89,0.87,0.89,13000
1970-02-24,0.89,0.9,0.88,0.88,18000
1970-02-25,0.89,0.95,0.89,0.94,21700
1970-02-26,0.94,0.95,0.93,0.94,28200
1970-02-27,0.95,0.96,0.95,0.95,22100
1970-03-02,0.95,0.99,0.95,0.99,26600
1970-03-03,0.99,1.0,0.97,0.98,18300
1970-03-04,0.98,1.0,0.98,0.99,23800
1970-03-05,0.99,1.0,0.97,0.98,45700
1970-03-06,0.98,0.99,0.95,0.95,22000
1970-03-09,0.95,0.97,0.95,0.95,14200
1970-03-10,0.95,0.97,0.95,0.95,13900
1970-03-11,0.95,0.95,0.95,0.95,12400
1970-03-12,0.95,0.95,0.94,0.95,20400
1970-03-13,0.95,0.96,0.93,0.95,13700
1970-03-16,0.95,0.97,0.95,0.95,10500
1970-03-17,0.95,0.96,0.93,0.95,14300
1970-03-18,0.95,0.95,0.94,0.95,17400
1970-03-19,0.95,0.95,0.94,0.94,18500
1970-03-20,0.94,0.95,0.94,0.95,15300
1970-03-23,0.95,0.95,0.94,0.95,8700
1970-03-24,0.95,0.97,0.95,0.95,14700
1970-03-25,0.95,1.0,0.95,0.99,87300
1970-03-26,0.99,0.99,0.97,0.98,30700
1970-03-30,0.98,0.99,0.98,0.98,36700
1970-03-31,0.98,0.99,0.97,0.98,29900
1970-04-01,0.98,0.99,0.97,0.99,19700
1970-04-02,0.99,0.99,0.98,0.98,21100
1970-04-03,0.98,1.0,0.98,1.0,17300
1970-04-06,1.0,1.01,1.0,1.0,15000
1970-04-07,1.0,1.0,0.99,0.99,13200
1970-04-08,0.99,1.0,0.99,0.99,11400
1970-04-09,0.99,1.0,0.99,1.0,12900
1970-04-10,1.0,1.0,0.99,0.99,10600
1970-04-13,0.99,1.0,0.99,0.99,15400
1970-04-14,0.99,0.99,0.98,0.99,24500
1970-04-15,0.99,0.99,0.98,0.99,17100
1970-04-16,0.99,0.99,0.96,0.97,12000
1970-04-17,0.97,0.97,0.95,0.95,11000
1970-04-20,0.95,0.96,0.95,0.95,12300
1970-04-21,0.95,0.96,0.95,0.95,14900
1970-04-22,0.95,0.95,0.94,0.95,20400
1970-04-23,0.94,0.94,0.91,0.92,19200
1970-04-24,0.92,0.93,0.89,0.89,22000
1970-04-27,0.89,0.89,0.87,0.87,40500
1970-04-28,0.87,0.88,0.86,0.87,21300
1970-04-29,0.87,0.88,0.87,0.88,20300
1970-04-30,0.88,0.89,0.87,0.89,19000
1970-05-01,0.87,0.87,0.85,0.87,53900
1970-05-04,0.87,0.87,0.84,0.84,29500
1970-05-05,0.85,0.85,0.84,0.84,22500
1970-05-06,0.84,0.86,0.84,0.84,33200
1970-05-07,0.84,0.84,0.82,0.84,24200
1970-05-08,0.84,0.84,0.82,0.84,19000
1970-05-11,0.83,0.83,0.81,0.82,21300
1970-05-12,0.82,0.83,0.82,0.83,18800
1970-05-13,0.82,0.82,0.8,0.81,20500
1970-05-14,0.81,0.81,0.78,0.81,32000
1970-05-15,0.81,0.81,0.8,0.81,26700
1970-05-18,0.81,0.83,0.8,0.8,36700
1970-05-19,0.8,0.81,0.79,0.79,21300
1970-05-20,0.79,0.8,0.77,0.77,27700
1970-05-21,0.77,0.78,0.76,0.78,25900
1970-05-22,0.78,0.8,0.77,0.78,38200
1970-05-25,0.78,0.8,0.77,0.79,16800
1970-05-26,0.79,0.8,0.78,0.78,24400
1970-05-27,0.78,0.82,0.78,0.8,35300
1970-05-28,0.8,0.84,0.8,0.84,36900
1970-05-29,0.84,0.86,0.84,0.85,44300
1970-06-01,0.85,0.85,0.84,0.85,21300
1970-06-02,0.85,0.86,0.83,0.84,41100
1970-06-03,0.84,0.84,0.82,0.84,23700
1970-06-04,0.84,0.84,0.82,0.83,20500
1970-06-05,0.82,0.82,0.8,0.8,13500
1970-06-08,0.8,0.81,0.8,0.81,14100
1970-06-09,0.81,0.81,0.78,0.79,13300
1970-06-10,0.79,0.79,0.78,0.79,16000
1970-06-11,0.79,0.79,0.78,0.79,17300
1970-06-12,0.79,0.79,0.78,0.79,12500
1970-06-15,0.78,0.78,0.78,0.78,13600
1970-06-16,0.78,0.79,0.78,0.78,27600
1970-06-17,0.78,0.79,0.77,0.78,40700
1970-06-18,0.78,0.78,0.77,0.77,12100
1970-06-19,0.77,0.78,0.77,0.77,14000
1970-06-22,0.77,0.78,0.76,0.77,20500
1970-06-23,0.76,0.76,0.76,0.76,33200
1970-06-24,0.76,0.77,0.74,0.74,200000
1970-06-25,0.74,0.75,0.74,0.75,18400
1970-06-26,0.75,0.75,0.74,0.74,15600
1970-06-29,0.74,0.75,0.71,0.72,23200
1970-06-30,0.72,0.72,0.7,0.7,28100
1970-07-01,0.71,0.73,0.71,0.71,24600
1970-07-02,0.71,0.72,0.7,0.72,37100
1970-07-06,0.72,0.72,0.71,0.72,52400
1970-07-07,0.72,0.73,0.72,0.73,38000
1970-07-08,0.75,0.79,0.75,0.78,51300
1970-07-09,0.78,0.8,0.78,0.79,68400
1970-07-10,0.79,0.8,0.78,0.79,30400
1970-07-13,0.79,0.81,0.79,0.81,33500
1970-07-14,0.81,0.82,0.8,0.81,18500
1970-07-15,0.81,0.81,0.78,0.8,54800
1970-07-16,0.8,0.81,0.79,0.81,36400
1970-07-17,0.81,0.83,0.8,0.82,37900
