Date,Open,High,Low,Close,Volume
1989-06-22,4.62,4.64,4.36,4.4,1746400
1989-06-23,4.4,4.48,4.33,4.48,2356000
1989-06-26,4.48,4.55,4.43,4.43,533200
1989-06-27,4.52,4.64,4.52,4.57,2098000
1989-06-28,4.57,4.57,4.4,4.4,856400
1989-06-29,4.4,4.45,4.31,4.36,1496000
1989-06-30,4.36,4.36,4.24,4.33,606400
1989-07-03,4.33,4.33,4.29,4.31,127200
1989-07-05,4.33,4.33,4.29,4.33,668400
1989-07-06,4.33,4.48,4.31,4.45,1311600
1989-07-07,4.52,4.57,4.43,4.5,1616800
1989-07-10,4.52,4.67,4.52,4.67,975200
1989-07-11,4.67,4.79,4.67,4.71,1833200
1989-07-12,4.76,4.81,4.64,4.64,1640400
1989-07-13,4.67,4.67,4.45,4.55,2386800
1989-07-14,4.57,4.62,4.52,4.57,1527600
1989-07-17,4.62,4.64,4.57,4.64,1277200
1989-07-18,4.64,4.64,4.55,4.55,1643600
1989-07-19,4.59,4.59,4.45,4.48,2506000
1989-07-20,4.52,4.74,4.52,4.62,2471200
1989-07-21,4.62,4.67,4.57,4.64,1890400
1989-07-24,4.64,4.64,4.55,4.55,1080000
1989-07-25,4.57,4.62,4.55,4.62,1612800
1989-07-26,4.64,4.71,4.62,4.67,4258000
1989-07-27,4.71,4.86,4.71,4.81,7722400
1989-07-28,4.83,4.86,4.79,4.81,3185600
1989-07-31,4.79,4.81,4.69,4.79,2185600
1989-08-01,4.79,4.81,4.71,4.79,3455200
1989-08-02,4.76,4.79,4.71,4.71,3822000
1989-08-03,4.71,4.76,4.69,4.76,3407600
1989-08-04,4.69,4.81,4.69,4.81,1885600
1989-08-07,4.81,4.81,4.67,4.69,2147600
1989-08-08,4.71,4.76,4.69,4.76,2505600
1989-08-09,4.76,4.81,4.76,4.79,2747200
1989-08-10,4.76,4.81,4.71,4.74,4166000
1989-08-11,4.81,4.81,4.76,4.79,2558800
1989-08-14,4.76,4.79,4.69,4.69,2912000
1989-08-15,4.71,4.71,4.52,4.55,2775600
1989-08-16,4.57,4.74,4.55,4.55,3040400
1989-08-17,4.59,4.62,4.52,4.62,1970000
1989-08-18,4.59,4.64,4.57,4.64,1364400
1989-08-21,4.59,4.67,4.59,4.62,1891600
1989-08-22,4.59,4.69,4.59,4.64,1999200
1989-08-23,4.64,4.71,4.62,4.69,1092400
1989-08-24,4.69,4.74,4.67,4.74,2400000
1989-08-25,4.74,4.76,4.69,4.71,861200
1989-08-28,4.71,4.71,4.64,4.67,1054800
1989-08-29,4.67,4.69,4.57,4.62,2449200
1989-08-30,4.62,4.69,4.59,4.69,1654400
1989-08-31,4.67,4.74,4.67,4.71,1598800
1989-09-01,4.71,4.79,4.71,4.76,1911600
1989-09-05,4.76,4.79,4.74,4.74,2658000
1989-09-06,4.74,4.74,4.64,4.67,1264800
1989-09-07,4.19,4.21,3.9,3.95,12668800
1989-09-08,3.98,4.0,3.79,3.86,7364000
1989-09-11,3.86,3.88,3.71,3.86,6420000
1989-09-12,3.83,3.88,3.76,3.81,2242400
1989-09-13,3.79,3.88,3.79,3.79,4391600
1989-09-14,3.79,3.81,3.76,3.79,3736000
1989-09-15,3.81,3.83,3.76,3.79,5024400
1989-09-18,3.79,3.79,3.74,3.79,2668000
1989-09-19,3.76,3.81,3.62,3.64,2683200
1989-09-20,3.62,3.67,3.59,3.64,1377200
