Date,Open,High,Low,Close,Volume
1973-01-02,17.74,17.74,17.74,17.74,0.0
1973-01-03,17.82,17.82,17.82,17.82,0.0
1973-01-04,17.61,17.61,17.61,17.61,0.0
1973-01-05,17.72,17.72,17.72,17.72,0.0
1973-01-08,17.67,17.67,17.67,17.67,0.0
1973-01-09,17.77,17.77,17.77,17.77,0.0
1973-01-10,17.77,17.77,17.77,17.77,0.0
1973-01-11,17.9,17.9,17.9,17.9,0.0
1973-01-12,17.92,17.92,17.92,17.92,0.0
1973-01-15,17.98,17.98,17.98,17.98,0.0
1973-01-16,17.69,17.69,17.69,17.69,0.0
1973-01-17,17.41,17.41,17.41,17.41,0.0
1973-01-18,17.3,17.3,17.3,17.3,0.0
1973-01-19,17.07,17.07,17.07,17.07,0.0
1973-01-22,17.1,17.1,17.1,17.1,0.0
1973-01-23,17.2,17.2,17.2,17.2,0.0
1973-01-24,17.1,17.1,17.1,17.1,0.0
1973-01-26,16.63,16.63,16.63,16.63,0.0
1973-01-29,16.12,16.12,16.12,16.12,0.0
1973-01-30,16.12,16.12,16.12,16.12,0.0
1973-01-31,16.17,16.17,16.17,16.17,0.0
1973-02-01,16.12,16.12,16.12,16.12,0.0
1973-02-02,16.09,16.09,16.09,16.09,0.0
1973-02-05,16.09,16.09,16.09,16.09,0.0
1973-02-06,16.17,16.17,16.17,16.17,0.0
1973-02-07,16.12,16.12,16.12,16.12,0.0
1973-02-08,15.94,15.94,15.94,15.94,0.0
1973-02-09,16.01,16.01,16.01,16.01,0.0
1973-02-12,16.22,16.22,16.22,16.22,0.0
1973-02-13,16.43,16.43,16.43,16.43,0.0
1973-02-14,16.14,16.14,16.14,16.14,0.0
1973-02-15,15.75,15.75,15.75,15.75,0.0
1973-02-16,15.78,15.78,15.78,15.78,0.0
1973-02-20,15.91,15.91,15.91,15.91,0.0
1973-02-21,15.81,15.81,15.81,15.81,0.0
1973-02-22,15.75,15.75,15.75,15.75,0.0
1973-02-23,15.52,15.52,15.52,15.52,0.0
1973-02-26,15.44,15.44,15.44,15.44,0.0
1973-02-27,14.8,14.8,14.8,14.8,0.0
1973-02-28,14.77,14.77,14.77,14.77,0.0
1973-03-01,14.77,14.77,14.77,14.77,0.0
1973-03-02,15.01,15.01,15.01,15.01,0.0
1973-03-05,15.08,15.08,15.08,15.08,0.0
1973-03-06,15.44,15.44,15.44,15.44,0.0
1973-03-07,15.78,15.78,15.78,15.78,0.0
1973-03-08,15.81,15.81,15.81,15.81,0.0
1973-03-09,15.81,15.81,15.81,15.81,0.0
1973-03-12,15.86,15.86,15.86,15.86,0.0
1973-03-13,15.88,15.88,15.88,15.88,0.0
1973-03-14,15.91,15.91,15.91,15.91,0.0
1973-03-15,15.86,15.86,15.86,15.86,0.0
1973-03-16,15.91,15.91,15.91,15.91,0.0
1973-03-19,15.57,15.57,15.57,15.57,0.0
1973-03-20,15.44,15.44,15.44,15.44,0.0
1973-03-21,15.21,15.21,15.21,15.21,0.0
1973-03-22,14.77,14.77,14.77,14.77,0.0
1973-03-23,14.83,14.83,14.83,14.83,0.0
1973-03-26,14.83,14.83,14.83,14.83,0.0
1973-03-27,14.95,14.95,14.95,14.95,0.0
1973-03-28,15.5,15.5,15.5,15.5,0.0
1973-03-29,15.86,15.86,15.86,15.86,0.0
1973-03-30,15.6,15.6,15.6,15.6,0.0
1973-04-02,15.29,15.29,15.29,15.29,0.0
1973-04-03,15.14,15.14,15.14,15.14,0.0
1973-04-04,14.62,14.62,14.62,14.62,0.0
1973-04-05,14.77,14.77,14.77,14.77,0.0
1973-04-06,14.88,14.88,14.88,14.88,0.0
1973-04-09,14.88,14.88,14.88,14.88,0.0
1973-04-10,14.77,14.77,14.77,14.77,0.0
1973-04-11,14.83,14.83,14.83,14.83,0.0
1973-04-12,15.08,15.08,15.08,15.08,0.0
1973-04-13,15.14,15.14,15.14,15.14,0.0
1973-04-16,15.11,15.11,15.11,15.11,0.0
1973-04-17,15.01,15.01,15.01,15.01,0.0
1973-04-18,14.95,14.95,14.95,14.95,0.0
1973-04-19,14.93,14.93,14.93,14.93,0.0
1973-04-23,14.75,14.75,14.75,14.75,0.0
1973-04-24,14.52,14.52,14.52,14.52,0.0
1973-04-25,14.41,14.41,14.41,14.41,0.0
1973-04-26,14.31,14.31,14.31,14.31,0.0
1973-04-27,14.15,14.15,14.15,14.15,0.0
1973-04-30,14.1,14.1,14.1,14.1,0.0
1973-05-01,13.84,13.84,13.84,13.84,0.0
1973-05-02,13.92,13.92,13.92,13.92,0.0
1973-05-03,13.92,13.92,13.92,13.92,0.0
1973-05-04,14.36,14.36,14.36,14.36,0.0
1973-05-07,14.1,14.1,14.1,14.1,0.0
1973-05-08,13.97,13.97,13.97,13.97,0.0
1973-05-09,13.9,13.9,13.9,13.9,0.0
1973-05-10,13.77,13.77,13.77,13.77,0.0
1973-05-11,13.61,13.61,13.61,13.61,0.0
1973-05-14,12.76,12.76,12.76,12.76,0.0
1973-05-15,12.81,12.81,12.81,12.81,0.0
1973-05-16,12.86,12.86,12.86,12.86,0.0
1973-05-17,12.81,12.81,12.81,12.81,0.0
1973-05-18,12.47,12.47,12.47,12.47,0.0
1973-05-21,12.42,12.42,12.42,12.42,0.0
1973-05-22,12.47,12.47,12.47,12.47,0.0
1973-05-23,12.66,12.66,12.66,12.66,0.0
1973-05-24,13.84,13.84,13.84,13.84,0.0
1973-05-25,13.74,13.74,13.74,13.74,0.0
1973-05-29,13.48,13.48,13.48,13.48,0.0
1973-05-30,12.86,12.86,12.86,12.86,0.0
1973-05-31,12.66,12.66,12.66,12.66,0.0
1973-06-01,12.6,12.6,12.6,12.6,0.0
1973-06-04,12.6,12.6,12.6,12.6,0.0
1973-06-05,12.86,12.86,12.86,12.86,0.0
1973-06-06,12.68,12.68,12.68,12.68,0.0
1973-06-07,12.84,12.84,12.84,12.84,0.0
1973-06-08,13.2,13.2,13.2,13.2,0.0
1973-06-11,13.17,13.17,13.17,13.17,0.0
1973-06-12,13.95,13.95,13.95,13.95,0.0
1973-06-13,13.92,13.92,13.92,13.92,0.0
1973-06-14,13.69,13.69,13.69,13.69,0.0
1973-06-15,13.3,13.3,13.3,13.3,0.0
1973-06-18,13.02,13.02,13.02,13.02,0.0
1973-06-19,13.07,13.07,13.07,13.07,0.0
1973-06-20,13.07,13.07,13.07,13.07,0.0
1973-06-21,13.07,13.07,13.07,13.07,0.0
1973-06-22,13.43,13.43,13.43,13.43,0.0
1973-06-25,12.94,12.94,12.94,12.94,0.0
1973-06-26,13.33,13.33,13.33,13.33,0.0
1973-06-27,13.38,13.38,13.38,13.38,0.0
1973-06-28,13.51,13.51,13.51,13.51,0.0
1973-06-29,13.43,13.43,13.43,13.43,0.0
1973-07-02,13.48,13.48,13.48,13.48,0.0
1973-07-03,13.48,13.48,13.48,13.48,0.0
1973-07-05,13.64,13.64,13.64,13.64,0.0
1973-07-06,13.9,13.9,13.9,13.9,0.0
1973-07-09,14.67,14.67,14.67,14.67,0.0
1973-07-10,15.08,15.08,15.08,15.08,0.0
1973-07-11,15.39,15.39,15.39,15.39,0.0
1973-07-12,15.26,15.26,15.26,15.26,0.0
1973-07-13,15.32,15.32,15.32,15.32,0.0
1973-07-16,15.5,15.5,15.5,15.5,0.0
1973-07-17,15.91,15.91,15.91,15.91,0.0
1973-07-18,15.91,15.91,15.91,15.91,0.0
1973-07-19,15.86,15.86,15.86,15.86,0.0
1973-07-20,16.84,16.84,16.84,16.84,0.0
1973-07-23,16.43,16.43,16.43,16.43,0.0
1973-07-24,16.43,16.43,16.43,16.43,0.0
1973-07-25,16.58,16.58,16.58,16.58,0.0
1973-07-26,16.53,16.53,16.53,16.53,0.0
1973-07-27,16.48,16.48,16.48,16.48,0.0
1973-07-30,16.37,16.37,16.37,16.37,0.0
1973-07-31,16.4,16.4,16.4,16.4,0.0
1973-08-01,15.96,15.96,15.96,15.96,0.0
1973-08-02,15.91,15.91,15.91,15.91,0.0
1973-08-03,15.7,15.7,15.7,15.7,0.0
1973-08-06,16.12,16.12,16.12,16.12,0.0
1973-08-07,16.06,16.06,16.06,16.06,0.0
1973-08-08,16.06,16.06,16.06,16.06,0.0
1973-08-09,16.22,16.22,16.22,16.22,0.0
1973-08-10,16.01,16.01,16.01,16.01,0.0
1973-08-13,16.32,16.32,16.32,16.32,0.0
1973-08-14,16.27,16.27,16.27,16.27,0.0
1973-08-15,16.01,16.01,16.01,16.01,0.0
1973-08-16,15.96,15.96,15.96,15.96,0.0
1973-08-17,16.06,16.06,16.06,16.06,0.0
1973-08-20,15.44,15.44,15.44,15.44,0.0
1973-08-21,15.39,15.39,15.39,15.39,0.0
1973-08-22,15.86,15.86,15.86,15.86,0.0
1973-08-23,16.37,16.37,16.37,16.37,0.0
1973-08-24,16.37,16.37,16.37,16.37,0.0
1973-08-27,16.32,16.32,16.32,16.32,0.0
1973-08-28,16.37,16.37,16.37,16.37,0.0
1973-08-29,16.43,16.43,16.43,16.43,0.0
1973-08-30,16.43,16.43,16.43,16.43,0.0
1973-08-31,16.74,16.74,16.74,16.74,0.0
1973-09-04,17.36,17.36,17.36,17.36,0.0
1973-09-05,17.77,17.77,17.77,17.77,0.0
1973-09-06,17.72,17.72,17.72,17.72,0.0
1973-09-07,18.18,18.18,18.18,18.18,0.0
1973-09-10,17.67,17.67,17.67,17.67,0.0
1973-09-11,17.1,17.1,17.1,17.1,0.0
1973-09-12,16.48,16.48,16.48,16.48,0.0
1973-09-13,16.27,16.27,16.27,16.27,0.0
1973-09-14,16.74,16.74,16.74,16.74,0.0
1973-09-17,16.68,16.68,16.68,16.68,0.0
1973-09-18,16.74,16.74,16.74,16.74,0.0
1973-09-19,17.41,17.41,17.41,17.41,0.0
1973-09-20,17.41,17.41,17.41,17.41,0.0
1973-09-21,17.41,17.41,17.41,17.41,0.0
1973-09-24,17.41,17.41,17.41,17.41,0.0
1973-09-25,17.41,17.41,17.41,17.41,0.0
1973-09-26,17.36,17.36,17.36,17.36,0.0
1973-09-27,17.46,17.46,17.46,17.46,0.0
1973-09-28,17.41,17.41,17.41,17.41,0.0
1973-10-01,17.3,17.3,17.3,17.3,0.0
1973-10-02,17.41,17.41,17.41,17.41,0.0
1973-10-03,17.41,17.41,17.41,17.41,0.0
1973-10-04,17.2,17.2,17.2,17.2,0.0
1973-10-05,17.2,17.2,17.2,17.2,0.0
1973-10-08,17.25,17.25,17.25,17.25,0.0
1973-10-09,17.25,17.25,17.25,17.25,0.0
1973-10-10,17.25,17.25,17.25,17.25,0.0
1973-10-11,17.25,17.25,17.25,17.25,0.0
1973-10-12,17.25,17.25,17.25,17.25,0.0
1973-10-15,17.25,17.25,17.25,17.25,0.0
1973-10-16,17.41,17.41,17.41,17.41,0.0
1973-10-17,17.41,17.41,17.41,17.41,0.0
1973-10-18,17.46,17.46,17.46,17.46,0.0
1973-10-19,17.46,17.46,17.46,17.46,0.0
1973-10-22,17.46,17.46,17.46,17.46,0.0
1973-10-23,17.61,17.61,17.61,17.61,0.0
1973-10-24,18.03,18.03,18.03,18.03,0.0
1973-10-25,18.08,18.08,18.08,18.08,0.0
1973-10-26,17.92,17.92,17.92,17.92,0.0
1973-10-29,17.82,17.82,17.82,17.82,0.0
1973-10-30,17.72,17.72,17.72,17.72,0.0
1973-10-31,17.61,17.61,17.61,17.61,0.0
1973-11-01,17.67,17.67,17.67,17.67,0.0
1973-11-02,17.46,17.46,17.46,17.46,0.0
1973-11-05,16.94,16.94,16.94,16.94,0.0
