Date,Open,High,Low,Close,Volume
1984-06-20,0.0,0.19,0.19,0.19,2004000
1984-06-21,0.0,0.19,0.18,0.18,626400
1984-06-22,0.0,0.18,0.18,0.18,229600
1984-06-25,0.0,0.18,0.18,0.18,102400
1984-06-26,0.0,0.18,0.17,0.17,129600
1984-06-27,0.0,0.18,0.18,0.18,213600
1984-06-28,0.0,0.18,0.18,0.18,212000
1984-06-29,0.0,0.19,0.18,0.18,208000
1984-07-02,0.0,0.19,0.18,0.18,144800
1984-07-03,0.0,0.19,0.18,0.18,48000
1984-07-05,0.0,0.19,0.19,0.19,108000
1984-07-06,0.0,0.19,0.19,0.19,2400
1984-07-09,0.0,0.19,0.19,0.19,76800
1984-07-10,0.0,0.19,0.19,0.19,89600
1984-07-11,0.0,0.19,0.19,0.19,82400
1984-07-12,0.0,0.19,0.18,0.18,58400
1984-07-13,0.0,0.19,0.18,0.18,323200
1984-07-16,0.0,0.19,0.18,0.18,32000
1984-07-17,0.0,0.19,0.18,0.18,334400
1984-07-18,0.0,0.19,0.18,0.18,420800
1984-07-19,0.0,0.19,0.18,0.18,404000
1984-07-20,0.0,0.19,0.18,0.18,53600
1984-07-23,0.0,0.19,0.19,0.19,153600
1984-07-24,0.0,0.2,0.19,0.19,82400
1984-07-25,0.0,0.2,0.19,0.19,2400
1984-07-26,0.0,0.21,0.2,0.2,147200
1984-07-27,0.0,0.22,0.21,0.21,128000
1984-07-30,0.0,0.22,0.21,0.21,153600
1984-07-31,0.0,0.22,0.21,0.21,131200
1984-08-01,0.0,0.22,0.21,0.21,124000
1984-08-02,0.0,0.22,0.21,0.21,103200
1984-08-03,0.0,0.23,0.22,0.22,72000
1984-08-06,0.0,0.23,0.22,0.22,52000
1984-08-07,0.0,0.23,0.22,0.22,24000
1984-08-08,0.0,0.23,0.23,0.23,19200
1984-08-09,0.0,0.23,0.23,0.23,40000
1984-08-10,0.0,0.24,0.23,0.23,19200
1984-08-13,0.0,0.24,0.23,0.23,160800
1984-08-14,0.0,0.24,0.23,0.23,80000
1984-08-15,0.0,0.24,0.23,0.23,75200
1984-08-16,0.0,0.24,0.23,0.23,68000
1984-08-17,0.0,0.24,0.24,0.24,166400
1984-08-20,0.0,0.25,0.24,0.24,40000
1984-08-21,0.0,0.25,0.24,0.24,52800
1984-08-22,0.0,0.25,0.25,0.25,223200
1984-08-23,0.0,0.26,0.25,0.25,57600
1984-08-24,0.0,0.26,0.25,0.25,800
1984-08-27,0.25,0.25,0.25,0.25,0
1984-08-28,0.0,0.26,0.25,0.25,9600
1984-08-29,0.0,0.27,0.27,0.27,477600
1984-08-30,0.0,0.28,0.27,0.27,12800
1984-08-31,0.0,0.28,0.27,0.27,3200
1984-09-04,0.0,0.28,0.27,0.27,68800
1984-09-05,0.0,0.28,0.27,0.27,31200
