Date,Open,High,Low,Close,Volume
1994-02-22,3.72,3.72,3.65,3.65,20800.0
1994-02-23,3.59,3.59,3.4,3.5,31600.0
1994-02-24,3.5,3.5,3.43,3.43,32000.0
1994-02-25,3.37,3.37,3.15,3.24,49800.0
1994-02-28,3.28,3.4,3.24,3.34,170400.0
1994-03-01,3.34,3.34,3.28,3.31,41600.0
1994-03-02,3.24,3.31,3.24,3.31,67000.0
1994-03-03,3.34,3.34,3.28,3.28,27800.0
1994-03-04,3.28,3.4,3.24,3.4,358200.0
1994-03-07,3.24,3.43,3.24,3.4,690800.0
1994-03-08,3.4,3.43,3.4,3.43,515200.0
1994-03-09,3.43,3.47,3.43,3.47,540400.0
1994-03-10,3.47,3.47,3.43,3.47,1832200.0
1994-03-11,3.5,3.62,3.5,3.62,1895400.0
1994-03-14,3.62,3.84,3.62,3.81,1413800.0
1994-03-15,3.81,3.87,3.75,3.75,1665200.0
1994-03-16,3.75,3.75,3.69,3.75,717000.0
1994-03-17,3.77,3.9,3.77,3.84,971200.0
1994-03-18,3.87,3.9,3.87,3.87,1178000.0
1994-03-21,3.87,3.9,3.87,3.9,659400.0
1994-03-22,3.9,4.0,3.9,3.96,374000.0
1994-03-23,3.96,4.03,3.93,4.0,430200.0
1994-03-24,3.96,4.0,3.93,3.93,747000.0
1994-03-25,3.96,3.96,3.87,3.9,370000.0
1994-03-28,3.9,3.9,3.87,3.87,1116200.0
1994-03-29,3.87,3.9,3.81,3.81,595800.0
1994-03-30,3.81,3.81,3.71,3.74,653000.0
1994-03-31,3.74,3.77,3.68,3.74,448400.0
1994-04-04,3.62,3.74,3.62,3.74,386600.0
1994-04-05,3.71,3.9,3.71,3.87,361600.0
1994-04-06,3.87,3.9,3.74,3.74,551400.0
1994-04-07,3.81,3.81,3.74,3.77,338400.0
1994-04-08,3.71,3.81,3.71,3.81,166000.0
1994-04-11,3.81,3.87,3.68,3.68,424800.0
1994-04-12,3.62,3.68,3.62,3.62,602800.0
1994-04-13,3.62,3.71,3.55,3.55,504600.0
1994-04-14,3.58,3.58,3.52,3.52,378200.0
1994-04-15,3.49,3.58,3.49,3.49,197600.0
1994-04-18,3.55,3.68,3.55,3.68,184800.0
1994-04-19,3.65,3.71,3.65,3.68,122200.0
1994-04-20,3.71,3.71,3.62,3.62,201400.0
1994-04-21,3.62,3.71,3.49,3.49,858200.0
1994-04-22,3.55,3.68,3.55,3.68,411400.0
1994-04-25,3.65,3.87,3.65,3.87,330600.0
1994-04-26,3.84,3.84,3.68,3.74,313400.0
1994-04-28,3.71,3.71,3.62,3.71,161600.0
1994-04-29,3.68,3.71,3.65,3.68,344600.0
1994-05-02,3.65,3.71,3.58,3.65,135800.0
1994-05-03,3.68,3.77,3.62,3.65,375200.0
1994-05-04,3.62,3.74,3.62,3.71,491800.0
1994-05-05,3.71,3.71,3.65,3.68,152800.0
1994-05-06,3.68,3.71,3.68,3.68,272800.0
1994-05-09,3.68,3.71,3.68,3.68,161600.0
1994-05-10,3.68,3.81,3.68,3.81,308200.0
1994-05-11,3.81,3.9,3.81,3.84,388600.0
1994-05-12,3.81,3.93,3.81,3.93,155000.0
1994-05-13,3.9,3.93,3.74,3.74,105200.0
1994-05-16,3.74,3.84,3.74,3.77,206800.0
1994-05-17,3.81,3.84,3.77,3.81,422600.0
1994-05-18,3.81,3.81,3.77,3.81,130800.0
1994-05-19,3.77,3.87,3.74,3.84,199400.0
1994-05-20,3.81,3.84,3.74,3.74,119600.0
1994-05-23,3.71,3.74,3.68,3.68,195600.0
1994-05-24,3.77,3.84,3.74,3.84,158200.0
1994-05-25,3.81,3.93,3.81,3.9,104800.0
1994-05-26,3.93,3.93,3.84,3.93,345800.0
1994-05-27,3.9,3.96,3.87,3.96,298000.0
1994-05-31,4.03,4.19,4.0,4.09,456400.0
1994-06-01,4.09,4.09,4.0,4.0,268200.0
1994-06-02,4.06,4.09,3.96,4.0,81000.0
1994-06-03,3.96,4.03,3.87,3.93,397400.0
1994-06-06,4.0,4.03,3.96,4.0,75600.0
1994-06-07,3.93,4.03,3.93,4.03,92800.0
1994-06-08,4.03,4.03,4.0,4.0,107600.0
1994-06-09,3.99,4.04,3.99,4.02,187800.0
1994-06-10,4.02,4.02,3.93,3.93,280600.0
1994-06-13,3.96,4.02,3.86,4.02,97600.0
1994-06-14,4.02,4.12,3.99,4.12,339800.0
1994-06-15,4.09,4.18,4.09,4.18,305200.0
1994-06-16,4.15,4.34,4.12,4.34,393800.0
1994-06-17,4.34,4.34,4.21,4.21,407200.0
1994-06-20,4.15,4.21,4.12,4.15,47800.0
1994-06-21,4.15,4.34,4.15,4.34,556200.0
1994-06-22,4.28,4.4,4.28,4.34,759200.0
1994-06-23,4.31,4.34,4.31,4.34,553200.0
1994-06-24,4.31,4.34,4.28,4.28,1003800.0
1994-06-27,4.28,4.28,4.15,4.21,295200.0
1994-06-28,4.18,4.21,4.15,4.15,165800.0
1994-06-29,4.15,4.15,4.09,4.09,396200.0
1994-06-30,4.09,4.18,4.09,4.18,453200.0
1994-07-01,4.18,4.21,4.12,4.15,870200.0
1994-07-05,4.12,4.21,4.12,4.18,685600.0
1994-07-06,4.18,4.21,4.15,4.15,163800.0
1994-07-07,4.15,4.21,4.15,4.18,290600.0
1994-07-08,4.15,4.24,4.15,4.21,165000.0
1994-07-11,4.18,4.24,4.18,4.21,86800.0
