Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.72,0.7,0.72,18400
1980-03-18,0.0,0.72,0.7,0.7,3200
1980-03-19,0.0,0.77,0.72,0.72,8800
1980-03-20,0.0,0.74,0.72,0.72,9600
1980-03-21,0.0,0.72,0.7,0.7,12400
1980-03-24,0.0,0.72,0.7,0.72,35200
1980-03-25,0.0,0.72,0.67,0.67,10400
1980-03-26,0.0,0.72,0.67,0.67,56000
1980-03-27,0.0,0.65,0.65,0.65,35600
1980-03-28,0.0,0.7,0.65,0.7,20000
1980-03-31,0.0,0.72,0.7,0.7,10800
1980-04-01,0.0,0.72,0.72,0.72,3600
1980-04-02,0.0,0.72,0.7,0.72,8800
1980-04-03,0.0,0.74,0.7,0.72,16800
1980-04-07,0.0,0.74,0.65,0.65,54000
1980-04-08,0.0,0.67,0.65,0.67,3200
1980-04-09,0.0,0.7,0.67,0.7,13200
1980-04-10,0.0,0.7,0.67,0.7,22400
1980-04-11,0.0,0.7,0.67,0.7,70400
1980-04-14,0.0,0.7,0.63,0.67,72000
1980-04-15,0.0,0.67,0.65,0.65,9200
1980-04-16,0.0,0.67,0.65,0.65,14400
1980-04-17,0.0,0.67,0.63,0.63,379200
1980-04-18,0.0,0.65,0.65,0.65,12800
1980-04-21,0.0,0.67,0.65,0.67,18400
1980-04-22,0.0,0.67,0.65,0.67,28400
1980-04-23,0.0,0.7,0.67,0.7,41200
1980-04-24,0.0,0.7,0.67,0.67,22400
1980-04-25,0.0,0.7,0.67,0.7,26400
1980-04-28,0.0,0.7,0.67,0.67,10800
1980-04-29,0.0,0.67,0.65,0.65,7600
1980-04-30,0.0,0.67,0.65,0.67,10400
1980-05-01,0.0,0.7,0.67,0.7,17600
1980-05-02,0.0,0.72,0.7,0.72,60800
1980-05-05,0.0,0.72,0.7,0.72,48400
1980-05-06,0.0,0.72,0.7,0.7,18400
1980-05-07,0.0,0.72,0.7,0.7,3600
1980-05-08,0.0,0.72,0.7,0.7,6400
1980-05-09,0.0,0.72,0.67,0.67,9600
1980-05-12,0.0,0.7,0.67,0.67,1200
1980-05-13,0.0,0.7,0.67,0.7,15600
1980-05-14,0.0,0.7,0.67,0.67,4000
1980-05-15,0.0,0.7,0.67,0.67,10000
1980-05-16,0.0,0.72,0.7,0.7,7600
1980-05-19,0.0,0.72,0.7,0.72,5600
1980-05-20,0.0,0.72,0.7,0.7,2400
1980-05-21,0.0,0.7,0.7,0.7,16000
1980-05-22,0.0,0.7,0.67,0.7,4800
1980-05-23,0.0,0.7,0.67,0.67,14800
1980-05-27,0.0,0.7,0.67,0.7,6800
1980-05-28,0.0,0.7,0.67,0.67,7200
1980-05-29,0.0,0.7,0.67,0.67,9600
1980-05-30,0.0,0.7,0.67,0.7,7200
1980-06-02,0.0,0.7,0.67,0.67,10400
1980-06-03,0.0,0.67,0.67,0.67,800
1980-06-04,0.0,0.7,0.67,0.7,22800
1980-06-05,0.0,0.7,0.67,0.67,20800
1980-06-06,0.0,0.7,0.67,0.7,16800
1980-06-09,0.0,0.72,0.67,0.7,44800
1980-06-10,0.0,0.7,0.67,0.7,5600
1980-06-11,0.0,0.7,0.67,0.7,18800
1980-06-12,0.0,0.7,0.7,0.7,8800
1980-06-13,0.0,0.7,0.67,0.7,8800
1980-06-16,0.0,0.7,0.67,0.7,16800
1980-06-17,0.0,0.7,0.67,0.67,5600
1980-06-18,0.0,0.7,0.67,0.67,18800
1980-06-19,0.0,0.7,0.67,0.7,29600
1980-06-20,0.0,0.7,0.67,0.7,16000
1980-06-23,0.0,0.7,0.67,0.7,8800
1980-06-24,0.0,0.7,0.67,0.7,11200
1980-06-25,0.0,0.7,0.67,0.7,32000
1980-06-26,0.0,0.72,0.7,0.72,6800
1980-06-27,0.0,0.72,0.7,0.72,4000
1980-06-30,0.0,0.72,0.7,0.72,6400
1980-07-01,0.0,0.72,0.7,0.7,12800
1980-07-02,0.0,0.72,0.7,0.72,42400
1980-07-03,0.0,0.74,0.72,0.74,119600
1980-07-07,0.0,0.77,0.72,0.77,51600
1980-07-08,0.0,0.77,0.72,0.72,18400
1980-07-09,0.0,0.74,0.72,0.74,4800
1980-07-10,0.0,0.74,0.72,0.72,2400
1980-07-11,0.0,0.74,0.72,0.74,14000
1980-07-14,0.0,0.74,0.72,0.74,11600
1980-07-15,0.0,0.74,0.72,0.74,19200
1980-07-16,0.0,0.74,0.72,0.74,13600
1980-07-17,0.0,0.74,0.72,0.74,4400
1980-07-18,0.0,0.74,0.72,0.72,12400
1980-07-21,0.0,0.74,0.72,0.72,22400
1980-07-22,0.0,0.74,0.72,0.74,15200
1980-07-23,0.0,0.74,0.72,0.72,15200
1980-07-24,0.0,0.74,0.72,0.74,10800
1980-07-25,0.0,0.74,0.72,0.72,52800
1980-07-28,0.0,0.74,0.72,0.72,6800
1980-07-29,0.0,0.74,0.72,0.72,12800
1980-07-30,0.0,0.74,0.72,0.74,8800
1980-07-31,0.0,0.74,0.72,0.74,40000
1980-08-01,0.0,0.74,0.72,0.74,20000
1980-08-04,0.0,0.74,0.72,0.74,35600
1980-08-05,0.0,0.77,0.72,0.74,37600
1980-08-06,0.0,0.77,0.74,0.74,5600
1980-08-07,0.0,0.77,0.74,0.74,17600
1980-08-08,0.0,0.77,0.74,0.74,29600
1980-08-11,0.0,0.77,0.74,0.77,12400
1980-08-12,0.0,0.77,0.74,0.74,17600
1980-08-13,0.0,0.77,0.74,0.74,12800
1980-08-14,0.0,0.77,0.74,0.74,30800
1980-08-15,0.0,0.77,0.74,0.74,15600
1980-08-18,0.0,0.74,0.72,0.72,44000
1980-08-19,0.0,0.79,0.72,0.79,28800
1980-08-20,0.0,0.74,0.72,0.74,13200
1980-08-21,0.0,0.74,0.72,0.72,10400
1980-08-22,0.0,0.74,0.72,0.72,12400
1980-08-25,0.0,0.74,0.72,0.72,49200
1980-08-26,0.0,0.77,0.72,0.77,30000
1980-08-27,0.0,0.77,0.74,0.74,14400
1980-08-28,0.0,0.77,0.74,0.74,21600
1980-08-29,0.0,0.74,0.74,0.74,7600
1980-09-02,0.0,0.77,0.72,0.74,48400
1980-09-03,0.0,0.77,0.72,0.72,40400
1980-09-04,0.0,0.74,0.72,0.74,9600
1980-09-05,0.0,0.79,0.77,0.79,111600
1980-09-08,0.0,0.79,0.77,0.77,13600
1980-09-09,0.0,0.77,0.72,0.72,7600
1980-09-10,0.0,0.77,0.72,0.77,43200
1980-09-11,0.0,0.81,0.74,0.77,192000
1980-09-12,0.0,0.77,0.74,0.77,40400
1980-09-15,0.0,0.79,0.77,0.77,14400
