Date,Open,High,Low,Close,Volume
1993-06-03,7.89,7.96,7.69,7.79,56603000
1993-06-04,7.73,7.79,7.59,7.59,12644400
1993-06-07,7.49,7.56,7.43,7.46,10043800
1993-06-08,7.46,7.49,7.33,7.36,6974600
1993-06-09,7.4,7.56,7.4,7.49,4043200
1993-06-10,7.46,7.49,7.4,7.43,2605400
1993-06-11,7.43,7.53,7.43,7.43,2641600
1993-06-14,7.46,7.49,7.36,7.36,1806200
1993-06-15,7.43,7.43,7.36,7.4,2257600
1993-06-16,7.4,7.43,7.36,7.43,2391600
1993-06-17,7.43,7.49,7.4,7.43,2126800
1993-06-18,7.43,7.43,7.33,7.33,2128600
1993-06-21,7.33,7.33,7.2,7.26,2101000
1993-06-22,7.26,7.36,7.26,7.36,1593600
1993-06-23,7.36,7.43,7.33,7.33,1948000
1993-06-24,7.33,7.46,7.23,7.46,3305200
1993-06-25,7.56,7.59,7.46,7.56,2468000
1993-06-28,7.53,7.69,7.53,7.69,2522600
1993-06-29,7.66,7.69,7.49,7.63,1190800
1993-06-30,7.69,7.76,7.66,7.69,2553800
1993-07-01,7.79,7.83,7.59,7.83,2857800
1993-07-02,7.66,7.66,7.59,7.63,1077200
1993-07-06,7.66,7.73,7.59,7.59,1237600
1993-07-07,7.56,7.63,7.53,7.56,1667200
1993-07-08,7.59,7.69,7.56,7.66,1588600
1993-07-09,7.73,7.76,7.56,7.56,1731200
1993-07-12,7.63,7.63,7.4,7.49,1738600
1993-07-13,7.53,7.66,7.53,7.59,1305000
1993-07-14,7.59,7.76,7.59,7.76,1805600
1993-07-15,7.76,7.79,7.73,7.79,1235400
1993-07-16,7.89,7.99,7.83,7.93,2590200
1993-07-19,7.96,8.06,7.93,8.06,2590000
1993-07-20,8.36,8.36,8.13,8.13,3977600
1993-07-21,8.19,8.19,7.93,7.93,1779000
1993-07-22,7.96,7.96,7.83,7.86,1095200
1993-07-23,7.86,7.99,7.86,7.93,1060400
1993-07-26,7.96,8.09,7.93,8.09,990000
1993-07-27,8.09,8.26,8.09,8.09,942200
1993-07-28,8.09,8.13,8.03,8.06,346200
1993-07-29,7.99,8.16,7.96,8.09,1070400
1993-07-30,8.09,8.26,8.09,8.26,1271200
1993-08-02,8.26,8.32,8.19,8.22,1062200
1993-08-03,8.26,8.39,8.26,8.32,1316000
1993-08-04,8.36,8.42,8.22,8.29,752200
1993-08-05,8.32,8.32,8.09,8.09,910600
1993-08-06,8.19,8.29,8.19,8.22,718200
1993-08-09,8.22,8.26,8.16,8.22,492000
1993-08-10,8.22,8.29,8.13,8.13,1608600
1993-08-11,8.19,8.19,8.06,8.09,337400
1993-08-12,8.09,8.09,7.96,8.03,496200
1993-08-13,8.06,8.06,7.96,7.96,375200
1993-08-16,7.93,7.99,7.86,7.89,1067800
1993-08-17,7.89,8.03,7.89,7.96,1069400
1993-08-18,7.99,8.06,7.99,8.06,809800
1993-08-19,8.06,8.29,8.06,8.29,861200
1993-08-20,8.26,8.49,8.26,8.49,2957000
1993-08-23,8.52,8.52,8.42,8.49,853000
1993-08-24,8.42,8.52,8.42,8.46,759800
1993-08-25,8.42,8.49,8.42,8.42,951200
1993-08-26,8.46,8.49,8.36,8.49,721200
1993-08-27,8.49,8.52,8.46,8.49,316600
1993-08-30,8.42,8.46,8.26,8.29,945800
1993-08-31,8.22,8.29,8.19,8.22,590000
1993-09-01,8.32,8.46,8.32,8.46,355400
1993-09-02,8.42,8.49,8.36,8.39,682200
1993-09-03,8.39,8.52,8.39,8.46,550400
1993-09-07,8.52,8.69,8.49,8.56,873000
1993-09-08,8.49,8.49,8.39,8.42,1367800
1993-09-09,8.4,8.57,8.4,8.5,625400
1993-09-10,8.54,8.6,8.54,8.57,664600
1993-09-13,8.57,8.6,8.5,8.54,344600
1993-09-14,8.57,8.74,8.54,8.74,453200
1993-09-15,8.6,8.6,8.5,8.57,599200
1993-09-16,8.54,8.6,8.47,8.6,403400
1993-09-17,8.54,8.6,8.47,8.6,501600
1993-09-20,8.57,8.57,8.47,8.54,567400
1993-09-21,8.5,8.5,8.37,8.47,816200
1993-09-22,8.47,8.57,8.47,8.54,945800
1993-09-23,8.47,8.64,8.47,8.64,693600
1993-09-24,8.6,8.64,8.57,8.57,1074200
1993-09-27,8.64,8.84,8.64,8.81,1146000
1993-09-28,8.81,8.91,8.74,8.87,1109200
1993-09-29,8.81,8.87,8.64,8.67,607800
1993-09-30,8.7,8.7,8.47,8.47,875400
1993-10-01,8.54,8.64,8.47,8.64,404800
1993-10-04,8.64,8.74,8.6,8.64,429400
1993-10-05,8.64,8.84,8.64,8.84,414400
1993-10-06,8.81,8.84,8.7,8.81,551200
1993-10-07,8.77,8.87,8.77,8.77,441000
1993-10-08,8.91,8.94,8.74,8.81,400400
1993-10-11,8.84,8.91,8.81,8.87,280200
1993-10-12,8.87,9.01,8.87,8.87,777600
1993-10-13,8.87,8.94,8.84,8.91,240400
1993-10-14,8.94,9.14,8.94,9.07,663200
1993-10-15,9.04,9.04,8.91,8.97,576400
1993-10-18,9.01,9.04,8.94,8.97,439800
1993-10-19,9.01,9.01,8.81,8.81,537600
1993-10-20,8.74,8.87,8.47,8.67,559000
1993-10-21,8.67,8.97,8.64,8.81,1191400
1993-10-22,8.84,8.97,8.74,8.84,523400
1993-10-25,8.74,8.77,8.54,8.6,724400
1993-10-26,8.64,8.64,8.54,8.6,488200
1993-10-27,8.64,8.64,8.4,8.4,497800
1993-10-28,8.2,8.47,8.1,8.4,807600
1993-10-29,8.37,8.37,8.3,8.37,807400
