Date,Open,High,Low,Close,Volume
2012-05-15,6.14,6.14,6.14,6.14,0
2012-05-16,6.14,6.14,6.14,6.14,0
2012-05-17,6.14,6.14,6.14,6.14,0
2012-05-18,6.14,6.14,6.14,6.14,0
2012-05-21,6.14,6.14,6.14,6.14,0
2012-05-22,6.14,6.14,6.14,6.14,0
2012-05-23,6.14,6.14,6.14,6.14,0
2012-05-24,6.14,6.14,6.14,6.14,0
2012-05-25,6.14,6.14,6.14,6.14,0
2012-05-29,6.14,6.14,6.14,6.14,0
2012-05-30,6.14,6.14,6.14,6.14,0
2012-05-31,6.14,6.14,6.14,6.14,0
2012-06-01,6.14,6.14,6.14,6.14,0
2012-06-04,6.14,6.14,6.14,6.14,0
2012-06-05,6.14,6.14,6.14,6.14,0
2012-06-06,6.14,6.14,6.14,6.14,0
2012-06-07,5.9,5.9,5.9,5.9,1900
2012-06-08,5.9,5.9,5.9,5.9,0
2012-06-11,5.9,5.9,5.9,5.9,0
2012-06-12,5.9,5.9,5.9,5.9,0
2012-06-13,5.9,5.9,5.9,5.9,0
2012-06-14,5.9,5.9,5.9,5.9,0
2012-06-15,5.9,5.9,5.9,5.9,0
2012-06-18,5.9,5.9,5.9,5.9,0
2012-06-19,5.9,5.9,5.9,5.9,0
2012-06-20,5.9,5.9,5.9,5.9,0
2012-06-21,5.9,5.9,5.9,5.9,0
2012-06-22,5.9,5.9,5.9,5.9,0
2012-06-25,5.9,5.9,5.9,5.9,0
2012-06-26,5.9,5.9,5.9,5.9,0
2012-06-27,5.9,5.9,5.9,5.9,0
2012-06-28,5.9,5.9,5.9,5.9,0
2012-06-29,5.9,5.9,5.9,5.9,0
2012-07-02,5.9,5.9,5.9,5.9,0
2012-07-03,5.9,5.9,5.9,5.9,0
2012-07-05,5.9,5.9,5.9,5.9,0
2012-07-06,5.9,5.9,5.9,5.9,0
2012-07-09,5.9,5.9,5.9,5.9,0
2012-07-10,5.9,5.9,5.9,5.9,0
2012-07-11,5.9,5.9,5.9,5.9,0
2012-07-12,5.9,5.9,5.9,5.9,0
2012-07-13,5.9,5.9,5.9,5.9,0
2012-07-16,5.9,5.9,5.9,5.9,0
2012-07-17,5.9,5.9,5.9,5.9,0
2012-07-18,5.9,5.9,5.9,5.9,0
2012-07-19,5.9,5.9,5.9,5.9,0
2012-07-20,5.9,5.9,5.9,5.9,0
2012-07-23,5.9,5.9,5.9,5.9,0
2012-07-24,5.9,5.9,5.9,5.9,0
2012-07-25,5.9,5.9,5.9,5.9,0
2012-07-26,5.9,5.9,5.9,5.9,0
2012-07-27,5.9,5.9,5.9,5.9,0
2012-07-30,5.9,5.9,5.9,5.9,0
2012-07-31,5.9,5.9,5.9,5.9,0
2012-08-01,5.9,5.9,5.9,5.9,0
2012-08-02,5.9,5.9,5.9,5.9,0
2012-08-03,5.9,5.9,5.9,5.9,0
2012-08-06,5.9,5.9,5.9,5.9,0
2012-08-07,5.9,5.9,5.9,5.9,0
2012-08-08,5.9,5.9,5.9,5.9,0
2012-08-09,5.9,5.9,5.9,5.9,0
2012-08-10,5.9,5.9,5.9,5.9,0
2012-08-13,5.9,5.9,5.9,5.9,0
2012-08-14,5.9,5.9,5.9,5.9,0
2012-08-15,5.9,5.9,5.9,5.9,0
2012-08-16,5.9,5.9,5.9,5.9,0
2012-08-17,6.22,6.22,6.22,6.22,1000
2012-08-20,6.22,6.22,6.22,6.22,0
2012-08-21,6.22,6.22,6.22,6.22,0
2012-08-22,6.22,6.22,6.22,6.22,0
2012-08-23,6.17,6.17,6.17,6.17,500
2012-08-24,6.17,6.17,6.17,6.17,0
2012-08-27,6.17,6.17,6.17,6.17,0
2012-08-28,6.02,6.02,6.02,6.02,600
2012-08-29,6.02,6.02,6.02,6.02,0
2012-08-30,6.02,6.02,6.02,6.02,0
2012-08-31,6.02,6.02,6.02,6.02,0
2012-09-04,6.02,6.02,6.02,6.02,0
2012-09-05,6.02,6.02,6.02,6.02,0
2012-09-06,6.02,6.02,6.02,6.02,0
2012-09-07,6.02,6.02,6.02,6.02,0
2012-09-10,6.02,6.02,6.02,6.02,0
2012-09-11,6.02,6.02,6.02,6.02,0
2012-09-12,6.02,6.02,6.02,6.02,0
2012-09-13,6.02,6.02,6.02,6.02,0
2012-09-14,6.02,6.02,6.02,6.02,0
2012-09-17,6.02,6.02,6.02,6.02,0
2012-09-18,6.02,6.02,6.02,6.02,0
2012-09-19,6.02,6.02,6.02,6.02,0
2012-09-20,6.02,6.02,6.02,6.02,0
2012-09-21,6.02,6.02,6.02,6.02,0
2012-09-24,6.02,6.02,6.02,6.02,0
2012-09-25,6.02,6.02,6.02,6.02,0
2012-09-26,6.02,6.02,6.02,6.02,0
2012-09-27,6.02,6.02,6.02,6.02,0
2012-09-28,6.02,6.02,6.02,6.02,0
2012-10-01,6.02,6.02,6.02,6.02,0
2012-10-02,6.02,6.02,6.02,6.02,0
2012-10-03,6.02,6.02,6.02,6.02,0
2012-10-04,6.02,6.02,6.02,6.02,0
2012-10-05,6.02,6.02,6.02,6.02,0
2012-10-08,6.02,6.02,6.02,6.02,0
2012-10-09,6.02,6.02,6.02,6.02,0
2012-10-10,6.02,6.02,6.02,6.02,0
2012-10-11,6.02,6.02,6.02,6.02,0
2012-10-12,6.02,6.02,6.02,6.02,0
2012-10-15,6.34,6.34,6.34,6.34,10000
2012-10-16,6.34,6.34,6.34,6.34,0
2012-10-17,6.34,6.34,6.34,6.34,0
2012-10-18,6.34,6.34,6.34,6.34,0
2012-10-19,6.34,6.34,6.34,6.34,0
2012-10-22,6.34,6.34,6.34,6.34,0
2012-10-23,6.34,6.34,6.34,6.34,0
2012-10-24,6.34,6.34,6.34,6.34,0
