Date,Open,High,Low,Close,Volume
1997-11-21,16.77,17.55,16.77,17.26,4724800
1997-11-24,17.18,17.18,16.94,16.94,714100
1997-11-25,16.94,17.02,16.94,16.94,347700
1997-11-26,16.94,17.02,15.88,15.92,939600
1997-11-28,15.96,16.28,15.96,16.28,67000
1997-12-01,16.33,16.77,16.28,16.53,411400
1997-12-02,16.49,16.49,15.96,16.08,246900
1997-12-03,15.84,15.96,15.55,15.8,714900
1997-12-04,15.8,15.8,15.59,15.63,331800
1997-12-05,15.63,15.71,15.59,15.63,173100
1997-12-08,15.71,15.8,15.63,15.8,143500
1997-12-09,15.76,16.37,15.76,16.2,222400
1997-12-10,16.2,16.37,16.0,16.28,232000
1997-12-11,16.2,16.24,16.0,16.24,52900
1997-12-12,16.16,16.37,16.08,16.08,176700
1997-12-15,16.12,16.24,15.96,16.2,118300
1997-12-16,16.37,17.1,16.37,17.1,450100
1997-12-17,17.22,18.12,17.18,18.12,417100
1997-12-18,18.08,18.89,18.04,18.89,86200
1997-12-19,18.97,19.26,18.89,19.26,93400
1997-12-22,19.18,19.18,18.48,18.89,117300
1997-12-23,19.62,19.66,19.46,19.46,207100
1997-12-24,19.3,19.3,18.56,18.81,32200
1997-12-26,18.73,19.05,18.65,18.97,8200
1997-12-29,18.89,18.89,17.99,17.99,22900
1997-12-30,17.99,18.73,17.99,18.73,120600
1997-12-31,18.73,18.97,18.73,18.89,75400
1998-01-02,18.65,18.77,18.44,18.77,34000
1998-01-05,18.85,19.09,18.48,18.85,99700
1998-01-06,18.73,19.09,18.56,18.85,35100
1998-01-07,18.77,18.77,17.75,17.75,35700
1998-01-08,17.75,18.48,17.75,17.95,41200
1998-01-09,17.91,17.91,17.67,17.87,35100
1998-01-12,17.71,17.99,17.67,17.99,19300
1998-01-13,17.99,18.52,17.99,18.44,78900
1998-01-14,18.52,18.81,18.36,18.81,92800
1998-01-15,18.81,19.22,18.69,19.22,82900
1998-01-16,19.18,19.5,19.13,19.22,29400
1998-01-20,19.3,19.7,19.3,19.7,9300
1998-01-21,19.7,19.79,19.5,19.7,60400
1998-01-22,19.58,19.62,19.54,19.58,25900
1998-01-23,19.58,19.62,19.58,19.58,210600
1998-01-26,19.75,19.75,19.54,19.62,94000
1998-01-27,19.58,19.58,19.38,19.38,173800
1998-01-28,19.5,19.5,19.38,19.38,96300
1998-01-29,19.38,19.62,19.3,19.58,37000
1998-01-30,19.66,19.83,19.62,19.66,12100
1998-02-02,19.7,20.19,19.7,20.03,41500
1998-02-03,20.27,20.52,20.27,20.52,7500
1998-02-04,20.4,20.76,20.4,20.76,17200
1998-02-05,20.93,21.17,20.93,21.17,21000
1998-02-06,21.17,21.17,21.09,21.13,48700
1998-02-09,21.05,21.09,20.93,21.01,3700
1998-02-10,20.93,21.33,20.84,21.05,24600
1998-02-11,21.13,21.25,20.84,20.84,103800
1998-02-12,20.93,21.17,20.52,20.56,41500
1998-02-13,20.64,20.93,20.64,20.72,43300
1998-02-17,20.72,21.09,20.72,21.09,42400
1998-02-18,21.09,21.13,21.01,21.09,67800
1998-02-19,21.05,21.5,21.01,21.5,32700
1998-02-20,21.5,22.8,21.41,22.8,71700
1998-02-23,22.8,23.08,22.76,23.04,253800
1998-02-24,23.12,23.78,23.08,23.74,47500
1998-02-25,23.69,23.78,23.65,23.74,13800
1998-02-26,23.69,24.1,23.69,24.02,20500
1998-02-27,24.22,24.71,23.94,24.1,69100
1998-03-02,23.94,24.06,23.86,24.06,11200
1998-03-03,24.02,24.02,23.74,23.86,20400
1998-03-04,23.86,24.1,23.78,24.1,15100
1998-03-05,23.78,23.78,23.37,23.61,25900
1998-03-06,23.53,24.22,23.53,24.22,7500
1998-03-09,24.1,24.1,23.82,23.82,25600
1998-03-10,23.9,24.02,23.82,24.02,7000
1998-03-11,24.02,24.1,23.86,23.86,6300
1998-03-12,24.1,24.14,23.9,23.9,8100
1998-03-13,23.78,24.22,23.78,24.18,21900
1998-03-16,24.18,24.18,24.06,24.06,6100
1998-03-17,23.94,24.06,23.9,23.94,5700
1998-03-18,23.94,23.98,23.86,23.94,3700
1998-03-19,23.82,23.82,23.65,23.82,6100
1998-03-20,23.69,23.69,23.17,23.17,12900
1998-03-23,23.0,23.0,22.47,22.47,13600
1998-03-24,22.39,22.76,22.19,22.68,23500
1998-03-25,22.8,23.12,22.8,23.12,13800
1998-03-26,23.12,23.33,23.12,23.29,3000
1998-03-27,23.45,23.57,23.0,23.08,14400
1998-03-30,23.17,23.21,22.64,22.72,106600
1998-03-31,22.55,22.8,22.55,22.72,96000
1998-04-01,22.8,22.8,22.51,22.72,39900
1998-04-02,22.76,22.96,22.55,22.96,106500
1998-04-03,23.17,23.9,23.17,23.78,49600
1998-04-06,23.86,23.9,23.57,23.57,27400
1998-04-07,23.45,23.61,23.04,23.04,19600
1998-04-08,23.04,23.04,22.47,22.64,29100
1998-04-09,22.64,22.64,22.31,22.51,166600
1998-04-13,22.6,22.88,22.6,22.88,24100
1998-04-14,22.92,22.92,22.76,22.88,143400
1998-04-15,22.8,22.88,22.76,22.8,51100
1998-04-16,22.68,22.72,22.39,22.55,70800
1998-04-17,22.55,22.92,22.47,22.92,135300
1998-04-20,22.96,23.69,22.96,23.33,18700
1998-04-21,23.29,23.78,23.29,23.74,38200
1998-04-22,24.06,24.59,24.06,24.59,37900
1998-04-23,24.59,24.75,24.59,24.75,36100
1998-04-24,24.75,25.16,24.75,25.08,22000
1998-04-27,24.96,24.96,23.9,24.02,25200
1998-04-28,24.02,24.51,24.02,24.1,79800
1998-04-29,24.1,24.1,22.8,23.53,87100
1998-04-30,23.61,24.18,23.61,24.18,323400
1998-05-01,24.26,25.24,24.26,25.24,41400
1998-05-04,25.08,25.65,24.92,25.4,53500
1998-05-05,25.57,25.73,25.4,25.53,23700
1998-05-06,25.61,25.61,25.4,25.4,7500
1998-05-07,25.4,25.65,25.4,25.4,71200
1998-05-08,25.32,25.32,25.28,25.28,13800
1998-05-11,25.28,25.28,24.55,24.71,58200
1998-05-12,24.67,24.79,24.67,24.79,25000
1998-05-13,24.67,24.67,24.47,24.67,9400
1998-05-14,24.71,24.71,24.67,24.71,4000
1998-05-15,24.75,24.75,24.1,24.14,90600
1998-05-18,24.02,24.06,23.9,24.02,16500
1998-05-19,24.1,24.1,23.82,24.06,59800
1998-05-20,24.06,24.06,23.41,23.78,21900
1998-05-21,23.78,23.78,23.45,23.74,33400
1998-05-22,23.78,23.78,23.45,23.49,22200
1998-05-26,23.57,24.63,23.41,24.63,37600
1998-05-27,24.39,24.67,24.18,24.67,46600
1998-05-28,24.47,24.47,23.04,23.45,87900
1998-05-29,23.41,23.41,23.29,23.33,74100
1998-06-01,23.29,23.41,23.04,23.12,51600
1998-06-02,23.12,23.12,22.84,22.96,20800
1998-06-03,22.96,23.0,22.72,22.72,68500
1998-06-04,22.64,22.68,22.47,22.68,17700
1998-06-05,22.68,22.72,22.55,22.6,54900
1998-06-08,22.6,22.6,22.39,22.47,18000
1998-06-09,22.47,22.47,22.15,22.35,44700
1998-06-10,22.19,22.23,22.11,22.19,21600
1998-06-11,22.19,22.8,22.11,22.76,143200
1998-06-12,22.8,23.17,22.8,23.08,62100
1998-06-15,23.08,23.12,22.84,23.12,35400
1998-06-16,23.12,23.33,22.92,23.12,157900
1998-06-17,23.12,23.12,22.8,23.0,107500
1998-06-18,22.96,23.04,22.8,23.04,32500
1998-06-19,23.04,23.74,23.0,23.74,84400
1998-06-22,23.61,23.69,23.37,23.45,41700
1998-06-23,23.33,23.69,23.33,23.65,22300
1998-06-24,23.65,23.98,23.65,23.98,75600
1998-06-25,23.98,23.98,23.33,23.94,46500
1998-06-26,23.98,24.18,23.9,24.18,23500
1998-06-29,24.16,24.59,24.14,24.59,40000
1998-06-30,24.59,24.59,24.18,24.18,124500
1998-07-01,24.31,24.39,23.98,24.39,18300
1998-07-02,24.51,24.51,22.31,23.0,52900
1998-07-06,22.64,23.04,22.31,22.51,74100
1998-07-07,22.64,22.88,22.39,22.8,41100
1998-07-08,22.84,22.84,21.78,22.03,51300
1998-07-09,22.07,22.07,21.7,21.78,73200
1998-07-10,21.82,21.82,21.01,21.17,39100
1998-07-13,21.21,21.41,21.17,21.33,99300
1998-07-14,21.37,22.23,21.17,22.23,77700
1998-07-15,22.27,23.04,22.23,22.76,46800
1998-07-16,22.72,23.12,22.47,23.12,67500
1998-07-17,23.21,23.25,23.08,23.17,7600
1998-07-20,23.08,23.57,23.08,23.57,22500
1998-07-21,23.53,23.61,23.25,23.41,95400
1998-07-22,23.33,24.39,22.88,23.45,63100
1998-07-23,23.37,23.65,23.37,23.53,38700
1998-07-24,23.53,23.53,23.37,23.41,75000
1998-07-27,23.29,23.29,22.03,22.11,82300
1998-07-28,21.98,22.07,21.66,21.7,41200
1998-07-29,21.62,21.62,21.5,21.54,18700
1998-07-30,21.5,22.03,21.5,22.03,46200
1998-07-31,22.11,22.11,21.25,21.29,19600
1998-08-03,21.21,21.41,20.48,21.37,19900
1998-08-04,21.33,21.5,21.01,21.37,29200
1998-08-05,21.29,21.29,19.5,19.95,75000
1998-08-06,20.07,20.27,20.07,20.15,32400
1998-08-07,20.19,20.19,19.62,20.03,103000
1998-08-10,20.03,20.44,20.03,20.32,9100
1998-08-11,20.23,20.23,18.89,18.89,88200
1998-08-12,19.05,19.18,18.36,18.36,54600
1998-08-13,18.36,18.36,16.77,17.55,76800
1998-08-14,17.55,17.63,15.47,15.47,96000
1998-08-17,16.2,16.81,16.04,16.28,243900
1998-08-18,16.28,16.9,16.28,16.69,96400
