Date,Open,High,Low,Close,Volume
1998-02-27,15.06,15.6,15.06,15.06,50000
1998-03-02,14.95,14.95,14.73,14.95,75000
1998-03-03,14.84,14.84,14.52,14.84,35000
1998-03-04,13.65,13.65,13.43,13.65,60000
1998-03-05,13.98,13.98,13.98,13.98,400
1998-03-06,13.98,14.19,13.98,13.98,3600
1998-03-09,13.98,14.3,13.76,13.76,3200
1998-03-10,13.76,14.63,13.76,14.08,56800
1998-03-11,14.08,14.3,13.98,14.08,10400
1998-03-12,14.08,14.19,13.98,14.19,3800
1998-03-13,14.3,14.3,14.3,14.3,1000
1998-03-16,14.3,14.3,13.98,13.98,7700
1998-03-17,13.98,13.98,13.65,13.76,28000
1998-03-18,13.76,13.98,13.65,13.98,45700
1998-03-19,13.98,15.06,13.87,14.84,383600
1998-03-20,14.95,15.38,14.95,15.38,275600
1998-03-23,15.38,16.47,15.06,16.36,398600
1998-03-24,16.36,17.23,16.36,17.12,261800
1998-03-25,17.12,17.44,16.9,17.23,135600
1998-03-26,17.23,17.23,16.68,17.01,26300
1998-03-27,17.01,17.12,15.93,16.68,62200
1998-03-30,16.68,17.23,16.68,17.23,49500
1998-03-31,17.23,17.55,17.23,17.44,79000
1998-04-01,17.44,17.88,17.33,17.77,150100
1998-04-02,18.85,20.26,18.85,20.15,140500
1998-04-03,20.15,22.64,18.85,21.45,458700
1998-04-06,21.45,22.53,19.93,20.8,105300
1998-04-07,20.8,20.8,19.18,19.18,152800
1998-04-08,19.18,19.93,18.2,19.5,45100
1998-04-09,19.5,19.93,19.28,19.93,151400
1998-04-13,19.93,20.15,19.39,19.61,85900
1998-04-14,19.61,19.93,19.5,19.72,322900
1998-04-15,19.72,19.83,18.63,18.85,23100
1998-04-16,18.85,18.85,18.09,18.42,55400
1998-04-17,18.42,18.74,18.2,18.74,15100
1998-04-20,18.74,19.18,18.42,19.18,92900
1998-04-21,19.18,19.18,18.85,19.18,23100
1998-04-22,19.18,20.48,19.18,19.93,60900
1998-04-23,19.93,20.37,19.93,20.37,242300
1998-04-24,20.37,20.48,19.07,19.07,100900
1998-04-27,19.07,19.5,17.23,18.09,52200
1998-04-28,18.09,18.96,17.98,18.63,29100
1998-04-29,18.63,19.5,18.2,19.5,101300
1998-04-30,19.5,20.15,19.39,19.93,116300
1998-05-01,19.93,20.04,19.07,19.18,61000
1998-05-04,19.18,19.28,18.42,18.74,58400
1998-05-05,18.74,18.85,17.98,18.42,44000
1998-05-06,18.42,19.07,18.09,19.07,47300
1998-05-07,19.07,19.18,18.53,18.53,230900
1998-05-08,18.85,19.72,18.85,19.61,320700
1998-05-11,19.61,19.72,19.28,19.39,375200
1998-05-12,19.39,19.61,19.07,19.07,333300
1998-05-13,19.18,19.61,19.18,19.39,88100
1998-05-14,19.39,19.5,19.07,19.5,35600
1998-05-15,19.5,19.5,18.63,19.07,69200
1998-05-18,19.07,19.18,18.2,18.63,53200
1998-05-19,18.63,19.07,18.63,19.07,21000
1998-05-20,19.07,19.07,18.2,18.2,14100
1998-05-21,18.2,18.31,16.9,18.31,116400
1998-05-22,17.98,17.98,17.55,17.88,45100
1998-05-26,17.88,18.2,16.58,16.9,119500
1998-05-27,16.9,16.9,16.25,16.68,91100
1998-05-28,16.68,17.77,16.25,17.77,163600
1998-05-29,17.77,19.5,17.77,19.5,121900
1998-06-01,19.5,19.5,19.07,19.18,258500
1998-06-02,19.18,19.5,19.18,19.39,123400
1998-06-03,19.39,19.5,17.98,17.98,180600
1998-06-04,17.98,18.2,17.33,17.98,263200
1998-06-05,18.2,19.93,18.2,19.83,290100
1998-06-08,20.15,20.48,19.5,19.93,2718000
1998-06-09,19.93,19.93,19.07,19.39,604900
1998-06-10,19.5,20.04,19.5,19.83,149300
1998-06-11,19.83,19.99,19.55,19.93,697400
1998-06-12,19.93,19.93,19.39,19.55,782000
1998-06-15,19.88,19.88,18.96,18.96,165900
1998-06-16,19.01,19.07,18.85,18.85,95000
1998-06-17,19.01,19.01,18.63,19.01,57400
1998-06-18,19.01,19.01,18.53,18.63,588700
1998-06-19,18.31,18.53,18.25,18.36,698100
1998-06-22,18.2,18.53,17.88,18.31,159500
1998-06-23,18.96,19.72,18.74,19.5,234000
1998-06-24,19.5,19.99,19.5,19.93,275900
1998-06-25,19.93,20.48,19.66,19.93,223500
1998-06-26,20.15,20.48,20.04,20.26,115800
1998-06-29,20.04,20.1,18.74,19.83,188900
1998-06-30,19.88,21.61,19.66,21.61,566300
1998-07-01,21.67,22.21,21.13,21.4,449600
1998-07-02,20.8,21.4,20.8,20.8,5141900
1998-07-06,21.02,21.94,20.96,21.88,991100
1998-07-07,22.59,23.4,22.21,22.43,1096000
1998-07-08,22.64,23.62,22.64,22.97,431200
1998-07-09,22.97,23.51,22.21,22.48,659300
1998-07-10,22.64,23.08,22.32,22.75,334700
1998-07-13,23.35,23.67,23.13,23.62,429600
1998-07-14,23.4,23.73,22.53,22.64,509200
1998-07-15,23.08,23.4,22.75,23.35,225800
1998-07-16,23.73,23.73,22.97,23.35,233300
1998-07-17,23.29,23.78,22.86,23.4,479300
1998-07-20,23.18,23.78,23.02,23.45,244800
1998-07-21,23.89,24.38,23.62,23.78,575300
1998-07-22,24.1,24.38,23.83,24.05,630200
1998-07-23,24.27,24.7,24.05,24.27,496100
1998-07-24,24.16,24.81,23.62,24.16,245300
1998-07-27,23.94,23.94,22.86,23.02,280600
1998-07-28,23.08,23.62,22.53,22.75,421600
1998-07-29,22.86,23.18,22.75,22.75,268000
1998-07-30,22.53,22.86,22.32,22.43,208200
1998-07-31,22.53,22.64,20.8,20.8,335600
1998-08-03,20.8,21.61,20.8,21.61,214700
