Date,Open,High,Low,Close,Volume
2001-10-30,17.6,17.77,17.53,17.77,45441800
2001-10-31,17.86,18.47,17.82,18.2,11104400
2001-11-01,18.36,18.51,18.16,18.33,3901800
2001-11-02,18.27,18.73,18.26,18.64,4075000
2001-11-05,18.9,18.9,18.58,18.64,2763800
2001-11-06,18.66,19.25,18.32,19.14,3248200
2001-11-07,19.01,19.01,18.46,18.79,2675200
2001-11-08,18.69,18.73,18.25,18.56,3404000
2001-11-09,18.47,18.47,17.82,18.25,3291600
2001-11-12,18.25,18.62,18.12,18.62,973600
2001-11-13,18.86,18.86,18.48,18.58,1721800
2001-11-14,19.12,19.99,18.93,19.97,4213000
2001-11-15,19.86,20.32,19.75,20.32,2310400
2001-11-16,20.38,20.51,20.12,20.34,2176200
2001-11-19,20.32,20.67,20.16,20.64,2007200
2001-11-20,20.55,21.4,20.53,21.21,2803000
2001-11-21,21.16,21.6,21.04,21.3,2684000
2001-11-23,21.27,21.45,21.27,21.37,287800
2001-11-26,21.6,21.84,20.99,21.1,1917400
2001-11-27,21.21,21.66,20.98,21.12,1148000
2001-11-28,21.1,21.38,20.65,21.27,625200
2001-11-29,21.51,21.77,21.33,21.73,1136800
2001-11-30,21.77,22.16,21.64,22.1,2960200
2001-12-03,22.08,22.29,21.77,22.29,1270800
2001-12-04,22.31,22.38,21.95,22.38,794000
2001-12-05,22.51,22.55,21.16,21.23,1356200
2001-12-06,21.25,21.29,20.58,21.07,902600
2001-12-07,21.08,21.16,20.69,21.12,649600
2001-12-10,21.12,21.24,20.92,20.97,308000
2001-12-11,20.97,21.16,20.73,20.95,892800
2001-12-12,20.97,20.97,20.79,20.8,478800
2001-12-13,20.69,20.9,20.38,20.9,960600
2001-12-14,20.86,20.9,20.58,20.86,813600
2001-12-17,20.9,21.42,20.82,21.4,421200
2001-12-18,21.51,21.55,21.39,21.42,809200
2001-12-19,21.42,21.45,20.75,20.86,1473200
2001-12-20,20.75,20.86,20.34,20.38,1312000
2001-12-21,20.34,20.34,19.66,19.88,4283800
2001-12-24,19.88,19.97,19.82,19.82,900200
2001-12-26,19.92,20.2,19.92,20.1,1191600
2001-12-27,20.14,20.55,20.14,20.38,1925400
2001-12-28,20.4,21.08,20.4,21.08,1714800
2001-12-31,21.16,21.84,21.16,21.51,1792800
2002-01-02,21.59,21.59,21.17,21.21,1933000
2002-01-03,21.21,21.42,21.05,21.05,625600
2002-01-04,21.08,21.21,20.38,20.8,2318600
