Date,Open,High,Low,Close,Volume
1980-06-02,0.0,0.39,0.39,0.39,118800.0
1980-06-03,0.0,0.39,0.39,0.39,141700.0
1980-06-04,0.0,0.39,0.39,0.39,102600.0
1980-06-05,0.0,0.4,0.39,0.4,575100.0
1980-06-06,0.0,0.4,0.39,0.39,88300.0
1980-06-09,0.0,0.4,0.39,0.39,151800.0
1980-06-10,0.0,0.4,0.39,0.4,238200.0
1980-06-11,0.0,0.42,0.4,0.42,154500.0
1980-06-12,0.0,0.43,0.42,0.43,213300.0
1980-06-13,0.0,0.44,0.43,0.43,369100.0
1980-06-16,0.0,0.44,0.43,0.44,509500.0
1980-06-17,0.0,0.44,0.43,0.43,168700.0
1980-06-18,0.0,0.43,0.43,0.43,293500.0
1980-06-19,0.0,0.43,0.42,0.43,53200.0
1980-06-20,0.0,0.43,0.42,0.43,71500.0
1980-06-23,0.0,0.44,0.43,0.43,24900.0
1980-06-24,0.0,0.43,0.42,0.43,147700.0
1980-06-25,0.0,0.43,0.43,0.43,123400.0
1980-06-26,0.0,0.42,0.41,0.41,114700.0
1980-06-27,0.0,0.42,0.41,0.41,109300.0
1980-06-30,0.0,0.41,0.4,0.41,108000.0
1980-07-01,0.0,0.43,0.41,0.42,150400.0
1980-07-02,0.0,0.42,0.41,0.42,43800.0
1980-07-03,0.0,0.43,0.42,0.43,56700.0
1980-07-07,0.0,0.44,0.43,0.44,111300.0
1980-07-08,0.0,0.43,0.43,0.43,110700.0
1980-07-09,0.0,0.44,0.43,0.43,33000.0
1980-07-10,0.0,0.43,0.42,0.42,70200.0
1980-07-11,0.0,0.42,0.41,0.41,1334400.0
1980-07-14,0.0,0.43,0.41,0.43,256500.0
1980-07-15,0.0,0.43,0.42,0.42,366400.0
1980-07-16,0.0,0.43,0.42,0.43,264600.0
1980-07-17,0.0,0.43,0.42,0.43,91000.0
1980-07-18,0.0,0.43,0.42,0.43,193600.0
1980-07-21,0.0,0.43,0.43,0.43,44500.0
1980-07-22,0.0,0.43,0.42,0.43,284800.0
1980-07-23,0.0,0.42,0.41,0.42,141700.0
1980-07-24,0.0,0.43,0.42,0.42,168700.0
1980-07-25,0.0,0.43,0.42,0.42,58600.0
1980-07-28,0.0,0.42,0.42,0.42,58000.0
1980-07-29,0.0,0.42,0.42,0.42,39700.0
1980-07-30,0.0,0.43,0.42,0.43,452800.0
1980-07-31,0.0,0.43,0.42,0.42,117400.0
1980-08-01,0.0,0.42,0.41,0.41,112600.0
1980-08-04,0.0,0.42,0.41,0.42,80200.0
1980-08-05,0.0,0.43,0.42,0.42,74800.0
1980-08-06,0.0,0.42,0.41,0.42,104500.0
1980-08-07,0.0,0.42,0.41,0.42,139600.0
1980-08-08,0.0,0.43,0.42,0.43,342900.0
1980-08-11,0.0,0.43,0.42,0.42,55900.0
1980-08-12,0.0,0.43,0.42,0.42,97200.0
1980-08-13,0.0,0.43,0.42,0.43,340200.0
1980-08-14,0.0,0.43,0.42,0.43,72100.0
1980-08-15,0.0,0.43,0.43,0.43,178800.0
1980-08-18,0.0,0.43,0.43,0.43,71500.0
1980-08-19,0.0,0.43,0.42,0.43,68100.0
1980-08-20,0.0,0.43,0.43,0.43,56700.0
1980-08-21,0.0,0.43,0.43,0.43,238900.0
1980-08-22,0.0,0.43,0.42,0.43,122100.0
1980-08-25,0.0,0.43,0.42,0.43,37800.0
1980-08-26,0.0,0.43,0.42,0.42,89100.0
1980-08-27,0.0,0.43,0.42,0.43,87700.0
1980-08-28,0.0,0.43,0.42,0.42,87700.0
1980-08-29,0.0,0.42,0.41,0.41,109300.0
1980-09-02,0.0,0.42,0.41,0.41,43800.0
1980-09-03,0.0,0.42,0.41,0.42,133600.0
1980-09-04,0.0,0.43,0.41,0.41,188200.0
1980-09-05,0.0,0.42,0.41,0.41,136300.0
1980-09-08,0.0,0.42,0.41,0.41,999000.0
1980-09-09,0.0,0.42,0.41,0.42,84300.0
1980-09-10,0.0,0.43,0.42,0.42,107200.0
1980-09-11,0.0,0.42,0.41,0.42,108600.0
1980-09-12,0.0,0.42,0.42,0.42,42400.0
1980-09-15,0.0,0.42,0.41,0.42,62100.0
1980-09-16,0.0,0.42,0.42,0.42,77500.0
1980-09-17,0.0,0.42,0.41,0.42,91800.0
1980-09-18,0.0,0.42,0.41,0.41,230100.0
1980-09-19,0.0,0.42,0.41,0.41,70200.0
1980-09-22,0.0,0.42,0.41,0.42,139600.0
1980-09-23,0.0,0.42,0.41,0.41,152500.0
1980-09-24,0.0,0.41,0.41,0.41,43200.0
1980-09-25,0.0,0.42,0.41,0.42,356400.0
1980-09-26,0.0,0.42,0.42,0.42,122800.0
1980-09-29,0.0,0.42,0.4,0.4,118800.0
1980-09-30,0.0,0.41,0.4,0.41,271300.0
1980-10-01,0.0,0.41,0.4,0.4,222700.0
1980-10-02,0.0,0.41,0.4,0.4,100500.0
1980-10-03,0.0,0.42,0.41,0.42,276000.0
1980-10-06,0.0,0.42,0.4,0.4,226800.0
1980-10-07,0.0,0.41,0.4,0.41,230100.0
1980-10-08,0.0,0.41,0.41,0.41,386100.0
1980-10-09,0.0,0.41,0.41,0.41,270600.0
1980-10-10,0.0,0.41,0.41,0.41,352300.0
1980-10-13,0.0,0.42,0.41,0.42,23500.0
1980-10-14,0.0,0.43,0.42,0.42,227400.0
1980-10-15,0.0,0.42,0.42,0.42,75600.0
1980-10-16,0.0,0.42,0.41,0.41,244900.0
1980-10-17,0.0,0.41,0.41,0.41,176100.0
1980-10-20,0.0,0.42,0.41,0.42,49200.0
1980-10-21,0.0,0.42,0.41,0.41,72100.0
1980-10-22,0.0,0.41,0.4,0.41,45100.0
1980-10-23,0.0,0.41,0.4,0.4,75600.0
1980-10-24,0.0,0.4,0.4,0.4,82300.0
1980-10-27,0.0,0.4,0.4,0.4,38400.0
1980-10-28,0.0,0.4,0.4,0.4,172000.0
1980-10-29,0.0,0.4,0.4,0.4,59400.0
1980-10-30,0.0,0.4,0.4,0.4,70200.0
1980-10-31,0.0,0.4,0.39,0.39,57300.0
1980-11-03,0.0,0.4,0.39,0.39,126100.0
1980-11-05,0.0,0.4,0.39,0.4,93100.0
1980-11-06,0.0,0.39,0.36,0.37,392800.0
1980-11-07,0.0,0.39,0.36,0.39,185500.0
1980-11-10,0.0,0.39,0.37,0.37,258400.0
1980-11-11,0.0,0.38,0.37,0.38,349600.0
1980-11-12,0.0,0.39,0.38,0.39,288100.0
1980-11-13,0.0,0.39,0.39,0.39,132900.0
1980-11-14,0.0,0.39,0.38,0.39,247000.0
1980-11-17,0.0,0.39,0.37,0.38,165300.0
1980-11-18,0.0,0.38,0.37,0.37,72900.0
1980-11-19,0.0,0.38,0.37,0.38,261100.0
1980-11-20,0.0,0.38,0.38,0.38,288100.0
1980-11-21,0.0,0.38,0.37,0.37,359700.0
1980-11-24,0.0,0.37,0.37,0.37,348300.0
1980-11-25,0.0,0.38,0.37,0.38,467100.0
1980-11-26,0.0,0.39,0.37,0.38,165300.0
1980-11-28,0.0,0.38,0.37,0.38,89700.0
1980-12-01,0.0,0.38,0.37,0.37,114000.0
1980-12-02,0.0,0.38,0.37,0.38,68800.0
1980-12-03,0.0,0.38,0.37,0.38,772800.0
1980-12-04,0.0,0.38,0.37,0.38,75600.0
1980-12-05,0.0,0.38,0.37,0.37,93100.0
1980-12-08,0.0,0.38,0.37,0.37,122800.0
1980-12-09,0.0,0.38,0.37,0.38,142300.0
1980-12-10,0.0,0.38,0.37,0.37,483900.0
1980-12-11,0.0,0.37,0.35,0.36,243000.0
1980-12-12,0.0,0.37,0.36,0.36,80200.0
1980-12-15,0.0,0.37,0.36,0.37,193000.0
1980-12-16,0.0,0.37,0.37,0.37,238900.0
1980-12-17,0.0,0.37,0.37,0.37,89700.0
1980-12-18,0.0,0.37,0.36,0.37,267300.0
1980-12-19,0.0,0.37,0.36,0.36,226800.0
1980-12-22,0.0,0.38,0.36,0.38,118800.0
1980-12-23,0.0,0.39,0.38,0.38,513600.0
1980-12-24,0.0,0.39,0.38,0.38,392100.0
1980-12-26,0.0,0.39,0.38,0.39,43800.0
1980-12-29,0.0,0.39,0.38,0.38,193600.0
1980-12-30,0.0,0.38,0.36,0.38,65400.0
1980-12-31,0.0,0.39,0.38,0.38,58000.0
1981-01-02,0.0,0.38,0.38,0.38,54000.0
1981-01-05,0.0,0.38,0.38,0.38,103900.0
1981-01-06,0.0,0.4,0.38,0.39,546000.0
1981-01-07,0.0,0.39,0.38,0.39,271300.0
1981-01-08,0.0,0.39,0.39,0.39,217900.0
1981-01-09,0.0,0.39,0.38,0.38,93700.0
1981-01-12,0.0,0.39,0.38,0.38,184200.0
1981-01-13,0.0,0.39,0.38,0.38,43800.0
1981-01-14,0.0,0.39,0.39,0.39,193600.0
1981-01-15,0.0,0.39,0.39,0.39,39100.0
