Date,Open,High,Low,Close,Volume
1980-03-17,0.0,1.68,1.64,1.66,271500
1980-03-18,0.0,1.66,1.64,1.65,376100
1980-03-19,0.0,1.71,1.67,1.68,858700
1980-03-20,0.0,1.68,1.67,1.68,144400
1980-03-21,0.0,1.68,1.66,1.68,106300
1980-03-24,0.0,1.66,1.62,1.62,744500
1980-03-25,0.0,1.62,1.59,1.6,112400
1980-03-26,0.0,1.62,1.59,1.6,94200
1980-03-27,0.0,1.6,1.59,1.59,133100
1980-03-28,0.0,1.68,1.6,1.66,152200
1980-03-31,0.0,1.68,1.66,1.67,181600
1980-04-01,0.0,1.67,1.63,1.65,336400
1980-04-02,0.0,1.63,1.59,1.62,1004800
1980-04-03,0.0,1.59,1.55,1.57,418500
1980-04-07,0.0,1.58,1.56,1.57,635600
1980-04-08,0.0,1.6,1.55,1.59,486800
1980-04-09,0.0,1.65,1.61,1.64,211800
1980-04-10,0.0,1.68,1.66,1.68,40600
1980-04-11,0.0,1.76,1.71,1.76,82100
1980-04-14,0.0,1.76,1.74,1.74,133100
1980-04-15,0.0,1.74,1.72,1.73,142600
1980-04-16,0.0,1.72,1.69,1.69,457400
1980-04-17,0.0,1.69,1.63,1.63,449600
1980-04-18,0.0,1.65,1.59,1.6,270600
1980-04-21,0.0,1.59,1.57,1.57,140000
1980-04-22,0.0,1.69,1.59,1.69,378700
1980-04-23,0.0,1.73,1.68,1.7,315600
1980-04-24,0.0,1.75,1.69,1.74,84700
1980-04-25,0.0,1.79,1.74,1.77,35400
1980-04-28,0.0,1.78,1.76,1.78,110600
1980-04-29,0.0,1.81,1.77,1.8,255900
1980-04-30,0.0,1.83,1.78,1.83,267200
1980-05-01,0.0,1.86,1.82,1.82,677100
1980-05-02,0.0,1.81,1.8,1.8,364000
1980-05-05,0.0,1.83,1.81,1.81,681400
1980-05-06,0.0,1.83,1.8,1.82,608800
1980-05-07,0.0,1.82,1.78,1.78,327700
1980-05-08,0.0,1.78,1.73,1.73,134000
1980-05-09,0.0,1.73,1.67,1.68,79500
1980-05-12,0.0,1.67,1.61,1.63,614000
1980-05-13,0.0,1.64,1.61,1.64,604400
1980-05-14,0.0,1.67,1.63,1.66,443600
1980-05-15,0.0,1.66,1.64,1.64,678000
1980-05-16,0.0,1.65,1.63,1.65,126200
1980-05-19,0.0,1.66,1.64,1.65,402900
1980-05-20,0.0,1.66,1.63,1.66,83800
1980-05-21,0.0,1.66,1.63,1.65,269800
1980-05-22,0.0,1.82,1.65,1.74,1090500
1980-05-23,0.0,1.8,1.77,1.8,1250500
1980-05-27,0.0,1.82,1.8,1.81,104600
1980-05-28,0.0,1.81,1.79,1.81,63100
1980-05-29,0.0,1.81,1.76,1.78,704800
1980-05-30,0.0,1.8,1.74,1.8,71700
1980-06-02,0.0,1.8,1.78,1.78,31900
1980-06-03,0.0,1.8,1.76,1.8,316500
1980-06-04,0.0,1.85,1.8,1.85,223900
1980-06-05,0.0,1.91,1.84,1.85,204000
1980-06-06,0.0,1.85,1.81,1.82,180700
1980-06-09,0.0,1.82,1.78,1.78,113200
1980-06-10,0.0,1.82,1.78,1.81,154700
1980-06-11,0.0,1.82,1.8,1.81,411600
1980-06-12,0.0,1.83,1.8,1.83,173800
1980-06-13,0.0,1.89,1.83,1.87,61400
1980-06-16,0.0,1.93,1.87,1.92,236900
1980-06-17,0.0,1.92,1.89,1.9,119300
1980-06-18,0.0,1.91,1.87,1.89,50100
1980-06-19,0.0,1.9,1.87,1.88,46600
1980-06-20,0.0,1.87,1.84,1.85,94200
1980-06-23,0.0,1.89,1.86,1.86,318200
1980-06-24,0.0,1.86,1.82,1.85,535300
1980-06-25,0.0,1.92,1.84,1.9,326800
1980-06-26,0.0,1.92,1.87,1.9,259400
1980-06-27,0.0,1.96,1.9,1.93,201400
1980-06-30,0.0,1.91,1.86,1.86,671900
1980-07-01,0.0,1.87,1.85,1.86,236900
1980-07-02,0.0,1.9,1.86,1.9,195400
1980-07-03,0.0,2.01,1.92,1.99,223900
1980-07-07,0.0,2.04,1.99,2.04,522300
1980-07-08,0.0,2.05,2.04,2.05,170300
1980-07-09,0.0,2.05,2.04,2.04,291400
1980-07-10,0.0,2.04,1.99,2.0,130500
1980-07-11,0.0,2.04,2.01,2.02,274100
1980-07-14,0.0,2.04,2.0,2.04,212700
1980-07-15,0.0,2.14,2.08,2.13,525700
1980-07-16,0.0,2.14,2.11,2.13,205800
1980-07-17,0.0,2.11,2.1,2.11,283600
1980-07-18,0.0,2.12,2.05,2.08,311300
1980-07-21,0.0,2.1,2.07,2.09,166900
1980-07-22,0.0,2.11,2.08,2.08,307000
1980-07-23,0.0,2.1,2.06,2.08,153000
1980-07-24,0.0,2.08,1.97,1.97,236000
1980-07-25,0.0,1.96,1.92,1.94,513600
1980-07-28,0.0,1.98,1.91,1.98,586300
1980-07-29,0.0,2.08,2.05,2.08,370900
1980-07-30,0.0,2.13,2.07,2.08,764400
1980-07-31,0.0,2.16,2.06,2.16,302600
1980-08-01,0.0,2.19,2.14,2.18,350200
1980-08-04,0.0,2.19,2.14,2.14,645100
1980-08-05,0.0,2.14,2.11,2.12,197100
1980-08-06,0.0,2.11,2.09,2.1,240400
1980-08-07,0.0,2.14,2.1,2.14,376100
1980-08-08,0.0,2.2,2.17,2.17,836200
1980-08-11,0.0,2.16,2.12,2.15,837900
1980-08-12,0.0,2.19,2.14,2.15,287900
1980-08-13,0.0,2.17,2.13,2.17,380500
1980-08-14,0.0,2.25,2.17,2.25,443600
1980-08-15,0.0,2.31,2.29,2.3,616600
1980-08-18,0.0,2.28,2.25,2.26,971100
1980-08-19,0.0,2.25,2.23,2.24,523200
1980-08-20,0.0,2.27,2.21,2.27,112400
1980-08-21,0.0,2.32,2.27,2.31,541300
1980-08-22,0.0,2.34,2.31,2.34,653700
1980-08-25,0.0,2.33,2.31,2.31,131400
1980-08-26,0.0,2.31,2.28,2.29,528300
1980-08-27,0.0,2.28,2.24,2.24,294000
1980-08-28,0.0,2.26,2.21,2.24,173800
1980-08-29,0.0,2.25,2.2,2.21,87300
1980-09-02,0.0,2.22,2.18,2.21,179000
1980-09-03,0.0,2.25,2.21,2.25,178100
1980-09-04,0.0,2.3,2.27,2.29,329400
1980-09-05,0.0,2.3,2.25,2.25,186700
1980-09-08,0.0,2.26,2.21,2.21,171200
1980-09-09,0.0,2.19,2.14,2.16,528300
1980-09-10,0.0,2.28,2.19,2.26,457400
1980-09-11,0.0,2.28,2.26,2.28,134000
1980-09-12,0.0,2.29,2.27,2.28,314700
1980-09-15,0.0,2.31,2.27,2.31,302600
1980-09-16,0.0,2.4,2.32,2.39,524900
1980-09-17,0.0,2.45,2.4,2.45,452200
1980-09-18,0.0,2.45,2.4,2.44,652900
1980-09-19,0.0,2.46,2.43,2.45,238600
1980-09-22,0.0,2.49,2.45,2.49,159100
1980-09-23,0.0,2.55,2.49,2.5,530900
1980-09-24,0.0,2.52,2.47,2.5,493800
1980-09-25,0.0,2.51,2.48,2.48,337200
1980-09-26,0.0,2.46,2.38,2.38,233400
1980-09-29,0.0,2.36,2.3,2.35,156500
1980-09-30,0.0,2.37,2.34,2.36,75200
1980-10-01,0.0,2.41,2.36,2.41,317300
1980-10-02,0.0,2.57,2.47,2.57,212700
1980-10-03,0.0,2.57,2.55,2.57,181600
1980-10-06,0.0,2.61,2.57,2.6,364900
1980-10-07,0.0,2.6,2.56,2.57,633800
1980-10-08,0.0,2.57,2.54,2.55,437500
1980-10-09,0.0,2.56,2.5,2.51,159100
1980-10-10,0.0,2.55,2.46,2.46,232600
1980-10-13,0.0,2.48,2.46,2.48,41500
1980-10-14,0.0,2.51,2.48,2.51,209200
1980-10-15,0.0,2.55,2.52,2.55,995300
1980-10-16,0.0,2.57,2.45,2.46,162500
1980-10-17,0.0,2.45,2.43,2.45,337200
1980-10-20,0.0,2.44,2.38,2.4,250700
1980-10-21,0.0,2.45,2.42,2.45,904500
1980-10-22,0.0,2.47,2.43,2.46,216200
1980-10-23,0.0,2.48,2.45,2.48,135700
1980-10-24,0.0,2.48,2.43,2.45,176400
1980-10-27,0.0,2.46,2.43,2.45,351100
1980-10-28,0.0,2.5,2.45,2.48,179800
1980-10-29,0.0,2.54,2.51,2.53,252500
1980-10-30,0.0,2.54,2.46,2.46,247300
1980-10-31,0.0,2.45,2.37,2.38,1314400
1980-11-03,0.0,2.38,2.34,2.35,506700
1980-11-05,0.0,2.45,2.41,2.42,1268600
1980-11-06,0.0,2.42,2.36,2.37,1010900
1980-11-07,0.0,2.33,2.3,2.3,266300
1980-11-10,0.0,2.33,2.3,2.31,343300
1980-11-11,0.0,2.37,2.31,2.36,443600
1980-11-12,0.0,2.39,2.36,2.39,241200
1980-11-13,0.0,2.48,2.39,2.48,1040300
1980-11-14,0.0,2.51,2.46,2.51,1186500
1980-11-17,0.0,2.52,2.49,2.52,147000
1980-11-18,0.0,2.56,2.51,2.51,524900
1980-11-19,0.0,2.52,2.43,2.46,1234000
1980-11-20,0.0,2.45,2.39,2.39,304400
1980-11-21,0.0,2.4,2.37,2.38,241200
1980-11-24,0.0,2.38,2.33,2.34,163400
1980-11-25,0.0,2.34,2.31,2.31,253300
1980-11-26,0.0,2.34,2.31,2.32,648600
1980-11-28,0.0,2.33,2.3,2.33,255900
1980-12-01,0.0,2.33,2.28,2.29,370900
1980-12-02,0.0,2.28,2.23,2.26,179000
1980-12-03,0.0,2.26,2.25,2.25,131400
1980-12-04,0.0,2.24,2.21,2.22,344100
1980-12-05,0.0,2.21,2.17,2.19,345000
1980-12-08,0.0,2.19,2.08,2.1,471300
1980-12-09,0.0,2.17,2.08,2.17,708200
1980-12-10,0.0,2.19,2.07,2.07,563800
1980-12-11,0.0,2.07,2.01,2.05,554300
1980-12-12,0.0,2.13,2.06,2.13,136600
1980-12-15,0.0,2.16,2.08,2.08,392600
1980-12-16,0.0,2.08,2.02,2.05,290500
1980-12-17,0.0,2.11,2.02,2.02,972000
1980-12-18,0.0,2.03,1.97,1.98,1375000
1980-12-19,0.0,1.99,1.94,1.99,293100
1980-12-22,0.0,2.01,1.96,1.97,639000
1980-12-23,0.0,2.01,1.97,2.0,967700
1980-12-24,0.0,2.01,1.99,1.99,119300
1980-12-26,0.0,2.03,1.99,2.03,143500
1980-12-29,0.0,2.05,2.01,2.02,137500
1980-12-30,0.0,2.02,1.99,1.99,325100
1980-12-31,0.0,2.0,1.97,1.99,181600
1981-01-02,0.0,2.01,1.98,2.01,365800
1981-01-05,0.0,2.01,1.99,2.01,889800
1981-01-06,0.0,2.02,1.99,2.01,1207200
1981-01-07,0.0,1.98,1.93,1.95,1512500
1981-01-08,0.0,1.96,1.91,1.92,799000
1981-01-09,0.0,1.92,1.84,1.9,818900
1981-01-12,0.0,1.93,1.9,1.9,465200
