Date,Open,High,Low,Close,Volume
2011-11-17,16.05,16.55,16.05,16.11,20946000
2011-11-18,16.12,16.26,15.67,15.86,3243100
2011-11-21,15.86,16.03,15.12,15.33,2823100
2011-11-22,15.33,15.64,14.84,15.03,3565500
2011-11-23,14.88,14.91,14.51,14.82,1266200
2011-11-25,14.76,14.97,14.73,14.84,333500
2011-11-28,15.0,15.34,14.85,15.13,835400
2011-11-29,15.1,15.1,14.88,15.1,637000
2011-11-30,15.22,16.21,15.19,15.74,679600
2011-12-01,15.82,15.9,15.37,15.71,572500
2011-12-02,15.82,16.2,15.78,16.14,697300
2011-12-05,16.2,16.55,16.16,16.44,2466800
2011-12-06,16.34,16.8,16.32,16.71,625200
2011-12-07,16.56,16.69,16.48,16.61,188000
2011-12-08,16.4,16.57,16.33,16.38,450800
2011-12-09,16.33,16.6,16.05,16.42,587700
2011-12-12,16.16,16.3,16.05,16.24,514700
2011-12-13,16.35,16.48,16.02,16.09,666500
2011-12-14,15.92,16.0,15.52,15.59,1255700
2011-12-15,15.84,16.52,15.7,15.83,850400
2011-12-16,15.83,16.24,15.66,15.84,250800
2011-12-19,15.91,15.99,15.68,15.85,177700
2011-12-20,16.18,16.38,15.99,16.24,381900
2011-12-21,16.14,16.37,16.08,16.16,320400
2011-12-22,16.18,16.5,16.18,16.45,446700
2011-12-23,16.48,16.95,16.33,16.57,647200
2011-12-27,17.29,17.29,16.15,16.35,528600
2011-12-28,16.44,16.48,15.93,16.0,172700
2011-12-29,16.02,16.18,15.87,16.18,344800
2011-12-30,16.21,16.34,15.93,16.27,152700
2012-01-03,16.7,17.32,16.43,16.79,1169400
2012-01-04,17.54,17.54,16.5,17.02,469600
2012-01-05,16.95,16.95,16.43,16.72,802200
2012-01-06,16.72,17.24,16.61,17.03,690600
2012-01-09,17.07,17.15,16.98,17.15,499600
2012-01-10,17.31,18.12,17.31,18.0,1131900
2012-01-11,17.97,18.14,17.81,18.09,271200
2012-01-12,18.2,18.88,18.01,18.64,1208900
2012-01-13,18.52,19.12,18.33,18.73,645200
2012-01-17,18.84,18.98,18.33,18.4,1059100
2012-01-18,18.28,18.88,18.28,18.5,679600
2012-01-19,18.64,19.01,18.57,18.93,1141100
2012-01-20,18.89,19.03,18.83,18.95,634600
