Date,Open,High,Low,Close,Volume
1997-05-28,8.8,9.12,8.8,8.96,1862700
1997-05-29,8.96,9.12,8.96,9.12,296800
1997-05-30,9.02,9.44,9.02,9.39,220400
1997-06-02,9.44,9.5,9.18,9.39,66800
1997-06-03,9.28,9.44,9.23,9.44,180000
1997-06-04,9.5,9.5,9.28,9.34,99900
1997-06-05,9.18,9.34,9.07,9.34,291600
1997-06-06,9.18,9.18,9.18,9.18,0
1997-06-09,9.18,9.18,9.18,9.18,0
1997-06-10,9.18,9.28,9.18,9.28,57600
1997-06-11,9.12,9.23,9.02,9.07,146600
1997-06-12,9.07,9.23,9.02,9.12,73300
1997-06-13,9.07,9.12,9.07,9.07,134200
1997-06-16,9.07,9.23,9.07,9.23,73200
1997-06-17,9.12,9.18,9.12,9.12,53300
1997-06-18,9.18,9.23,9.12,9.18,54100
1997-06-19,9.18,9.23,9.18,9.18,44100
1997-06-20,9.18,9.28,9.18,9.23,37800
1997-06-23,9.23,9.34,9.12,9.12,80800
1997-06-24,9.18,9.18,9.07,9.18,116000
1997-06-25,9.18,9.23,9.07,9.23,127400
1997-06-26,9.23,9.28,9.18,9.23,52100
1997-06-27,9.18,9.34,9.12,9.28,44500
1997-06-30,9.28,9.34,9.12,9.34,60300
1997-07-01,9.23,9.66,9.23,9.6,121300
1997-07-02,9.66,9.66,9.5,9.66,77300
1997-07-03,9.71,9.77,9.61,9.77,46000
1997-07-07,9.77,9.87,9.71,9.77,122200
1997-07-08,9.77,9.77,9.61,9.77,50400
1997-07-09,9.77,9.82,9.66,9.77,97000
1997-07-10,9.77,9.82,9.71,9.77,99000
1997-07-11,9.77,9.82,9.55,9.82,136100
1997-07-14,9.82,10.25,9.82,10.09,106600
1997-07-15,9.98,10.3,9.98,10.2,85400
1997-07-16,10.3,10.41,10.2,10.3,68800
1997-07-17,10.2,10.36,10.14,10.25,53000
1997-07-18,10.2,10.25,10.2,10.25,126500
1997-07-21,10.25,10.3,10.2,10.3,111800
1997-07-22,10.3,10.3,10.2,10.3,38800
1997-07-23,10.3,10.41,10.25,10.41,180000
1997-07-24,10.3,10.36,10.3,10.3,47600
1997-07-25,10.36,10.41,10.3,10.41,25500
1997-07-28,10.41,10.52,10.36,10.41,96800
1997-07-29,10.41,10.46,10.3,10.46,19900
1997-07-30,10.46,10.57,10.46,10.52,59600
1997-07-31,10.57,10.73,10.57,10.57,83500
1997-08-01,10.63,10.73,10.57,10.63,18700
1997-08-04,10.57,11.05,10.57,11.05,25700
1997-08-05,11.0,11.0,10.68,10.95,393700
1997-08-06,10.95,10.95,10.84,10.89,59700
1997-08-07,11.0,11.05,10.95,10.95,23800
1997-08-08,10.95,11.16,10.89,11.16,25500
1997-08-11,11.22,11.22,11.0,11.0,9600
1997-08-12,11.05,11.11,10.95,10.95,44600
1997-08-13,10.95,11.05,10.95,10.95,47300
1997-08-14,10.95,11.11,10.95,11.0,8800
1997-08-15,10.95,10.95,10.95,10.95,2800
1997-08-18,10.95,11.0,10.95,10.95,4900
1997-08-19,10.95,11.22,10.95,11.16,22600
1997-08-20,11.16,11.22,11.16,11.16,68800
1997-08-21,11.22,11.27,11.16,11.16,43200
1997-08-22,11.16,11.27,11.11,11.22,22000
1997-08-25,11.27,11.38,11.22,11.27,16300
1997-08-26,11.16,11.22,11.0,11.0,19200
1997-08-27,11.05,11.11,11.0,11.05,3900
1997-08-28,11.05,11.27,11.05,11.22,8300
1997-08-29,11.22,11.27,11.16,11.22,4600
1997-09-02,11.22,11.27,11.11,11.22,14600
1997-09-03,11.22,11.59,11.22,11.59,19000
1997-09-04,11.54,11.86,11.54,11.86,31100
1997-09-05,11.75,12.24,11.75,12.24,51700
1997-09-08,12.13,12.18,11.81,11.81,90400
1997-09-09,11.59,11.59,11.59,11.59,0
1997-09-10,11.54,11.59,11.16,11.22,41300
1997-09-11,11.22,11.32,11.22,11.32,102800
1997-09-12,11.22,11.32,11.16,11.22,21500
1997-09-15,11.16,11.54,11.16,11.48,9500
1997-09-16,11.48,11.75,11.48,11.7,9700
1997-09-17,11.81,11.86,11.54,11.59,41100
1997-09-18,11.7,11.7,11.59,11.59,3400
1997-09-19,11.48,11.59,11.43,11.43,50600
1997-09-22,11.43,11.59,11.38,11.59,51900
1997-09-23,11.7,11.7,11.54,11.65,111200
1997-09-24,11.65,11.7,11.38,11.48,60700
1997-09-25,11.48,11.75,11.38,11.65,18700
1997-09-26,11.65,11.75,11.65,11.7,4200
1997-09-29,11.7,12.02,11.7,11.91,8000
1997-09-30,11.91,12.24,11.91,12.24,12100
1997-10-01,12.18,12.45,12.18,12.45,9900
1997-10-02,12.45,12.45,12.29,12.29,8100
1997-10-03,12.34,12.4,12.29,12.29,4200
1997-10-06,12.29,12.34,12.24,12.24,5400
1997-10-07,12.24,12.34,12.18,12.34,46900
1997-10-08,12.35,12.35,12.14,12.19,10900
1997-10-09,12.24,12.24,12.19,12.24,12500
1997-10-10,12.3,12.41,12.3,12.35,17600
1997-10-13,12.35,12.41,12.35,12.41,3600
1997-10-14,12.41,12.41,12.35,12.35,5600
1997-10-15,12.3,12.35,12.3,12.3,2300
1997-10-16,12.35,12.41,12.3,12.41,5400
1997-10-17,12.35,12.41,12.08,12.08,14100
1997-10-20,12.03,12.03,11.92,11.92,9800
1997-10-21,11.86,11.92,11.81,11.86,3100
1997-10-22,11.97,12.03,11.92,12.03,87700
1997-10-23,11.92,11.92,11.81,11.92,77700
1997-10-24,11.81,12.03,11.81,12.03,4400
1997-10-27,11.92,11.92,11.76,11.86,199500
1997-10-28,11.76,11.76,11.59,11.76,14300
1997-10-29,11.81,12.14,11.76,12.14,7900
1997-10-30,12.14,12.14,12.14,12.14,500
1997-10-31,12.08,12.19,11.92,11.92,5600
1997-11-03,12.03,12.08,11.97,12.08,80700
1997-11-04,12.03,12.19,11.92,12.19,24300
1997-11-05,12.24,12.73,12.24,12.73,68900
1997-11-06,12.63,12.79,12.63,12.73,38600
1997-11-07,12.63,12.63,12.57,12.57,6900
1997-11-10,12.63,12.63,12.3,12.3,29500
1997-11-11,12.24,12.3,12.14,12.14,2300
1997-11-12,12.19,12.19,12.03,12.08,28000
1997-11-13,12.08,12.08,11.97,11.97,6800
1997-11-14,11.97,12.08,11.92,11.97,3700
1997-11-17,12.03,12.14,12.03,12.14,6800
1997-11-18,12.19,12.3,12.19,12.3,2700
1997-11-19,12.3,12.46,12.3,12.46,13200
1997-11-20,12.63,13.28,12.63,13.12,61700
1997-11-21,13.22,13.28,13.12,13.28,62400
1997-11-24,13.22,13.44,13.17,13.44,17800
1997-11-25,13.5,13.88,13.44,13.82,17400
1997-11-26,13.88,13.88,13.66,13.66,94200
1997-11-28,13.71,13.71,13.55,13.55,12600
1997-12-01,13.33,13.33,13.01,13.17,60200
1997-12-02,13.01,13.17,13.01,13.17,36600
1997-12-03,13.17,13.22,12.63,12.63,85000
1997-12-04,12.68,12.73,12.63,12.68,68600
1997-12-05,12.68,12.68,12.63,12.68,6800
1997-12-08,12.68,12.79,12.68,12.79,39800
1997-12-09,12.9,13.33,12.9,13.17,233300
1997-12-10,13.17,13.22,13.06,13.06,55900
1997-12-11,13.01,13.12,13.01,13.01,32000
1997-12-12,12.95,13.28,12.9,13.22,26900
1997-12-15,13.28,13.33,13.06,13.33,31300
1997-12-16,13.28,13.33,13.01,13.22,154800
1997-12-17,13.17,13.28,13.06,13.28,150100
1997-12-18,13.22,13.22,12.95,13.06,62900
1997-12-19,12.95,13.01,12.9,13.01,35200
1997-12-22,13.06,13.44,13.06,13.44,6000
1997-12-23,13.44,13.44,13.33,13.33,5900
1997-12-24,13.28,13.28,13.17,13.22,2100
1997-12-26,13.22,13.22,13.17,13.17,2200
1997-12-29,13.17,13.28,13.12,13.28,28200
1997-12-30,13.33,13.66,13.33,13.55,14100
1997-12-31,13.61,13.88,13.39,13.71,20800
1998-01-02,13.66,13.77,13.66,13.77,3400
1998-01-05,13.82,13.93,13.77,13.82,26000
1998-01-06,13.93,14.1,13.93,14.1,23400
1998-01-07,14.0,14.11,14.0,14.05,76300
1998-01-08,14.11,14.11,13.89,13.94,29400
1998-01-09,14.0,14.0,13.89,14.0,12000
1998-01-12,13.72,13.72,13.56,13.56,30600
1998-01-13,13.64,14.16,13.56,14.11,91600
1998-01-14,14.08,14.11,14.05,14.11,58700
1998-01-15,14.11,14.11,13.97,14.11,33000
1998-01-16,14.22,14.41,14.22,14.3,90400
1998-01-20,14.38,14.38,14.22,14.24,25400
1998-01-21,14.19,14.24,14.13,14.19,27200
1998-01-22,14.16,14.22,13.75,14.08,14300
1998-01-23,14.08,14.11,13.94,14.11,122400
1998-01-26,14.16,14.16,13.97,14.13,11300
1998-01-27,14.08,14.22,14.08,14.19,25400
1998-01-28,14.13,14.24,14.08,14.16,32700
1998-01-29,14.11,14.3,14.11,14.3,57500
1998-01-30,14.27,14.77,14.27,14.71,30000
1998-02-02,14.8,14.85,14.63,14.66,12700
1998-02-03,14.55,14.57,14.35,14.41,8800
1998-02-04,14.44,14.91,14.44,14.66,8200
1998-02-05,14.6,14.71,14.46,14.57,13500
1998-02-06,14.52,14.71,14.52,14.71,6800
1998-02-09,14.74,15.24,14.74,14.96,11500
1998-02-10,14.88,15.02,14.74,14.85,11900
1998-02-11,14.96,15.04,14.27,14.49,176500
1998-02-12,14.57,14.71,14.46,14.52,19800
1998-02-13,14.57,14.57,14.44,14.44,4800
1998-02-17,14.46,14.46,14.11,14.33,27900
1998-02-18,14.13,14.38,14.08,14.08,11200
1998-02-19,14.08,14.11,13.89,13.91,7400
1998-02-20,13.8,13.8,13.17,13.67,36300
1998-02-23,13.72,13.83,13.58,13.67,72900
1998-02-24,13.78,14.05,13.75,13.97,25200
1998-02-25,14.02,14.44,14.02,14.33,17600
1998-02-26,14.3,14.82,14.3,14.68,9000
1998-02-27,14.66,15.04,14.63,15.04,17000
1998-03-02,14.82,14.85,14.0,14.46,97400
1998-03-03,14.41,14.46,14.3,14.44,67400
1998-03-04,14.38,14.57,14.38,14.41,17100
1998-03-05,14.24,14.33,14.11,14.33,17100
1998-03-06,14.27,14.8,14.27,14.52,11100
1998-03-09,14.52,14.55,14.13,14.16,16200
1998-03-10,14.13,14.33,14.13,14.27,5800
1998-03-11,14.22,14.27,14.13,14.16,6600
1998-03-12,14.19,14.19,14.02,14.08,4200
1998-03-13,14.02,14.08,13.72,14.08,11500
1998-03-16,14.13,14.22,14.08,14.22,10600
1998-03-17,14.16,14.22,14.11,14.11,8900
1998-03-18,14.02,14.08,13.89,13.89,6800
1998-03-19,13.91,13.94,13.67,13.75,12000
1998-03-20,13.86,13.97,13.83,13.83,14200
1998-03-23,13.75,13.78,13.67,13.72,2900
1998-03-24,13.69,13.83,13.67,13.69,8100
1998-03-25,13.67,13.78,13.67,13.75,10900
1998-03-26,13.69,13.75,13.61,13.69,23600
1998-03-27,13.97,14.13,13.83,13.94,40300
1998-03-30,13.94,13.94,13.78,13.83,4500
1998-03-31,13.86,13.97,13.86,13.97,11000
1998-04-01,13.91,14.02,13.89,13.94,12900
1998-04-02,14.0,14.08,13.94,13.97,36800
1998-04-03,14.06,14.15,13.9,13.92,19300
1998-04-06,13.95,13.98,13.84,13.84,23500
1998-04-07,13.9,13.9,13.81,13.84,59900
1998-04-08,13.78,13.84,13.78,13.81,25100
1998-04-09,13.81,13.87,13.73,13.81,12200
1998-04-13,13.81,13.81,13.73,13.81,3000
1998-04-14,13.81,13.84,13.81,13.81,67300
1998-04-15,13.73,13.81,13.67,13.67,15700
1998-04-16,13.67,13.67,13.39,13.39,10100
1998-04-17,13.39,13.62,13.11,13.51,61700
1998-04-20,13.51,13.53,13.51,13.53,119300
1998-04-21,13.53,13.78,13.51,13.76,25400
1998-04-22,13.73,14.15,13.73,14.15,13800
1998-04-23,14.09,14.12,14.09,14.09,1400
1998-04-24,14.04,14.18,14.01,14.09,10900
1998-04-27,14.18,14.18,14.04,14.12,37600
1998-04-28,14.06,14.12,13.98,14.04,32900
1998-04-29,14.09,14.29,14.04,14.29,6300
1998-04-30,14.34,14.76,14.34,14.71,23500
1998-05-01,14.73,15.4,14.73,15.18,79800
1998-05-04,15.18,15.18,14.93,15.12,16500
1998-05-05,15.07,15.1,14.9,14.9,18400
1998-05-06,14.9,14.9,14.73,14.79,6600
1998-05-07,14.79,14.79,14.4,14.4,5500
1998-05-08,14.34,14.4,14.23,14.4,4800
1998-05-11,14.4,14.4,14.29,14.31,3800
1998-05-12,14.29,14.43,14.18,14.43,7000
1998-05-13,14.37,14.37,14.29,14.31,5400
1998-05-14,14.31,14.4,14.31,14.4,14300
1998-05-15,14.37,14.51,14.29,14.31,3700
1998-05-18,14.31,14.48,14.23,14.48,43000
1998-05-19,14.43,14.45,14.26,14.29,51700
1998-05-20,14.29,14.29,14.09,14.09,6400
1998-05-21,14.12,14.12,13.95,13.98,9600
1998-05-22,13.92,13.95,13.84,13.87,8200
1998-05-26,13.9,13.9,13.78,13.78,10900
1998-05-27,13.78,13.78,13.62,13.64,14100
1998-05-28,13.64,13.98,13.62,13.95,22800
1998-05-29,13.95,14.15,13.95,14.15,7800
1998-06-01,14.15,14.23,14.09,14.15,55200
1998-06-02,14.18,14.18,14.04,14.04,12000
1998-06-03,13.92,13.92,13.84,13.87,6500
1998-06-04,13.9,13.9,13.9,13.9,600
1998-06-05,13.9,13.9,13.81,13.81,3300
1998-06-08,13.81,13.92,13.76,13.92,19400
1998-06-09,13.92,13.92,13.76,13.84,2300
1998-06-10,13.78,13.78,13.11,13.31,54400
1998-06-11,13.31,13.34,13.14,13.25,24900
1998-06-12,13.25,13.25,13.25,13.25,3300
1998-06-15,13.2,13.2,12.95,12.95,3900
1998-06-16,12.98,13.0,12.95,12.98,18300
1998-06-17,12.98,13.03,12.84,12.95,10600
1998-06-18,12.92,13.11,12.89,13.11,22200
1998-06-19,13.14,13.31,13.09,13.23,8700
1998-06-22,13.25,13.42,13.23,13.42,157400
1998-06-23,13.34,13.45,13.34,13.37,17800
1998-06-24,13.39,13.48,13.39,13.42,10500
1998-06-25,13.42,13.45,13.42,13.42,2000
1998-06-26,13.39,13.39,13.23,13.23,15100
1998-06-29,13.17,13.17,12.72,12.95,75000
1998-06-30,13.0,13.37,13.0,13.37,17900
1998-07-01,13.31,13.39,13.31,13.39,4500
1998-07-02,13.29,13.49,13.21,13.46,38700
1998-07-06,13.43,13.57,13.35,13.52,24300
1998-07-07,13.57,14.14,13.57,13.89,35900
1998-07-08,13.91,14.03,13.83,14.03,12600
1998-07-09,13.83,13.89,13.77,13.77,18500
1998-07-10,13.57,13.63,13.55,13.63,9400
1998-07-13,13.72,13.72,13.46,13.66,86400
1998-07-14,13.72,13.94,13.72,13.83,3600
1998-07-15,13.89,13.89,13.55,13.8,13300
1998-07-16,13.86,14.34,13.86,14.34,40100
1998-07-17,14.34,14.34,14.03,14.03,7800
1998-07-20,14.06,14.06,14.03,14.03,3300
1998-07-21,13.97,13.97,13.74,13.74,51200
1998-07-22,13.77,13.77,13.46,13.46,32300
1998-07-23,13.52,13.52,13.26,13.32,17100
1998-07-24,13.24,13.24,12.92,12.95,8000
1998-07-27,12.9,12.9,12.81,12.87,11200
1998-07-28,12.84,12.84,12.58,12.67,33300
1998-07-29,12.67,12.87,12.67,12.73,32300
1998-07-30,12.7,12.9,12.7,12.87,10000
1998-07-31,12.95,13.26,12.95,13.18,205300
1998-08-03,13.18,13.32,13.12,13.32,191400
1998-08-04,13.26,13.32,13.07,13.12,118300
1998-08-05,13.21,13.24,13.04,13.09,101500
1998-08-06,13.12,13.18,13.07,13.12,110000
1998-08-07,13.07,13.21,13.07,13.12,140300
1998-08-10,13.12,13.35,13.07,13.18,19100
1998-08-11,13.12,13.12,13.01,13.12,32700
1998-08-12,13.12,13.15,13.09,13.12,432500
1998-08-13,13.12,13.21,13.12,13.18,6200
1998-08-14,13.18,13.38,13.18,13.21,24400
1998-08-17,13.26,13.91,13.26,13.83,17900
1998-08-18,13.74,14.25,13.74,13.86,17400
1998-08-19,13.86,13.86,13.8,13.83,6100
1998-08-20,13.8,13.97,13.8,13.86,22900
1998-08-21,13.89,13.91,13.83,13.91,2700
1998-08-24,13.86,13.89,13.86,13.89,2700
1998-08-25,13.91,13.91,13.86,13.86,27200
1998-08-26,13.86,13.86,13.6,13.74,34100
1998-08-27,13.69,13.72,13.55,13.55,3900
1998-08-28,13.49,13.49,13.18,13.41,18600
1998-08-31,13.41,13.41,13.12,13.15,14500
1998-09-01,13.09,13.21,12.84,12.92,28800
1998-09-02,12.87,12.87,12.27,12.33,24500
1998-09-03,12.44,12.44,12.22,12.22,14100
1998-09-04,12.22,12.22,12.08,12.13,3500
1998-09-08,12.22,12.64,12.22,12.64,11300
1998-09-09,12.56,12.87,12.56,12.87,18600
1998-09-10,12.75,12.75,12.64,12.64,3000
1998-09-11,12.58,12.58,12.47,12.47,13700
1998-09-14,12.3,12.36,11.88,11.91,10600
1998-09-15,11.96,11.96,11.79,11.91,18700
1998-09-16,11.91,11.93,11.76,11.76,33500
1998-09-17,11.68,11.68,11.4,11.54,14400
1998-09-18,11.74,11.88,11.68,11.88,20200
1998-09-21,11.76,12.25,11.76,12.25,15100
1998-09-22,12.33,13.09,12.33,13.01,26800
1998-09-23,13.04,13.09,13.01,13.09,1700
1998-09-24,13.07,13.07,12.92,12.95,24800
1998-09-25,12.95,12.98,12.81,12.9,3200
1998-09-28,12.84,13.04,12.84,12.84,12000
1998-09-29,12.84,12.84,12.44,12.44,31200
1998-09-30,12.36,12.53,12.16,12.27,21900
1998-10-01,12.33,12.39,12.19,12.25,17500
1998-10-02,12.34,12.95,12.29,12.92,30100
1998-10-05,12.97,12.97,12.83,12.95,40500
1998-10-06,12.92,13.0,12.92,12.97,10600
1998-10-07,12.95,12.95,12.83,12.86,75200
1998-10-08,12.75,12.75,12.4,12.57,39200
1998-10-09,12.52,12.54,12.29,12.29,115200
1998-10-12,12.29,12.31,12.26,12.31,19400
1998-10-13,12.31,12.31,12.23,12.23,2500
1998-10-14,12.23,12.31,12.23,12.31,20200
1998-10-15,12.29,12.31,12.23,12.29,39700
1998-10-16,12.23,12.37,12.17,12.29,24700
1998-10-19,12.29,12.4,12.17,12.17,19600
1998-10-20,12.17,12.23,12.06,12.17,24900
1998-10-21,12.23,12.31,12.2,12.26,5100
1998-10-22,12.29,12.29,12.11,12.14,11000
1998-10-23,12.06,12.08,11.91,11.91,48800
1998-10-26,12.06,12.26,12.06,12.23,29900
1998-10-27,12.27,12.27,12.14,12.14,19200
1998-10-28,12.08,12.29,12.08,12.23,2500
1998-10-29,12.14,12.17,12.11,12.11,1600
1998-10-30,12.14,12.26,12.14,12.26,26500
1998-11-02,12.26,12.83,12.26,12.83,14800
1998-11-03,12.83,12.86,12.72,12.72,20400
1998-11-04,12.77,12.86,12.63,12.66,164200
1998-11-05,12.72,13.06,12.72,13.06,14400
1998-11-06,13.03,13.61,13.03,13.41,21700
1998-11-09,13.46,13.55,13.43,13.55,6000
1998-11-10,13.55,13.61,13.43,13.46,8000
1998-11-11,13.43,13.49,13.43,13.46,3000
1998-11-12,13.49,13.49,13.41,13.46,3000
1998-11-13,13.41,13.46,13.38,13.43,5500
1998-11-16,13.41,13.46,13.35,13.46,6600
1998-11-17,13.46,13.55,13.41,13.55,9500
1998-11-18,13.55,13.75,13.55,13.75,4700
1998-11-19,13.69,13.72,13.69,13.72,700
1998-11-20,13.66,13.69,13.52,13.52,13000
1998-11-23,13.49,13.75,13.49,13.75,5900
1998-11-24,13.75,13.81,13.72,13.78,2400
1998-11-25,13.81,14.01,13.78,14.01,1700
1998-11-27,14.01,14.01,14.01,14.01,0
1998-11-30,14.07,14.18,14.07,14.18,1800
1998-12-01,14.12,14.21,14.12,14.15,16300
1998-12-02,14.15,14.15,14.04,14.07,7100
1998-12-03,14.09,14.12,14.07,14.09,4100
1998-12-04,14.12,14.18,14.12,14.18,17900
1998-12-07,14.24,14.24,14.07,14.15,11700
1998-12-08,14.18,14.32,14.15,14.18,46400
1998-12-09,14.18,14.27,14.15,14.18,13900
1998-12-10,14.12,14.27,14.12,14.24,260500
1998-12-11,14.27,14.3,14.21,14.27,2000
1998-12-14,14.21,14.5,14.15,14.5,14900
1998-12-15,14.52,14.58,14.47,14.52,24200
1998-12-16,14.47,14.47,14.35,14.44,7900
1998-12-17,14.38,14.47,14.3,14.47,12600
1998-12-18,14.47,14.5,14.3,14.44,20000
1998-12-21,14.44,14.52,14.44,14.52,20500
1998-12-22,14.52,14.52,14.27,14.47,4300
1998-12-23,14.47,14.47,14.3,14.44,4600
1998-12-24,14.44,14.44,14.41,14.41,2400
1998-12-28,14.32,14.61,14.32,14.61,20900
1998-12-29,14.61,14.67,14.32,14.32,30700
1998-12-30,14.38,14.47,14.24,14.47,15000
1998-12-31,14.51,14.51,14.3,14.39,11900
1999-01-04,14.48,14.51,14.36,14.48,85900
1999-01-05,14.45,14.57,14.42,14.57,123400
1999-01-06,14.57,14.68,14.48,14.54,10000
1999-01-07,14.48,14.48,14.3,14.36,6400
1999-01-08,14.36,14.36,13.9,14.07,33700
1999-01-11,13.96,14.07,13.96,14.01,19300
1999-01-12,13.96,14.13,13.9,14.13,59500
1999-01-13,14.01,14.28,14.01,14.13,19200
1999-01-14,14.1,14.16,13.98,13.98,42600
1999-01-15,13.87,14.01,13.84,13.93,67300
