Date,Open,High,Low,Close,Volume
1983-12-28,1.03,1.06,1.03,1.03,19200
1983-12-29,1.03,1.06,1.03,1.03,93900
1983-12-30,1.03,1.06,1.03,1.03,79800
1984-01-03,1.03,1.05,1.02,1.02,33000
1984-01-04,1.02,1.03,1.0,1.0,51600
1984-01-05,1.0,1.03,1.0,1.0,35100
1984-01-06,1.02,1.05,1.02,1.02,60600
1984-01-09,1.03,1.06,1.03,1.03,40200
1984-01-10,1.03,1.05,1.03,1.03,44400
1984-01-11,1.03,1.05,1.02,1.02,60000
1984-01-12,1.02,1.05,1.02,1.02,27900
1984-01-13,1.02,1.05,1.02,1.02,32700
1984-01-16,1.03,1.05,1.03,1.03,31800
1984-01-17,1.03,1.05,1.02,1.02,75600
1984-01-18,1.02,1.03,1.02,1.02,54600
1984-01-19,1.02,1.05,1.02,1.02,65700
1984-01-20,1.02,1.03,1.02,1.02,46500
1984-01-23,1.02,1.05,1.02,1.02,84900
1984-01-24,1.02,1.05,1.02,1.02,27600
1984-01-25,1.02,1.05,1.02,1.02,28200
1984-01-26,1.02,1.05,1.02,1.02,16500
1984-01-27,1.05,1.1,1.05,1.05,21900
1984-01-30,1.05,1.07,1.05,1.05,47400
1984-01-31,1.05,1.07,1.03,1.03,28800
1984-02-01,1.05,1.07,1.05,1.05,20700
1984-02-02,1.06,1.1,1.06,1.06,28500
1984-02-03,1.1,1.12,1.1,1.1,14100
1984-02-06,1.1,1.11,1.07,1.07,39900
1984-02-07,1.07,1.11,1.07,1.07,23100
1984-02-08,1.11,1.14,1.11,1.11,33300
1984-02-09,1.11,1.14,1.11,1.11,14100
1984-02-10,1.12,1.14,1.12,1.12,43500
1984-02-13,1.11,1.11,1.07,1.07,31800
1984-02-14,1.07,1.11,1.07,1.07,14400
1984-02-15,1.07,1.11,1.07,1.07,8400
1984-02-16,1.07,1.1,1.07,1.07,11100
1984-02-17,1.1,1.12,1.1,1.1,25200
1984-02-21,1.1,1.11,1.07,1.07,23100
1984-02-22,1.07,1.1,1.06,1.06,6600
1984-02-23,1.06,1.07,1.06,1.06,51900
1984-02-24,1.06,1.1,1.06,1.06,18600
1984-02-27,1.06,1.07,1.05,1.05,15600
1984-02-28,1.05,1.07,1.05,1.05,21600
1984-02-29,1.05,1.07,1.05,1.05,12000
1984-03-01,1.05,1.07,1.05,1.05,3300
1984-03-02,1.05,1.07,1.05,1.05,17700
1984-03-05,1.05,1.07,1.05,1.05,15300
1984-03-06,1.06,1.11,1.06,1.06,12900
1984-03-07,1.06,1.06,1.05,1.05,24300
1984-03-08,1.05,1.07,1.05,1.05,12300
1984-03-09,1.06,1.07,1.06,1.06,3300
1984-03-12,1.07,1.11,1.07,1.07,18000
1984-03-13,1.07,1.11,1.07,1.07,8400
1984-03-14,1.07,1.11,1.07,1.07,19800
1984-03-15,1.07,1.11,1.07,1.07,3600
1984-03-16,1.07,1.11,1.07,1.07,68700
1984-03-19,1.07,1.11,1.07,1.07,13800
1984-03-20,1.07,1.11,1.07,1.07,39000
1984-03-21,1.07,1.11,1.07,1.07,3600
1984-03-22,1.07,1.11,1.07,1.07,8100
1984-03-23,1.07,1.11,1.07,1.07,19500
1984-03-26,1.08,1.11,1.08,1.08,43200
1984-03-27,1.08,1.11,1.08,1.08,21300
1984-03-28,1.08,1.11,1.08,1.08,12300
1984-03-29,1.08,1.11,1.08,1.08,26100
1984-03-30,1.08,1.11,1.08,1.08,20700
1984-04-02,1.08,1.1,1.07,1.07,30000
1984-04-03,1.07,1.07,1.05,1.05,15900
1984-04-04,1.05,1.07,1.05,1.05,66000
1984-04-05,1.05,1.06,1.03,1.03,46500
1984-04-06,1.03,1.06,1.03,1.03,23100
1984-04-09,1.03,1.06,1.03,1.03,6900
1984-04-10,1.03,1.06,1.03,1.03,6300
1984-04-11,1.05,1.07,1.05,1.05,25500
1984-04-12,1.05,1.06,1.05,1.05,15000
1984-04-13,1.05,1.06,1.03,1.03,14400
1984-04-16,1.03,1.05,1.03,1.03,18900
1984-04-17,1.03,1.05,1.02,1.02,9600
1984-04-18,1.02,1.05,1.02,1.02,9600
1984-04-19,1.02,1.05,1.02,1.02,10500
1984-04-23,1.02,1.03,1.0,1.0,9600
1984-04-24,1.0,1.03,1.0,1.0,15300
1984-04-25,1.0,1.02,0.98,0.98,5100
1984-04-26,0.98,1.02,0.98,0.98,6600
1984-04-27,0.98,1.02,0.98,0.98,19800
1984-04-30,1.02,1.05,1.02,1.02,34500
1984-05-01,1.07,1.1,1.07,1.07,33000
1984-05-02,1.07,1.07,1.05,1.05,32100
1984-05-03,1.06,1.1,1.06,1.06,35400
1984-05-04,1.07,1.11,1.07,1.07,40200
1984-05-07,1.07,1.11,1.07,1.07,32400
1984-05-08,1.1,1.12,1.1,1.1,28800
1984-05-09,1.11,1.14,1.11,1.11,37800
1984-05-10,1.11,1.12,1.11,1.11,12600
1984-05-11,1.11,1.12,1.11,1.11,31200
1984-05-14,1.11,1.12,1.1,1.1,6000
1984-05-15,1.1,1.12,1.1,1.1,7500
1984-05-16,1.1,1.12,1.1,1.1,7500
1984-05-17,1.1,1.12,1.1,1.1,26100
1984-05-18,1.1,1.12,1.1,1.1,7500
1984-05-21,1.1,1.12,1.1,1.1,9300
1984-05-22,1.1,1.11,1.06,1.06,24600
1984-05-23,1.06,1.1,1.06,1.06,6900
1984-05-24,1.05,1.05,1.03,1.03,19200
1984-05-25,1.03,1.05,1.02,1.02,12600
1984-05-29,1.02,1.05,1.02,1.02,8400
1984-05-30,1.02,1.03,1.02,1.02,6600
1984-05-31,1.02,1.03,1.02,1.02,5400
1984-06-01,1.02,1.05,1.02,1.02,20400
1984-06-04,1.05,1.06,1.05,1.05,48600
1984-06-05,1.05,1.06,1.03,1.03,6900
1984-06-06,1.03,1.06,1.03,1.03,3000
1984-06-07,1.03,1.06,1.03,1.03,2700
1984-06-08,1.03,1.07,1.03,1.03,10500
1984-06-11,1.03,1.06,1.03,1.03,16800
1984-06-12,1.03,1.05,1.03,1.03,22500
1984-06-13,1.03,1.05,1.03,1.03,9300
1984-06-14,1.03,1.05,1.03,1.03,9900
1984-06-15,1.03,1.07,1.03,1.03,12300
1984-06-18,1.05,1.07,1.05,1.05,21300
1984-06-19,1.05,1.07,1.05,1.05,6000
1984-06-20,1.05,1.07,1.05,1.05,6000
1984-06-21,1.05,1.07,1.05,1.05,17700
1984-06-22,1.05,1.07,1.05,1.05,5400
1984-06-25,1.05,1.07,1.05,1.05,3000
1984-06-26,1.06,1.1,1.06,1.06,35700
1984-06-27,1.1,1.11,1.1,1.1,27900
1984-06-28,1.1,1.11,1.07,1.07,4800
1984-06-29,1.07,1.1,1.07,1.07,20100
1984-07-02,1.07,1.1,1.06,1.06,11100
1984-07-03,1.06,1.1,1.06,1.06,1500
1984-07-05,1.06,1.1,1.06,1.06,1800
1984-07-06,1.06,1.1,1.06,1.06,5400
1984-07-09,1.06,1.1,1.06,1.06,6600
1984-07-10,1.06,1.1,1.06,1.06,3900
1984-07-11,1.07,1.1,1.07,1.07,6600
1984-07-12,1.07,1.1,1.07,1.07,78900
1984-07-13,1.07,1.07,1.06,1.06,3600
1984-07-16,1.06,1.07,1.06,1.06,900
1984-07-17,1.06,1.07,1.06,1.06,3900
1984-07-18,1.06,1.07,1.06,1.06,4500
1984-07-19,1.06,1.07,1.06,1.06,8100
1984-07-20,1.06,1.07,1.05,1.05,1200
1984-07-23,1.05,1.06,1.03,1.03,3000
1984-07-24,1.03,1.05,1.02,1.02,16800
1984-07-25,1.02,1.05,1.0,1.0,8400
1984-07-26,1.02,1.05,1.02,1.02,2100
1984-07-27,1.02,1.05,1.02,1.02,3900
1984-07-30,1.02,1.05,1.02,1.02,6000
1984-07-31,1.02,1.05,1.02,1.02,11700
1984-08-01,1.02,1.05,1.02,1.02,3900
1984-08-02,1.02,1.03,1.02,1.02,10200
1984-08-03,1.02,1.03,1.02,1.02,1800
1984-08-06,1.02,1.03,1.02,1.02,3600
1984-08-07,1.02,1.03,1.0,1.0,5400
1984-08-08,1.0,1.03,1.0,1.0,4500
1984-08-09,1.0,1.03,1.0,1.0,600
1984-08-10,1.0,1.03,1.0,1.0,5400
1984-08-13,1.0,1.02,0.98,0.98,900
1984-08-14,1.0,1.02,1.0,1.0,5400
1984-08-15,1.0,1.02,0.98,0.98,3600
1984-08-16,0.98,1.02,0.98,0.98,7800
1984-08-17,0.98,1.02,0.98,0.98,3000
1984-08-20,1.0,1.02,1.0,1.0,10800
1984-08-21,1.0,1.0,0.98,0.98,11700
1984-08-22,0.98,1.0,0.98,0.98,3300
1984-08-23,0.98,1.0,0.98,0.98,1800
1984-08-24,0.98,1.0,0.98,0.98,2100
1984-08-27,0.98,0.98,0.96,0.96,15000
1984-08-28,0.96,0.98,0.96,0.96,6300
1984-08-29,0.96,0.98,0.96,0.96,3600
1984-08-30,0.96,0.98,0.93,0.93,17700
1984-08-31,0.96,0.97,0.96,0.96,2400
1984-09-04,0.96,0.97,0.96,0.96,6000
1984-09-05,0.96,0.97,0.96,0.96,13500
1984-09-06,0.96,0.98,0.96,0.96,8700
1984-09-07,0.97,1.0,0.97,0.97,25500
1984-09-10,0.97,1.0,0.97,0.97,5400
1984-09-11,0.98,1.02,0.98,0.98,21000
1984-09-12,1.0,1.03,1.0,1.0,8400
1984-09-13,1.0,1.02,1.0,1.0,89100
1984-09-14,1.0,1.03,0.98,0.98,14100
1984-09-17,0.98,1.02,0.98,0.98,36300
1984-09-18,0.98,1.02,0.98,0.98,33300
1984-09-19,0.98,1.02,0.98,0.98,52200
1984-09-20,1.0,1.03,1.0,1.0,87300
1984-09-21,1.02,1.03,1.02,1.02,12000
1984-09-24,1.02,1.03,1.02,1.02,9300
1984-09-25,1.02,1.03,1.02,1.02,39600
1984-09-26,1.02,1.03,1.0,1.0,17400
1984-09-27,1.02,1.03,1.02,1.02,1800
1984-09-28,1.03,1.06,1.03,1.03,10500
1984-10-01,1.03,1.06,1.03,1.03,600
1984-10-02,1.03,1.06,1.03,1.03,12900
1984-10-03,1.03,1.06,1.03,1.03,1500
1984-10-04,1.05,1.06,1.05,1.05,15600
1984-10-05,1.05,1.07,1.05,1.05,10800
1984-10-08,1.05,1.07,1.05,1.05,12600
1984-10-09,1.05,1.07,1.05,1.05,7800
1984-10-10,1.05,1.06,1.05,1.05,5700
1984-10-11,1.05,1.06,1.05,1.05,5400
1984-10-12,1.05,1.05,1.03,1.03,14100
1984-10-15,1.03,1.05,1.03,1.03,2700
1984-10-16,1.03,1.05,1.03,1.03,3600
1984-10-17,1.03,1.05,1.03,1.03,900
1984-10-18,1.03,1.05,1.03,1.03,16800
1984-10-19,1.03,1.06,1.03,1.03,4200
1984-10-22,1.03,1.06,1.03,1.03,2700
1984-10-23,1.03,1.05,1.03,1.03,15300
1984-10-24,1.03,1.05,1.03,1.03,3600
1984-10-25,1.03,1.05,1.03,1.03,26700
