Date,Open,High,Low,Close,Volume
1973-02-21,0.0,1.59,1.58,1.58,22400
1973-02-22,0.0,1.6,1.59,1.59,11200
1973-02-23,0.0,1.59,1.57,1.58,52800
1973-02-26,0.0,1.57,1.57,1.57,9600
1973-02-27,0.0,1.58,1.57,1.57,18400
1973-02-28,0.0,1.58,1.57,1.57,29600
1973-03-01,0.0,1.57,1.55,1.55,24000
1973-03-02,0.0,1.55,1.54,1.54,36800
1973-03-05,0.0,1.55,1.54,1.54,48000
1973-03-06,0.0,1.56,1.54,1.56,12800
1973-03-07,0.0,1.57,1.55,1.57,97600
1973-03-08,0.0,1.57,1.56,1.57,8000
1973-03-09,0.0,1.57,1.56,1.56,100800
1973-03-12,0.0,1.56,1.55,1.55,57600
1973-03-13,0.0,1.54,1.54,1.54,114400
1973-03-14,0.0,1.57,1.55,1.57,226400
1973-03-15,0.0,1.6,1.57,1.59,74400
1973-03-16,0.0,1.59,1.58,1.59,116000
1973-03-19,0.0,1.61,1.59,1.61,53600
1973-03-20,0.0,1.62,1.6,1.61,40000
1973-03-21,0.0,1.64,1.62,1.62,65600
1973-03-22,0.0,1.62,1.57,1.57,69600
1973-03-23,0.0,1.58,1.57,1.57,20000
1973-03-26,0.0,1.6,1.58,1.59,28800
1973-03-27,0.0,1.59,1.58,1.59,12000
1973-03-28,0.0,1.63,1.58,1.63,38400
1973-03-29,0.0,1.7,1.64,1.7,516000
1973-03-30,0.0,1.69,1.67,1.68,50400
1973-04-02,0.0,1.69,1.67,1.69,12000
1973-04-03,0.0,1.71,1.68,1.71,53600
1973-04-04,0.0,1.72,1.7,1.72,32800
1973-04-05,0.0,1.72,1.7,1.7,21600
1973-04-06,0.0,1.71,1.65,1.65,79200
1973-04-09,0.0,1.65,1.64,1.65,48000
1973-04-10,0.0,1.65,1.63,1.63,125600
1973-04-11,0.0,1.62,1.54,1.54,34400
1973-04-12,0.0,1.57,1.54,1.57,92800
1973-04-13,0.0,1.57,1.56,1.56,13600
1973-04-16,0.0,1.57,1.56,1.56,26400
1973-04-17,0.0,1.56,1.56,1.56,7200
1973-04-18,0.0,1.55,1.54,1.54,31200
1973-04-19,0.0,1.54,1.54,1.54,18400
1973-04-23,0.0,1.54,1.54,1.54,29600
1973-04-24,0.0,1.54,1.54,1.54,40800
1973-04-25,0.0,1.53,1.47,1.47,52800
1973-04-26,0.0,1.46,1.42,1.43,48800
1973-04-27,0.0,1.45,1.44,1.44,68000
1973-04-30,0.0,1.46,1.43,1.46,73600
1973-05-01,0.0,1.51,1.47,1.5,56800
1973-05-02,0.0,1.5,1.49,1.5,27200
1973-05-03,0.0,1.53,1.49,1.52,33600
1973-05-04,0.0,1.57,1.53,1.57,56000
1973-05-07,0.0,1.56,1.54,1.56,51200
1973-05-08,0.0,1.56,1.55,1.55,5600
1973-05-09,0.0,1.6,1.56,1.6,12800
1973-05-10,0.0,1.62,1.59,1.59,59200
1973-05-11,0.0,1.59,1.56,1.56,61600
1973-05-14,0.0,1.55,1.54,1.54,27200
1973-05-15,0.0,1.54,1.51,1.51,12000
1973-05-16,0.0,1.52,1.5,1.5,11200
1973-05-17,0.0,1.5,1.47,1.47,34400
1973-05-18,0.0,1.46,1.4,1.4,18400
1973-05-21,0.0,1.4,1.39,1.39,32000
1973-05-22,0.0,1.46,1.4,1.46,68000
1973-05-23,0.0,1.47,1.46,1.47,24000
1973-05-24,0.0,1.51,1.46,1.51,36000
1973-05-25,0.0,1.56,1.49,1.56,56800
1973-05-29,0.0,1.56,1.54,1.54,44800
1973-05-30,0.0,1.54,1.52,1.52,10400
1973-05-31,0.0,1.5,1.49,1.49,20800
1973-06-01,0.0,1.53,1.5,1.5,29600
1973-06-04,0.0,1.5,1.49,1.49,11200
1973-06-05,0.0,1.49,1.47,1.47,67200
1973-06-06,0.0,1.48,1.47,1.48,8000
1973-06-07,0.0,1.51,1.48,1.51,20800
1973-06-08,0.0,1.53,1.51,1.53,43200
1973-06-11,0.0,1.52,1.52,1.52,5600
1973-06-12,0.0,1.54,1.53,1.54,7200
1973-06-13,0.0,1.54,1.53,1.54,20800
1973-06-14,0.0,1.55,1.53,1.55,32800
1973-06-15,0.0,1.54,1.5,1.5,68800
1973-06-18,0.0,1.5,1.49,1.49,8800
1973-06-19,0.0,1.5,1.48,1.48,105600
1973-06-20,0.0,1.5,1.48,1.5,15200
1973-06-21,0.0,1.52,1.5,1.5,13600
1973-06-22,0.0,1.52,1.5,1.51,23200
1973-06-25,0.0,1.52,1.5,1.52,11200
1973-06-26,0.0,1.54,1.52,1.52,32800
1973-06-27,0.0,1.54,1.52,1.54,55200
1973-06-28,0.0,1.63,1.54,1.61,69600
1973-06-29,0.0,1.61,1.6,1.6,31200
1973-07-02,0.0,1.6,1.58,1.58,6400
1973-07-03,0.0,1.58,1.57,1.57,13600
1973-07-05,0.0,1.6,1.57,1.6,12000
1973-07-06,0.0,1.61,1.59,1.61,32000
1973-07-09,0.0,1.6,1.58,1.59,17600
1973-07-10,0.0,1.6,1.58,1.58,15200
1973-07-11,0.0,1.6,1.59,1.6,21600
1973-07-12,0.0,1.6,1.6,1.6,4000
1973-07-13,0.0,1.59,1.59,1.59,8800
1973-07-16,0.0,1.63,1.6,1.62,380800
1973-07-17,0.0,1.64,1.62,1.64,30400
1973-07-18,0.0,1.64,1.63,1.63,49600
1973-07-19,0.0,1.64,1.61,1.64,14400
1973-07-20,0.0,1.65,1.63,1.63,23200
1973-07-23,0.0,1.64,1.6,1.6,20800
1973-07-24,0.0,1.63,1.61,1.62,52800
1973-07-25,0.0,1.65,1.6,1.64,93600
1973-07-26,0.0,1.65,1.64,1.65,7200
1973-07-27,0.0,1.68,1.61,1.68,149600
1973-07-30,0.0,1.7,1.66,1.7,110400
1973-07-31,0.0,1.71,1.69,1.69,133600
1973-08-01,0.0,1.7,1.68,1.68,82400
1973-08-02,0.0,1.67,1.66,1.66,13600
1973-08-03,0.0,1.66,1.66,1.66,8800
1973-08-06,0.0,1.67,1.66,1.67,5600
1973-08-07,0.0,1.7,1.67,1.69,32000
1973-08-08,0.0,1.69,1.67,1.68,80800
1973-08-09,0.0,1.68,1.67,1.68,4800
1973-08-10,0.0,1.7,1.69,1.7,46400
1973-08-13,0.0,1.71,1.71,1.71,16800
1973-08-14,0.0,1.76,1.72,1.74,36000
1973-08-15,0.0,1.79,1.75,1.78,48800
1973-08-16,0.0,1.78,1.78,1.78,55200
1973-08-17,0.0,1.78,1.77,1.77,245600
1973-08-20,0.0,1.76,1.76,1.76,2400
1973-08-21,0.0,1.75,1.74,1.75,12800
1973-08-22,0.0,1.74,1.74,1.74,10400
1973-08-23,0.0,1.74,1.74,1.74,17600
1973-08-24,0.0,1.75,1.73,1.75,9600
1973-08-27,0.0,1.74,1.73,1.73,17600
1973-08-28,0.0,1.73,1.73,1.73,4000
1973-08-29,0.0,1.75,1.73,1.74,4800
1973-08-30,0.0,1.76,1.74,1.76,19200
1973-08-31,0.0,1.76,1.76,1.76,11200
1973-09-04,0.0,1.84,1.77,1.84,44000
1973-09-05,0.0,1.83,1.78,1.78,16800
1973-09-06,0.0,1.78,1.78,1.78,3200
1973-09-07,0.0,1.8,1.79,1.79,10400
1973-09-10,0.0,1.8,1.78,1.78,20800
1973-09-11,0.0,1.79,1.76,1.76,16800
1973-09-12,0.0,1.76,1.75,1.75,1600
1973-09-13,0.0,1.76,1.75,1.75,11200
1973-09-14,0.0,1.79,1.75,1.79,13600
1973-09-17,0.0,1.8,1.79,1.79,36800
1973-09-18,0.0,1.82,1.8,1.82,16000
1973-09-19,0.0,1.9,1.83,1.9,46400
1973-09-20,0.0,1.95,1.92,1.95,28800
1973-09-21,0.0,1.96,1.94,1.94,25600
1973-09-24,0.0,1.95,1.9,1.91,20800
1973-09-25,0.0,1.92,1.9,1.91,8800
1973-09-26,0.0,1.93,1.9,1.93,8800
1973-09-27,0.0,1.93,1.92,1.93,24000
1973-09-28,0.0,1.94,1.93,1.94,8800
1973-10-01,0.0,1.96,1.93,1.96,13600
1973-10-02,0.0,1.97,1.95,1.97,2400
1973-10-03,0.0,1.98,1.95,1.95,15200
1973-10-04,0.0,1.95,1.92,1.92,18400
1973-10-05,0.0,1.93,1.92,1.92,20800
1973-10-08,0.0,1.92,1.92,1.92,9600
1973-10-09,0.0,1.94,1.92,1.94,23200
1973-10-10,0.0,1.94,1.93,1.93,12800
1973-10-11,0.0,1.92,1.92,1.92,20000
1973-10-12,0.0,1.92,1.91,1.91,9600
1973-10-15,0.0,1.93,1.91,1.92,16000
1973-10-16,0.0,1.92,1.92,1.92,37600
1973-10-17,0.0,1.92,1.91,1.91,15200
1973-10-18,0.0,1.91,1.88,1.88,68000
1973-10-19,0.0,1.88,1.83,1.83,35200
1973-10-22,0.0,1.81,1.78,1.78,19200
1973-10-23,0.0,1.77,1.74,1.74,27200
1973-10-24,0.0,1.75,1.73,1.75,23200
1973-10-25,0.0,1.77,1.75,1.77,28000
1973-10-26,0.0,1.78,1.77,1.77,23200
1973-10-29,0.0,1.78,1.76,1.77,96000
1973-10-30,0.0,1.76,1.76,1.76,19200
1973-10-31,0.0,1.77,1.76,1.76,33600
1973-11-01,0.0,1.8,1.76,1.8,16000
1973-11-02,0.0,1.8,1.8,1.8,23200
1973-11-05,0.0,1.8,1.78,1.78,59200
1973-11-06,0.0,1.78,1.77,1.77,52000
1973-11-07,0.0,1.77,1.74,1.74,32800
1973-11-08,0.0,1.75,1.74,1.74,57600
1973-11-09,0.0,1.75,1.74,1.74,25600
1973-11-12,0.0,1.75,1.74,1.74,41600
1973-11-13,0.0,1.74,1.6,1.64,187200
1973-11-14,0.0,1.65,1.59,1.59,71200
1973-11-15,0.0,1.59,1.54,1.55,95200
1973-11-16,0.0,1.56,1.54,1.55,60000
1973-11-19,0.0,1.56,1.46,1.48,104800
1973-11-20,0.0,1.46,1.39,1.39,99200
1973-11-21,0.0,1.44,1.41,1.44,28000
1973-11-23,0.0,1.46,1.44,1.44,16000
1973-11-26,0.0,1.45,1.43,1.45,56000
1973-11-27,0.0,1.47,1.46,1.46,40000
1973-11-28,0.0,1.54,1.46,1.51,48000
1973-11-29,0.0,1.55,1.51,1.54,43200
1973-11-30,0.0,1.54,1.54,1.54,17600
1973-12-03,0.0,1.55,1.53,1.53,60000
1973-12-04,0.0,1.55,1.53,1.54,66400
1973-12-05,0.0,1.54,1.52,1.52,48000
1973-12-06,0.0,1.52,1.5,1.5,37600
1973-12-07,0.0,1.5,1.49,1.49,60800
1973-12-10,0.0,1.5,1.46,1.46,24800
1973-12-11,0.0,1.45,1.43,1.43,155200
1973-12-12,0.0,1.34,1.33,1.33,87200
1973-12-13,0.0,1.34,1.3,1.31,101600
1973-12-14,0.0,1.31,1.27,1.27,160800
1973-12-17,0.0,1.29,1.28,1.28,9600
1973-12-18,0.0,1.36,1.29,1.35,44800
1973-12-19,0.0,1.37,1.33,1.34,46400
1973-12-20,0.0,1.36,1.34,1.36,8800
1973-12-21,0.0,1.37,1.34,1.34,23200
1973-12-24,0.0,1.35,1.33,1.33,13600
1973-12-26,0.0,1.42,1.34,1.42,24800
1973-12-27,0.0,1.42,1.4,1.4,48000
1973-12-28,0.0,1.4,1.35,1.35,32800
1973-12-31,0.0,1.35,1.33,1.35,15200
1974-01-02,0.0,1.36,1.35,1.35,1600
1974-01-03,0.0,1.44,1.36,1.44,224000
1974-01-04,0.0,1.47,1.45,1.47,28000
1974-01-07,0.0,1.48,1.46,1.46,51200
1974-01-08,0.0,1.48,1.46,1.46,59200
1974-01-09,0.0,1.45,1.4,1.4,204000
1974-01-10,0.0,1.38,1.33,1.33,179200
1974-01-11,0.0,1.34,1.31,1.34,82400
1974-01-14,0.0,1.39,1.35,1.39,36800
1974-01-15,0.0,1.4,1.38,1.38,12000
1974-01-16,0.0,1.51,1.4,1.47,68000
1974-01-17,0.0,1.48,1.47,1.47,36800
1974-01-18,0.0,1.48,1.44,1.44,30400
1974-01-21,0.0,1.43,1.39,1.39,72000
1974-01-22,0.0,1.44,1.4,1.44,22400
1974-01-23,0.0,1.44,1.42,1.43,35200
1974-01-24,0.0,1.48,1.44,1.48,18400
1974-01-25,0.0,1.5,1.47,1.5,25600
1974-01-28,0.0,1.49,1.49,1.49,2400
1974-01-29,0.0,1.48,1.47,1.47,8000
1974-01-30,0.0,1.46,1.45,1.46,14400
1974-01-31,0.0,1.51,1.47,1.51,32000
1974-02-01,0.0,1.5,1.48,1.48,12800
1974-02-04,0.0,1.47,1.43,1.43,32000
1974-02-05,0.0,1.43,1.42,1.42,39200
1974-02-06,0.0,1.42,1.4,1.4,14400
1974-02-07,0.0,1.41,1.39,1.39,10400
1974-02-08,0.0,1.38,1.28,1.33,103200
1974-02-11,0.0,1.35,1.32,1.35,40000
1974-02-12,0.0,1.34,1.3,1.3,45600
1974-02-13,0.0,1.33,1.3,1.3,14400
1974-02-14,0.0,1.29,1.29,1.29,24800
1974-02-15,0.0,1.35,1.29,1.32,25600
1974-02-19,0.0,1.34,1.3,1.3,27200
1974-02-20,0.0,1.31,1.28,1.31,87200
1974-02-21,0.0,1.33,1.31,1.31,19200
1974-02-22,0.0,1.33,1.31,1.33,23200
1974-02-25,0.0,1.38,1.34,1.38,34400
1974-02-26,0.0,1.42,1.38,1.42,10400
1974-02-27,0.0,1.44,1.43,1.43,21600
