Date,Open,High,Low,Close,Volume
2008-04-23,15.02,15.64,14.74,15.02,23402800
2008-04-24,15.11,15.31,14.81,15.17,4960900
2008-04-25,15.31,15.5,15.09,15.44,1956800
2008-04-28,15.67,15.67,15.17,15.31,709400
2008-04-29,15.6,15.6,15.18,15.36,859700
2008-04-30,15.37,15.46,15.25,15.42,893300
2008-05-01,15.47,16.04,15.31,15.98,2999000
2008-05-02,16.16,16.16,15.67,16.05,1639400
2008-05-05,16.37,16.37,15.72,15.98,579000
2008-05-06,15.9,15.94,15.58,15.71,1040200
2008-05-07,15.68,15.75,15.06,15.47,1240100
2008-05-08,15.48,15.53,15.34,15.5,888100
2008-05-09,15.5,15.93,15.34,15.8,550400
2008-05-12,15.82,15.85,15.52,15.68,1168000
2008-05-13,15.7,15.71,15.17,15.55,1783900
2008-05-14,14.96,15.66,14.96,15.53,649200
2008-05-15,15.64,15.65,15.39,15.43,470400
2008-05-16,15.63,15.79,15.39,15.77,1002400
2008-05-19,15.96,16.11,15.71,15.86,802900
2008-05-20,16.02,16.02,15.64,15.79,504100
2008-05-21,15.93,15.93,15.35,15.43,407100
2008-05-22,15.58,15.64,15.4,15.57,274600
2008-05-23,15.5,15.5,15.31,15.42,464200
2008-05-27,15.67,15.67,15.35,15.48,320300
2008-05-28,15.39,15.62,15.36,15.61,403800
2008-05-29,15.6,15.68,15.35,15.36,384600
2008-05-30,15.39,15.68,15.35,15.68,784300
2008-06-02,16.31,16.31,15.46,15.75,414900
2008-06-03,15.94,15.97,15.52,15.55,446000
2008-06-04,15.39,15.78,15.36,15.73,850300
2008-06-05,15.67,15.96,15.67,15.9,567400
2008-06-06,15.86,16.22,15.86,16.12,1588900
2008-06-09,16.26,16.33,16.12,16.28,377700
2008-06-10,16.12,16.22,15.93,15.93,594000
2008-06-11,15.84,16.36,15.46,15.83,692300
2008-06-12,16.12,16.12,15.66,15.93,394400
2008-06-13,16.14,16.33,15.83,16.33,460500
2008-06-16,16.39,16.77,16.22,16.59,783000
2008-06-17,16.59,17.14,16.26,16.9,1194300
2008-06-18,16.77,16.91,16.34,16.8,723300
2008-06-19,16.84,16.84,16.55,16.69,683500
2008-06-20,16.55,16.92,16.32,16.77,1330300
2008-06-23,16.74,16.74,16.53,16.59,390500
2008-06-24,16.61,16.74,16.27,16.68,666900
2008-06-25,16.83,17.04,16.66,17.04,717000
2008-06-26,16.81,17.25,16.14,16.49,1993100
2008-06-27,16.04,16.87,16.01,16.42,4484900
2008-06-30,16.76,16.76,15.45,16.17,861700
2008-07-01,16.33,16.84,16.2,16.68,476800
2008-07-02,16.77,16.94,16.38,16.52,492400
2008-07-03,16.38,16.49,15.44,15.9,325300
2008-07-07,15.9,16.09,15.54,15.67,246800
2008-07-08,15.6,15.82,15.52,15.82,281500
2008-07-09,15.85,15.87,15.61,15.74,182900
2008-07-10,15.82,15.82,14.8,15.5,530200
2008-07-11,15.12,15.17,14.03,14.61,1062500
2008-07-14,14.61,14.72,14.31,14.37,543100
2008-07-15,14.16,14.17,13.19,13.79,1191800
2008-07-16,13.83,14.26,13.78,14.15,464600
2008-07-17,14.43,14.43,13.91,14.37,232300
2008-07-18,13.85,14.46,13.85,14.26,308500
2008-07-21,14.46,14.51,14.18,14.38,148500
2008-07-22,14.28,14.62,14.28,14.53,144400
2008-07-23,14.47,14.58,14.31,14.36,214900
2008-07-24,14.53,14.55,13.53,13.76,518300
2008-07-25,13.96,14.04,13.56,13.96,241000
2008-07-28,14.04,14.34,13.49,13.59,241900
2008-07-29,13.77,14.02,13.65,13.85,289100
2008-07-30,14.1,14.34,13.93,14.19,251400
2008-07-31,14.93,14.93,13.59,14.04,579200
2008-08-01,14.14,14.46,14.04,14.07,389700
2008-08-04,14.18,14.49,13.89,14.29,324400
2008-08-05,14.47,14.83,14.33,14.83,336500
2008-08-06,14.84,14.84,14.24,14.66,343600
2008-08-07,14.73,14.74,14.51,14.69,376900
2008-08-08,14.8,14.85,14.55,14.64,268200
2008-08-11,15.38,15.58,15.06,15.15,958300
2008-08-12,15.09,15.55,15.09,15.22,729100
2008-08-13,15.37,15.75,15.36,15.53,515800
2008-08-14,15.59,15.83,15.34,15.45,567900
2008-08-15,15.61,15.61,15.11,15.28,370800
2008-08-18,15.41,15.61,15.31,15.57,546500
2008-08-19,15.65,16.38,15.57,16.14,782800
2008-08-20,16.26,16.56,15.76,16.12,801300
2008-08-21,16.15,16.23,15.71,16.12,719900
2008-08-22,16.19,16.2,15.87,16.16,307100
2008-08-25,16.03,16.6,15.79,16.03,245800
2008-08-26,16.12,16.15,15.74,15.91,228100
2008-08-27,16.02,16.03,15.76,15.99,216000
2008-08-28,16.11,16.38,15.54,16.28,383700
2008-08-29,16.08,17.02,15.86,16.9,1009000
2008-09-02,16.93,16.93,16.23,16.79,652400
2008-09-03,16.69,16.78,15.92,16.1,295400
2008-09-04,16.03,16.29,15.81,15.81,409300
2008-09-05,15.67,15.67,15.15,15.44,443500
2008-09-08,15.83,15.83,15.26,15.4,382000
2008-09-09,15.35,15.63,15.2,15.2,517500
2008-09-10,15.09,15.55,15.09,15.52,591800
2008-09-11,15.54,15.56,15.31,15.51,327500
2008-09-12,15.44,15.71,15.43,15.48,231600
