Date,Open,High,Low,Close,Volume
1973-02-21,0.36,0.36,0.36,0.36,99200.0
1973-02-22,0.36,0.36,0.36,0.36,47200.0
1973-02-23,0.36,0.36,0.36,0.36,133600.0
1973-02-26,0.36,0.36,0.36,0.36,24000.0
1973-02-27,0.36,0.36,0.36,0.36,41600.0
1973-02-28,0.36,0.36,0.36,0.36,66400.0
1973-03-01,0.36,0.36,0.36,0.36,93600.0
1973-03-02,0.36,0.36,0.36,0.36,26400.0
1973-03-05,0.37,0.37,0.37,0.37,68000.0
1973-03-06,0.38,0.38,0.38,0.38,76800.0
1973-03-07,0.38,0.38,0.38,0.38,51200.0
1973-03-08,0.38,0.38,0.38,0.38,84800.0
1973-03-09,0.38,0.38,0.38,0.38,78400.0
1973-03-12,0.38,0.38,0.38,0.38,73600.0
1973-03-13,0.38,0.38,0.38,0.38,47200.0
1973-03-14,0.38,0.38,0.38,0.38,50400.0
1973-03-15,0.38,0.38,0.38,0.38,70400.0
1973-03-16,0.38,0.38,0.38,0.38,44800.0
1973-03-19,0.38,0.38,0.38,0.38,28000.0
1973-03-20,0.37,0.37,0.37,0.37,68800.0
1973-03-21,0.37,0.37,0.37,0.37,94400.0
1973-03-22,0.36,0.36,0.36,0.36,55200.0
1973-03-23,0.36,0.36,0.36,0.36,117600.0
1973-03-26,0.36,0.36,0.36,0.36,9600.0
1973-03-27,0.36,0.36,0.36,0.36,15200.0
1973-03-28,0.36,0.36,0.36,0.36,141600.0
1973-03-29,0.37,0.37,0.37,0.37,120000.0
1973-03-30,0.37,0.37,0.37,0.37,85600.0
1973-04-02,0.37,0.37,0.37,0.37,52800.0
1973-04-03,0.36,0.36,0.36,0.36,23200.0
1973-04-04,0.36,0.36,0.36,0.36,78400.0
1973-04-05,0.36,0.36,0.36,0.36,78400.0
1973-04-06,0.36,0.36,0.36,0.36,36000.0
1973-04-09,0.36,0.36,0.36,0.36,28000.0
1973-04-10,0.37,0.37,0.37,0.37,88800.0
1973-04-11,0.37,0.37,0.37,0.37,144000.0
1973-04-12,0.37,0.37,0.37,0.37,140800.0
