Date,Open,High,Low,Close,Volume
1973-05-03,0.02,0.02,0.02,0.02,76900.0
1973-05-04,0.02,0.02,0.02,0.02,56600.0
1973-05-07,0.02,0.02,0.02,0.02,61100.0
1973-05-08,0.02,0.02,0.02,0.02,22600.0
1973-05-09,0.02,0.02,0.02,0.02,378100.0
1973-05-10,0.02,0.02,0.02,0.02,20300.0
1973-05-11,0.02,0.02,0.02,0.02,15800.0
1973-05-14,0.02,0.02,0.02,0.02,15800.0
1973-05-15,0.02,0.02,0.02,0.02,72400.0
1973-05-16,0.02,0.02,0.02,0.02,54300.0
1973-05-17,0.02,0.02,0.02,0.02,13500.0
1973-05-18,0.02,0.02,0.02,0.02,40700.0
1973-05-21,0.02,0.02,0.02,0.02,86000.0
1973-05-22,0.02,0.02,0.02,0.02,124500.0
1973-05-23,0.02,0.02,0.02,0.02,33900.0
1973-05-24,0.02,0.02,0.02,0.02,22600.0
1973-05-25,0.02,0.02,0.02,0.02,81500.0
1973-05-29,0.02,0.02,0.02,0.02,67900.0
1973-05-30,0.02,0.02,0.02,0.02,11300.0
1973-05-31,0.02,0.02,0.02,0.02,11300.0
1973-06-01,0.02,0.02,0.02,0.02,27100.0
1973-06-04,0.02,0.02,0.02,0.02,92800.0
1973-06-05,0.02,0.02,0.02,0.02,36200.0
1973-06-06,0.02,0.02,0.02,0.02,58800.0
1973-06-07,0.02,0.02,0.02,0.02,79200.0
1973-06-08,0.02,0.02,0.02,0.02,6700.0
1973-06-11,0.02,0.02,0.02,0.02,90500.0
1973-06-12,0.02,0.02,0.02,0.02,4500.0
1973-06-13,0.02,0.02,0.02,0.02,15800.0
1973-06-14,0.02,0.02,0.02,0.02,22600.0
1973-06-15,0.02,0.02,0.02,0.02,6700.0
1973-06-18,0.02,0.02,0.02,0.02,29400.0
1973-06-19,0.02,0.02,0.02,0.02,67900.0
1973-06-20,0.02,0.02,0.02,0.02,15800.0
1973-06-21,0.02,0.02,0.02,0.02,6700.0
1973-06-22,0.02,0.02,0.02,0.02,4500.0
1973-06-25,0.02,0.02,0.02,0.02,6700.0
1973-06-26,0.02,0.02,0.02,0.02,43000.0
1973-06-27,0.02,0.02,0.02,0.02,13500.0
1973-06-28,0.02,0.02,0.02,0.02,27100.0
1973-06-29,0.02,0.02,0.02,0.02,92800.0
1973-07-02,0.02,0.02,0.02,0.02,18100.0
1973-07-03,0.02,0.02,0.02,0.02,72400.0
1973-07-05,0.02,0.02,0.02,0.02,18100.0
1973-07-06,0.02,0.02,0.02,0.02,61100.0
1973-07-09,0.02,0.02,0.02,0.02,49800.0
1973-07-10,0.02,0.02,0.02,0.02,95000.0
1973-07-11,0.02,0.02,0.02,0.02,27100.0
1973-07-12,0.02,0.02,0.02,0.02,58800.0
1973-07-13,0.02,0.02,0.02,0.02,58800.0
1973-07-16,0.02,0.02,0.02,0.02,33900.0
1973-07-17,0.02,0.02,0.02,0.02,38400.0
1973-07-18,0.02,0.02,0.02,0.02,348600.0
1973-07-19,0.02,0.02,0.02,0.02,253500.0
1973-07-20,0.02,0.02,0.02,0.02,230900.0
1973-07-23,0.02,0.02,0.02,0.02,31600.0
1973-07-24,0.02,0.02,0.02,0.02,40700.0
1973-07-25,0.02,0.02,0.02,0.02,131300.0
1973-07-26,0.02,0.02,0.02,0.02,181100.0
1973-07-27,0.02,0.02,0.02,0.02,149400.0
1973-07-30,0.02,0.02,0.02,0.02,24900.0
1973-07-31,0.02,0.02,0.02,0.02,38400.0
1973-08-01,0.02,0.02,0.02,0.02,72400.0
1973-08-02,0.02,0.02,0.02,0.02,2200.0
1973-08-03,0.02,0.02,0.02,0.02,86000.0
1973-08-06,0.02,0.02,0.02,0.02,20300.0
1973-08-07,0.02,0.02,0.02,0.02,63300.0
1973-08-08,0.02,0.02,0.02,0.02,115400.0
1973-08-09,0.02,0.02,0.02,0.02,45200.0
1973-08-10,0.02,0.02,0.02,0.02,61100.0
1973-08-13,0.02,0.02,0.02,0.02,47500.0
1973-08-14,0.02,0.02,0.02,0.02,79200.0
1973-08-15,0.02,0.02,0.02,0.02,74700.0
1973-08-16,0.02,0.02,0.02,0.02,120000.0
1973-08-17,0.02,0.02,0.02,0.02,79200.0
1973-08-20,0.02,0.02,0.02,0.02,18100.0
1973-08-21,0.02,0.02,0.02,0.02,29400.0
1973-08-22,0.02,0.02,0.02,0.02,47500.0
1973-08-23,0.02,0.02,0.02,0.02,45200.0
1973-08-24,0.02,0.02,0.02,0.02,20300.0
1973-08-27,0.02,0.02,0.02,0.02,38400.0
1973-08-28,0.02,0.02,0.02,0.02,4500.0
1973-08-29,0.02,0.02,0.02,0.02,18100.0
1973-08-30,0.02,0.02,0.02,0.02,24900.0
1973-08-31,0.02,0.02,0.02,0.02,113200.0
1973-09-04,0.02,0.02,0.02,0.02,15800.0
1973-09-05,0.02,0.02,0.02,0.02,36200.0
1973-09-06,0.02,0.02,0.02,0.02,74700.0
1973-09-07,0.02,0.02,0.02,0.02,13500.0
1973-09-10,0.02,0.02,0.02,0.02,29400.0
1973-09-11,0.02,0.02,0.02,0.02,43000.0
1973-09-12,0.02,0.02,0.02,0.02,49800.0
1973-09-13,0.02,0.02,0.02,0.02,249000.0
1973-09-14,0.02,0.02,0.02,0.02,110900.0
1973-09-17,0.02,0.02,0.02,0.02,54300.0
1973-09-18,0.02,0.02,0.02,0.02,47500.0
1973-09-19,0.02,0.02,0.02,0.02,49800.0
1973-09-20,0.02,0.02,0.02,0.02,33900.0
1973-09-21,0.02,0.02,0.02,0.02,97300.0
1973-09-24,0.02,0.02,0.02,0.02,56600.0
1973-09-25,0.02,0.02,0.02,0.02,67900.0
1973-09-26,0.02,0.02,0.02,0.02,104100.0
1973-09-27,0.02,0.02,0.02,0.02,40700.0
1973-09-28,0.02,0.02,0.02,0.02,54300.0
1973-10-01,0.02,0.02,0.02,0.02,61100.0
1973-10-02,0.02,0.02,0.02,0.02,129000.0
1973-10-03,0.02,0.02,0.02,0.02,124500.0
1973-10-04,0.02,0.02,0.02,0.02,131300.0
1973-10-05,0.02,0.02,0.02,0.02,24900.0
1973-10-08,0.02,0.02,0.02,0.02,20300.0
1973-10-09,0.02,0.02,0.02,0.02,36200.0
1973-10-10,0.02,0.02,0.02,0.02,33900.0
1973-10-11,0.02,0.02,0.02,0.02,70100.0
1973-10-12,0.02,0.02,0.02,0.02,52000.0
1973-10-15,0.02,0.02,0.02,0.02,13500.0
1973-10-16,0.02,0.02,0.02,0.02,65600.0
1973-10-17,0.02,0.02,0.02,0.02,43000.0
1973-10-18,0.02,0.02,0.02,0.02,29400.0
1973-10-19,0.02,0.02,0.02,0.02,65600.0
1973-10-22,0.02,0.02,0.02,0.02,47500.0
1973-10-23,0.02,0.02,0.02,0.02,54300.0
1973-10-24,0.02,0.02,0.02,0.02,24900.0
1973-10-25,0.02,0.02,0.02,0.02,65600.0
1973-10-26,0.02,0.02,0.02,0.02,43000.0
1973-10-29,0.02,0.02,0.02,0.02,61100.0
1973-10-30,0.02,0.02,0.02,0.02,38400.0
1973-10-31,0.02,0.02,0.02,0.02,43000.0
1973-11-01,0.02,0.02,0.02,0.02,101800.0
1973-11-02,0.02,0.02,0.02,0.02,29400.0
1973-11-05,0.02,0.02,0.02,0.02,122200.0
1973-11-06,0.02,0.02,0.02,0.02,45200.0
1973-11-07,0.02,0.02,0.02,0.02,24900.0
1973-11-08,0.02,0.02,0.02,0.02,40700.0
