Date,Open,High,Low,Close,Volume
2018-03-15,0.96,0.96,0.91,0.94,49000.0
2018-03-16,0.9,0.92,0.86,0.89,199000.0
2018-03-19,0.86,0.93,0.86,0.87,157000.0
2018-03-20,0.86,0.86,0.84,0.86,191000.0
2018-03-21,0.86,0.89,0.86,0.86,268000.0
2018-03-22,0.86,0.87,0.85,0.87,318000.0
2018-03-23,0.84,0.84,0.84,0.84,80000.0
2018-03-26,0.84,0.89,0.81,0.88,76000.0
2018-03-27,0.88,0.91,0.84,0.86,448000.0
2018-03-28,0.84,0.89,0.82,0.84,258000.0
2018-03-29,0.84,0.84,0.84,0.84,0.0
2018-04-02,0.86,0.88,0.84,0.85,1196000.0
2018-04-03,0.84,0.87,0.84,0.86,45000.0
2018-04-04,0.86,0.87,0.84,0.86,182000.0
2018-04-05,0.87,0.89,0.85,0.88,122000.0
2018-04-06,0.88,0.88,0.88,0.88,86000.0
2018-04-09,0.88,0.88,0.88,0.88,0.0
2018-04-10,0.88,0.91,0.84,0.88,163000.0
2018-04-11,0.85,0.87,0.83,0.87,339000.0
2018-04-12,0.86,0.86,0.83,0.85,239000.0
2018-04-13,0.84,0.85,0.8,0.84,252000.0
2018-04-16,0.79,0.83,0.76,0.82,376000.0
2018-04-17,0.82,0.82,0.82,0.82,0.0
2018-04-18,0.82,0.82,0.78,0.78,131000.0
2018-04-19,0.75,0.82,0.72,0.73,334000.0
2018-04-20,0.78,0.78,0.74,0.77,109000.0
2018-04-23,0.78,0.78,0.74,0.77,50000.0
2018-04-24,0.74,0.76,0.73,0.76,77000.0
2018-04-25,0.66,0.75,0.66,0.75,133000.0
2018-04-26,0.75,0.76,0.75,0.75,73000.0
2018-04-27,0.75,0.77,0.75,0.76,140000.0
2018-04-30,0.75,0.76,0.75,0.76,32000.0
2018-05-01,0.76,0.76,0.76,0.76,0.0
2018-05-02,0.75,0.76,0.75,0.76,115000.0
2018-05-03,0.73,0.81,0.72,0.76,263000.0
2018-05-04,0.78,0.96,0.78,0.87,6587000.0
2018-05-07,0.91,0.91,0.81,0.82,1071000.0
2018-05-08,0.82,0.82,0.81,0.82,288000.0
2018-05-09,0.81,0.86,0.81,0.83,266000.0
2018-05-10,0.82,0.84,0.82,0.83,128000.0
2018-05-11,0.8,0.83,0.78,0.8,229000.0
2018-05-14,0.8,0.8,0.8,0.8,0.0
2018-05-15,0.78,0.81,0.76,0.76,218000.0
2018-05-16,0.76,0.77,0.74,0.77,158000.0
2018-05-17,0.76,0.77,0.74,0.77,269000.0
2018-05-18,0.74,0.76,0.74,0.76,74000.0
2018-05-21,0.84,0.88,0.84,0.87,61000.0
2018-05-22,0.87,0.87,0.87,0.87,8000.0
2018-05-23,0.84,0.87,0.84,0.87,121000.0
2018-05-24,0.88,0.88,0.84,0.87,29000.0
2018-05-25,0.87,0.92,0.87,0.9,178000.0
2018-05-29,0.88,0.97,0.88,0.96,226000.0
2018-05-30,0.96,0.96,0.88,0.93,181000.0
2018-05-31,0.9,0.94,0.9,0.94,17000.0
2018-06-01,0.94,0.94,0.89,0.9,108000.0
2018-06-04,0.89,0.94,0.89,0.93,112000.0
2018-06-05,0.93,1.01,0.91,0.96,455000.0
2018-06-06,0.97,1.03,0.94,1.0,664000.0
2018-06-07,1.0,1.08,0.99,1.03,1696000.0
2018-06-08,1.03,1.03,0.85,0.99,466000.0
2018-06-11,0.95,0.95,0.93,0.93,329000.0
2018-06-12,0.93,0.93,0.93,0.93,0.0
2018-06-13,0.93,0.95,0.93,0.95,110000.0
2018-06-14,0.95,1.0,0.93,0.94,114000.0
2018-06-18,0.95,0.99,0.93,0.99,247000.0
2018-06-19,0.99,0.99,0.95,0.95,102000.0
2018-06-20,0.96,0.98,0.94,0.94,155000.0
2018-06-21,0.94,0.97,0.92,0.92,287000.0
2018-06-22,0.92,0.98,0.92,0.95,118000.0
2018-06-25,0.9,0.91,0.9,0.91,30000.0
2018-06-26,0.9,0.96,0.9,0.96,3000.0
2018-06-27,0.96,0.96,0.9,0.9,13000.0
2018-06-28,0.91,0.95,0.91,0.95,35000.0
2018-06-29,0.95,0.95,0.95,0.95,0.0
2018-07-02,0.89,0.9,0.89,0.9,173000.0
2018-07-03,0.88,0.88,0.87,0.88,62000.0
2018-07-05,0.93,0.93,0.88,0.88,9000.0
2018-07-06,0.88,0.9,0.88,0.9,17000.0
2018-07-09,0.88,0.88,0.88,0.88,6000.0
2018-07-10,0.88,0.88,0.88,0.88,66000.0
2018-07-11,0.88,0.9,0.88,0.9,62000.0
2018-07-12,0.9,0.9,0.88,0.88,9000.0
2018-07-13,0.88,0.94,0.88,0.94,234000.0
2018-07-16,0.94,0.94,0.94,0.94,0.0
2018-07-17,0.94,0.94,0.94,0.94,0.0
2018-07-18,0.91,0.93,0.91,0.91,5000.0
2018-07-19,0.91,0.91,0.91,0.91,2000.0
2018-07-20,0.91,0.91,0.91,0.91,26000.0
2018-07-23,0.91,0.91,0.91,0.91,29000.0
2018-07-24,0.91,0.91,0.91,0.91,0.0
2018-07-25,0.89,0.9,0.88,0.9,79000.0
2018-07-26,0.9,0.9,0.9,0.9,0.0
2018-07-27,0.9,0.9,0.9,0.9,0.0
2018-07-30,0.94,0.96,0.94,0.96,152000.0
2018-07-31,0.94,1.01,0.94,0.97,1579000.0
2018-08-01,0.96,1.06,0.96,1.03,1995000.0
2018-08-02,1.03,1.04,1.02,1.03,669000.0
2018-08-03,1.02,1.19,1.02,1.11,2127000.0
2018-08-06,1.13,1.16,1.06,1.1,720000.0
2018-08-07,1.1,1.33,1.08,1.16,9694000.0
2018-08-08,1.21,1.21,1.12,1.15,1360000.0
2018-08-09,1.12,1.16,1.09,1.14,1044000.0
2018-08-10,1.16,1.17,1.11,1.13,713000.0
2018-08-13,1.25,1.25,1.19,1.2,860000.0
2018-08-14,1.21,1.21,1.13,1.19,793000.0
2018-08-15,1.15,1.19,1.13,1.17,116000.0
2018-08-16,1.13,1.2,1.13,1.2,161000.0
2018-08-17,1.2,1.23,1.17,1.17,420000.0
2018-08-20,1.17,1.21,1.13,1.17,395000.0
2018-08-21,1.17,1.17,1.17,1.17,0.0
2018-08-22,1.21,1.21,1.13,1.13,211000.0
2018-08-23,1.13,1.17,1.12,1.13,774000.0
2018-08-24,1.12,1.14,1.12,1.13,214000.0
2018-08-27,1.13,1.13,1.13,1.13,0.0
2018-08-28,1.12,1.15,1.12,1.15,91000.0
2018-08-29,1.15,1.15,1.13,1.13,35000.0
2018-08-30,1.12,1.13,1.12,1.12,66000.0
2018-08-31,1.12,1.12,1.11,1.11,159000.0
2018-09-04,1.12,1.13,1.08,1.12,774000.0
2018-09-05,1.12,1.13,1.12,1.13,4000.0
2018-09-06,1.12,1.12,1.12,1.12,16000.0
2018-09-07,1.11,1.11,1.11,1.11,4000.0
2018-09-10,1.11,1.12,1.07,1.07,109000.0
2018-09-11,1.07,1.11,1.07,1.11,88000.0
2018-09-12,1.09,1.11,1.09,1.09,23000.0
2018-09-13,1.09,1.09,1.09,1.09,0.0
2018-09-14,0.98,1.11,0.98,1.01,201000.0
2018-09-17,1.01,1.01,1.01,1.01,16000.0
2018-09-18,0.98,0.99,0.96,0.99,138000.0
2018-09-19,0.99,1.01,0.96,1.01,61000.0
2018-09-20,1.01,1.01,0.97,0.97,15000.0
2018-09-21,0.97,1.0,0.97,1.0,27000.0
2018-09-24,1.08,1.08,0.97,0.98,64000.0
2018-09-25,0.98,0.98,0.98,0.98,0.0
2018-09-26,0.97,0.97,0.97,0.97,10000.0
2018-09-27,0.97,0.97,0.97,0.97,1000.0
2018-09-28,0.98,1.04,0.98,1.04,5000.0
2018-10-01,1.04,1.04,1.04,1.04,0.0
2018-10-02,1.04,1.04,1.04,1.04,0.0
2018-10-03,0.97,0.98,0.97,0.97,145000.0
2018-10-04,0.97,1.02,0.96,1.02,200000.0
2018-10-05,1.04,1.04,0.87,0.9,15000.0
2018-10-08,0.9,0.9,0.9,0.9,0.0
2018-10-09,0.9,0.9,0.9,0.9,0.0
2018-10-10,0.9,0.9,0.9,0.9,0.0
2018-10-11,0.9,0.9,0.86,0.86,136000.0
2018-10-12,0.85,0.86,0.84,0.86,76000.0
2018-10-15,0.86,0.86,0.86,0.86,0.0
2018-10-16,0.94,0.94,0.94,0.94,1000.0
2018-10-17,0.94,0.94,0.94,0.94,3000.0
2018-10-18,0.94,0.94,0.94,0.94,0.0
2018-10-19,0.94,0.94,0.94,0.94,0.0
2018-10-22,0.94,0.94,0.94,0.94,0.0
2018-10-23,0.94,0.94,0.94,0.94,0.0
2018-10-24,0.94,0.94,0.94,0.94,0.0
2018-10-25,0.88,0.92,0.88,0.92,24000.0
2018-10-26,0.92,0.92,0.92,0.92,0.0
2018-10-29,0.88,0.88,0.88,0.88,17000.0
2018-10-30,0.88,0.88,0.88,0.88,0.0
2018-10-31,0.88,0.92,0.88,0.88,71000.0
2018-11-01,0.88,0.88,0.88,0.88,0.0
2018-11-02,0.88,0.88,0.88,0.88,0.0
2018-11-05,0.88,0.92,0.88,0.92,86000.0
2018-11-06,0.92,0.92,0.92,0.92,40000.0
2018-11-07,0.89,0.92,0.88,0.92,107000.0
2018-11-08,0.88,0.88,0.88,0.88,139000.0
2018-11-09,0.88,0.88,0.88,0.88,0.0
2018-11-12,0.88,0.94,0.88,0.94,3773000.0
2018-11-13,0.96,1.06,0.96,1.04,2247000.0
2018-11-14,1.06,1.06,1.01,1.04,152000.0
2018-11-15,1.14,1.14,1.12,1.13,180000.0
2018-11-16,1.14,1.15,1.1,1.15,60000.0
2018-11-19,1.12,1.18,1.12,1.17,14000.0
2018-11-20,1.12,1.18,1.12,1.18,3668000.0
2018-11-21,1.18,1.18,1.18,1.18,0.0
2018-11-23,1.18,1.18,1.18,1.18,0.0
2018-11-26,1.12,1.12,1.12,1.12,13000.0
2018-11-27,1.12,1.16,1.12,1.16,37000.0
2018-11-28,1.15,1.16,1.12,1.16,47000.0
2018-11-29,1.12,1.19,1.11,1.19,4005000.0
2018-11-30,1.19,1.19,1.19,1.19,0.0
2018-12-03,1.19,1.2,1.15,1.18,4074000.0
2018-12-04,1.18,1.19,1.18,1.19,19000.0
2018-12-06,1.14,1.18,1.14,1.18,3000.0
2018-12-07,1.12,1.12,1.12,1.12,10000.0
2018-12-10,1.12,1.12,1.12,1.12,0.0
2018-12-11,1.15,1.15,1.11,1.14,66000.0
2018-12-12,1.14,1.14,1.14,1.14,0.0
2018-12-13,1.12,1.17,1.11,1.17,221000.0
2018-12-14,1.17,1.17,1.17,1.17,0.0
2018-12-17,1.18,1.18,1.12,1.17,4089000.0
2018-12-18,1.18,1.39,1.12,1.13,12497000.0
2018-12-19,1.13,1.16,1.12,1.15,973000.0
2018-12-20,1.12,1.24,1.11,1.14,975000.0
2018-12-21,1.12,1.15,1.11,1.11,527000.0
2018-12-24,1.11,1.11,1.11,1.11,0.0
2018-12-26,1.11,1.13,1.09,1.09,853000.0
2018-12-27,1.12,1.12,1.08,1.08,293000.0
2018-12-28,1.12,1.12,1.06,1.12,134000.0
2018-12-31,1.12,1.12,1.12,1.12,0.0
2019-01-02,1.12,1.12,1.06,1.1,215000.0
2019-01-03,1.09,1.1,1.09,1.1,59000.0
2019-01-04,1.1,1.1,1.06,1.09,117000.0
2019-01-07,1.09,1.09,1.06,1.09,82000.0
2019-01-08,1.07,1.13,1.06,1.12,278000.0
2019-01-09,1.08,1.12,1.06,1.11,119000.0
2019-01-10,1.07,1.11,1.07,1.09,128000.0
2019-01-11,1.1,1.1,1.07,1.08,35000.0
2019-01-14,1.1,1.1,1.08,1.09,35000.0
2019-01-15,1.08,1.09,1.07,1.09,178000.0
2019-01-16,1.1,1.1,1.08,1.08,44000.0
2019-01-17,1.09,1.09,1.07,1.09,32000.0
2019-01-18,1.09,1.1,1.08,1.09,9000.0
2019-01-22,1.1,1.1,1.07,1.1,39000.0
2019-01-23,1.1,1.23,1.08,1.21,1800000.0
2019-01-24,1.25,1.25,1.13,1.15,940000.0
2019-01-25,1.15,1.15,1.05,1.12,489000.0
2019-01-28,1.07,1.12,1.07,1.11,177000.0
2019-01-29,1.07,1.09,1.06,1.07,102000.0
2019-01-30,1.07,1.08,1.01,1.08,1142000.0
2019-01-31,1.04,1.09,1.04,1.05,172000.0
2019-02-01,1.25,1.25,1.2,1.2,95000.0
2019-02-04,1.2,1.2,1.2,1.2,0.0
2019-02-05,1.2,1.2,1.2,1.2,0.0
2019-02-06,1.21,1.22,1.21,1.22,59000.0
2019-02-07,1.23,1.23,1.22,1.22,32000.0
2019-02-08,1.23,1.4,1.23,1.31,2277000.0
2019-02-11,1.31,1.32,1.25,1.29,162000.0
2019-02-12,1.24,1.32,1.22,1.26,352000.0
2019-02-13,1.22,1.27,1.2,1.26,200000.0
2019-02-14,1.22,1.31,1.22,1.24,179000.0
2019-02-15,1.28,1.28,1.21,1.21,146000.0
2019-02-19,1.26,1.26,1.26,1.26,0.0
2019-02-20,1.26,1.26,1.26,1.26,0.0
2019-02-21,1.21,1.25,1.2,1.25,58000.0
2019-02-22,1.25,1.25,1.25,1.25,0.0
2019-02-25,1.25,1.25,1.25,1.25,0.0
2019-02-26,1.25,1.25,1.25,1.25,0.0
2019-02-27,1.25,1.25,1.25,1.25,0.0
