Date,Open,High,Low,Close,Volume
1999-10-01,9.66,9.84,9.66,9.75,3162400
1999-10-04,9.75,9.75,9.66,9.66,533400
1999-10-05,9.66,9.75,9.66,9.75,270600
1999-10-06,9.75,10.27,9.75,10.27,205400
1999-10-07,10.27,10.27,9.71,9.75,214200
1999-10-08,9.79,9.79,9.71,9.71,65600
1999-10-11,9.71,9.75,9.66,9.71,77500
1999-10-12,9.71,9.75,9.66,9.75,49200
1999-10-13,9.75,9.92,9.66,9.71,49900
1999-10-14,9.66,9.71,9.15,9.41,430900
1999-10-15,9.06,9.1,8.76,9.02,158200
1999-10-18,8.97,8.97,8.63,8.84,83800
1999-10-19,8.8,9.15,8.8,9.15,58200
1999-10-20,9.23,9.32,9.06,9.06,62600
1999-10-21,9.06,9.28,8.97,9.28,98200
1999-10-22,9.23,9.36,9.19,9.32,191200
1999-10-25,9.28,9.62,9.28,9.62,153100
1999-10-26,9.54,9.75,9.54,9.66,65600
1999-10-27,9.66,9.79,9.66,9.71,100900
1999-10-28,9.79,10.01,9.75,9.75,255300
1999-10-29,9.75,10.53,9.75,10.53,123200
1999-11-01,10.36,10.36,10.1,10.18,41800
1999-11-02,10.18,10.27,9.88,10.18,66600
1999-11-03,10.14,10.27,10.14,10.18,18500
1999-11-04,10.27,10.44,10.01,10.31,72100
1999-11-05,10.36,10.96,10.27,10.87,122900
1999-11-08,10.96,11.99,10.92,11.48,240000
1999-11-09,11.56,11.56,11.13,11.13,42400
1999-11-10,11.05,11.13,10.92,11.09,59900
1999-11-11,11.09,11.22,11.09,11.13,20000
1999-11-12,11.22,12.77,11.22,12.43,248500
1999-11-15,12.56,12.56,12.08,12.21,99200
1999-11-16,12.21,12.21,11.99,12.04,95300
1999-11-17,12.21,12.6,11.91,12.08,107900
1999-11-18,12.08,12.08,11.91,11.91,67500
1999-11-19,11.91,12.25,11.87,12.17,31200
1999-11-22,12.12,12.34,12.12,12.3,36500
1999-11-23,12.3,13.38,12.3,13.2,65500
1999-11-24,13.12,13.12,12.68,12.81,53800
1999-11-26,12.77,12.77,12.68,12.73,2600
1999-11-29,12.68,12.68,12.34,12.51,20200
1999-11-30,12.56,12.77,12.56,12.68,38100
1999-12-01,12.68,12.86,12.6,12.81,43800
1999-12-02,12.81,13.12,12.81,13.12,33200
1999-12-03,13.2,13.38,13.16,13.25,62000
1999-12-06,13.25,13.25,12.6,12.68,38200
1999-12-07,12.77,13.12,12.73,12.86,112500
1999-12-08,12.77,12.77,12.43,12.56,27700
1999-12-09,12.6,12.68,12.51,12.6,15500
1999-12-10,12.51,12.51,12.17,12.17,22400
1999-12-13,12.25,12.43,12.04,12.04,44500
1999-12-14,11.91,11.91,11.78,11.82,19400
1999-12-15,11.82,11.82,11.65,11.82,11100
1999-12-16,11.78,11.91,11.61,11.61,90700
1999-12-17,11.52,11.91,11.52,11.82,37300
1999-12-20,11.74,11.74,11.61,11.69,31300
1999-12-21,11.69,11.78,11.65,11.74,11800
1999-12-22,11.82,11.99,11.82,11.87,6300
1999-12-23,11.87,11.91,11.74,11.82,3700
1999-12-27,11.78,11.82,11.78,11.82,2400
1999-12-28,11.78,12.17,11.78,11.99,65600
1999-12-29,12.04,12.04,11.82,11.91,9600
1999-12-30,11.82,11.99,11.82,11.95,5100
1999-12-31,11.91,11.99,11.87,11.87,13000
2000-01-03,12.04,12.08,11.48,11.48,64600
2000-01-04,11.48,11.48,10.79,10.96,81900
2000-01-05,10.87,10.87,10.36,10.87,38100
2000-01-06,10.87,11.22,10.87,11.05,41200
2000-01-07,10.96,11.22,10.87,10.96,34700
2000-01-10,11.39,11.39,11.05,11.05,94200
2000-01-11,11.13,11.65,11.05,11.35,39700
2000-01-12,11.39,11.82,11.39,11.82,25100
2000-01-13,11.91,12.08,11.65,11.69,62000
2000-01-14,11.74,12.25,11.65,12.08,183100
2000-01-18,12.25,12.6,12.25,12.43,77300
2000-01-19,12.43,12.68,12.38,12.6,34500
2000-01-20,12.6,12.6,11.99,12.08,42200
2000-01-21,12.04,12.08,11.91,11.99,16000
2000-01-24,12.08,12.08,11.74,11.82,10700
2000-01-25,11.82,12.08,11.78,11.91,19200
2000-01-26,11.91,12.08,11.91,12.04,16600
2000-01-27,12.04,12.43,12.04,12.08,33600
2000-01-28,12.17,12.17,11.95,11.99,3900
2000-01-31,11.82,12.08,11.82,12.08,53900
2000-02-01,11.99,12.25,11.99,12.25,15400
2000-02-02,12.43,12.51,12.34,12.38,92700
2000-02-03,12.47,12.51,12.38,12.43,35200
2000-02-04,12.51,12.81,12.51,12.73,51500
2000-02-07,12.73,12.81,12.68,12.77,25200
2000-02-08,12.77,13.03,12.77,12.81,45300
2000-02-09,12.94,12.94,12.68,12.68,9100
2000-02-10,12.77,12.77,12.34,12.34,9700
2000-02-11,12.34,12.43,12.34,12.38,24700
2000-02-14,12.47,12.47,12.34,12.43,7100
2000-02-15,12.34,12.43,12.34,12.34,4900
2000-02-16,12.34,12.77,12.34,12.77,69000
2000-02-17,12.77,12.9,12.64,12.68,28100
2000-02-18,12.68,12.81,12.68,12.77,5000
2000-02-22,12.86,12.99,12.81,12.81,10700
2000-02-23,12.81,13.07,12.81,12.99,5700
2000-02-24,13.03,13.2,13.03,13.12,61800
2000-02-25,13.12,13.29,13.12,13.29,41400
2000-02-28,13.29,13.89,13.29,13.89,35700
2000-02-29,15.01,15.1,14.93,15.1,79900
2000-03-01,15.53,15.71,15.01,15.01,140600
2000-03-02,15.19,15.36,15.19,15.23,26600
2000-03-03,15.27,15.27,15.23,15.27,17300
2000-03-06,15.23,15.36,15.23,15.23,9900
2000-03-07,15.27,15.27,15.01,15.19,26200
2000-03-08,15.19,15.32,15.19,15.19,31700
2000-03-09,15.1,15.19,15.01,15.19,7800
2000-03-10,15.19,15.27,15.14,15.27,5200
2000-03-13,15.45,15.96,15.36,15.79,27900
2000-03-14,15.79,15.88,15.79,15.79,1300
2000-03-15,15.96,16.65,15.62,16.65,29000
2000-03-16,16.65,17.26,16.65,16.83,19500
2000-03-17,16.14,17.09,16.14,17.09,73300
2000-03-20,16.57,16.74,16.48,16.57,134700
2000-03-21,16.4,16.57,16.4,16.57,172200
2000-03-22,16.4,16.4,15.62,15.62,35900
2000-03-23,15.62,15.62,15.53,15.53,1300
2000-03-24,15.53,15.53,15.45,15.49,5600
2000-03-27,15.32,15.32,15.19,15.23,19600
2000-03-28,15.23,15.23,13.63,13.81,42600
2000-03-29,13.63,13.72,13.63,13.63,77000
2000-03-30,13.68,14.15,13.68,14.11,18700
2000-03-31,14.11,14.11,13.98,13.98,23500
2000-04-03,13.98,14.28,13.98,14.24,4000
2000-04-04,14.24,14.41,14.24,14.32,77700
2000-04-05,14.32,14.8,14.24,14.8,32700
2000-04-06,14.76,15.49,14.58,15.45,12500
2000-04-07,15.36,16.87,15.36,16.74,44500
2000-04-10,16.74,16.74,16.57,16.57,16100
2000-04-11,16.65,16.65,16.57,16.61,6300
2000-04-12,16.57,16.57,16.44,16.48,3800
2000-04-13,16.4,16.4,16.14,16.14,4900
2000-04-14,16.05,16.05,15.88,15.88,10200
2000-04-17,15.79,15.79,15.45,15.49,15500
2000-04-18,15.4,15.4,15.1,15.14,2900
2000-04-19,15.06,15.14,14.5,14.5,20400
2000-04-20,14.5,14.6,14.45,14.58,78800
2000-04-24,14.54,14.93,14.5,14.93,15100
2000-04-25,15.1,16.91,14.97,16.57,74600
2000-04-26,16.74,16.74,16.44,16.65,67700
2000-04-27,16.57,16.83,16.57,16.78,12600
2000-04-28,16.91,17.95,16.83,17.95,43100
2000-05-01,18.12,18.29,16.57,16.57,97500
2000-05-02,16.65,16.65,16.4,16.44,6100
2000-05-03,16.27,16.83,16.27,16.74,23000
2000-05-04,16.57,16.57,16.31,16.31,6300
2000-05-05,16.22,16.48,16.22,16.35,6200
2000-05-08,16.27,16.65,16.22,16.57,20400
2000-05-09,16.65,16.83,16.61,16.83,19900
2000-05-10,16.91,17.3,16.83,17.3,23400
2000-05-11,17.34,17.78,17.34,17.43,30200
2000-05-12,17.26,17.78,17.17,17.78,32300
2000-05-15,17.78,18.29,17.69,17.78,73700
2000-05-16,17.82,18.29,17.69,18.12,26100
2000-05-17,18.21,18.29,18.12,18.21,5300
2000-05-18,18.21,18.21,17.99,18.08,9400
