Date,Open,High,Low,Close,Volume
1972-06-01,0.0,0.33,0.33,0.33,3146900
1972-06-02,0.33,0.34,0.33,0.33,1136400
1972-06-05,0.33,0.34,0.33,0.33,480700
1972-06-06,0.33,0.34,0.33,0.33,1338100
1972-06-07,0.33,0.33,0.33,0.33,894300
1972-06-08,0.33,0.33,0.33,0.33,369800
1972-06-09,0.33,0.33,0.33,0.33,527800
1972-06-12,0.33,0.33,0.33,0.33,376500
1972-06-13,0.33,0.33,0.33,0.33,231900
1972-06-14,0.33,0.33,0.32,0.33,353000
1972-06-15,0.33,0.33,0.33,0.33,443800
1972-06-16,0.33,0.33,0.33,0.33,363100
1972-06-19,0.33,0.33,0.32,0.33,504300
1972-06-20,0.33,0.33,0.33,0.33,316000
1972-06-21,0.33,0.33,0.33,0.33,595000
1972-06-22,0.33,0.33,0.33,0.33,484100
1972-06-23,0.33,0.33,0.32,0.32,541300
1972-06-26,0.32,0.33,0.32,0.33,238700
1972-06-27,0.33,0.33,0.32,0.32,292500
1972-06-28,0.32,0.33,0.32,0.33,3573900
1972-06-29,0.33,0.33,0.32,0.33,369800
1972-06-30,0.33,0.33,0.33,0.33,648800
1972-07-03,0.33,0.33,0.33,0.33,302500
1972-07-05,0.33,0.33,0.33,0.33,2841000
1972-07-06,0.33,0.33,0.33,0.33,2067700
1972-07-07,0.33,0.33,0.33,0.33,527800
1972-07-10,0.33,0.33,0.33,0.33,282400
1972-07-11,0.33,0.33,0.33,0.33,699300
1972-07-12,0.33,0.33,0.33,0.33,480700
1972-07-13,0.33,0.33,0.33,0.33,242000
1972-07-14,0.33,0.33,0.33,0.33,228600
1972-07-17,0.33,0.33,0.33,0.33,706000
1972-07-18,0.33,0.33,0.32,0.33,1045600
1972-07-19,0.33,0.33,0.32,0.33,2111400
1972-07-20,0.33,0.33,0.33,0.33,847200
1972-07-21,0.33,0.33,0.33,0.33,1435600
1972-07-24,0.33,0.34,0.33,0.33,1603700
1972-07-25,0.33,0.34,0.33,0.34,2272800
1972-07-26,0.34,0.34,0.34,0.34,1667600
1972-07-27,0.34,0.34,0.34,0.34,1879400
1972-07-28,0.34,0.34,0.34,0.34,830400
1972-07-31,0.34,0.34,0.34,0.34,433700
1972-08-01,0.34,0.34,0.34,0.34,1852500
1972-08-02,0.35,0.36,0.35,0.36,4263100
1972-08-03,0.36,0.37,0.36,0.36,3698300
1972-08-04,0.36,0.37,0.36,0.37,1344800
1972-08-07,0.37,0.37,0.36,0.37,860700
1972-08-08,0.37,0.37,0.36,0.37,1045600
1972-08-09,0.37,0.37,0.37,0.37,2938500
1972-08-10,0.37,0.39,0.37,0.38,2736700
1972-08-11,0.38,0.38,0.38,0.38,864000
1972-08-14,0.38,0.38,0.37,0.37,793400
1972-08-15,0.37,0.37,0.37,0.37,1744900
1972-08-16,0.37,0.37,0.36,0.37,769900
1972-08-17,0.37,0.37,0.36,0.36,658900
1972-08-18,0.36,0.37,0.36,0.36,632000
1972-08-21,0.36,0.36,0.36,0.36,201700
1972-08-22,0.36,0.37,0.36,0.37,527800
1972-08-23,0.37,0.37,0.36,0.36,413500
1972-08-24,0.36,0.36,0.35,0.36,743000
1972-08-25,0.36,0.36,0.35,0.36,342900
1972-08-28,0.35,0.35,0.35,0.35,689200
1972-08-29,0.35,0.36,0.35,0.36,544600
1972-08-30,0.36,0.36,0.35,0.35,252100
1972-08-31,0.35,0.36,0.35,0.36,268900
1972-09-01,0.36,0.37,0.36,0.36,353000
1972-09-05,0.36,0.36,0.36,0.36,188200
1972-09-06,0.36,0.36,0.36,0.36,625300
1972-09-07,0.36,0.36,0.35,0.36,258800
1972-09-08,0.36,0.36,0.35,0.36,480700
1972-09-11,0.36,0.36,0.35,0.35,215100
