Date,Open,High,Low,Close,Volume
1993-08-13,2.37,2.38,2.33,2.33,14796800
1993-08-16,2.34,2.34,2.26,2.31,3422400
1993-08-17,2.28,2.31,2.27,2.27,732800
1993-08-18,2.27,2.33,2.27,2.31,1084800
1993-08-19,2.3,2.35,2.28,2.35,832800
1993-08-20,2.35,2.39,2.34,2.38,464000
1993-08-23,2.37,2.37,2.34,2.34,146400
1993-08-24,2.35,2.35,2.33,2.33,354400
1993-08-25,2.33,2.35,2.33,2.35,214400
1993-08-26,2.35,2.38,2.35,2.35,287200
1993-08-27,2.35,2.4,2.35,2.38,330400
1993-08-30,2.39,2.4,2.37,2.38,120800
1993-08-31,2.39,2.39,2.37,2.39,233600
1993-09-01,2.37,2.38,2.37,2.38,196800
1993-09-02,2.38,2.38,2.33,2.33,132000
1993-09-03,2.33,2.35,2.28,2.28,51200
1993-09-07,2.31,2.35,2.31,2.31,984800
1993-09-08,2.33,2.33,2.2,2.24,208800
1993-09-09,2.21,2.24,2.21,2.23,277600
1993-09-10,2.24,2.24,2.13,2.14,152000
1993-09-13,2.14,2.19,2.14,2.14,320800
1993-09-14,2.17,2.17,2.03,2.03,1212000
1993-09-15,1.98,2.14,1.91,2.14,1803200
1993-09-16,2.14,2.14,2.07,2.13,248000
1993-09-17,2.11,2.21,2.11,2.2,784800
1993-09-20,2.24,2.26,2.17,2.17,484800
1993-09-21,2.14,2.14,2.07,2.11,240000
1993-09-22,2.11,2.11,2.06,2.09,152000
1993-09-23,2.07,2.07,2.03,2.04,946400
1993-09-24,2.04,2.11,2.04,2.1,480800
1993-09-27,2.1,2.17,2.1,2.16,86400
1993-09-28,2.16,2.17,2.16,2.16,98400
1993-09-29,2.33,2.33,2.3,2.33,788800
1993-09-30,2.33,2.47,2.33,2.46,1268000
1993-10-01,2.46,2.46,2.38,2.42,548800
1993-10-04,2.4,2.42,2.39,2.39,387200
1993-10-05,2.34,2.34,2.26,2.26,482400
1993-10-06,2.26,2.28,2.26,2.28,42400
1993-10-07,2.27,2.3,2.27,2.3,8000
1993-10-08,2.3,2.33,2.3,2.33,905600
1993-10-11,2.32,2.45,2.32,2.45,713600
1993-10-12,2.43,2.46,2.42,2.45,176800
1993-10-13,2.46,2.46,2.42,2.42,346400
1993-10-14,2.45,2.48,2.45,2.46,383200
1993-10-15,2.47,2.48,2.46,2.46,144000
1993-10-18,2.46,2.49,2.46,2.46,160000
1993-10-19,2.47,2.47,2.45,2.46,396800
1993-10-20,2.46,2.47,2.46,2.47,304000
1993-10-21,2.47,2.48,2.47,2.47,90400
1993-10-22,2.47,2.48,2.47,2.47,80000
1993-10-25,2.47,2.48,2.47,2.47,87200
1993-10-26,2.48,2.48,2.42,2.42,502400
1993-10-27,2.42,2.42,2.39,2.39,40000
1993-10-28,2.39,2.42,2.39,2.42,90400
1993-10-29,2.42,2.49,2.41,2.48,408800
1993-11-01,2.47,2.47,2.46,2.47,64000
1993-11-02,2.47,2.47,2.43,2.47,287200
1993-11-03,2.46,2.46,2.43,2.46,40800
1993-11-04,2.43,2.45,2.42,2.42,53600
1993-11-05,2.41,2.41,2.38,2.38,114400
1993-11-08,2.4,2.4,2.38,2.4,150400
1993-11-09,2.38,2.41,2.38,2.39,77600
1993-11-10,2.38,2.38,2.34,2.37,95200
1993-11-11,2.34,2.37,2.34,2.35,68800
1993-11-12,2.35,2.39,2.34,2.34,271200
1993-11-15,2.34,2.34,2.34,2.34,11200
1993-11-16,2.33,2.37,2.33,2.35,127200
1993-11-17,2.33,2.33,2.23,2.23,299200
1993-11-18,2.21,2.23,2.21,2.21,20000
1993-11-19,2.21,2.21,2.18,2.18,27200
1993-11-22,2.17,2.18,2.17,2.18,11200
1993-11-23,2.18,2.2,2.17,2.19,39200
1993-11-24,2.19,2.24,2.19,2.24,162400
1993-11-26,2.26,2.32,2.26,2.32,76800
1993-11-29,2.33,2.34,2.31,2.31,27200
1993-11-30,2.31,2.31,2.3,2.3,60800
1993-12-01,2.31,2.31,2.27,2.27,140800
1993-12-02,2.25,2.25,2.24,2.25,100800
1993-12-03,2.24,2.24,2.24,2.24,28000
1993-12-06,2.24,2.27,2.24,2.26,40800
1993-12-07,2.25,2.25,2.17,2.18,240000
1993-12-08,2.16,2.19,2.16,2.16,128800
1993-12-09,2.14,2.16,2.12,2.14,180800
1993-12-10,2.14,2.16,2.13,2.16,204800
1993-12-13,2.14,2.19,2.14,2.19,121600
1993-12-14,2.21,2.27,2.21,2.24,304800
1993-12-15,2.24,2.32,2.24,2.32,964800
1993-12-16,2.33,2.34,2.31,2.31,52800
1993-12-17,2.31,2.32,2.3,2.32,27200
1993-12-20,2.32,2.33,2.31,2.31,37600
1993-12-21,2.31,2.33,2.28,2.33,421600
1993-12-22,2.34,2.38,2.34,2.38,520800
1993-12-23,2.38,2.38,2.37,2.38,31200
1993-12-27,2.38,2.47,2.38,2.47,207200
1993-12-28,2.49,2.52,2.49,2.49,170400
1993-12-29,2.49,2.55,2.49,2.55,220000
1993-12-30,2.54,2.54,2.5,2.5,404000
1993-12-31,2.52,2.61,2.52,2.61,269600
1994-01-03,2.59,2.59,2.52,2.52,879200
1994-01-04,2.5,2.54,2.5,2.52,27200
1994-01-05,2.52,2.59,2.49,2.56,119200
1994-01-06,2.56,2.59,2.53,2.56,127200
1994-01-07,2.54,2.54,2.5,2.52,78400
1994-01-10,2.52,2.52,2.49,2.5,404800
1994-01-11,2.49,2.5,2.49,2.49,344800
1994-01-12,2.47,2.52,2.46,2.52,329600
1994-01-13,2.52,2.52,2.48,2.5,64000
1994-01-14,2.52,2.54,2.5,2.54,170400
1994-01-17,2.54,2.56,2.53,2.56,87200
1994-01-18,2.59,2.66,2.59,2.66,196800
1994-01-19,2.63,2.68,2.63,2.68,132800
1994-01-20,2.68,2.74,2.68,2.74,119200
1994-01-21,2.73,2.82,2.71,2.8,209600
1994-01-24,2.82,2.87,2.8,2.82,1111200
1994-01-25,2.81,2.81,2.77,2.8,252800
1994-01-26,2.78,2.83,2.78,2.83,196000
1994-01-27,2.83,2.89,2.83,2.89,272000
1994-01-28,2.88,2.88,2.82,2.88,228000
1994-01-31,2.85,3.07,2.85,3.07,601600
1994-02-01,3.05,3.05,2.97,2.97,346400
1994-02-02,2.97,2.99,2.96,2.96,84800
1994-02-03,2.95,2.97,2.95,2.97,118400
1994-02-04,3.04,3.05,2.99,3.01,390400
1994-02-07,2.97,3.02,2.95,3.02,148800
1994-02-08,3.02,3.07,2.99,3.07,654400
1994-02-09,3.09,3.16,3.09,3.14,1688000
1994-02-10,3.14,3.14,3.05,3.08,215200
1994-02-11,3.05,3.05,2.99,2.99,69600
1994-02-14,2.97,2.97,2.9,2.92,291200
1994-02-15,2.92,2.92,2.84,2.84,45600
1994-02-16,2.82,2.87,2.82,2.87,400000
1994-02-17,2.84,2.92,2.84,2.92,119200
1994-02-18,2.95,2.98,2.95,2.95,174400
1994-02-22,2.97,2.99,2.97,2.99,34400
1994-02-23,2.97,2.97,2.91,2.91,38400
1994-02-24,2.94,2.94,2.85,2.89,344000
1994-02-25,2.85,2.85,2.83,2.83,34400
1994-02-28,2.81,2.88,2.78,2.88,163200
1994-03-01,2.88,2.9,2.83,2.85,242400
1994-03-02,2.81,2.82,2.76,2.82,215200
1994-03-03,2.8,2.83,2.78,2.81,587200
1994-03-04,2.81,2.83,2.81,2.81,207200
1994-03-07,2.83,2.89,2.83,2.88,68000
1994-03-08,2.89,2.99,2.89,2.99,116000
1994-03-09,2.98,3.07,2.95,3.04,187200
1994-03-10,3.07,3.07,3.04,3.04,7200
1994-03-11,3.04,3.04,3.04,3.04,212000
1994-03-14,3.04,3.07,3.02,3.05,163200
1994-03-15,3.07,3.09,3.07,3.09,36800
1994-03-16,3.09,3.15,3.09,3.14,183200
1994-03-17,3.15,3.16,3.12,3.16,100800
1994-03-18,3.17,3.18,3.15,3.15,119200
1994-03-21,3.16,3.16,3.1,3.11,31200
1994-03-22,3.09,3.09,3.02,3.08,111200
1994-03-23,3.05,3.09,3.05,3.09,55200
1994-03-24,3.08,3.08,3.02,3.04,330400
1994-03-25,3.05,3.05,3.01,3.04,123200
1994-03-28,3.02,3.02,2.99,2.99,15200
1994-03-29,2.97,2.97,2.95,2.95,24000
1994-03-30,2.88,2.88,2.78,2.82,121600
1994-03-31,2.78,2.8,2.71,2.8,102400
1994-04-04,2.77,2.77,2.73,2.75,28800
1994-04-05,2.76,2.84,2.71,2.84,128000
1994-04-06,2.85,2.88,2.85,2.85,532000
1994-04-07,2.9,2.96,2.9,2.95,840800
1994-04-08,2.96,2.96,2.9,2.9,129600
1994-04-11,2.88,2.89,2.87,2.87,32000
1994-04-12,2.82,2.82,2.78,2.78,108000
1994-04-13,2.76,2.76,2.71,2.71,41600
1994-04-14,2.68,2.69,2.68,2.69,72800
1994-04-15,2.67,2.67,2.61,2.61,130400
1994-04-18,2.61,2.62,2.57,2.57,120000
1994-04-19,2.48,2.48,2.39,2.39,196800
1994-04-20,2.39,2.39,2.27,2.32,998400
1994-04-21,2.34,2.41,2.34,2.41,159200
1994-04-22,2.43,2.43,2.42,2.42,599200
1994-04-25,2.43,2.43,2.42,2.43,292000
1994-04-26,2.44,2.47,2.44,2.47,77600
1994-04-28,2.52,2.54,2.52,2.54,91200
1994-04-29,2.52,2.54,2.45,2.47,539200
1994-05-02,2.45,2.45,2.4,2.4,27200
1994-05-03,2.4,2.42,2.4,2.42,31200
1994-05-04,2.44,2.47,2.44,2.47,23200
1994-05-05,2.48,2.49,2.48,2.49,4800
1994-05-06,2.49,2.49,2.44,2.45,36800
1994-05-09,2.47,2.48,2.46,2.48,11200
1994-05-10,2.51,2.51,2.51,2.51,17600
1994-05-11,2.51,2.51,2.47,2.48,8800
1994-05-12,2.48,2.48,2.48,2.48,12000
1994-05-13,2.46,2.46,2.41,2.42,52800
1994-05-16,2.44,2.44,2.44,2.44,5600
1994-05-17,2.41,2.42,2.4,2.42,117600
1994-05-18,2.4,2.44,2.4,2.44,29600
1994-05-19,2.41,2.41,2.4,2.4,10400
1994-05-20,2.39,2.39,2.35,2.35,49600
1994-05-23,2.32,2.32,2.29,2.29,88000
1994-05-24,2.28,2.28,2.27,2.27,18400
1994-05-25,2.26,2.26,2.26,2.26,692000
1994-05-26,2.24,2.38,2.24,2.35,2219200
1994-05-27,2.35,2.37,2.34,2.34,137600
1994-05-31,2.33,2.33,2.29,2.29,47200
1994-06-01,2.28,2.28,2.2,2.24,278400
1994-06-02,2.25,2.25,2.21,2.21,408800
1994-06-03,2.22,2.22,2.21,2.22,144800
1994-06-06,2.2,2.25,2.2,2.22,408000
1994-06-07,2.25,2.25,2.24,2.24,36800
1994-06-08,2.22,2.24,2.22,2.24,150400
1994-06-09,2.22,2.22,2.2,2.2,342400
1994-06-10,2.2,2.21,2.2,2.21,28800
1994-06-13,2.22,2.22,2.2,2.21,51200
1994-06-14,2.2,2.21,2.2,2.21,525600
1994-06-15,2.21,2.24,2.21,2.24,440800
1994-06-16,2.24,2.24,2.2,2.2,29600
1994-06-17,2.22,2.27,2.22,2.26,691200
1994-06-20,2.27,2.28,2.25,2.25,74400
1994-06-21,2.22,2.24,2.21,2.21,61600
1994-06-22,2.24,2.25,2.21,2.21,1308000
1994-06-23,2.2,2.2,2.17,2.19,1070400
1994-06-24,2.19,2.19,2.17,2.18,59200
1994-06-27,2.18,2.18,2.17,2.17,27200
1994-06-28,2.17,2.17,2.15,2.15,106400
1994-06-29,2.17,2.17,2.13,2.15,259200
1994-06-30,2.14,2.15,2.13,2.13,88000
1994-07-01,2.13,2.14,2.13,2.13,175200
1994-07-05,2.14,2.15,2.13,2.13,427200
1994-07-06,2.2,2.35,2.19,2.35,973600
1994-07-07,2.33,2.42,2.33,2.4,425600
