Date,Open,High,Low,Close,Volume
1997-06-18,9.34,9.6,9.34,9.56,7918300
1997-06-19,9.6,9.65,9.47,9.51,1472400
1997-06-20,9.56,9.56,9.38,9.42,1030200
1997-06-23,9.42,9.42,9.34,9.34,628900
1997-06-24,9.36,9.38,9.31,9.31,541800
1997-06-25,9.38,9.49,9.38,9.45,570500
1997-06-26,9.56,9.65,9.49,9.65,488700
1997-06-27,9.65,9.69,9.56,9.6,586400
1997-06-30,9.58,9.83,9.38,9.74,629800
1997-07-01,9.69,9.69,9.51,9.51,269700
1997-07-02,9.42,9.51,9.42,9.42,350800
1997-07-03,9.45,9.56,9.45,9.51,173000
1997-07-07,9.6,9.63,9.47,9.56,449500
1997-07-08,9.54,9.6,9.51,9.54,239400
1997-07-09,9.51,9.54,9.47,9.49,226000
1997-07-10,9.47,9.47,9.4,9.42,425100
1997-07-11,9.42,9.47,9.4,9.45,326300
1997-07-14,9.54,9.72,9.51,9.56,311000
1997-07-15,9.63,9.63,9.49,9.54,534400
1997-07-16,9.54,9.65,9.51,9.6,443700
1997-07-17,9.63,9.72,9.63,9.67,443800
1997-07-18,9.65,9.67,9.42,9.51,359600
1997-07-21,9.42,9.6,9.38,9.58,422700
1997-07-22,9.58,9.63,9.56,9.58,246500
1997-07-23,9.63,9.63,9.58,9.58,196900
1997-07-24,9.63,9.69,9.56,9.67,481800
1997-07-25,9.72,9.78,9.69,9.76,225800
1997-07-28,9.72,9.78,9.65,9.76,127600
1997-07-29,9.74,9.85,9.72,9.8,350200
1997-07-30,9.8,9.87,9.65,9.85,126600
1997-07-31,9.85,10.01,9.83,9.96,203500
1997-08-01,9.98,9.98,9.74,9.96,85200
1997-08-04,9.98,10.01,9.72,9.96,115600
1997-08-05,9.89,10.12,9.85,10.05,152900
1997-08-06,10.01,10.5,9.98,10.5,234900
1997-08-07,10.47,10.5,10.45,10.45,358900
1997-08-08,10.36,10.36,10.01,10.36,387300
1997-08-11,10.32,10.34,9.87,10.07,164700
1997-08-12,10.09,10.14,9.98,9.98,437100
1997-08-13,10.01,10.09,9.83,9.89,323000
