Date,Open,High,Low,Close,Volume
1977-01-03,11.29,11.36,11.29,11.36,47800
1977-01-04,11.36,11.4,11.33,11.4,34200
1977-01-05,11.4,11.4,11.29,11.33,15300
1977-01-06,11.29,11.29,11.15,11.25,39000
1977-01-07,11.25,11.29,11.15,11.29,20400
1977-01-10,11.29,11.44,11.29,11.4,42800
1977-01-11,11.4,11.47,11.4,11.44,22000
1977-01-12,11.44,11.44,11.29,11.44,34900
1977-01-13,11.44,11.58,11.44,11.51,34400
1977-01-14,11.51,11.58,11.47,11.55,20600
1977-01-17,11.4,11.4,11.22,11.29,33700
1977-01-18,11.29,11.33,11.22,11.33,34200
1977-01-19,11.33,11.36,11.25,11.36,19600
1977-01-20,11.36,11.44,11.15,11.29,79400
1977-01-21,11.29,11.33,11.18,11.29,19200
1977-01-24,11.29,11.33,11.22,11.33,24000
1977-01-25,11.33,11.44,11.33,11.4,24900
1977-01-26,11.36,11.36,11.25,11.29,22800
1977-01-27,11.29,11.33,11.18,11.33,26400
1977-01-28,11.29,11.33,11.18,11.33,26400
1977-01-31,11.29,11.29,11.18,11.22,18000
1977-02-01,11.22,11.29,11.22,11.29,20100
1977-02-02,11.29,11.33,11.22,11.22,72000
1977-02-03,11.22,11.33,11.11,11.22,186900
1977-02-04,11.22,11.33,11.18,11.25,35600
1977-02-07,11.25,11.33,11.22,11.29,20600
1977-02-08,11.29,11.36,11.25,11.33,23500
1977-02-09,11.33,11.33,11.22,11.25,17200
1977-02-10,11.25,11.4,11.25,11.4,16300
1977-02-11,11.4,11.4,11.29,11.36,24700
1977-02-14,11.36,11.36,11.29,11.33,17200
1977-02-15,11.33,11.33,11.25,11.33,16800
1977-02-16,11.33,11.36,11.25,11.33,25200
1977-02-17,11.33,11.36,11.29,11.29,22300
1977-02-18,11.29,11.4,11.25,11.4,26100
1977-02-22,11.4,11.4,11.33,11.4,17500
1977-02-23,11.4,11.44,11.36,11.44,44200
1977-02-24,11.44,11.44,11.36,11.44,80600
1977-02-25,11.4,11.4,11.33,11.33,18000
1977-02-28,11.33,11.4,11.18,11.29,35100
1977-03-01,11.29,11.4,11.22,11.33,47100
1977-03-02,11.33,11.44,11.33,11.44,36300
1977-03-03,11.44,11.44,11.36,11.44,68400
1977-03-04,11.44,11.51,11.4,11.51,43500
1977-03-07,11.51,11.55,11.44,11.51,21100
1977-03-08,11.51,11.58,11.44,11.44,43500
1977-03-09,11.44,11.44,11.36,11.4,21600
1977-03-10,11.4,11.44,11.29,11.36,25400
1977-03-11,11.36,11.44,11.36,11.4,24700
1977-03-14,11.4,11.47,11.36,11.47,28800
1977-03-15,11.51,11.62,11.51,11.55,103500
1977-03-16,11.55,11.69,11.55,11.62,85900
1977-03-17,11.62,11.65,11.51,11.58,40900
1977-03-18,11.58,11.62,11.55,11.55,22500
1977-03-21,11.55,11.65,11.55,11.58,31800
1977-03-22,11.58,11.58,11.47,11.51,33200
1977-03-23,11.51,11.58,11.51,11.55,29200
1977-03-24,11.55,11.55,11.51,11.55,31000
1977-03-25,11.55,11.55,11.36,11.44,20400
1977-03-28,11.4,11.4,11.29,11.4,33700
1977-03-29,11.4,11.44,11.36,11.44,13600
1977-03-30,11.44,11.44,11.4,11.4,15800
1977-03-31,11.4,11.47,11.4,11.4,44000
1977-04-01,11.4,11.51,11.4,11.47,31500
1977-04-04,11.47,11.51,11.4,11.44,17700
1977-04-05,11.44,11.47,11.29,11.44,37500
1977-04-06,11.44,11.55,11.44,11.47,21300
1977-04-07,11.51,11.58,11.51,11.58,24200
1977-04-11,11.58,11.65,11.51,11.55,42300
1977-04-12,11.55,11.76,11.55,11.76,24400
1977-04-13,11.76,11.84,11.62,11.84,144200
1977-04-14,11.84,12.02,11.84,11.91,49300
1977-04-15,11.91,12.02,11.84,11.84,33000
1977-04-18,11.69,11.69,11.55,11.58,37000
1977-04-19,11.55,11.55,11.47,11.47,57000
1977-04-20,11.55,11.62,11.55,11.62,28500
1977-04-21,11.62,11.62,11.55,11.58,16500
1977-04-22,11.58,11.62,11.51,11.51,24900
1977-04-25,11.51,11.55,11.36,11.36,22500
1977-04-26,11.36,11.47,11.33,11.47,23700
1977-04-27,11.47,11.62,11.44,11.51,27600
1977-04-28,11.51,11.58,11.47,11.51,19900
1977-04-29,11.51,11.58,11.47,11.55,34200
1977-05-02,11.55,11.69,11.51,11.62,34200
1977-05-03,11.62,11.69,11.58,11.62,21300
1977-05-04,11.62,11.69,11.58,11.65,21100
1977-05-05,11.65,11.65,11.58,11.62,20600
1977-05-06,11.62,11.62,11.51,11.62,14400
1977-05-09,11.62,11.73,11.55,11.65,49000
1977-05-10,11.65,11.73,11.65,11.65,16300
1977-05-11,11.65,11.73,11.62,11.69,17000
1977-05-12,11.69,11.73,11.58,11.65,39400
1977-05-13,11.65,11.69,11.62,11.62,11500
1977-05-16,11.62,11.65,11.62,11.62,24200
1977-05-17,11.62,11.73,11.62,11.69,29700
1977-05-18,11.69,11.73,11.65,11.69,35400
1977-05-19,11.69,11.8,11.65,11.69,53400
1977-05-20,11.76,11.84,11.76,11.84,19600
1977-05-23,11.8,11.8,11.69,11.73,23000
1977-05-24,11.73,11.76,11.62,11.69,23700
1977-05-25,11.69,11.76,11.65,11.73,25900
1977-05-26,11.73,11.73,11.62,11.69,14100
1977-05-27,11.69,11.69,11.62,11.62,15800
1977-05-31,11.62,11.62,11.44,11.55,28800
1977-06-01,11.55,11.62,11.51,11.58,14600
1977-06-02,11.58,11.65,11.55,11.65,30100
1977-06-03,11.65,11.69,11.62,11.69,26400
1977-06-06,11.69,11.69,11.47,11.51,35600
1977-06-07,11.51,11.65,11.47,11.62,43300
1977-06-08,11.62,11.65,11.55,11.58,25400
1977-06-09,11.58,11.62,11.55,11.62,14400
1977-06-10,11.62,11.62,11.55,11.62,11500
1977-06-13,11.62,11.62,11.55,11.62,13900
1977-06-14,11.62,11.62,11.47,11.62,16300
1977-06-15,11.62,11.62,11.51,11.55,19600
1977-06-16,11.55,11.55,11.44,11.55,73600
1977-06-17,11.55,11.58,11.51,11.58,40400
1977-06-20,11.58,11.58,11.47,11.55,14600
1977-06-21,11.55,11.62,11.55,11.55,33000
1977-06-22,11.55,11.58,11.51,11.58,16300
1977-06-23,11.58,11.62,11.55,11.62,20100
1977-06-24,11.62,11.65,11.55,11.62,47100
1977-06-27,11.62,11.65,11.55,11.55,22300
1977-06-28,11.55,11.58,11.55,11.55,19600
1977-06-29,11.55,11.62,11.44,11.62,16300
1977-06-30,11.62,11.62,11.58,11.58,46400
1977-07-01,11.62,11.69,11.62,11.69,22000
1977-07-05,11.69,11.76,11.65,11.73,27800
1977-07-06,11.8,11.87,11.8,11.8,24200
1977-07-07,11.8,11.91,11.8,11.91,46600
1977-07-08,11.91,11.94,11.84,11.91,20400
1977-07-11,11.91,11.98,11.87,11.98,23000
1977-07-12,11.98,12.02,11.91,11.98,33900
1977-07-13,11.98,12.02,11.94,12.02,22500
1977-07-15,12.02,12.05,11.98,12.02,27100
1977-07-18,11.91,11.91,11.73,11.8,18900
1977-07-19,11.8,11.98,11.8,11.98,19600
1977-07-20,11.98,12.09,11.98,12.05,36800
1977-07-21,12.05,12.13,12.05,12.13,23700
1977-07-22,12.09,12.09,11.94,11.94,30600
1977-07-25,11.94,12.02,11.94,11.98,53400
1977-07-26,11.98,12.05,11.94,12.02,19200
1977-07-27,12.02,12.09,11.94,11.98,15800
1977-07-28,11.98,11.98,11.84,11.87,39200
1977-07-29,11.87,11.94,11.73,11.8,34400
1977-08-01,11.8,11.87,11.76,11.76,31800
1977-08-02,11.76,11.8,11.69,11.8,17200
1977-08-03,11.8,11.87,11.69,11.84,19400
1977-08-04,11.84,11.94,11.8,11.94,20400
1977-08-05,11.94,12.09,11.91,12.09,21100
1977-08-08,12.09,12.09,11.98,11.98,18000
1977-08-09,11.98,12.02,11.8,11.8,19200
1977-08-10,11.8,11.98,11.8,11.98,17200
1977-08-11,11.98,12.09,11.87,11.87,25400
1977-08-12,11.87,11.87,11.76,11.8,10000
1977-08-15,11.8,11.84,11.55,11.69,12700
1977-08-16,11.51,11.51,11.22,11.22,15100
1977-08-17,11.11,11.11,10.86,11.11,46400
1977-08-18,11.11,11.15,11.07,11.15,14800
1977-08-19,11.15,11.18,11.04,11.07,31500
1977-08-22,11.07,11.18,11.04,11.11,18200
1977-08-23,11.11,11.18,11.07,11.18,13200
1977-08-24,11.18,11.22,11.11,11.18,13200
1977-08-25,11.18,11.22,11.15,11.18,12700
1977-08-26,11.22,11.4,11.22,11.36,37800
1977-08-29,11.36,11.47,11.36,11.4,18200
1977-08-30,11.4,11.44,11.4,11.4,53100
1977-08-31,11.4,11.51,11.4,11.51,26400
1977-09-01,11.55,11.62,11.55,11.55,26800
1977-09-02,11.62,11.73,11.62,11.69,17700
1977-09-06,11.69,11.73,11.62,11.65,32500
1977-09-07,11.65,11.76,11.62,11.76,14800
1977-09-08,11.76,11.98,11.73,11.76,23000
1977-09-09,11.73,11.73,11.62,11.69,30100
1977-09-12,11.65,11.65,11.58,11.62,24900
1977-09-13,11.62,11.69,11.51,11.65,34600
1977-09-14,11.65,11.69,11.58,11.65,19900
1977-09-15,11.65,11.65,11.62,11.62,35800
1977-09-16,11.62,11.65,11.62,11.65,47400
1977-09-19,11.65,11.65,11.58,11.62,17500
1977-09-20,11.62,11.65,11.55,11.62,34900
1977-09-21,11.62,11.69,11.51,11.55,105000
1977-09-22,11.55,11.55,11.4,11.44,58400
1977-09-23,11.44,11.44,11.36,11.4,9600
1977-09-26,11.4,11.4,11.25,11.29,28300
1977-09-27,11.29,11.36,11.18,11.25,27600
1977-09-28,11.25,11.29,11.18,11.18,14400
1977-09-29,11.18,11.29,11.15,11.29,19900
1977-09-30,11.29,11.33,11.22,11.33,21800
