Date,Open,High,Low,Close,Volume
1983-08-04,0.0,0.68,0.67,0.67,2550700.0
1983-08-05,0.0,0.68,0.67,0.67,769600.0
1983-08-08,0.0,0.67,0.66,0.66,498100.0
1983-08-09,0.0,0.68,0.66,0.66,202600.0
1983-08-10,0.0,0.68,0.66,0.66,132400.0
1983-08-11,0.0,0.7,0.67,0.67,123400.0
1983-08-12,0.0,0.7,0.67,0.67,110200.0
1983-08-15,0.0,0.74,0.72,0.72,223600.0
1983-08-16,0.0,0.83,0.79,0.79,293800.0
1983-08-17,0.0,0.82,0.79,0.79,162900.0
1983-08-18,0.0,0.81,0.79,0.79,135600.0
1983-08-19,0.0,0.81,0.79,0.79,95400.0
1983-08-22,0.0,0.79,0.77,0.77,211500.0
1983-08-23,0.0,0.79,0.77,0.77,609400.0
1983-08-24,0.0,0.78,0.76,0.76,258400.0
1983-08-25,0.0,0.78,0.76,0.76,71700.0
1983-08-26,0.0,0.78,0.76,0.76,108600.0
1983-08-29,0.0,0.78,0.76,0.76,234900.0
1983-08-30,0.0,0.78,0.76,0.76,129700.0
1983-08-31,0.0,0.78,0.76,0.76,40500.0
1983-09-01,0.0,0.78,0.73,0.73,37000.0
1983-09-02,0.0,0.77,0.73,0.73,15700.0
1983-09-06,0.0,0.78,0.74,0.74,102100.0
1983-09-07,0.0,0.78,0.76,0.76,37000.0
1983-09-08,0.0,0.78,0.77,0.77,32400.0
1983-09-09,0.0,0.78,0.77,0.77,29200.0
1983-09-12,0.0,0.78,0.77,0.77,10900.0
1983-09-13,0.0,0.81,0.78,0.78,48700.0
1983-09-14,0.0,0.81,0.79,0.79,105300.0
1983-09-15,0.0,0.84,0.81,0.81,123400.0
1983-09-16,0.0,0.87,0.84,0.84,164700.0
1983-09-19,0.0,0.9,0.85,0.85,52600.0
1983-09-20,0.0,0.9,0.87,0.87,36400.0
1983-09-21,0.0,0.9,0.87,0.87,19000.0
1983-09-22,0.0,0.91,0.87,0.87,73500.0
1983-09-23,0.0,0.91,0.87,0.87,48700.0
1983-09-26,0.0,0.91,0.88,0.88,46000.0
1983-09-27,0.0,0.93,0.89,0.89,10300.0
1983-09-28,0.0,0.93,0.89,0.89,49500.0
1983-09-29,0.0,0.93,0.9,0.9,76500.0
1983-09-30,0.0,0.93,0.9,0.9,12700.0
1983-10-03,0.0,0.93,0.9,0.9,233100.0
1983-10-04,0.0,0.93,0.9,0.9,10300.0
1983-10-05,0.0,0.93,0.9,0.9,13600.0
1983-10-06,0.0,0.93,0.9,0.9,23800.0
1983-10-07,0.0,0.93,0.89,0.89,40500.0
1983-10-10,0.0,0.93,0.89,0.89,4900.0
1983-10-11,0.0,0.93,0.89,0.89,50500.0
1983-10-12,0.0,0.93,0.88,0.88,10900.0
1983-10-13,0.0,0.93,0.88,0.88,4000.0
1983-10-14,0.0,0.93,0.88,0.88,3300.0
1983-10-17,0.0,0.9,0.87,0.87,19500.0
1983-10-18,0.0,0.88,0.84,0.84,39700.0
1983-10-19,0.0,0.85,0.82,0.82,39700.0
1983-10-20,0.0,0.85,0.82,0.82,39700.0
1983-10-21,0.0,0.85,0.82,0.82,6000.0
1983-10-24,0.0,0.85,0.82,0.82,10800.0
1983-10-25,0.82,0.82,0.82,0.82,0.0
1983-10-26,0.0,0.84,0.81,0.81,9000.0
1983-10-27,0.0,0.84,0.81,0.81,100.0
1983-10-28,0.0,0.84,0.81,0.81,100.0
1983-10-31,0.0,0.83,0.81,0.81,6700.0
1983-11-01,0.0,0.82,0.78,0.78,9000.0
1983-11-02,0.0,0.83,0.8,0.8,21100.0
1983-11-03,0.0,0.83,0.8,0.8,6000.0
1983-11-04,0.0,0.83,0.79,0.79,900.0
1983-11-07,0.0,0.82,0.79,0.79,6000.0
1983-11-08,0.0,0.82,0.78,0.78,10300.0
1983-11-09,0.0,0.81,0.78,0.78,2700.0
1983-11-10,0.0,0.81,0.78,0.78,56700.0
1983-11-11,0.0,0.81,0.79,0.79,21100.0
1983-11-14,0.0,0.82,0.79,0.79,12700.0
1983-11-15,0.0,0.82,0.79,0.79,19500.0
1983-11-16,0.0,0.84,0.81,0.81,40500.0
1983-11-17,0.0,0.84,0.81,0.81,600.0
1983-11-18,0.0,0.85,0.81,0.81,85000.0
1983-11-21,0.0,0.87,0.84,0.84,29200.0
1983-11-22,0.0,0.89,0.84,0.84,6700.0
1983-11-23,0.0,0.89,0.84,0.84,48700.0
1983-11-25,0.84,0.84,0.84,0.84,0.0
1983-11-28,0.0,0.89,0.84,0.84,24300.0
1983-11-29,0.0,0.89,0.84,0.84,100.0
1983-11-30,0.0,0.94,0.9,0.9,114700.0
1983-12-01,0.0,0.96,0.91,0.91,101400.0
1983-12-02,0.0,0.96,0.93,0.93,12700.0
1983-12-05,0.0,0.96,0.94,0.94,900.0
1983-12-06,0.0,0.96,0.93,0.93,53200.0
1983-12-07,0.0,0.96,0.91,0.91,600.0
1983-12-08,0.0,0.96,0.91,0.91,900.0
1983-12-09,0.0,0.96,0.91,0.91,600.0
1983-12-12,0.0,0.95,0.91,0.91,900.0
1983-12-13,0.0,0.95,0.91,0.91,100.0
1983-12-14,0.0,0.95,0.91,0.91,100.0
1983-12-15,0.0,0.95,0.91,0.91,600.0
1983-12-16,0.0,0.95,0.91,0.91,37000.0
1983-12-19,0.0,0.91,0.88,0.88,19500.0
1983-12-20,0.0,0.9,0.87,0.87,345700.0
1983-12-21,0.0,0.89,0.87,0.87,29200.0
1983-12-22,0.0,0.89,0.87,0.87,90400.0
1983-12-23,0.0,0.89,0.87,0.87,10800.0
1983-12-27,0.0,0.89,0.87,0.87,19000.0
1983-12-28,0.0,0.89,0.85,0.85,9000.0
1983-12-29,0.0,0.89,0.85,0.85,10300.0
1983-12-30,0.0,0.89,0.85,0.85,9000.0
1984-01-03,0.85,0.85,0.85,0.85,0.0
1984-01-04,0.0,0.89,0.87,0.87,600.0
1984-01-05,0.0,0.93,0.9,0.9,46000.0
1984-01-06,0.0,0.93,0.9,0.9,4000.0
1984-01-09,0.9,0.9,0.9,0.9,0.0
1984-01-10,0.0,0.93,0.9,0.9,3300.0
1984-01-11,0.0,0.93,0.9,0.9,23800.0
1984-01-12,0.0,0.93,0.9,0.9,23500.0
1984-01-13,0.0,0.93,0.9,0.9,9000.0
1984-01-16,0.0,0.93,0.91,0.91,3300.0
1984-01-17,0.0,0.93,0.91,0.91,6000.0
1984-01-18,0.0,0.93,0.91,0.91,9000.0
1984-01-19,0.0,0.93,0.9,0.9,12700.0
1984-01-20,0.0,0.9,0.87,0.87,23800.0
1984-01-23,0.0,0.9,0.85,0.85,600.0
1984-01-24,0.0,0.89,0.85,0.85,23500.0
1984-01-25,0.0,0.89,0.85,0.85,0.0
1984-01-26,0.0,0.89,0.85,0.85,900.0
1984-01-27,0.0,0.89,0.85,0.85,600.0
1984-01-30,0.0,0.89,0.85,0.85,3300.0
1984-01-31,0.0,0.88,0.85,0.85,4900.0
1984-02-01,0.0,0.88,0.85,0.85,100.0
1984-02-02,0.0,0.88,0.85,0.85,27100.0
1984-02-03,0.0,0.88,0.85,0.85,600.0
1984-02-06,0.0,0.84,0.81,0.81,32500.0
1984-02-07,0.0,0.85,0.81,0.81,14400.0
1984-02-08,0.0,0.85,0.81,0.81,2700.0
1984-02-09,0.0,0.83,0.79,0.79,21100.0
1984-02-10,0.0,0.83,0.79,0.79,2700.0
1984-02-13,0.0,0.81,0.78,0.78,600.0
1984-02-14,0.0,0.81,0.78,0.78,12700.0
1984-02-15,0.0,0.82,0.78,0.78,19000.0
1984-02-16,0.0,0.82,0.78,0.78,10800.0
1984-02-17,0.0,0.81,0.77,0.77,600.0
1984-02-21,0.0,0.79,0.76,0.76,10300.0
1984-02-22,0.0,0.79,0.76,0.76,600.0
1984-02-23,0.76,0.76,0.76,0.76,0.0
1984-02-24,0.0,0.78,0.76,0.76,0.0
1984-02-27,0.0,0.78,0.77,0.77,9000.0
1984-02-28,0.0,0.78,0.74,0.74,10800.0
1984-02-29,0.0,0.76,0.72,0.72,10300.0
1984-03-01,0.0,0.76,0.72,0.72,100.0
1984-03-02,0.0,0.76,0.73,0.73,17100.0
1984-03-05,0.0,0.76,0.73,0.73,900.0
1984-03-06,0.0,0.76,0.73,0.73,73500.0
1984-03-07,0.0,0.77,0.73,0.73,63000.0
1984-03-08,0.0,0.77,0.73,0.73,17100.0
1984-03-09,0.0,0.77,0.73,0.73,20800.0
1984-03-12,0.0,0.77,0.73,0.73,600.0
1984-03-13,0.0,0.77,0.73,0.73,600.0
1984-03-14,0.0,0.77,0.74,0.74,600.0
1984-03-15,0.0,0.77,0.74,0.74,27100.0
1984-03-16,0.0,0.77,0.74,0.74,3300.0
1984-03-19,0.74,0.74,0.74,0.74,0.0
1984-03-20,0.0,0.77,0.74,0.74,9000.0
1984-03-21,0.0,0.77,0.74,0.74,13600.0
1984-03-22,0.0,0.77,0.74,0.74,2700.0
1984-03-23,0.0,0.77,0.76,0.76,10300.0
1984-03-26,0.0,0.77,0.74,0.74,19000.0
1984-03-27,0.0,0.76,0.74,0.74,19500.0
1984-03-28,0.0,0.78,0.74,0.74,2700.0
1984-03-29,0.0,0.76,0.74,0.74,78400.0
1984-03-30,0.74,0.74,0.74,0.74,0.0
1984-04-02,0.74,0.74,0.74,0.74,0.0
1984-04-03,0.0,0.76,0.73,0.73,31200.0
1984-04-04,0.0,0.76,0.73,0.73,600.0
1984-04-05,0.0,0.76,0.72,0.72,2700.0
1984-04-06,0.0,0.76,0.72,0.72,4000.0
1984-04-09,0.0,0.76,0.73,0.73,21100.0
1984-04-10,0.73,0.73,0.73,0.73,0.0
1984-04-11,0.73,0.73,0.73,0.73,0.0
1984-04-12,0.0,0.76,0.72,0.72,48700.0
1984-04-13,0.0,0.76,0.72,0.72,3300.0
1984-04-16,0.0,0.76,0.72,0.72,92700.0
1984-04-17,0.0,0.74,0.72,0.72,9000.0
1984-04-18,0.0,0.74,0.72,0.72,31200.0
1984-04-19,0.0,0.73,0.7,0.7,10300.0
1984-04-23,0.0,0.73,0.68,0.68,13600.0
1984-04-24,0.0,0.72,0.68,0.68,100.0
1984-04-25,0.0,0.72,0.68,0.68,100.0
1984-04-26,0.0,0.72,0.68,0.68,3300.0
1984-04-27,0.0,0.72,0.68,0.68,9000.0
1984-04-30,0.68,0.68,0.68,0.68,0.0
1984-05-01,0.0,0.72,0.68,0.68,900.0
1984-05-02,0.0,0.72,0.68,0.68,100.0
1984-05-03,0.68,0.68,0.68,0.68,0.0
1984-05-04,0.68,0.68,0.68,0.68,0.0
1984-05-07,0.0,0.72,0.68,0.68,600.0
1984-05-08,0.0,0.72,0.68,0.68,455800.0
1984-05-09,0.0,0.72,0.7,0.7,50500.0
1984-05-10,0.0,0.73,0.71,0.71,4900.0
1984-05-11,0.0,0.76,0.73,0.73,39100.0
1984-05-14,0.0,0.76,0.73,0.73,50500.0
1984-05-15,0.0,0.76,0.73,0.73,23500.0
1984-05-16,0.0,0.76,0.73,0.73,9000.0
1984-05-17,0.0,0.74,0.73,0.73,600.0
1984-05-18,0.0,0.74,0.72,0.72,26200.0
1984-05-21,0.0,0.76,0.72,0.72,46000.0
1984-05-22,0.0,0.76,0.72,0.72,900.0
1984-05-23,0.72,0.72,0.72,0.72,0.0
1984-05-24,0.0,0.76,0.73,0.73,23800.0
1984-05-25,0.0,0.76,0.74,0.74,40600.0
1984-05-29,0.0,0.76,0.73,0.73,10300.0
1984-05-30,0.0,0.76,0.73,0.73,20800.0
