Date,Open,High,Low,Close,Volume
1984-09-07,1.0,1.0,0.98,0.98,118400
1984-09-10,0.98,0.99,0.98,0.98,254400
1984-09-11,1.0,1.01,1.0,1.0,747200
1984-09-12,1.0,1.01,0.99,1.01,1231200
1984-09-13,1.01,1.02,1.01,1.02,188000
1984-09-14,1.03,1.04,1.03,1.04,1092000
1984-09-17,1.05,1.06,1.04,1.05,1891200
1984-09-18,1.05,1.05,1.04,1.04,1260800
1984-09-19,1.04,1.04,1.03,1.03,1030400
1984-09-20,1.03,1.04,1.03,1.04,144800
1984-09-21,1.04,1.04,1.03,1.03,518400
1984-09-24,1.03,1.03,1.02,1.02,663200
1984-09-25,1.02,1.02,1.01,1.02,147200
1984-09-26,1.02,1.02,1.01,1.02,240800
1984-09-27,1.02,1.02,1.01,1.02,120800
1984-09-28,1.02,1.02,1.01,1.01,208800
1984-10-01,1.01,1.01,0.98,0.98,796800
1984-10-02,0.98,0.99,0.96,0.99,1241600
1984-10-03,0.99,0.99,0.98,0.98,499200
1984-10-04,0.98,1.01,0.98,1.01,552800
1984-10-05,1.01,1.02,1.01,1.02,828800
1984-10-08,1.02,1.03,1.02,1.03,350400
1984-10-09,1.03,1.04,1.03,1.03,975200
1984-10-10,1.03,1.04,1.03,1.04,372800
1984-10-11,1.05,1.06,1.05,1.05,903200
1984-10-12,1.05,1.06,1.05,1.06,620000
1984-10-15,1.06,1.08,1.06,1.07,324800
1984-10-16,1.07,1.08,1.07,1.08,800000
1984-10-17,1.07,1.07,1.06,1.06,300800
1984-10-18,1.06,1.09,1.06,1.09,1124000
1984-10-19,1.1,1.14,1.1,1.1,2177600
1984-10-22,1.08,1.08,1.04,1.07,1527200
1984-10-23,1.07,1.07,1.02,1.03,6003200
1984-10-24,1.02,1.02,1.01,1.02,1577600
1984-10-25,1.02,1.02,1.01,1.01,2444000
1984-10-26,1.01,1.01,1.0,1.0,1730400
1984-10-29,1.0,1.01,1.0,1.0,1294400
1984-10-30,1.0,1.02,1.0,1.02,3240800
1984-10-31,1.02,1.03,1.02,1.02,713600
1984-11-01,1.02,1.02,1.01,1.01,476000
1984-11-02,1.01,1.02,1.0,1.0,1944800
1984-11-05,1.0,1.0,0.99,0.99,1296800
1984-11-06,1.0,1.03,1.0,1.03,792000
1984-11-07,1.03,1.04,1.03,1.03,5667200
1984-11-08,1.03,1.03,1.02,1.03,1802400
1984-11-09,1.03,1.03,1.03,1.03,2907200
1984-11-12,1.03,1.04,1.03,1.03,1001600
1984-11-13,1.03,1.03,1.03,1.03,257600
1984-11-14,1.03,1.04,1.03,1.04,2789600
1984-11-15,1.03,1.03,1.03,1.03,1570400
1984-11-16,1.03,1.03,1.02,1.02,1088000
1984-11-19,1.02,1.02,1.0,1.0,428000
1984-11-20,1.0,1.02,1.0,1.02,669600
1984-11-21,1.02,1.03,1.02,1.02,382400
1984-11-23,1.02,1.05,1.02,1.05,322400
1984-11-26,1.05,1.06,1.05,1.06,1167200
1984-11-27,1.05,1.05,1.04,1.04,405600
1984-11-28,1.04,1.05,1.03,1.03,608000
1984-11-29,1.03,1.03,1.02,1.02,571200
1984-11-30,1.02,1.03,1.01,1.02,2242400
1984-12-03,1.02,1.02,1.0,1.0,879200
1984-12-04,1.0,1.02,1.0,1.02,368000
1984-12-05,1.02,1.02,1.01,1.01,595200
1984-12-06,1.01,1.01,1.0,1.01,391200
1984-12-07,1.0,1.0,0.99,0.99,879200
1984-12-10,0.99,0.99,0.98,0.99,369600
1984-12-11,0.99,1.01,0.99,0.99,1697600
1984-12-12,0.99,0.99,0.99,0.99,1138400
1984-12-13,0.99,1.02,0.99,1.01,1263200
1984-12-14,1.01,1.03,1.01,1.03,537600
1984-12-17,1.03,1.03,1.03,1.03,641600
1984-12-18,1.04,1.07,1.04,1.07,1771200
1984-12-19,1.08,1.1,1.08,1.08,3152000
1984-12-20,1.08,1.08,1.07,1.08,1400000
1984-12-21,1.08,1.08,1.06,1.08,953600
1984-12-24,1.08,1.1,1.08,1.1,520800
1984-12-26,1.1,1.11,1.09,1.1,520800
1984-12-27,1.09,1.09,1.08,1.08,568800
1984-12-28,1.08,1.1,1.08,1.1,309600
1984-12-31,1.1,1.13,1.1,1.13,585600
1985-01-02,1.13,1.13,1.11,1.11,487200
1985-01-03,1.11,1.11,1.1,1.1,518400
1985-01-04,1.1,1.1,1.09,1.1,1140800
1985-01-07,1.1,1.11,1.09,1.11,501600
1985-01-08,1.11,1.11,1.09,1.1,1992800
1985-01-09,1.1,1.1,1.09,1.09,542400
1985-01-10,1.09,1.09,1.07,1.09,4253600
1985-01-11,1.09,1.09,1.09,1.09,1169600
1985-01-14,1.09,1.09,1.08,1.09,1786400
1985-01-15,1.09,1.1,1.08,1.09,2609600
1985-01-16,1.09,1.1,1.09,1.09,1912800
1985-01-17,1.09,1.1,1.09,1.09,934400
1985-01-18,1.09,1.09,1.09,1.09,284000
1985-01-21,1.09,1.11,1.09,1.11,542400
1985-01-22,1.13,1.14,1.13,1.13,1102400
1985-01-23,1.13,1.13,1.12,1.12,2102400
1985-01-24,1.12,1.13,1.12,1.13,148800
1985-01-25,1.13,1.13,1.12,1.13,312800
1985-01-28,1.13,1.14,1.13,1.13,874400
1985-01-29,1.13,1.13,1.12,1.13,141600
1985-01-30,1.14,1.2,1.14,1.2,896000
1985-01-31,1.2,1.22,1.18,1.21,1397600
1985-02-01,1.21,1.24,1.21,1.24,1692000
1985-02-04,1.24,1.29,1.24,1.28,1752000
1985-02-05,1.29,1.34,1.29,1.32,984800
1985-02-06,1.32,1.32,1.31,1.32,1131200
1985-02-07,1.32,1.32,1.32,1.32,718400
1985-02-08,1.32,1.32,1.29,1.29,689600
1985-02-11,1.29,1.29,1.28,1.29,293600
1985-02-12,1.28,1.28,1.27,1.27,598400
1985-02-13,1.27,1.27,1.27,1.27,214400
