Date,Open,High,Low,Close,Volume
2010-06-15,28.4,29.22,27.97,28.13,17022500
2010-06-16,28.03,28.39,27.68,27.77,2158800
2010-06-17,28.01,28.12,27.06,27.28,1467700
2010-06-18,27.23,27.41,26.64,26.85,1132200
2010-06-21,27.41,28.58,26.85,27.74,1066900
2010-06-22,28.04,28.71,27.54,28.31,1008800
2010-06-23,28.58,29.01,27.71,28.99,1029400
2010-06-24,29.0,29.6,28.37,28.83,1600800
2010-06-25,28.83,28.88,27.77,27.77,640100
2010-06-28,28.12,28.62,27.5,28.38,718200
2010-06-29,27.93,27.97,27.08,27.5,622300
2010-06-30,27.7,28.27,27.41,28.19,402400
2010-07-01,27.93,28.14,25.98,26.25,1023200
2010-07-02,26.19,26.84,25.99,26.72,483700
2010-07-06,27.19,27.19,25.72,25.8,805200
2010-07-07,25.8,26.35,25.26,25.31,583700
2010-07-08,25.15,26.25,24.64,25.12,2176300
2010-07-09,25.3,25.4,24.82,25.09,448600
2010-07-12,24.9,24.97,23.09,23.21,1194500
2010-07-13,23.71,24.22,23.31,24.12,877900
2010-07-14,23.7,23.7,23.49,23.67,885100
2010-07-15,23.55,23.6,22.6,22.95,642100
2010-07-16,22.74,23.51,22.7,22.9,708700
2010-07-19,23.32,23.32,22.57,22.94,306000
2010-07-20,22.72,23.12,22.51,22.58,490100
2010-07-21,22.61,23.45,22.61,23.04,854200
2010-07-22,23.29,23.9,23.16,23.41,322600
2010-07-23,23.28,23.54,23.06,23.51,233300
2010-07-26,23.38,23.5,22.61,22.95,631200
2010-07-27,22.87,23.94,22.73,23.54,537900
2010-07-28,23.42,23.57,23.01,23.51,131300
2010-07-29,23.38,23.56,22.77,23.09,296200
2010-07-30,22.92,23.54,22.79,23.03,220100
2010-08-02,23.5,23.93,23.1,23.85,356600
2010-08-03,23.67,23.93,23.51,23.6,254100
2010-08-04,23.64,23.81,23.08,23.13,412500
2010-08-05,22.74,22.74,20.99,21.47,1554200
2010-08-06,21.0,21.09,20.02,20.61,1221700
2010-08-09,20.78,20.95,20.37,20.76,436800
2010-08-10,20.69,20.69,19.92,19.92,396600
2010-08-11,19.79,20.06,19.38,19.87,578900
2010-08-12,19.86,20.39,19.66,20.18,515200
2010-08-13,20.0,20.23,19.74,19.92,322000
2010-08-16,19.73,20.11,19.68,19.73,190700
2010-08-17,19.8,20.05,19.45,20.02,329500
2010-08-18,19.81,20.07,19.48,20.01,361500
2010-08-19,20.29,20.48,19.74,19.92,655000
2010-08-20,19.84,19.92,19.6,19.8,326700
2010-08-23,19.73,20.09,19.73,19.92,279500
2010-08-24,19.48,19.63,18.4,18.87,762400
2010-08-25,18.44,18.9,18.4,18.76,242700
2010-08-26,18.84,19.29,18.4,18.43,213900
2010-08-27,18.5,18.55,17.53,18.07,378500
2010-08-30,18.07,18.33,17.62,17.86,273200
2010-08-31,17.76,18.17,17.67,18.11,110300
2010-09-01,18.32,19.13,18.23,18.81,257000
2010-09-02,18.96,19.06,18.3,18.85,143800
2010-09-03,18.92,19.52,18.75,19.29,233400
2010-09-07,19.34,19.34,18.89,19.34,188100
2010-09-08,19.33,19.65,18.98,19.19,263000
2010-09-09,19.59,19.59,18.72,18.97,214400
2010-09-10,18.96,19.36,18.88,19.09,136100
2010-09-13,19.3,19.3,18.58,18.99,237700
2010-09-14,18.77,19.72,18.72,19.29,375100
2010-09-15,19.05,19.63,19.05,19.44,245800
2010-09-16,19.44,19.72,19.15,19.4,327700
2010-09-17,19.4,19.88,19.36,19.54,404600
2010-09-20,19.39,19.49,18.64,19.02,379500
2010-09-21,19.08,19.12,18.6,18.72,298500
2010-09-22,18.8,19.0,18.45,18.56,256100
2010-09-23,18.32,18.46,17.91,17.91,319600
2010-09-24,18.1,18.23,17.86,17.93,237000
2010-09-27,17.98,18.54,17.73,18.33,397100
2010-09-28,18.3,18.68,18.13,18.54,204900
2010-09-29,18.58,18.68,18.06,18.08,298300
2010-09-30,18.25,18.27,17.05,17.58,1710100
2010-10-01,17.62,17.99,17.25,17.92,480700
2010-10-04,17.9,18.0,17.42,17.74,271400
2010-10-05,17.81,18.21,17.68,18.12,385200
2010-10-06,18.1,18.36,17.88,18.12,179400
2010-10-07,18.12,18.22,17.68,17.92,176900
2010-10-08,17.9,18.26,17.84,18.14,168900
2010-10-11,18.18,18.65,17.9,18.32,279200
2010-10-12,18.32,19.47,18.27,19.34,608600
2010-10-13,19.56,19.84,19.23,19.32,714000
2010-10-14,19.4,19.87,19.3,19.69,287000
2010-10-15,19.74,19.74,19.33,19.56,250500
2010-10-18,19.53,20.44,19.45,20.19,467600
2010-10-19,20.19,20.45,20.07,20.12,432900
2010-10-20,20.19,20.81,19.93,20.65,394200
2010-10-21,20.78,20.93,20.38,20.8,243700
2010-10-22,20.92,21.41,20.87,21.35,454800
2010-10-25,21.42,21.73,21.1,21.2,329600
2010-10-26,21.4,21.53,20.88,21.08,161600
2010-10-27,20.88,21.06,20.79,21.03,228400
2010-10-28,21.04,21.09,20.5,20.88,166400
2010-10-29,20.81,21.05,20.81,20.89,195000
2010-11-01,20.91,21.32,20.12,20.53,269800
2010-11-02,20.61,21.01,20.21,20.98,279600
2010-11-03,20.93,21.1,20.53,20.88,229500
2010-11-04,21.27,21.27,20.71,20.89,456600
2010-11-05,20.96,21.75,20.86,21.45,474200
2010-11-08,21.46,21.75,20.86,21.64,587400
2010-11-09,21.75,21.91,21.37,21.68,499300
2010-11-10,21.75,21.91,21.41,21.61,159100
2010-11-11,21.4,21.69,21.19,21.5,145900
2010-11-12,21.39,21.57,20.97,21.01,127000
2010-11-15,20.97,21.32,20.93,21.18,136700
2010-11-16,20.99,21.7,20.95,21.4,482000
2010-11-17,21.53,21.56,21.17,21.23,120000
2010-11-18,21.36,21.58,21.22,21.5,142100
2010-11-19,21.5,22.01,21.12,21.77,327900
2010-11-22,21.66,21.71,21.4,21.58,151000
2010-11-23,21.32,21.66,21.32,21.48,104600
2010-11-24,21.31,21.31,20.1,20.78,533700
2010-11-26,20.65,21.38,20.32,20.45,95700
2010-11-29,20.45,20.75,20.2,20.56,198700
2010-11-30,20.47,20.73,20.38,20.7,397000
2010-12-01,20.93,21.26,20.88,20.89,350500
2010-12-02,20.89,21.27,20.89,21.27,177900
2010-12-03,21.03,21.36,20.98,21.32,162200
2010-12-06,21.32,21.98,21.14,21.69,192900
2010-12-07,21.9,21.9,21.31,21.66,133900
2010-12-08,21.59,21.64,21.02,21.17,231300
2010-12-09,21.28,21.32,20.36,20.56,305300
2010-12-10,20.51,20.66,20.01,20.07,388600
2010-12-13,20.03,20.35,19.72,20.1,436100
2010-12-14,20.05,20.46,19.79,20.05,376600
2010-12-15,19.88,20.45,19.69,19.97,411200
2010-12-16,20.03,20.24,19.22,19.26,861100
2010-12-17,19.17,19.47,19.03,19.32,636300
2010-12-20,19.32,19.5,19.05,19.4,429200
2010-12-21,19.44,19.48,19.24,19.4,486300
2010-12-22,19.37,19.49,19.23,19.31,504300
2010-12-23,19.24,19.7,19.23,19.59,406200
2010-12-27,19.48,19.76,19.48,19.6,237500
2010-12-28,19.44,20.27,19.44,20.13,481400
2010-12-29,20.23,20.23,19.77,19.83,192400
2010-12-30,19.67,20.07,19.66,19.86,339200
2010-12-31,19.79,20.09,19.79,19.97,269700
2011-01-03,20.11,20.84,19.99,20.75,576400
2011-01-04,20.7,21.1,20.65,20.81,505600
2011-01-05,20.72,20.92,20.34,20.75,502000
2011-01-06,20.54,20.76,20.32,20.62,310900
2011-01-07,20.62,20.84,20.56,20.8,288900
2011-01-10,20.62,21.36,20.46,21.2,343700
2011-01-11,21.33,21.37,20.88,20.95,372300
2011-01-12,21.01,21.18,20.72,20.92,379400
2011-01-13,20.91,20.97,20.38,20.57,303700
2011-01-14,20.47,20.87,20.41,20.8,299400
2011-01-18,20.73,20.89,20.49,20.61,204500
2011-01-19,20.56,20.68,20.2,20.27,299500
2011-01-20,20.22,20.4,20.01,20.1,201700
2011-01-21,20.17,20.3,20.01,20.27,250000
2011-01-24,20.18,20.4,20.05,20.18,157400
2011-01-25,20.1,20.13,19.92,20.04,107300
2011-01-26,20.1,20.3,20.06,20.26,249900
2011-01-27,20.33,20.35,19.98,20.23,211700
2011-01-28,20.1,20.17,19.79,20.07,324500
2011-01-31,20.1,20.1,19.6,20.1,495700
2011-02-01,20.17,20.19,20.01,20.05,324300
2011-02-02,19.97,20.42,19.85,20.31,364700
2011-02-03,20.29,20.87,20.29,20.78,443600
2011-02-04,20.82,21.04,20.77,20.95,430800
2011-02-07,20.97,21.27,20.97,21.23,305800
2011-02-08,21.11,21.39,20.99,21.38,388000
2011-02-09,21.39,24.1,21.34,22.29,5430700
2011-02-10,22.72,23.71,22.0,23.48,2210500
2011-02-11,23.68,23.76,22.5,23.0,1090700
2011-02-14,23.15,24.64,23.02,24.33,1706300
2011-02-15,24.38,24.38,22.84,22.9,1408300
2011-02-16,22.99,23.33,22.5,23.0,793200
2011-02-17,23.16,23.98,23.0,23.86,833900
2011-02-18,23.96,24.25,23.43,23.69,860200
2011-02-22,23.57,23.57,22.63,22.69,653600
2011-02-23,22.94,23.85,22.41,23.06,1291800
2011-02-24,23.15,24.14,22.92,24.05,958700
2011-02-25,24.83,25.78,24.47,25.71,2222900
2011-02-28,25.78,26.01,25.21,25.85,1035900
2011-03-01,25.85,25.85,24.28,24.35,1093700
2011-03-02,24.49,24.68,24.07,24.19,861300
2011-03-03,24.47,25.08,24.41,24.66,768800
2011-03-04,24.74,24.74,24.22,24.49,412400
2011-03-07,24.63,24.98,24.37,24.89,519500
2011-03-08,24.82,24.99,24.47,24.94,418800
2011-03-09,24.97,24.99,24.63,24.9,426100
2011-03-10,24.55,24.72,23.59,23.63,1441000
2011-03-11,23.59,24.46,23.59,24.35,415100
2011-03-14,23.94,24.6,23.68,24.51,507200
2011-03-15,23.82,24.38,23.71,24.17,720200
2011-03-16,24.11,24.59,24.0,24.29,491800
2011-03-17,24.47,24.61,24.29,24.4,427700
2011-03-18,24.55,24.67,24.24,24.36,711300
2011-03-21,24.55,24.83,24.37,24.68,394200
2011-03-22,24.68,25.27,24.65,25.21,491300
2011-03-23,25.23,25.52,24.96,25.42,529200
2011-03-24,25.43,25.69,25.19,25.65,466400
2011-03-25,25.68,25.71,25.43,25.51,201900
2011-03-28,25.61,25.65,25.08,25.14,192500
2011-03-29,25.18,25.43,25.01,25.16,147100
2011-03-30,25.26,25.5,24.9,25.44,202300
2011-03-31,25.43,25.52,25.26,25.4,254200
2011-04-01,25.65,25.78,24.0,24.12,1516100
2011-04-04,24.05,24.55,23.86,24.29,513600
2011-04-05,24.09,24.35,24.03,24.18,326900
2011-04-06,24.19,24.25,23.56,23.65,549700
2011-04-07,23.65,24.2,23.63,23.68,304100
2011-04-08,23.9,24.0,23.49,23.57,187400
2011-04-11,23.66,23.89,23.44,23.58,234100
2011-04-12,23.54,23.67,23.33,23.48,217200
2011-04-13,23.6,23.68,23.27,23.54,109500
2011-04-14,23.46,23.89,23.38,23.69,174600
2011-04-15,23.69,23.98,23.68,23.83,175000
2011-04-18,23.61,23.88,23.47,23.61,177900
2011-04-19,23.61,23.68,23.35,23.39,164500
2011-04-20,23.68,23.76,23.34,23.54,195500
2011-04-21,23.68,23.81,23.46,23.76,152700
2011-04-25,23.68,23.9,23.36,23.52,192100
2011-04-26,23.53,23.81,23.44,23.55,124800
2011-04-27,23.67,23.84,23.46,23.84,143400
2011-04-28,23.83,24.1,23.69,23.98,236300
