Date,Open,High,Low,Close,Volume
2005-12-05,22.36,22.36,19.9,19.9,1087800
2005-12-06,20.01,20.01,19.19,19.2,1743800
2005-12-07,19.38,19.38,18.82,19.04,1536400
2005-12-08,19.03,19.19,18.71,18.92,2100700
2005-12-09,18.93,19.34,18.6,19.1,2414700
2005-12-12,19.3,19.6,19.3,19.56,898600
2005-12-13,19.56,19.57,19.33,19.38,639700
2005-12-14,19.38,19.42,19.12,19.15,672800
2005-12-15,19.15,19.15,18.78,18.87,1948400
2005-12-16,18.88,19.01,18.76,18.86,1023000
2005-12-19,18.86,18.93,18.71,18.85,362700
2005-12-20,18.85,18.85,18.44,18.68,385800
2005-12-21,18.74,18.86,18.62,18.82,673000
2005-12-22,18.82,18.82,18.63,18.71,274300
2005-12-23,18.71,19.02,18.71,19.01,667100
2005-12-27,19.12,19.33,18.86,19.12,511400
2005-12-28,19.19,19.26,18.63,18.67,821600
2005-12-29,18.74,18.82,18.45,18.63,776100
2005-12-30,18.63,19.01,18.52,19.01,3887900
2006-01-03,19.08,20.42,19.08,19.53,6604500
2006-01-04,19.58,19.58,19.26,19.38,8900000
2006-01-05,19.38,19.71,19.25,19.65,8040500
2006-01-06,19.75,20.35,19.72,20.29,7449100
2006-01-09,20.12,20.28,20.01,20.15,7858700
2006-01-10,20.2,20.25,19.7,19.8,9081400
2006-01-11,19.87,19.94,19.42,19.51,6941200
2006-01-12,19.27,19.49,19.0,19.37,7687400
2006-01-13,19.34,19.38,18.99,18.99,4858900
2006-01-17,18.74,19.12,18.64,18.68,6226600
2006-01-18,18.63,19.13,18.51,19.13,5522800
2006-01-19,19.11,19.16,18.89,19.06,5021500
2006-01-20,18.89,19.17,18.57,18.62,5064800
2006-01-23,18.86,19.3,18.67,19.24,6361700
2006-01-24,19.38,20.12,19.23,20.05,8567000
2006-01-25,20.12,20.12,19.44,19.68,5665700
2006-01-26,19.79,20.21,19.74,19.98,7545300
2006-01-27,19.94,20.38,19.7,19.97,7927600
2006-01-30,20.01,20.46,19.9,20.32,5639100
2006-01-31,20.25,20.25,19.4,19.47,6437100
2006-02-01,19.39,19.8,19.35,19.48,4373800
2006-02-02,19.47,19.6,18.98,19.12,6802800
2006-02-03,19.08,19.39,18.92,19.12,5411600
2006-02-06,19.12,19.44,19.11,19.26,3735500
2006-02-07,19.34,19.48,19.03,19.03,3321300
