Date,Open,High,Low,Close,Volume
2013-06-27,16.59,17.63,16.34,17.27,8285800
2013-06-28,17.3,18.03,17.28,17.51,717400
2013-07-01,17.54,17.77,17.25,17.25,394200
2013-07-02,17.25,18.47,17.17,18.07,223800
2013-07-03,17.86,18.06,17.56,17.94,103700
2013-07-05,17.68,18.21,17.44,18.07,111800
2013-07-08,17.91,18.32,17.74,18.08,110500
2013-07-09,17.99,18.73,17.92,18.34,206400
2013-07-10,18.31,18.76,17.91,17.96,334900
2013-07-11,17.91,18.48,17.91,18.41,108800
2013-07-12,18.08,18.37,18.06,18.35,114600
2013-07-15,18.21,18.57,18.07,18.39,177300
2013-07-16,17.9,19.42,17.9,18.9,239300
2013-07-17,18.82,19.25,18.54,19.16,139200
2013-07-18,19.28,19.75,18.86,19.59,162000
2013-07-19,19.75,20.11,19.53,19.6,631400
2013-07-22,19.37,19.47,19.01,19.13,492900
2013-07-23,19.08,19.46,18.81,19.01,41500
2013-07-24,19.02,19.46,18.85,19.34,43600
2013-07-25,19.13,20.67,18.81,20.67,232400
2013-07-26,20.8,20.82,19.79,20.3,141300
2013-07-29,20.22,20.69,19.8,20.41,85200
2013-07-30,20.42,20.5,19.56,20.31,94600
2013-07-31,20.49,20.49,19.93,20.22,52500
2013-08-01,20.17,20.5,19.9,20.37,181600
2013-08-02,20.38,21.16,19.91,21.09,224500
2013-08-05,21.09,21.63,20.93,21.43,104800
2013-08-06,21.47,21.72,21.24,21.45,419400
2013-08-07,21.44,21.62,21.29,21.58,82800
2013-08-08,21.63,21.72,21.44,21.69,74100
2013-08-09,21.49,21.74,21.49,21.68,67400
2013-08-12,21.49,21.82,21.49,21.78,116200
2013-08-13,21.76,22.15,21.49,22.0,102400
2013-08-14,21.91,22.0,21.77,21.97,72100
2013-08-15,22.0,22.0,21.44,21.63,280100
2013-08-16,21.61,21.71,21.44,21.68,82200
2013-08-19,21.63,21.76,21.35,21.71,196100
2013-08-20,21.69,22.33,21.51,21.73,138000
2013-08-21,21.69,21.91,21.44,21.66,89000
2013-08-22,21.68,21.91,21.49,21.64,52600
2013-08-23,21.59,21.92,21.51,21.88,38900
2013-08-26,21.88,21.88,21.58,21.61,126500
2013-08-27,21.51,21.54,20.69,20.9,280700
2013-08-28,20.89,21.1,20.59,20.67,78300
2013-08-29,20.56,20.82,20.0,20.76,171500
2013-08-30,20.7,20.84,20.55,20.62,110900
2013-09-03,20.84,21.79,20.48,21.19,94000
2013-09-04,21.12,21.64,20.71,21.64,117900
2013-09-05,21.54,22.33,21.44,21.93,84400
2013-09-06,21.92,22.33,21.62,21.85,103000
2013-09-09,21.88,22.12,21.31,21.59,123700
2013-09-10,21.63,21.85,21.24,21.66,125600
2013-09-11,21.53,22.12,21.17,22.02,124700
2013-09-12,22.0,22.14,21.65,21.71,672200
2013-09-13,21.65,22.12,21.53,22.1,213800
2013-09-16,22.24,22.54,21.86,22.45,187000
2013-09-17,22.4,22.55,21.71,21.84,315500
2013-09-18,21.7,22.56,21.59,22.37,273600
2013-09-19,22.19,22.47,21.78,22.06,336900
2013-09-20,21.97,22.13,21.33,21.53,1170900
2013-09-23,21.53,22.52,21.38,22.44,442400
2013-09-24,22.45,22.94,22.43,22.85,393900
2013-09-25,22.85,22.97,22.57,22.69,263200
2013-09-26,22.81,23.05,22.41,22.56,473400
2013-09-27,22.53,22.95,22.37,22.55,156900
2013-09-30,22.4,22.65,21.42,21.47,1433100
2013-10-01,21.35,21.82,21.28,21.82,118500
2013-10-02,21.75,21.77,20.94,21.42,177400
2013-10-03,21.37,21.93,21.29,21.93,91000
2013-10-04,21.95,21.98,21.78,21.96,110300
2013-10-07,21.81,21.93,21.6,21.68,56700
2013-10-08,21.63,21.9,21.45,21.74,127000
2013-10-09,21.8,21.94,21.17,21.33,64900
2013-10-10,21.45,21.93,21.38,21.68,108700
2013-10-11,21.68,21.88,21.51,21.62,71400
2013-10-14,21.57,21.58,21.18,21.42,91100
2013-10-15,21.43,21.54,21.17,21.3,77600
2013-10-16,21.35,21.54,21.03,21.32,74400
2013-10-17,21.21,21.69,20.82,21.42,100700
2013-10-18,21.44,21.77,21.22,21.62,94000
2013-10-21,21.62,21.75,21.16,21.21,40700
2013-10-22,21.23,21.54,20.71,21.44,46800
2013-10-23,21.37,21.72,20.42,21.37,126400
2013-10-24,21.35,21.35,19.94,20.7,237200
2013-10-25,20.69,21.3,20.21,20.83,163800
2013-10-28,20.93,21.13,20.54,20.74,121700
2013-10-29,20.85,21.03,20.46,20.64,68200
2013-10-30,20.61,20.86,19.82,20.78,170200
2013-10-31,20.69,20.91,20.04,20.68,150000
2013-11-01,21.63,22.16,20.59,20.74,304900
2013-11-04,20.5,21.67,20.41,21.57,216000
2013-11-05,21.4,21.96,21.28,21.63,173600
2013-11-06,21.63,21.86,21.44,21.62,113100
2013-11-07,21.59,21.85,21.27,21.61,301400
2013-11-08,21.59,21.68,21.2,21.58,554400
2013-11-11,21.05,21.05,20.32,20.42,172300
2013-11-12,20.3,20.36,19.47,19.83,478600
2013-11-13,19.52,20.0,19.36,19.59,930900
2013-11-14,19.81,20.22,19.42,19.47,6958500
2013-11-15,19.46,20.45,19.32,20.33,718600
2013-11-18,20.28,20.64,19.79,20.09,546600
2013-11-19,20.01,20.25,19.88,20.03,326700
2013-11-20,20.0,20.68,19.89,20.48,388600
2013-11-21,20.43,21.08,20.17,20.72,432800
2013-11-22,20.74,21.14,20.59,20.89,405000
2013-11-25,21.24,21.65,20.98,21.01,542400
2013-11-26,21.03,21.18,20.77,20.93,336400
2013-11-27,20.91,21.17,20.52,20.92,244700
2013-11-29,20.97,21.05,20.74,21.01,216000
2013-12-02,20.94,21.29,20.79,21.16,445700
2013-12-03,21.01,21.26,20.95,21.16,194400
2013-12-04,21.06,21.67,20.87,21.58,618200
2013-12-05,21.47,21.6,20.93,21.21,369200
2013-12-06,21.32,21.44,21.07,21.29,415100
2013-12-09,21.26,21.34,21.17,21.31,262000
2013-12-10,21.18,21.28,20.97,21.19,324200
2013-12-11,21.22,21.25,20.78,21.06,488300
2013-12-12,20.97,21.45,20.93,21.25,816900
2013-12-13,21.18,21.51,20.75,20.97,504600
2013-12-16,20.98,21.3,20.66,21.15,314600
2013-12-17,21.06,21.15,20.77,20.87,604000
2013-12-18,20.85,21.15,20.69,21.1,826900
2013-12-19,21.04,21.14,20.77,20.79,355200
2013-12-20,20.74,21.15,20.72,21.08,1035000
2013-12-23,21.15,21.24,20.77,21.0,620700
2013-12-24,21.09,21.45,21.01,21.31,453100
2013-12-26,21.33,21.76,21.31,21.58,359500
2013-12-27,21.65,21.86,21.35,21.67,465800
2013-12-30,21.59,21.99,21.53,21.88,543800
2013-12-31,22.0,22.2,21.62,22.01,379100
2014-01-02,22.01,22.33,21.8,22.03,538900
2014-01-03,22.13,22.26,21.86,22.02,485000
2014-01-06,22.13,22.58,21.49,22.38,666600
2014-01-07,22.39,22.8,22.26,22.6,419000
2014-01-08,22.52,22.82,22.48,22.6,582500
2014-01-09,22.71,23.09,22.63,23.09,453400
2014-01-10,22.99,23.57,22.99,23.44,569400
2014-01-13,23.34,24.1,23.21,23.27,569600
2014-01-14,23.32,23.53,23.0,23.07,581000
2014-01-15,23.02,23.11,22.87,23.05,403100
2014-01-16,23.03,23.13,22.85,23.06,361000
2014-01-17,22.94,23.1,22.77,23.03,252600
2014-01-21,23.2,23.47,22.89,23.37,319700
2014-01-22,23.43,23.71,23.0,23.09,391400
2014-01-23,23.08,23.12,22.78,22.94,382500
2014-01-24,22.83,22.83,22.19,22.26,173200
2014-01-27,22.29,23.03,21.88,21.96,237700
2014-01-28,22.08,22.39,21.8,22.33,207200
2014-01-29,22.04,22.18,21.51,21.65,509500
2014-01-30,21.74,22.23,21.74,22.21,117300
2014-01-31,22.01,22.65,21.95,22.3,141300
2014-02-03,22.3,22.4,21.41,21.75,298900
2014-02-04,21.86,22.22,21.63,22.02,230800
2014-02-05,21.97,22.07,21.76,21.96,207000
2014-02-06,21.96,22.3,21.78,22.05,362700
2014-02-07,22.07,22.31,21.89,22.19,193400
2014-02-10,22.2,22.26,21.8,21.8,220400
2014-02-11,21.8,22.11,21.62,21.75,285900
2014-02-12,21.81,22.56,21.5,22.3,395700
2014-02-13,22.47,23.43,21.78,23.41,406200
2014-02-14,21.81,23.49,21.68,22.91,475400
2014-02-18,22.84,23.51,22.62,23.24,313700
2014-02-19,23.14,23.69,23.14,23.27,278700
2014-02-20,23.22,23.52,23.18,23.33,257700
2014-02-21,23.26,23.33,23.15,23.27,162500
2014-02-24,23.23,23.65,23.18,23.26,120600
2014-02-25,23.16,23.36,22.79,22.93,139100
2014-02-26,23.04,23.5,22.75,23.34,214000
2014-02-27,23.32,24.19,23.32,24.11,226800
2014-02-28,24.06,24.95,24.06,24.7,805300
2014-03-03,24.46,24.69,24.11,24.48,195300
2014-03-04,24.69,24.83,24.45,24.67,180300
2014-03-05,24.78,25.29,24.46,25.2,314300
2014-03-06,25.15,25.45,25.0,25.3,199000
2014-03-07,24.55,24.65,24.11,24.31,3791000
2014-03-10,24.33,24.83,24.08,24.24,497200
2014-03-11,24.78,24.83,24.04,24.16,624800
2014-03-12,24.18,24.22,23.88,23.97,608700
2014-03-13,24.03,24.36,23.37,23.46,424600
2014-03-14,23.38,23.89,22.88,23.4,660500
2014-03-17,23.5,24.09,23.5,24.04,496500
2014-03-18,23.99,24.31,23.78,24.01,354300
2014-03-19,23.92,24.3,23.92,24.07,490600
2014-03-20,23.92,24.37,23.75,23.97,441000
2014-03-21,23.99,24.3,23.71,23.9,1162000
2014-03-24,23.88,24.07,23.74,23.87,750800
2014-03-25,23.95,24.78,23.65,24.78,378800
2014-03-26,24.8,25.01,24.5,24.84,326800
2014-03-27,24.77,25.01,24.55,24.88,381500
2014-03-28,25.06,25.47,24.94,25.21,871000
2014-03-31,25.35,25.99,25.16,25.9,850600
2014-04-01,26.0,26.85,25.95,26.84,1096000
2014-04-02,26.78,27.02,26.52,27.0,404300
2014-04-03,27.08,27.18,26.34,26.49,518100
2014-04-04,26.81,27.29,26.28,26.4,702900
2014-04-07,26.18,26.38,25.81,26.01,468800
2014-04-08,25.96,26.24,25.72,25.84,511500
2014-04-09,25.93,26.77,25.83,26.68,479100
2014-04-10,26.68,27.71,26.26,26.36,973900
2014-04-11,26.18,26.35,25.59,25.85,283000
2014-04-14,26.12,26.28,25.69,26.01,183300
2014-04-15,26.29,26.36,25.88,26.26,306400
2014-04-16,26.42,26.86,26.4,26.76,199000
2014-04-17,26.72,26.9,25.77,26.85,153000
2014-04-21,26.92,27.18,25.2,26.82,457700
2014-04-22,26.86,27.23,26.05,27.05,200500
2014-04-23,27.1,27.1,26.68,26.96,276400
2014-04-24,27.13,27.34,26.68,26.81,433800
2014-04-25,26.74,27.05,25.96,26.28,727600
2014-04-28,26.34,26.53,25.76,26.39,285400
2014-04-29,26.52,26.78,26.0,26.33,220700
