Date,Open,High,Low,Close,Volume
2005-08-11,1.91,1.95,1.88,1.9,76671500
2005-08-12,1.91,2.12,1.91,2.11,29113500
2005-08-15,2.09,2.1,2.03,2.03,10596500
2005-08-16,1.99,2.03,1.99,2.02,5141000
2005-08-17,2.02,2.02,1.97,1.98,6423500
2005-08-18,1.99,2.0,1.91,1.92,12727000
2005-08-19,1.94,1.96,1.91,1.95,3029500
2005-08-22,1.96,2.0,1.93,2.0,2909500
2005-08-23,2.06,2.11,2.03,2.06,13466000
2005-08-24,2.06,2.09,2.04,2.06,3083000
2005-08-25,2.08,2.09,2.05,2.05,4667000
2005-08-26,2.06,2.07,2.05,2.05,2704000
2005-08-29,1.99,2.02,1.98,2.0,5458000
2005-08-30,2.01,2.04,1.99,2.0,2581000
2005-08-31,2.01,2.01,1.95,1.97,3004500
2005-09-01,1.98,1.98,1.83,1.91,12468500
2005-09-02,1.93,1.95,1.88,1.89,5748500
2005-09-06,1.9,1.93,1.9,1.93,2726500
2005-09-07,1.93,1.93,1.88,1.9,3643500
2005-09-08,1.91,1.94,1.91,1.92,2558500
2005-09-09,1.95,1.95,1.93,1.95,2468500
2005-09-12,1.93,1.94,1.88,1.89,3300500
2005-09-13,1.89,1.89,1.85,1.87,3798500
2005-09-14,1.85,1.87,1.84,1.85,2055500
2005-09-15,1.85,1.86,1.77,1.77,6004000
2005-09-16,1.77,1.8,1.71,1.8,9555000
2005-09-19,1.79,1.87,1.79,1.82,5559000
2005-09-20,1.82,1.88,1.82,1.86,4178000
2005-09-21,1.85,1.85,1.73,1.76,8313500
2005-09-22,1.76,1.77,1.7,1.71,7184000
2005-09-23,1.7,1.85,1.7,1.83,4830500
2005-09-26,1.83,1.86,1.79,1.82,7826500
2005-09-27,1.82,1.83,1.8,1.82,4505000
2005-09-28,1.81,1.81,1.76,1.78,3055000
2005-09-29,1.79,1.82,1.74,1.76,6141000
2005-09-30,1.77,1.77,1.72,1.74,12109000
2005-10-03,1.75,1.75,1.69,1.7,4279000
2005-10-04,1.7,1.7,1.65,1.65,2002000
2005-10-05,1.65,1.65,1.51,1.55,10826000
2005-10-06,1.55,1.59,1.54,1.58,4121000
2005-10-07,1.62,1.62,1.58,1.59,2174500
2005-10-10,1.6,1.6,1.46,1.48,2443000
2005-10-11,1.49,1.49,1.41,1.43,3256500
2005-10-12,1.42,1.43,1.39,1.4,2545500
2005-10-13,1.4,1.4,1.32,1.33,3555000
2005-10-14,1.33,1.47,1.33,1.45,7229500
2005-10-17,1.45,1.46,1.42,1.43,3007000
2005-10-18,1.43,1.43,1.4,1.41,2575000
2005-10-19,1.42,1.44,1.4,1.43,5052000
2005-10-20,1.43,1.54,1.43,1.51,7568500
2005-10-21,1.51,1.54,1.5,1.52,4029500
2005-10-24,1.52,1.55,1.52,1.54,2160000
2005-10-25,1.56,1.58,1.54,1.55,2629500
2005-10-26,1.55,1.57,1.52,1.54,2839500
2005-10-27,1.53,1.55,1.52,1.53,810000
2005-10-28,1.55,1.58,1.55,1.57,1664500
2005-10-31,1.59,1.64,1.59,1.62,3915000
2005-11-01,1.66,1.67,1.59,1.6,2830000
2005-11-02,1.6,1.62,1.56,1.59,3455000
2005-11-03,1.58,1.59,1.55,1.56,1815000
2005-11-04,1.56,1.62,1.55,1.58,2600500
2005-11-07,1.58,1.62,1.57,1.59,1783500
2005-11-08,1.58,1.59,1.57,1.59,1599500
2005-11-09,1.6,1.63,1.59,1.6,2294000
2005-11-10,1.61,1.7,1.58,1.63,4019000
2005-11-11,1.63,1.68,1.63,1.66,1347500
2005-11-14,1.66,1.68,1.65,1.67,1282500
2005-11-15,1.68,1.78,1.66,1.75,7032000
2005-11-16,1.79,1.84,1.78,1.8,4794000
2005-11-17,1.81,1.88,1.79,1.87,8077500
2005-11-18,1.87,1.87,1.79,1.85,3764000
