Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.4,0.39,0.39,45500
1980-03-18,0.0,0.4,0.39,0.39,32300
1980-03-19,0.0,0.4,0.39,0.39,12400
1980-03-20,0.0,0.4,0.39,0.39,17100
1980-03-21,0.0,0.4,0.39,0.39,5800
1980-03-24,0.0,0.38,0.37,0.37,130900
1980-03-25,0.0,0.38,0.36,0.36,34600
1980-03-26,0.0,0.38,0.36,0.36,5800
1980-03-27,0.0,0.36,0.35,0.35,60700
1980-03-28,0.0,0.33,0.32,0.32,124300
1980-03-31,0.0,0.33,0.32,0.32,10500
1980-04-01,0.0,0.33,0.32,0.32,45500
1980-04-02,0.0,0.34,0.32,0.32,25700
1980-04-03,0.0,0.34,0.32,0.32,36900
1980-04-07,0.0,0.34,0.32,0.32,12400
1980-04-08,0.0,0.34,0.33,0.33,40900
1980-04-09,0.0,0.34,0.33,0.33,38900
1980-04-10,0.0,0.35,0.33,0.33,40900
1980-04-11,0.0,0.35,0.33,0.33,10500
1980-04-14,0.0,0.34,0.33,0.33,102400
1980-04-15,0.0,0.34,0.33,0.33,15100
1980-04-16,0.0,0.35,0.33,0.33,56400
1980-04-17,0.0,0.35,0.33,0.33,19100
1980-04-18,0.0,0.35,0.33,0.33,8500
1980-04-21,0.33,0.33,0.33,0.33,0
1980-04-22,0.0,0.35,0.33,0.33,28000
1980-04-23,0.0,0.35,0.33,0.33,36900
1980-04-24,0.0,0.35,0.33,0.33,36900
1980-04-25,0.0,0.35,0.33,0.33,15100
1980-04-28,0.0,0.35,0.34,0.34,25700
1980-04-29,0.0,0.35,0.33,0.33,65400
1980-04-30,0.0,0.35,0.34,0.34,78300
1980-05-01,0.0,0.36,0.34,0.34,58800
1980-05-02,0.0,0.36,0.34,0.34,8500
1980-05-05,0.0,0.37,0.35,0.35,65400
1980-05-06,0.0,0.38,0.37,0.37,74000
1980-05-07,0.0,0.38,0.37,0.37,12400
1980-05-08,0.0,0.38,0.37,0.37,45500
1980-05-09,0.0,0.38,0.36,0.36,21700
1980-05-12,0.0,0.38,0.36,0.36,135200
1980-05-13,0.0,0.37,0.36,0.36,25700
1980-05-14,0.0,0.37,0.36,0.36,23700
1980-05-15,0.0,0.38,0.36,0.36,84900
1980-05-16,0.0,0.38,0.37,0.37,211900
1980-05-19,0.0,0.38,0.36,0.36,12400
1980-05-20,0.0,0.38,0.36,0.36,25700
1980-05-21,0.0,0.38,0.36,0.36,135200
1980-05-22,0.0,0.38,0.36,0.36,17100
1980-05-23,0.0,0.38,0.36,0.36,30300
1980-05-27,0.0,0.38,0.37,0.37,54100
1980-05-28,0.0,0.38,0.37,0.37,87200
1980-05-29,0.0,0.38,0.37,0.37,45500
1980-05-30,0.37,0.37,0.37,0.37,0
1980-06-02,0.0,0.38,0.37,0.37,30300
1980-06-03,0.0,0.38,0.37,0.37,52100
1980-06-04,0.0,0.39,0.38,0.38,231500
1980-06-05,0.0,0.39,0.38,0.38,19100
1980-06-06,0.0,0.39,0.38,0.38,82600
1980-06-09,0.0,0.39,0.38,0.38,3800
1980-06-10,0.0,0.39,0.38,0.38,133200
1980-06-11,0.0,0.43,0.41,0.41,176900
1980-06-12,0.0,0.44,0.42,0.42,93500
1980-06-13,0.0,0.45,0.44,0.44,115300
1980-06-16,0.0,0.46,0.44,0.44,19100
1980-06-17,0.0,0.45,0.44,0.44,58800
1980-06-18,0.0,0.45,0.44,0.44,40900
1980-06-19,0.0,0.45,0.44,0.44,8500
1980-06-20,0.0,0.45,0.44,0.44,47500
1980-06-23,0.0,0.46,0.44,0.44,236100
1980-06-24,0.0,0.46,0.44,0.44,21700
1980-06-25,0.0,0.46,0.45,0.45,89200
1980-06-26,0.0,0.46,0.45,0.45,19100
1980-06-27,0.0,0.46,0.45,0.45,32300
1980-06-30,0.0,0.46,0.45,0.45,40900
1980-07-01,0.0,0.46,0.45,0.45,19100
1980-07-02,0.0,0.46,0.45,0.45,21700
1980-07-03,0.0,0.47,0.45,0.45,38900
1980-07-07,0.0,0.47,0.46,0.46,40900
1980-07-08,0.0,0.46,0.46,0.46,23700
1980-07-09,0.0,0.46,0.46,0.46,56400
1980-07-10,0.0,0.46,0.46,0.46,0
1980-07-11,0.0,0.46,0.46,0.46,15100
1980-07-14,0.0,0.46,0.46,0.46,47500
1980-07-15,0.0,0.46,0.46,0.46,74000
1980-07-16,0.0,0.46,0.46,0.46,52100
1980-07-17,0.0,0.46,0.45,0.45,106700
1980-07-18,0.0,0.46,0.45,0.45,56400
1980-07-21,0.0,0.46,0.45,0.45,40900
1980-07-22,0.0,0.46,0.45,0.45,21700
1980-07-23,0.0,0.45,0.45,0.45,65400
1980-07-24,0.0,0.46,0.45,0.45,60700
1980-07-25,0.0,0.46,0.45,0.45,32300
1980-07-28,0.0,0.46,0.45,0.45,17100
1980-07-29,0.0,0.46,0.45,0.45,52100
1980-07-30,0.0,0.46,0.45,0.45,32300
1980-07-31,0.0,0.45,0.45,0.45,69700
1980-08-01,0.0,0.45,0.44,0.44,178900
1980-08-04,0.0,0.44,0.43,0.43,74000
1980-08-05,0.0,0.43,0.43,0.43,76300
1980-08-06,0.0,0.43,0.43,0.43,236100
1980-08-07,0.0,0.44,0.43,0.43,89200
1980-08-08,0.0,0.44,0.43,0.43,40900
1980-08-11,0.0,0.44,0.43,0.43,139800
1980-08-12,0.0,0.44,0.43,0.43,859200
1980-08-13,0.0,0.44,0.43,0.43,54100
1980-08-14,0.0,0.45,0.44,0.44,137200
1980-08-15,0.0,0.45,0.45,0.45,49800
1980-08-18,0.0,0.45,0.44,0.44,34600
1980-08-19,0.0,0.45,0.44,0.44,8500
1980-08-20,0.0,0.45,0.45,0.45,60700
1980-08-21,0.0,0.47,0.46,0.46,45500
1980-08-22,0.0,0.47,0.46,0.46,67400
1980-08-25,0.0,0.48,0.47,0.47,439500
1980-08-26,0.0,0.48,0.47,0.47,246600
1980-08-27,0.0,0.48,0.47,0.47,17100
1980-08-28,0.0,0.48,0.48,0.48,124300
1980-08-29,0.0,0.48,0.48,0.48,111400
1980-09-02,0.0,0.49,0.48,0.48,54100
1980-09-03,0.0,0.49,0.48,0.48,32300
1980-09-04,0.0,0.49,0.48,0.48,255500
1980-09-05,0.0,0.5,0.49,0.49,43500
1980-09-08,0.0,0.5,0.49,0.49,23700
1980-09-09,0.0,0.5,0.49,0.49,8500
1980-09-10,0.0,0.5,0.5,0.5,17100
1980-09-11,0.0,0.51,0.5,0.5,118000
1980-09-12,0.0,0.51,0.5,0.5,100100
1980-09-15,0.0,0.53,0.52,0.52,45500
1980-09-16,0.0,0.55,0.54,0.54,87200
1980-09-17,0.0,0.55,0.54,0.54,17100
1980-09-18,0.0,0.56,0.55,0.55,211900
1980-09-19,0.0,0.56,0.55,0.55,118000
1980-09-22,0.0,0.54,0.54,0.54,118000
1980-09-23,0.0,0.52,0.52,0.52,310100
1980-09-24,0.0,0.52,0.52,0.52,106700
1980-09-25,0.0,0.52,0.51,0.51,36900
1980-09-26,0.0,0.51,0.5,0.5,113400
1980-09-29,0.0,0.51,0.5,0.5,30300
1980-09-30,0.0,0.5,0.5,0.5,63100
1980-10-01,0.0,0.51,0.51,0.51,91500
1980-10-02,0.0,0.51,0.51,0.51,23700
1980-10-03,0.0,0.51,0.51,0.51,207300
1980-10-06,0.0,0.51,0.5,0.5,106700
1980-10-07,0.0,0.51,0.5,0.5,224900
1980-10-08,0.0,0.51,0.5,0.5,82600
1980-10-09,0.5,0.5,0.5,0.5,0
1980-10-10,0.0,0.49,0.48,0.48,43500
1980-10-13,0.0,0.5,0.5,0.5,95800
1980-10-14,0.0,0.5,0.5,0.5,60700
1980-10-15,0.0,0.49,0.48,0.48,89200
1980-10-16,0.0,0.48,0.48,0.48,54100
1980-10-17,0.48,0.48,0.48,0.48,0
1980-10-20,0.0,0.48,0.47,0.47,5800
1980-10-21,0.0,0.48,0.47,0.47,15100
1980-10-22,0.0,0.48,0.47,0.47,0
1980-10-23,0.0,0.48,0.47,0.47,74000
1980-10-24,0.0,0.47,0.46,0.46,67400
1980-10-27,0.0,0.48,0.47,0.47,100100
1980-10-28,0.0,0.47,0.47,0.47,32300
1980-10-29,0.0,0.49,0.48,0.48,52100
1980-10-30,0.0,0.47,0.47,0.47,159000
1980-10-31,0.0,0.47,0.47,0.47,17100
1980-11-03,0.0,0.47,0.46,0.46,30300
1980-11-05,0.0,0.47,0.46,0.46,60700
1980-11-06,0.0,0.46,0.45,0.45,47500
1980-11-07,0.0,0.45,0.45,0.45,1800
1980-11-10,0.0,0.45,0.44,0.44,25700
1980-11-11,0.0,0.46,0.45,0.45,122000
1980-11-12,0.45,0.45,0.45,0.45,0
1980-11-13,0.0,0.45,0.44,0.44,38900
1980-11-14,0.0,0.45,0.44,0.44,3800
1980-11-17,0.0,0.46,0.45,0.45,10500
1980-11-18,0.0,0.46,0.45,0.45,38900
1980-11-19,0.0,0.46,0.45,0.45,32300
1980-11-20,0.0,0.46,0.45,0.45,25700
1980-11-21,0.0,0.46,0.45,0.45,34600
1980-11-24,0.0,0.47,0.46,0.46,5800
1980-11-25,0.0,0.47,0.46,0.46,5800
1980-11-26,0.0,0.47,0.46,0.46,21700
1980-11-28,0.0,0.47,0.46,0.46,5800
1980-12-01,0.0,0.47,0.46,0.46,98100
1980-12-02,0.0,0.47,0.46,0.46,45500
1980-12-03,0.0,0.47,0.46,0.46,32300
1980-12-04,0.0,0.47,0.47,0.47,60700
1980-12-05,0.0,0.47,0.47,0.47,8500
1980-12-08,0.0,0.47,0.47,0.47,56400
1980-12-09,0.0,0.47,0.47,0.47,32300
1980-12-10,0.0,0.47,0.47,0.47,181200
1980-12-11,0.0,0.47,0.47,0.47,93500
1980-12-12,0.0,0.47,0.47,0.47,32300
1980-12-15,0.0,0.47,0.47,0.47,23700
1980-12-16,0.0,0.47,0.47,0.47,49800
1980-12-17,0.0,0.47,0.47,0.47,12400
1980-12-18,0.0,0.47,0.47,0.47,12400
1980-12-19,0.0,0.47,0.47,0.47,38900
1980-12-22,0.0,0.47,0.47,0.47,15100
1980-12-23,0.0,0.48,0.47,0.47,126600
1980-12-24,0.0,0.48,0.47,0.47,12400
1980-12-26,0.0,0.48,0.47,0.47,23700
1980-12-29,0.0,0.49,0.48,0.48,102400
1980-12-30,0.0,0.5,0.49,0.49,113400
1980-12-31,0.0,0.5,0.49,0.49,17100
1981-01-02,0.0,0.51,0.5,0.5,56400
1981-01-05,0.0,0.52,0.51,0.51,257900
1981-01-06,0.0,0.52,0.51,0.51,102400
1981-01-07,0.0,0.51,0.5,0.5,40900
1981-01-08,0.0,0.5,0.5,0.5,28000
1981-01-09,0.0,0.5,0.49,0.49,23700
1981-01-12,0.0,0.51,0.5,0.5,78300
1981-01-13,0.0,0.51,0.5,0.5,1800
1981-01-14,0.0,0.51,0.51,0.51,354100
1981-01-15,0.0,0.51,0.51,0.51,5800
1981-01-16,0.0,0.51,0.51,0.51,12400
1981-01-19,0.0,0.51,0.51,0.51,74000
1981-01-20,0.0,0.49,0.49,0.49,139800
1981-01-21,0.0,0.49,0.49,0.49,54100
1981-01-22,0.0,0.49,0.49,0.49,30300
1981-01-23,0.0,0.49,0.49,0.49,1800
1981-01-26,0.0,0.49,0.49,0.49,34600
1981-01-27,0.0,0.49,0.49,0.49,52100
1981-01-28,0.0,0.49,0.49,0.49,12400
1981-01-29,0.0,0.49,0.49,0.49,10500
1981-01-30,0.0,0.5,0.49,0.49,21700
1981-02-02,0.0,0.49,0.49,0.49,60700
1981-02-03,0.0,0.49,0.49,0.49,58800
1981-02-04,0.0,0.49,0.49,0.49,80600
1981-02-05,0.0,0.5,0.49,0.49,128600
1981-02-06,0.0,0.5,0.49,0.49,8500
1981-02-09,0.0,0.5,0.5,0.5,30300
1981-02-10,0.0,0.5,0.49,0.49,32300
1981-02-11,0.0,0.5,0.49,0.49,115300
1981-02-12,0.0,0.51,0.5,0.5,63100
1981-02-13,0.0,0.51,0.5,0.5,17100
1981-02-17,0.0,0.51,0.5,0.5,58800
1981-02-18,0.0,0.51,0.5,0.5,74000
1981-02-19,0.0,0.52,0.51,0.51,12400
1981-02-20,0.0,0.52,0.51,0.51,12400
1981-02-23,0.0,0.52,0.51,0.51,1800
1981-02-24,0.0,0.53,0.52,0.52,67400
1981-02-25,0.0,0.53,0.52,0.52,56400
1981-02-26,0.0,0.53,0.52,0.52,58800
1981-02-27,0.0,0.53,0.53,0.53,3800
1981-03-02,0.0,0.53,0.53,0.53,19100
1981-03-03,0.0,0.53,0.53,0.53,10500
1981-03-04,0.0,0.54,0.53,0.53,15100
1981-03-05,0.0,0.54,0.53,0.53,47500
1981-03-06,0.0,0.54,0.53,0.53,8500
1981-03-09,0.0,0.54,0.53,0.53,67400
1981-03-10,0.0,0.54,0.54,0.54,82600
1981-03-11,0.0,0.55,0.54,0.54,28000
1981-03-12,0.0,0.55,0.54,0.54,23700
1981-03-13,0.0,0.55,0.54,0.54,12400
1981-03-16,0.0,0.55,0.54,0.54,10500
1981-03-17,0.0,0.55,0.54,0.54,174900
1981-03-18,0.0,0.54,0.54,0.54,34600
1981-03-19,0.0,0.55,0.54,0.54,264600
1981-03-20,0.0,0.54,0.54,0.54,34600
1981-03-23,0.0,0.56,0.55,0.55,84900
1981-03-24,0.0,0.56,0.55,0.55,98100
1981-03-25,0.0,0.56,0.56,0.56,89200
1981-03-26,0.0,0.57,0.56,0.56,148400
1981-03-27,0.0,0.57,0.56,0.56,21700
1981-03-30,0.0,0.57,0.56,0.56,21700
1981-03-31,0.0,0.56,0.56,0.56,28000
1981-04-01,0.0,0.57,0.56,0.56,17100
1981-04-02,0.0,0.57,0.56,0.56,21700
1981-04-03,0.0,0.57,0.57,0.57,93500
1981-04-06,0.0,0.56,0.55,0.55,91500
1981-04-07,0.0,0.55,0.55,0.55,63100
1981-04-08,0.0,0.55,0.54,0.54,63100
1981-04-09,0.0,0.55,0.54,0.54,19100
1981-04-10,0.0,0.55,0.54,0.54,5800
1981-04-13,0.0,0.55,0.54,0.54,0
1981-04-14,0.0,0.55,0.54,0.54,49800
1981-04-15,0.0,0.55,0.54,0.54,36900
1981-04-16,0.0,0.55,0.54,0.54,63100
