Date,Open,High,Low,Close,Volume
1973-02-21,0.0,1.85,1.79,1.81,115200
1973-02-22,0.0,1.81,1.78,1.78,178400
1973-02-23,0.0,1.8,1.77,1.79,75200
1973-02-26,0.0,1.78,1.73,1.76,157600
1973-02-27,0.0,1.77,1.59,1.59,248800
1973-02-28,0.0,1.65,1.56,1.64,460800
1973-03-01,0.0,1.7,1.58,1.58,287200
1973-03-02,0.0,1.61,1.5,1.61,338400
1973-03-05,0.0,1.67,1.61,1.66,392800
1973-03-06,0.0,1.71,1.67,1.71,175200
1973-03-07,0.0,1.76,1.72,1.74,280800
1973-03-08,0.0,1.77,1.75,1.76,185600
1973-03-09,0.0,1.77,1.74,1.76,331200
1973-03-12,0.0,1.78,1.74,1.76,108000
1973-03-13,0.0,1.8,1.75,1.77,186400
1973-03-14,0.0,1.84,1.8,1.82,115200
1973-03-15,0.0,1.84,1.8,1.8,63200
1973-03-16,0.0,1.81,1.76,1.81,200800
1973-03-19,0.0,1.81,1.75,1.76,100000
1973-03-20,0.0,1.76,1.71,1.73,131200
1973-03-21,0.0,1.74,1.6,1.6,92800
1973-03-22,0.0,1.65,1.6,1.64,111200
1973-03-23,0.0,1.65,1.61,1.62,154400
1973-03-26,0.0,1.71,1.64,1.71,88800
1973-03-27,0.0,1.73,1.69,1.69,130400
1973-03-28,0.0,1.69,1.66,1.68,155200
1973-03-29,0.0,1.71,1.68,1.69,272000
1973-03-30,0.0,1.69,1.65,1.68,103200
1973-04-02,0.0,1.68,1.64,1.65,73600
1973-04-03,0.0,1.65,1.61,1.61,184800
1973-04-04,0.0,1.61,1.58,1.59,143200
1973-04-05,0.0,1.6,1.57,1.59,66400
1973-04-06,0.0,1.61,1.18,1.61,49600
1973-04-09,0.0,1.7,1.61,1.7,94400
1973-04-10,0.0,1.72,1.66,1.69,96000
1973-04-11,0.0,1.7,1.65,1.66,87200
1973-04-12,0.0,1.66,1.56,1.57,282400
1973-04-13,0.0,1.59,1.52,1.52,164000
1973-04-16,0.0,1.52,1.4,1.42,437600
1973-04-17,0.0,1.39,1.29,1.39,1050400
1973-04-18,0.0,1.53,1.42,1.5,316800
1973-04-19,0.0,1.57,1.5,1.57,110400
1973-04-23,0.0,1.57,1.51,1.54,181600
1973-04-24,0.0,1.56,1.5,1.52,180800
1973-04-25,0.0,1.49,1.38,1.38,178400
1973-04-26,0.0,1.48,1.36,1.46,660000
1973-04-27,0.0,1.48,1.39,1.43,150400
1973-04-30,0.0,1.47,1.4,1.46,164000
1973-05-01,0.0,1.46,1.25,1.27,477600
1973-05-02,0.0,1.06,1.02,1.03,5872000
1973-05-03,0.0,1.1,0.96,1.04,2609600
1973-05-04,0.0,1.07,1.02,1.02,1179200
1973-05-07,0.0,1.06,1.01,1.04,659200
1973-05-08,0.0,1.05,1.02,1.04,340000
1973-05-09,0.0,1.06,1.03,1.04,358400
1973-05-10,0.0,1.04,1.02,1.04,220000
1973-05-11,0.0,1.04,1.03,1.03,91200
1973-05-14,0.0,1.03,0.92,0.93,607200
1973-05-15,0.0,0.93,0.85,0.93,1154400
