Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.71,0.68,0.68,84000.0
1980-03-18,0.0,0.72,0.69,0.69,24300.0
1980-03-19,0.0,0.73,0.7,0.7,24600.0
1980-03-20,0.0,0.73,0.7,0.7,16200.0
1980-03-21,0.0,0.72,0.69,0.69,6600.0
1980-03-24,0.0,0.7,0.67,0.67,84000.0
1980-03-25,0.0,0.7,0.67,0.67,5700.0
1980-03-26,0.0,0.72,0.69,0.69,70500.0
1980-03-27,0.0,0.71,0.68,0.68,66600.0
1980-03-28,0.0,0.71,0.68,0.68,5400.0
1980-03-31,0.0,0.72,0.69,0.69,10800.0
1980-04-01,0.0,0.75,0.73,0.73,171900.0
1980-04-02,0.0,0.84,0.81,0.81,73200.0
1980-04-03,0.0,0.8,0.77,0.77,27300.0
1980-04-07,0.0,0.77,0.75,0.75,50400.0
1980-04-08,0.0,0.77,0.75,0.75,1800.0
1980-04-09,0.0,0.78,0.75,0.75,12600.0
1980-04-10,0.0,0.75,0.72,0.72,36300.0
1980-04-11,0.0,0.75,0.72,0.72,7200.0
1980-04-14,0.0,0.73,0.7,0.7,38100.0
1980-04-15,0.0,0.71,0.68,0.68,14700.0
1980-04-16,0.0,0.75,0.72,0.72,28200.0
1980-04-17,0.0,0.75,0.72,0.72,9300.0
1980-04-18,0.0,0.75,0.72,0.72,30900.0
1980-04-21,0.0,0.75,0.72,0.72,28200.0
1980-04-22,0.0,0.75,0.72,0.72,1800.0
1980-04-23,0.0,0.75,0.73,0.73,23400.0
1980-04-24,0.0,0.75,0.73,0.73,14700.0
1980-04-25,0.0,0.75,0.72,0.72,13500.0
1980-04-28,0.0,0.75,0.73,0.73,5700.0
1980-04-29,0.0,0.76,0.74,0.74,9300.0
1980-04-30,0.0,0.75,0.73,0.73,9900.0
1980-05-01,0.0,0.75,0.72,0.72,16500.0
1980-05-02,0.0,0.75,0.72,0.72,5700.0
1980-05-05,0.0,0.75,0.73,0.73,32400.0
1980-05-06,0.0,0.77,0.75,0.75,57000.0
1980-05-07,0.0,0.79,0.76,0.76,15300.0
1980-05-08,0.0,0.79,0.76,0.76,7200.0
1980-05-09,0.0,0.79,0.76,0.76,13800.0
1980-05-12,0.0,0.8,0.77,0.77,29700.0
1980-05-13,0.0,0.8,0.77,0.77,5400.0
1980-05-14,0.0,0.81,0.78,0.78,8400.0
1980-05-15,0.0,0.81,0.78,0.78,6600.0
1980-05-16,0.0,0.81,0.78,0.78,6600.0
1980-05-19,0.0,0.81,0.78,0.78,14700.0
1980-05-20,0.0,0.79,0.76,0.76,40800.0
1980-05-21,0.0,0.79,0.76,0.76,9300.0
1980-05-22,0.0,0.81,0.78,0.78,24600.0
1980-05-23,0.0,0.81,0.78,0.78,13800.0
1980-05-27,0.0,0.84,0.82,0.82,31500.0
1980-05-28,0.0,0.86,0.84,0.84,21900.0
1980-05-29,0.0,0.85,0.83,0.83,15300.0
1980-05-30,0.0,0.85,0.83,0.83,59400.0
1980-06-02,0.0,0.85,0.83,0.83,40800.0
1980-06-03,0.0,0.85,0.83,0.83,9900.0
1980-06-04,0.0,0.89,0.86,0.86,1088100.0
1980-06-05,0.0,0.89,0.86,0.86,43500.0
1980-06-06,0.0,0.93,0.9,0.9,233400.0
1980-06-09,0.0,0.91,0.88,0.88,44400.0
1980-06-10,0.0,0.91,0.88,0.88,45000.0
1980-06-11,0.0,0.91,0.88,0.88,8100.0
1980-06-12,0.0,0.91,0.88,0.88,140700.0
1980-06-13,0.0,0.92,0.89,0.89,23400.0
1980-06-16,0.0,0.92,0.89,0.89,25500.0
1980-06-17,0.0,0.92,0.89,0.89,10800.0
1980-06-18,0.0,0.92,0.89,0.89,68700.0
1980-06-19,0.0,0.92,0.89,0.89,16200.0
1980-06-20,0.0,0.92,0.89,0.89,5700.0
1980-06-23,0.0,0.93,0.9,0.9,47100.0
1980-06-24,0.0,0.93,0.9,0.9,5400.0
1980-06-25,0.0,0.93,0.9,0.9,9900.0
1980-06-26,0.0,0.93,0.9,0.9,28800.0
1980-06-27,0.0,0.93,0.9,0.9,36300.0
1980-06-30,0.0,0.92,0.89,0.89,65100.0
1980-07-01,0.0,0.93,0.9,0.9,48600.0
1980-07-02,0.0,0.93,0.9,0.9,12600.0
1980-07-03,0.0,0.93,0.9,0.9,23400.0
1980-07-07,0.0,0.92,0.91,0.91,18000.0
1980-07-08,0.0,0.93,0.91,0.91,36300.0
1980-07-09,0.0,0.93,0.91,0.91,27000.0
1980-07-10,0.0,0.93,0.91,0.91,2700.0
1980-07-11,0.0,0.93,0.92,0.92,13500.0
1980-07-14,0.0,0.93,0.92,0.92,40500.0
1980-07-15,0.0,0.92,0.91,0.91,66000.0
1980-07-16,0.91,0.91,0.91,0.91,0.0
1980-07-17,0.0,0.93,0.91,0.91,13500.0
1980-07-18,0.0,0.95,0.94,0.94,238800.0
1980-07-21,0.0,0.95,0.94,0.94,48900.0
1980-07-22,0.0,0.95,0.94,0.94,22800.0
1980-07-23,0.0,0.95,0.94,0.94,5400.0
1980-07-24,0.0,0.95,0.94,0.94,15300.0
1980-07-25,0.0,0.95,0.94,0.94,16200.0
1980-07-28,0.0,0.95,0.94,0.94,2700.0
1980-07-29,0.0,0.96,0.94,0.94,20700.0
1980-07-30,0.0,0.98,0.97,0.97,282600.0
1980-07-31,0.0,0.96,0.95,0.95,44400.0
1980-08-01,0.0,0.96,0.95,0.95,28800.0
1980-08-04,0.0,0.95,0.93,0.93,18900.0
1980-08-05,0.0,0.94,0.93,0.93,8100.0
1980-08-06,0.0,0.94,0.93,0.93,3900.0
1980-08-07,0.0,0.94,0.93,0.93,32400.0
1980-08-08,0.0,0.93,0.93,0.93,45900.0
1980-08-11,0.0,0.92,0.9,0.9,51600.0
1980-08-12,0.0,0.92,0.9,0.9,300.0
