Date,Open,High,Low,Close,Volume
1994-11-16,4.01,4.05,4.01,4.01,8343900
1994-11-17,4.01,4.08,3.98,4.08,4872000
1994-11-18,4.11,4.17,4.08,4.14,1468800
1994-11-21,4.17,4.17,4.05,4.05,348600
1994-11-22,4.01,4.05,3.86,3.86,709800
1994-11-23,3.83,3.89,3.79,3.83,906600
1994-11-25,3.83,3.89,3.83,3.89,132600
1994-11-28,3.92,3.92,3.83,3.83,280500
1994-11-29,3.83,3.86,3.83,3.86,187500
1994-11-30,3.83,3.86,3.83,3.83,130800
1994-12-01,3.86,3.86,3.7,3.7,794400
1994-12-02,3.7,3.7,3.67,3.7,54600
1994-12-05,3.7,3.7,3.67,3.7,19800
1994-12-06,3.7,3.7,3.67,3.67,91200
1994-12-07,3.7,3.7,3.64,3.64,77700
1994-12-08,3.64,3.67,3.61,3.61,169200
1994-12-09,3.57,3.57,3.48,3.51,272100
1994-12-12,3.57,3.67,3.54,3.57,284400
1994-12-13,3.57,3.57,3.54,3.54,146100
1994-12-14,3.57,3.64,3.57,3.61,442200
1994-12-15,3.61,3.67,3.61,3.64,274200
1994-12-16,3.67,3.86,3.67,3.86,442500
1994-12-19,3.83,3.83,3.76,3.79,47400
1994-12-20,3.79,3.86,3.79,3.79,128400
1994-12-21,3.83,3.89,3.83,3.89,96600
1994-12-22,3.89,3.92,3.83,3.92,248400
1994-12-23,3.95,4.01,3.95,4.01,189600
1994-12-27,4.01,4.08,3.98,4.05,113700
1994-12-28,4.01,4.05,4.01,4.05,62100
1994-12-29,4.05,4.05,4.01,4.01,190800
1994-12-30,4.01,4.01,4.01,4.01,15900
1995-01-03,4.05,4.05,3.95,4.01,93300
1995-01-04,4.01,4.05,3.98,4.05,45300
1995-01-05,4.05,4.08,3.98,4.05,54300
1995-01-06,3.98,3.98,3.92,3.95,294000
1995-01-09,3.98,3.98,3.95,3.95,24000
1995-01-10,3.95,3.98,3.95,3.98,19200
1995-01-11,3.95,3.95,3.95,3.95,10800
1995-01-12,3.95,3.95,3.95,3.95,76200
1995-01-13,3.95,3.95,3.89,3.95,84600
1995-01-16,3.98,4.05,3.98,4.01,834300
1995-01-17,4.01,4.01,4.01,4.01,186300
1995-01-18,4.01,4.01,3.92,3.95,60900
1995-01-19,3.95,3.95,3.92,3.92,48600
1995-01-20,3.92,3.92,3.89,3.89,43500
1995-01-23,3.92,3.92,3.86,3.89,115200
1995-01-24,3.92,3.92,3.92,3.92,35100
1995-01-25,3.92,4.11,3.92,4.05,83100
1995-01-26,4.05,4.08,4.01,4.01,92100
1995-01-27,4.05,4.05,4.01,4.05,24300
