Date,Open,High,Low,Close,Volume
1983-01-21,0.0,29.31,28.63,28.63,140600
1983-01-24,0.0,30.68,30.51,30.51,596800
1983-01-25,0.0,32.38,32.21,32.21,308600
1983-01-26,0.0,32.38,32.21,32.21,156400
1983-01-27,0.0,34.09,33.92,33.92,148200
1983-01-28,0.0,33.57,33.4,33.4,148800
1983-01-31,0.0,33.23,32.89,32.89,126600
1983-02-01,0.0,32.04,31.87,31.87,79200
1983-02-02,0.0,31.87,31.7,31.7,86600
1983-02-03,0.0,32.21,32.04,32.04,50600
1983-02-04,0.0,32.38,32.21,32.21,34800
1983-02-07,0.0,32.72,32.38,32.38,78800
1983-02-08,0.0,32.55,32.38,32.38,54000
1983-02-09,0.0,32.38,32.21,32.21,37800
1983-02-10,0.0,32.55,32.38,32.38,27200
1983-02-11,0.0,32.55,32.38,32.38,39800
1983-02-14,0.0,32.55,32.38,32.38,65000
1983-02-15,0.0,31.87,31.7,31.7,41000
1983-02-16,0.0,32.04,31.87,31.87,32800
1983-02-17,0.0,31.53,31.19,31.19,38000
1983-02-18,0.0,31.7,31.53,31.53,28200
1983-02-22,0.0,31.87,31.53,31.53,25200
1983-02-23,0.0,31.7,31.36,31.36,31800
1983-02-24,0.0,31.7,31.53,31.53,42200
1983-02-25,0.0,31.87,31.7,31.7,62400
1983-02-28,0.0,31.53,31.36,31.36,26000
1983-03-01,0.0,30.17,30.0,30.0,40000
1983-03-02,0.0,30.0,29.66,29.66,42200
1983-03-03,0.0,29.48,29.31,29.31,20000
1983-03-04,0.0,29.48,29.14,29.14,28600
1983-03-07,0.0,30.0,29.66,29.66,23000
1983-03-08,0.0,31.53,31.02,31.02,54200
1983-03-09,0.0,32.04,31.87,31.87,28200
1983-03-10,0.0,32.04,31.36,31.36,28000
1983-03-11,0.0,31.7,31.36,31.36,8800
1983-03-14,0.0,31.02,30.85,30.85,34600
1983-03-15,0.0,30.68,30.51,30.51,13000
1983-03-16,0.0,30.68,30.34,30.34,11200
1983-03-17,0.0,29.48,29.31,29.31,11000
1983-03-18,0.0,29.48,28.97,28.97,26200
1983-03-21,0.0,29.31,28.97,28.97,17600
1983-03-22,0.0,28.97,28.63,28.63,39600
1983-03-23,0.0,29.31,28.97,28.97,12200
1983-03-24,0.0,30.0,29.66,29.66,20000
1983-03-25,0.0,31.53,31.02,31.02,21800
1983-03-28,0.0,31.36,31.02,31.02,9400
1983-03-29,0.0,31.02,30.85,30.85,10000
1983-03-30,0.0,31.02,30.85,30.85,15200
1983-03-31,0.0,30.85,30.51,30.51,7000
1983-04-04,0.0,30.34,30.0,30.0,4800
1983-04-05,0.0,29.48,29.31,29.31,12200
1983-04-06,0.0,29.48,29.31,29.31,8400
1983-04-07,0.0,29.66,29.31,29.31,17000
1983-04-08,0.0,29.66,29.48,29.48,11200
1983-04-11,0.0,30.0,29.66,29.66,12400
1983-04-12,0.0,30.17,29.83,29.83,6600
1983-04-13,0.0,30.51,30.17,30.17,16400
1983-04-14,0.0,30.34,30.0,30.0,12400
1983-04-15,0.0,30.34,30.0,30.0,17000
1983-04-18,0.0,30.34,30.0,30.0,9800
1983-04-19,0.0,30.34,30.0,30.0,13800
1983-04-20,0.0,30.34,30.0,30.0,49200
1983-04-21,0.0,30.51,30.0,30.0,34800
1983-04-22,0.0,30.68,30.17,30.17,19800
1983-04-25,0.0,31.02,30.68,30.68,19000
1983-04-26,0.0,30.68,30.51,30.51,14200
1983-04-27,0.0,30.51,30.17,30.17,21000
1983-04-28,0.0,30.34,30.0,30.0,11000
1983-04-29,0.0,30.17,29.83,29.83,12400
1983-05-02,0.0,29.83,29.66,29.66,19200
1983-05-03,0.0,31.02,30.51,30.51,45800
1983-05-04,0.0,32.89,32.55,32.55,27200
1983-05-05,0.0,33.57,33.23,33.23,25800
1983-05-06,0.0,33.06,32.72,32.72,24400
1983-05-09,0.0,31.36,31.02,31.02,32800
1983-05-10,0.0,31.36,30.68,30.85,23200
1983-05-11,0.0,31.36,29.66,30.17,29800
1983-05-12,0.0,30.0,29.14,29.48,25400
1983-05-13,0.0,30.0,29.66,30.0,11400
1983-05-16,0.0,30.0,28.97,29.83,13200
1983-05-17,0.0,29.83,29.31,29.83,20600
1983-05-18,0.0,30.34,29.66,30.0,83600
1983-05-19,0.0,30.51,29.83,30.34,31600
1983-05-20,0.0,30.34,30.0,30.0,14400
1983-05-23,0.0,30.34,29.31,30.0,49800
1983-05-24,0.0,30.85,30.17,30.51,23200
1983-05-25,0.0,32.55,30.34,32.55,23800
1983-05-26,0.0,34.77,32.55,34.77,51200
1983-05-27,0.0,36.13,34.26,35.11,27800
1983-05-31,0.0,35.45,34.09,34.43,18800
1983-06-01,0.0,34.26,33.75,34.26,28400
1983-06-02,0.0,35.45,33.75,35.11,18200
1983-06-03,0.0,35.45,34.77,35.11,23200
1983-06-06,0.0,35.96,35.11,35.79,24800
1983-06-07,0.0,36.13,35.28,35.62,42200
1983-06-08,0.0,35.45,34.6,34.94,11400
1983-06-09,0.0,35.11,34.77,34.77,18000
1983-06-10,0.0,34.94,34.43,34.94,29800
1983-06-13,0.0,35.11,34.6,34.77,14600
1983-06-14,0.0,35.11,34.77,35.11,19800
1983-06-15,0.0,35.28,34.77,34.94,16400
1983-06-16,0.0,38.69,36.3,38.52,127800
1983-06-17,0.0,38.35,37.32,38.35,30800
1983-06-20,0.0,38.86,38.01,38.52,25800
1983-06-21,0.0,38.52,38.18,38.52,35000
1983-06-22,0.0,38.69,38.18,38.69,27800
1983-06-23,0.0,38.69,38.18,38.35,12600
1983-06-24,0.0,39.71,38.35,39.54,37200
1983-06-27,0.0,40.56,39.37,40.22,30600
1983-06-28,0.0,41.93,39.54,40.56,37400
1983-06-29,0.0,40.73,39.54,39.88,19000
1983-06-30,0.0,40.05,38.69,38.86,14400
1983-07-01,0.0,39.2,38.52,38.52,12800
1983-07-05,0.0,38.86,37.84,38.18,48400
1983-07-06,0.0,38.69,38.01,38.52,9600
1983-07-07,0.0,38.69,38.18,38.18,57800
1983-07-08,0.0,38.52,37.84,38.18,21600
1983-07-11,0.0,38.52,37.49,37.67,6800
1983-07-12,0.0,37.67,35.45,35.45,20000
1983-07-13,0.0,35.79,33.06,33.92,30000
1983-07-14,0.0,34.94,33.92,34.6,20000
1983-07-15,0.0,34.77,33.57,33.75,13600
1983-07-18,0.0,34.09,32.89,33.06,10400
1983-07-19,0.0,33.06,32.55,32.55,9800
1983-07-20,0.0,32.72,32.21,32.72,15400
1983-07-21,0.0,33.4,32.89,33.4,36600
1983-07-22,0.0,33.57,33.06,33.23,8600
1983-07-25,0.0,33.57,32.38,33.4,18200
1983-07-26,0.0,33.4,32.89,33.06,16000
1983-07-27,0.0,33.75,32.72,32.72,26400
1983-07-28,0.0,32.89,31.87,31.87,6600
1983-07-29,0.0,31.87,30.0,30.34,14000
1983-08-01,0.0,30.68,30.0,30.34,20200
1983-08-02,0.0,30.68,30.34,30.34,17800
1983-08-03,0.0,33.06,30.0,30.17,29600
1983-08-04,0.0,30.68,30.0,30.0,57200
1983-08-05,0.0,30.34,30.0,30.34,21400
1983-08-08,0.0,30.68,30.0,30.17,5400
1983-08-09,0.0,32.72,30.0,32.72,16800
1983-08-10,0.0,34.6,32.89,34.26,26000
1983-08-11,0.0,36.3,34.43,35.79,18800
1983-08-12,0.0,36.47,35.45,36.13,16200
1983-08-15,0.0,36.47,35.45,35.96,23800
1983-08-16,0.0,35.96,34.77,34.77,7400
1983-08-17,0.0,35.11,34.6,34.94,18200
1983-08-18,0.0,34.6,32.04,32.55,18200
1983-08-19,0.0,32.38,32.04,32.21,7000
1983-08-22,0.0,32.38,32.21,32.38,4600
1983-08-23,0.0,32.38,31.53,31.87,7800
1983-08-24,0.0,31.87,31.36,31.53,3800
1983-08-25,0.0,32.04,31.36,31.36,6000
1983-08-26,0.0,31.53,31.02,31.02,3000
1983-08-29,0.0,31.19,30.51,31.19,6200
1983-08-30,0.0,31.19,30.68,31.19,2400
1983-08-31,0.0,31.7,30.68,31.19,3200
1983-09-01,0.0,31.53,31.19,31.19,4400
1983-09-02,0.0,32.38,31.19,32.38,13600
1983-09-06,0.0,32.89,32.04,32.89,6800
1983-09-07,0.0,33.4,32.72,33.06,12200
1983-09-08,0.0,33.4,33.06,33.06,3600
1983-09-09,0.0,35.45,33.06,34.94,21600
1983-09-12,0.0,35.45,34.6,34.94,21200
1983-09-13,0.0,34.77,34.09,34.09,6000
1983-09-14,0.0,34.43,33.23,33.57,11600
1983-09-15,0.0,33.75,30.0,30.85,33400
1983-09-16,0.0,30.85,30.51,30.85,22000
1983-09-19,0.0,31.02,30.17,30.85,19000
1983-09-20,0.0,31.36,30.85,31.36,15200
1983-09-21,0.0,31.7,31.02,31.36,33000
1983-09-22,0.0,33.92,31.36,33.4,35200
1983-09-23,0.0,35.11,33.23,33.4,33400
1983-09-26,0.0,30.85,29.83,30.51,63400
1983-09-27,0.0,30.68,29.48,29.83,16200
1983-09-28,0.0,29.83,28.46,28.8,18600
1983-09-29,0.0,29.31,28.46,29.31,16000
1983-09-30,0.0,29.66,29.14,29.31,12400
1983-10-03,0.0,29.31,28.46,28.8,22800
1983-10-04,0.0,28.8,28.46,28.63,15200
1983-10-05,0.0,28.8,28.29,28.29,64000
1983-10-06,0.0,28.46,27.61,27.78,10000
1983-10-07,0.0,29.14,27.78,28.63,34200
1983-10-10,0.0,29.14,28.63,28.63,1800
1983-10-11,0.0,28.97,28.29,28.46,5600
1983-10-12,0.0,28.12,27.44,27.44,5800
1983-10-13,0.0,27.61,25.05,26.08,20200
1983-10-14,0.0,26.42,25.74,25.74,8800
1983-10-17,0.0,27.1,26.08,26.76,21000
1983-10-18,0.0,27.1,26.42,26.76,12000
1983-10-19,0.0,26.76,25.56,25.74,18000
1983-10-20,0.0,25.91,25.22,25.74,28600
1983-10-21,0.0,25.91,25.56,25.74,23000
1983-10-24,0.0,25.74,25.22,25.22,12600
1983-10-25,0.0,25.56,25.22,25.22,6800
1983-10-26,0.0,25.39,24.71,25.05,9400
1983-10-27,0.0,24.88,23.86,24.2,7400
1983-10-28,0.0,24.2,22.33,22.84,15200
1983-10-31,0.0,24.54,22.84,24.2,33600
1983-11-01,0.0,24.37,22.33,23.35,31200
1983-11-02,0.0,24.03,23.18,23.52,24600
1983-11-03,0.0,24.03,23.52,23.69,8800
1983-11-04,0.0,24.37,23.35,23.69,29000
1983-11-07,0.0,23.35,22.67,22.67,9600
1983-11-08,0.0,22.67,20.79,21.13,50400
1983-11-09,0.0,21.3,19.6,21.13,34000
1983-11-10,0.0,21.3,20.96,21.13,24200
1983-11-11,0.0,22.5,20.79,22.33,33600
1983-11-14,0.0,23.86,22.16,23.01,26400
1983-11-15,0.0,23.86,22.84,23.52,16600
