Date,Open,High,Low,Close,Volume
1981-12-31,0.38,0.38,0.37,0.38,1420600
1982-01-04,0.37,0.37,0.37,0.37,2069200
1982-01-05,0.36,0.37,0.35,0.36,4173800
1982-01-06,0.35,0.36,0.34,0.35,3855800
1982-01-07,0.35,0.35,0.34,0.35,1511100
1982-01-08,0.34,0.35,0.34,0.34,1861400
1982-01-11,0.33,0.34,0.32,0.32,2428100
1982-01-12,0.32,0.33,0.31,0.32,3504000
1982-01-13,0.32,0.33,0.32,0.32,1692200
1982-01-14,0.32,0.33,0.31,0.33,2596500
1982-01-15,0.35,0.36,0.33,0.36,7508600
1982-01-18,0.36,0.37,0.35,0.37,7078100
1982-01-19,0.37,0.38,0.36,0.36,7444100
1982-01-20,0.35,0.36,0.34,0.34,5527600
1982-01-21,0.35,0.36,0.35,0.35,7028500
1982-01-22,0.35,0.36,0.35,0.35,2916800
1982-01-25,0.35,0.36,0.34,0.36,3098700
1982-01-26,0.36,0.37,0.36,0.36,3584300
1982-01-27,0.36,0.37,0.36,0.36,2958600
1982-01-28,0.36,0.37,0.36,0.36,4318600
1982-01-29,0.37,0.37,0.36,0.36,6637400
1982-02-01,0.36,0.36,0.35,0.36,2565000
1982-02-02,0.35,0.36,0.35,0.35,2463500
1982-02-03,0.34,0.35,0.33,0.33,2934200
1982-02-04,0.34,0.35,0.33,0.35,4710600
1982-02-05,0.35,0.35,0.34,0.35,4278500
1982-02-08,0.34,0.35,0.33,0.33,2663400
1982-02-09,0.32,0.33,0.32,0.32,4531100
1982-02-10,0.33,0.33,0.32,0.33,3217500
1982-02-11,0.35,0.36,0.33,0.36,5796800
1982-02-12,0.35,0.36,0.34,0.35,8000600
1982-02-16,0.34,0.35,0.33,0.35,3146700
1982-02-17,0.34,0.35,0.33,0.33,3310400
1982-02-18,0.33,0.34,0.33,0.33,2898700
1982-02-19,0.32,0.33,0.31,0.31,4030600
1982-02-22,0.3,0.32,0.28,0.29,3710200
1982-02-23,0.3,0.32,0.29,0.31,4094300
1982-02-24,0.31,0.32,0.31,0.31,5476400
1982-02-25,0.3,0.31,0.3,0.3,2432800
1982-02-26,0.3,0.31,0.3,0.3,2063700
1982-03-01,0.3,0.3,0.3,0.3,2313200
1982-03-02,0.29,0.3,0.28,0.29,2203000
1982-03-03,0.28,0.28,0.27,0.28,4190300
1982-03-04,0.28,0.28,0.28,0.28,4446100
1982-03-05,0.28,0.28,0.27,0.27,2695700
1982-03-08,0.27,0.28,0.26,0.26,2157300
1982-03-09,0.26,0.27,0.25,0.27,2588600
1982-03-10,0.26,0.27,0.26,0.26,3031800
1982-03-11,0.26,0.26,0.25,0.26,4148600
1982-03-12,0.26,0.27,0.26,0.27,2238400
1982-03-15,0.27,0.28,0.26,0.28,2013300
1982-03-16,0.28,0.28,0.27,0.28,1831500
1982-03-17,0.27,0.27,0.26,0.27,1000300
1982-03-18,0.27,0.27,0.27,0.27,1294700
1982-03-19,0.27,0.27,0.27,0.27,1327700
1982-03-22,0.28,0.28,0.27,0.27,1268700
1982-03-23,0.27,0.28,0.27,0.27,1097900
1982-03-24,0.28,0.28,0.27,0.28,3734600
1982-03-25,0.27,0.28,0.27,0.27,1755900
1982-03-26,0.27,0.28,0.27,0.28,1722100
1982-03-29,0.28,0.28,0.27,0.28,1341900
1982-03-30,0.28,0.29,0.28,0.28,2434400
1982-03-31,0.29,0.29,0.28,0.29,2202200
1982-04-01,0.29,0.3,0.29,0.3,2661800
1982-04-02,0.3,0.31,0.3,0.31,1929900
1982-04-05,0.3,0.31,0.3,0.3,2044800
1982-04-06,0.3,0.3,0.3,0.3,4173800
1982-04-07,0.3,0.31,0.3,0.3,1360000
1982-04-08,0.31,0.31,0.3,0.31,1422200
1982-04-12,0.3,0.31,0.3,0.3,1116000
1982-04-13,0.29,0.3,0.29,0.29,1456000
1982-04-14,0.29,0.29,0.29,0.29,1312800
1982-04-15,0.3,0.3,0.29,0.3,1554400
1982-04-16,0.3,0.3,0.3,0.3,2216400
1982-04-19,0.29,0.3,0.29,0.29,1730700
1982-04-20,0.29,0.29,0.28,0.28,1189200
1982-04-21,0.29,0.29,0.28,0.29,1086100
1982-04-22,0.3,0.3,0.29,0.3,1765400
1982-04-23,0.3,0.31,0.3,0.31,3086900
1982-04-26,0.3,0.31,0.3,0.3,2420200
1982-04-27,0.3,0.3,0.3,0.3,2074700
1982-04-28,0.3,0.3,0.3,0.3,1167200
1982-04-29,0.3,0.3,0.29,0.29,867300
1982-04-30,0.29,0.3,0.29,0.3,2635900
1982-05-03,0.3,0.3,0.29,0.29,1744100
1982-05-04,0.29,0.3,0.29,0.29,2180900
1982-05-05,0.3,0.3,0.29,0.3,3184500
1982-05-06,0.31,0.31,0.3,0.31,5733000
1982-05-07,0.32,0.32,0.31,0.32,4443000
1982-05-10,0.32,0.32,0.31,0.31,2336800
1982-05-11,0.32,0.32,0.31,0.32,3727500
1982-05-12,0.32,0.32,0.31,0.32,1574900
1982-05-13,0.31,0.32,0.31,0.31,1368700
1982-05-14,0.31,0.31,0.3,0.31,777600
1982-05-17,0.3,0.31,0.3,0.3,1119200
1982-05-18,0.3,0.3,0.3,0.3,1269500
1982-05-19,0.3,0.3,0.3,0.3,1154600
1982-05-20,0.3,0.3,0.3,0.3,2324200
1982-05-21,0.3,0.3,0.29,0.29,1580400
1982-05-24,0.3,0.3,0.3,0.3,2324200
1982-05-25,0.31,0.31,0.3,0.3,3437100
1982-05-26,0.3,0.3,0.3,0.3,1589800
1982-05-27,0.3,0.3,0.29,0.29,3055400
1982-05-28,0.29,0.3,0.29,0.29,1189200
1982-06-01,0.29,0.3,0.29,0.3,1726000
1982-06-02,0.3,0.3,0.3,0.3,2166800
1982-06-03,0.3,0.3,0.3,0.3,1976300
1982-06-04,0.3,0.3,0.29,0.3,1069600
1982-06-07,0.3,0.3,0.29,0.3,1779500
1982-06-08,0.3,0.31,0.3,0.3,1400200
1982-06-09,0.3,0.3,0.3,0.3,1526900
1982-06-10,0.3,0.31,0.3,0.31,1888100
