Date,Open,High,Low,Close,Volume
1986-07-09,7.81,8.08,7.72,8.04,1116800
1986-07-10,8.08,8.13,7.81,7.99,595600
1986-07-11,7.95,7.99,7.72,7.72,800400
1986-07-14,7.76,7.76,7.4,7.49,738000
1986-07-15,7.44,7.44,6.8,7.26,2059200
1986-07-16,7.26,7.67,7.26,7.4,1160400
1986-07-17,7.4,7.49,7.31,7.44,1046000
1986-07-18,7.44,7.56,7.31,7.49,1420000
1986-07-21,7.49,7.54,7.44,7.49,322800
1986-07-22,7.49,7.51,7.44,7.44,390800
1986-07-23,7.49,7.49,7.31,7.35,1004000
1986-07-24,7.35,7.4,7.17,7.26,1071600
1986-07-25,7.26,7.4,7.22,7.35,688400
1986-07-28,7.35,7.49,7.28,7.4,414800
1986-07-29,7.31,7.44,7.31,7.44,278400
1986-07-30,7.35,7.4,7.22,7.4,459200
1986-07-31,7.4,7.49,7.31,7.35,1213600
1986-08-01,7.31,7.4,7.12,7.12,1118000
1986-08-04,7.17,7.17,6.96,7.12,892400
1986-08-05,7.12,7.12,6.94,6.99,868800
1986-08-06,6.99,7.03,6.67,6.67,550400
1986-08-07,6.58,6.62,5.94,6.12,7560000
1986-08-08,6.17,6.53,6.12,6.49,2802000
1986-08-11,6.58,6.67,6.49,6.67,1428000
1986-08-12,6.67,6.9,6.67,6.85,1155200
1986-08-13,6.9,7.38,6.85,7.08,865600
1986-08-14,7.12,7.17,6.85,6.94,762000
1986-08-15,6.94,6.94,6.71,6.85,654400
1986-08-18,6.9,7.22,6.76,7.08,606800
1986-08-19,7.12,7.12,6.94,6.99,2744000
1986-08-20,6.99,6.99,6.85,6.94,500000
1986-08-21,6.94,6.99,6.9,6.9,353200
1986-08-22,6.94,6.99,6.85,6.85,286000
1986-08-25,6.94,6.94,6.67,6.76,766400
1986-08-26,6.71,6.85,6.71,6.85,408800
1986-08-27,6.85,6.85,6.71,6.8,686400
1986-08-28,6.8,6.8,6.67,6.71,286000
1986-08-29,6.67,6.76,6.62,6.67,1128800
1986-09-02,6.71,6.71,6.35,6.39,916800
1986-09-03,6.39,6.53,6.35,6.53,684400
1986-09-04,6.58,6.8,6.49,6.8,576800
1986-09-05,6.8,6.9,6.58,6.58,961600
1986-09-08,6.67,6.67,6.3,6.39,1793200
1986-09-09,6.35,6.39,6.21,6.3,388000
1986-09-10,6.3,6.3,6.21,6.21,802400
1986-09-11,6.26,6.26,5.66,5.8,6240000
1986-09-12,5.75,5.8,5.53,5.57,2066800
1986-09-15,5.57,5.66,5.43,5.57,1746800
1986-09-16,5.53,5.57,5.34,5.43,1547200
1986-09-17,5.48,5.48,5.16,5.39,997600
1986-09-18,5.39,6.39,5.39,6.39,833200
1986-09-19,6.39,6.39,5.98,6.26,928000
1986-09-22,6.26,6.35,6.12,6.21,464000
1986-09-23,6.26,6.26,5.89,6.03,436400
1986-09-24,6.03,6.26,5.94,6.21,649600
1986-09-25,6.21,6.21,6.07,6.07,305600
1986-09-26,6.07,6.17,6.03,6.07,278400
1986-09-29,6.12,6.12,5.89,6.03,724800
1986-09-30,5.98,6.39,5.98,6.26,773200
1986-10-01,6.35,6.39,6.26,6.26,668400
1986-10-02,6.26,6.3,6.26,6.26,592000
1986-10-03,6.3,6.3,6.03,6.12,228000
1986-10-06,6.21,6.21,6.07,6.17,467600
1986-10-07,6.12,6.21,6.12,6.17,176000
1986-10-08,6.21,6.3,6.17,6.3,558800
1986-10-09,6.3,6.3,6.12,6.17,243200
1986-10-10,6.17,6.17,6.03,6.07,238400
1986-10-13,6.12,6.12,5.89,5.89,362800
1986-10-14,5.89,6.3,5.89,6.21,612000
1986-10-15,6.26,6.44,6.21,6.39,606800
1986-10-16,6.39,6.44,6.35,6.35,269200
1986-10-17,6.39,6.39,6.17,6.21,216000
1986-10-20,6.17,6.21,5.89,6.07,595200
1986-10-21,6.07,6.07,5.98,5.98,327200
1986-10-22,6.07,6.07,5.98,6.03,396000
1986-10-23,6.07,6.07,6.03,6.05,1358400
1986-10-24,6.07,6.12,6.03,6.07,809600
1986-10-27,6.12,6.12,6.03,6.07,305200
1986-10-28,6.03,6.21,6.03,6.21,329200
1986-10-29,6.21,6.58,6.21,6.49,835600
1986-10-30,6.49,6.71,6.44,6.62,973200
1986-10-31,6.62,6.62,6.49,6.58,632400
1986-11-03,6.49,6.62,6.49,6.58,408800
1986-11-04,6.53,6.62,6.53,6.53,283200
1986-11-05,6.58,6.58,6.49,6.49,231200
1986-11-06,6.49,6.53,6.26,6.44,434000
1986-11-07,6.44,6.53,6.39,6.42,517200
1986-11-10,6.44,6.44,6.3,6.39,503200
1986-11-11,6.44,6.53,6.35,6.53,142000
1986-11-12,6.53,6.6,6.49,6.55,669600
1986-11-13,6.53,6.58,6.12,6.12,578800
1986-11-14,6.07,6.17,5.98,6.12,806000
1986-11-17,6.12,6.17,6.03,6.12,734400
1986-11-18,6.17,6.17,5.98,6.03,605600
1986-11-19,6.07,6.12,5.98,6.07,495600
1986-11-20,6.07,6.21,6.07,6.21,828400
1986-11-21,6.26,6.58,6.21,6.53,666800
1986-11-24,6.44,6.76,6.44,6.67,715600
