Date,Open,High,Low,Close,Volume
1983-08-19,0.0,0.58,0.57,0.57,1996200
1983-08-22,0.0,0.58,0.57,0.57,1621800
1983-08-23,0.0,0.58,0.57,0.57,1972800
1983-08-24,0.0,0.59,0.58,0.58,819000
1983-08-25,0.0,0.6,0.59,0.59,347400
1983-08-26,0.0,0.61,0.59,0.59,549000
1983-08-29,0.0,0.62,0.61,0.61,552600
1983-08-30,0.0,0.65,0.64,0.64,777600
1983-08-31,0.0,0.65,0.64,0.64,1432800
1983-09-01,0.0,0.64,0.63,0.63,271800
1983-09-02,0.0,0.64,0.63,0.63,120600
1983-09-06,0.0,0.64,0.63,0.63,165600
1983-09-07,0.0,0.64,0.63,0.63,1135800
1983-09-08,0.0,0.64,0.63,0.63,124200
1983-09-09,0.0,0.64,0.63,0.63,82800
1983-09-12,0.0,0.64,0.63,0.63,703800
1983-09-13,0.0,0.64,0.63,0.63,79200
1983-09-14,0.0,0.64,0.63,0.63,77400
1983-09-15,0.0,0.63,0.62,0.62,212400
1983-09-16,0.0,0.63,0.62,0.62,82800
1983-09-19,0.0,0.63,0.62,0.62,39600
1983-09-20,0.0,0.64,0.62,0.62,59400
1983-09-21,0.0,0.64,0.63,0.63,25200
1983-09-22,0.0,0.64,0.63,0.63,90000
1983-09-23,0.0,0.64,0.63,0.63,37800
1983-09-26,0.0,0.64,0.63,0.63,304200
1983-09-27,0.0,0.64,0.63,0.63,46800
1983-09-28,0.0,0.64,0.63,0.63,27000
1983-09-29,0.0,0.66,0.65,0.65,275400
1983-09-30,0.0,0.66,0.66,0.66,325800
1983-10-03,0.0,0.67,0.66,0.66,275400
1983-10-04,0.0,0.67,0.66,0.66,43200
1983-10-05,0.0,0.68,0.67,0.67,351000
1983-10-06,0.0,0.67,0.67,0.67,259200
1983-10-07,0.0,0.67,0.67,0.67,999000
1983-10-10,0.0,0.67,0.67,0.67,34200
1983-10-11,0.0,0.67,0.67,0.67,100800
1983-10-12,0.0,0.67,0.66,0.66,14400
1983-10-13,0.0,0.67,0.66,0.66,84600
1983-10-14,0.0,0.67,0.66,0.66,75600
1983-10-17,0.0,0.69,0.68,0.68,244800
1983-10-18,0.0,0.74,0.73,0.73,491400
1983-10-19,0.0,0.76,0.76,0.76,1146600
1983-10-20,0.0,0.76,0.76,0.76,950400
1983-10-21,0.0,0.76,0.75,0.75,684000
1983-10-24,0.0,0.75,0.73,0.73,91800
1983-10-25,0.0,0.75,0.74,0.74,316800
1983-10-26,0.0,0.73,0.72,0.72,270000
1983-10-27,0.0,0.69,0.68,0.68,207000
1983-10-28,0.0,0.69,0.68,0.68,203400
1983-10-31,0.0,0.69,0.68,0.68,50400
1983-11-01,0.0,0.69,0.68,0.68,880200
1983-11-02,0.0,0.68,0.67,0.67,88200
1983-11-03,0.0,0.68,0.67,0.67,46800
1983-11-04,0.0,0.68,0.67,0.67,18000
1983-11-07,0.0,0.68,0.67,0.67,109800
1983-11-08,0.0,0.69,0.67,0.67,138600
1983-11-09,0.0,0.69,0.68,0.68,19800
1983-11-10,0.0,0.71,0.7,0.7,144000
1983-11-11,0.0,0.71,0.7,0.7,75600
1983-11-14,0.0,0.71,0.7,0.7,358200
1983-11-15,0.0,0.71,0.7,0.7,271800
1983-11-16,0.0,0.72,0.71,0.71,219600
1983-11-17,0.0,0.72,0.72,0.72,658800
1983-11-18,0.0,0.73,0.72,0.72,198000
1983-11-21,0.0,0.73,0.73,0.73,41400
1983-11-22,0.0,0.73,0.73,0.73,81000
1983-11-23,0.0,0.74,0.73,0.73,108000
1983-11-25,0.0,0.74,0.73,0.73,19800
