Date,Open,High,Low,Close,Volume
1998-06-19,0.2,0.21,0.19,0.2,61454400
1998-06-22,0.2,0.2,0.2,0.2,6979200
1998-06-23,0.2,0.2,0.19,0.2,9638400
1998-06-24,0.2,0.21,0.2,0.21,1732800
1998-06-25,0.21,0.24,0.21,0.23,18417600
1998-06-26,0.23,0.26,0.23,0.25,10267200
1998-06-29,0.25,0.26,0.25,0.25,4588800
1998-06-30,0.26,0.26,0.24,0.24,4747200
1998-07-01,0.24,0.25,0.24,0.24,16401600
1998-07-02,0.24,0.25,0.24,0.24,3355200
1998-07-06,0.25,0.25,0.24,0.25,2208000
1998-07-07,0.25,0.25,0.24,0.24,3652800
1998-07-08,0.25,0.25,0.24,0.25,1286400
1998-07-09,0.24,0.32,0.24,0.29,14769600
1998-07-10,0.29,0.29,0.29,0.29,1291200
1998-07-13,0.3,0.3,0.28,0.28,5025600
1998-07-14,0.28,0.31,0.28,0.31,5457600
1998-07-15,0.31,0.36,0.31,0.32,8016000
1998-07-16,0.32,0.33,0.3,0.32,4713600
1998-07-17,0.32,0.33,0.31,0.33,974400
1998-07-20,0.33,0.36,0.32,0.34,5347200
1998-07-21,0.36,0.37,0.35,0.36,10684800
1998-07-22,0.37,0.37,0.31,0.35,4641600
1998-07-23,0.35,0.36,0.32,0.34,2116800
1998-07-24,0.34,0.34,0.31,0.33,1881600
1998-07-27,0.32,0.33,0.31,0.33,46747200
1998-07-28,0.33,0.33,0.3,0.31,3052800
1998-07-29,0.32,0.32,0.3,0.32,2534400
1998-07-30,0.32,0.33,0.31,0.33,3014400
1998-07-31,0.33,0.33,0.32,0.32,921600
1998-08-03,0.32,0.33,0.32,0.32,4032000
1998-08-04,0.32,0.33,0.32,0.32,3633600
1998-08-05,0.32,0.36,0.32,0.34,8592000
1998-08-06,0.33,0.33,0.32,0.33,211200
1998-08-07,0.34,0.35,0.34,0.34,3302400
1998-08-10,0.37,0.37,0.34,0.35,2184000
1998-08-11,0.35,0.35,0.31,0.34,2265600
1998-08-12,0.35,0.36,0.34,0.35,1320000
1998-08-13,0.35,0.36,0.35,0.35,1699200
1998-08-14,0.36,0.36,0.35,0.36,2092800
1998-08-17,0.36,0.36,0.35,0.35,2284800
1998-08-18,0.36,0.4,0.36,0.38,9902400
1998-08-19,0.39,0.4,0.38,0.38,6028800
1998-08-20,0.38,0.39,0.37,0.37,1041600
1998-08-21,0.36,0.36,0.33,0.36,3796800
1998-08-24,0.38,0.38,0.35,0.36,2697600
1998-08-25,0.37,0.39,0.37,0.38,4881600
1998-08-26,0.37,0.37,0.35,0.36,6859200
1998-08-27,0.34,0.35,0.31,0.32,7881600
1998-08-28,0.32,0.33,0.3,0.31,4603200
1998-08-31,0.32,0.32,0.24,0.24,6499200
1998-09-01,0.25,0.32,0.23,0.3,5654400
1998-09-02,0.31,0.34,0.29,0.3,4756800
1998-09-03,0.26,0.29,0.26,0.29,2174400
1998-09-04,0.29,0.31,0.28,0.29,1459200
1998-09-08,0.31,0.34,0.3,0.33,2947200
1998-09-09,0.32,0.33,0.3,0.32,1368000
1998-09-10,0.3,0.31,0.3,0.31,6283200
1998-09-11,0.32,0.32,0.3,0.31,403200
1998-09-14,0.32,0.33,0.31,0.32,662400
1998-09-15,0.32,0.32,0.31,0.31,796800
1998-09-16,0.31,0.31,0.3,0.3,1262400
1998-09-17,0.29,0.3,0.29,0.3,2899200
1998-09-18,0.3,0.3,0.3,0.3,129600
1998-09-21,0.29,0.31,0.29,0.31,1377600
1998-09-22,0.31,0.31,0.31,0.31,2164800
1998-09-23,0.31,0.33,0.31,0.32,3364800
1998-09-24,0.31,0.33,0.31,0.31,1651200
1998-09-25,0.31,0.33,0.31,0.32,1790400
1998-09-28,0.32,0.33,0.32,0.32,1536000
1998-09-29,0.32,0.33,0.31,0.33,1684800
1998-09-30,0.31,0.32,0.31,0.31,1540800
1998-10-01,0.31,0.32,0.3,0.31,1296000
1998-10-02,0.31,0.33,0.31,0.33,1065600
1998-10-05,0.32,0.32,0.31,0.31,4780800
1998-10-06,0.31,0.31,0.26,0.26,3484800
1998-10-07,0.25,0.25,0.24,0.25,1200000
1998-10-08,0.24,0.24,0.14,0.19,8822400
1998-10-09,0.21,0.23,0.21,0.22,2395200
1998-10-12,0.24,0.24,0.22,0.22,1507200
1998-10-13,0.25,0.29,0.24,0.25,13166400
1998-10-14,0.25,0.25,0.23,0.25,2841600
1998-10-15,0.26,0.27,0.26,0.26,1128000
1998-10-16,0.27,0.27,0.26,0.27,816000
1998-10-19,0.27,0.3,0.27,0.3,2203200
1998-10-20,0.3,0.32,0.3,0.31,3336000
1998-10-21,0.34,0.34,0.32,0.34,23275200
1998-10-22,0.36,0.36,0.34,0.35,6619200
1998-10-23,0.36,0.39,0.36,0.37,7248000
1998-10-26,0.38,0.43,0.38,0.42,12955200
1998-10-27,0.49,0.49,0.43,0.46,19128000
1998-10-28,0.48,0.48,0.44,0.45,11107200
1998-10-29,0.44,0.45,0.4,0.42,10032000
1998-10-30,0.41,0.46,0.41,0.45,6288000
1998-11-02,0.47,0.47,0.46,0.47,7689600
1998-11-03,0.46,0.47,0.45,0.46,3259200
1998-11-04,0.47,0.47,0.44,0.46,3868800
1998-11-05,0.45,0.46,0.36,0.41,9230400
1998-11-06,0.4,0.4,0.37,0.38,10396800
1998-11-09,0.39,0.4,0.37,0.4,4819200
1998-11-10,0.4,0.41,0.39,0.41,1132800
1998-11-11,0.41,0.41,0.38,0.39,3480000
1998-11-12,0.39,0.39,0.38,0.39,1761600
1998-11-13,0.39,0.4,0.38,0.39,5836800
1998-11-16,0.4,0.4,0.39,0.39,1435200
1998-11-17,0.4,0.4,0.36,0.39,2880000
1998-11-18,0.39,0.4,0.38,0.39,1348800
1998-11-19,0.4,0.4,0.39,0.4,1416000
1998-11-20,0.4,0.49,0.4,0.44,7670400
1998-11-23,0.47,0.48,0.46,0.46,6268800
1998-11-24,0.47,0.47,0.45,0.45,2851200
1998-11-25,0.46,0.47,0.45,0.45,388800
1998-11-27,0.46,0.46,0.44,0.44,806400
1998-11-30,0.46,0.46,0.44,0.44,1958400
1998-12-01,0.44,0.5,0.43,0.5,7670400
