Date,Open,High,Low,Close,Volume
1995-12-08,1.7,2.0,1.67,1.96,55885600
1995-12-11,2.04,2.29,2.03,2.16,11160500
1995-12-12,2.14,2.27,2.09,2.09,5352700
1995-12-13,2.06,2.11,2.04,2.05,2581400
1995-12-14,2.03,2.08,1.75,1.91,4365600
1995-12-15,1.88,1.91,1.85,1.85,1190400
1995-12-18,1.83,1.85,1.62,1.65,2548200
1995-12-19,1.64,1.8,1.64,1.78,2718500
1995-12-20,1.8,1.8,1.75,1.77,1380300
1995-12-21,1.75,1.8,1.75,1.8,831800
1995-12-22,1.8,1.8,1.75,1.78,797100
1995-12-26,1.8,1.8,1.75,1.75,325500
1995-12-27,1.75,2.01,1.75,2.01,1650100
1995-12-28,1.96,2.03,1.88,1.98,776000
1995-12-29,1.98,2.16,1.98,2.13,1074400
1996-01-02,2.14,2.16,2.09,2.09,565100
1996-01-03,2.09,2.13,1.91,1.91,869500
1996-01-04,1.85,1.88,1.77,1.82,2106700
1996-01-05,1.77,1.77,1.65,1.68,2712500
1996-01-08,1.73,1.73,1.67,1.73,599700
1996-01-09,1.67,1.73,1.64,1.64,1232600
1996-01-10,1.68,1.68,1.54,1.59,1318500
1996-01-11,1.65,1.86,1.64,1.75,1389400
1996-01-12,1.75,1.78,1.64,1.78,1106100
1996-01-15,1.78,1.91,1.78,1.83,1265800
1996-01-16,1.85,1.85,1.62,1.72,590700
1996-01-17,1.7,1.82,1.7,1.78,437000
1996-01-18,1.78,1.82,1.77,1.77,482200
1996-01-19,1.78,1.83,1.78,1.83,409800
1996-01-22,1.8,1.83,1.8,1.82,452000
1996-01-23,2.13,2.14,2.0,2.04,3776400
1996-01-24,2.01,2.06,2.0,2.0,767000
1996-01-25,2.01,2.08,2.01,2.01,628400
1996-01-26,2.08,2.08,2.01,2.08,195900
1996-01-29,2.08,2.08,2.01,2.08,275700
1996-01-30,2.06,2.16,2.06,2.08,545500
1996-01-31,2.11,2.11,2.04,2.08,654000
1996-02-01,2.04,2.08,2.03,2.03,78300
1996-02-02,2.08,2.27,2.04,2.27,941800
1996-02-05,2.26,2.39,2.26,2.36,664500
1996-02-06,2.36,2.49,2.36,2.45,848400
1996-02-07,2.45,2.49,2.39,2.4,1057800
1996-02-08,2.4,2.44,2.4,2.4,227500
1996-02-09,2.4,2.44,2.4,2.44,308900
1996-02-12,2.4,2.67,2.4,2.57,2075000
1996-02-13,2.55,2.63,2.52,2.6,1761600
1996-02-14,2.65,2.75,2.6,2.7,908600
1996-02-15,2.7,2.98,2.7,2.76,1683200
1996-02-16,2.81,2.9,2.78,2.88,675100
1996-02-20,2.83,2.9,2.83,2.84,363100
1996-02-21,2.88,2.9,2.83,2.88,462600
1996-02-22,2.9,3.24,2.88,3.24,916200
1996-02-23,3.27,3.42,3.27,3.36,1428500
1996-02-26,3.35,3.42,3.27,3.42,1282400
1996-02-27,3.44,3.65,3.4,3.58,1668200
1996-02-28,3.55,3.57,3.04,3.09,1538600
1996-02-29,3.06,3.09,2.65,2.85,7919000
1996-03-01,2.81,2.86,2.58,2.78,2647700
1996-03-04,2.83,3.01,2.8,2.99,1496400
1996-03-05,3.08,3.17,3.0,3.09,720300
1996-03-06,3.09,3.09,2.91,2.96,384200
1996-03-07,2.9,2.9,2.57,2.62,2316100
1996-03-08,2.55,2.57,2.29,2.39,3916500
1996-03-11,2.45,2.54,2.39,2.49,4344500
1996-03-12,2.5,3.03,2.45,3.02,5602800
1996-03-13,3.21,3.36,2.93,3.05,4641400
1996-03-14,2.81,2.86,2.72,2.8,17507800
1996-03-15,2.86,2.98,2.85,2.9,5925300
1996-03-18,2.96,2.98,2.92,2.93,1740500
1996-03-19,2.98,2.98,2.88,2.88,2418600
1996-03-20,2.9,2.9,2.73,2.81,2043400
1996-03-21,2.86,2.86,2.76,2.76,949300
1996-03-22,2.73,2.85,2.73,2.85,1940900
1996-03-25,2.81,2.85,2.81,2.81,396300
1996-03-26,2.81,2.85,2.78,2.81,723300
1996-03-27,2.78,2.85,2.78,2.81,1023200
1996-03-28,2.81,2.85,2.8,2.85,880000
1996-03-29,2.85,2.94,2.81,2.9,2373400
1996-04-01,2.86,3.04,2.86,2.99,1496400
1996-04-02,3.04,3.11,3.01,3.08,1134700
1996-04-03,3.11,3.19,3.08,3.16,1320000
