Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.45,0.43,0.43,375600
1980-03-18,0.0,0.45,0.43,0.44,429000
1980-03-19,0.0,0.45,0.44,0.44,223200
1980-03-20,0.0,0.45,0.44,0.45,207200
1980-03-21,0.0,0.45,0.44,0.45,305600
1980-03-24,0.0,0.45,0.44,0.44,385400
1980-03-25,0.0,0.44,0.43,0.44,206600
1980-03-26,0.0,0.45,0.44,0.44,131600
1980-03-27,0.0,0.44,0.42,0.43,380400
1980-03-28,0.0,0.44,0.43,0.43,234000
1980-03-31,0.0,0.44,0.43,0.44,172200
1980-04-01,0.0,0.47,0.44,0.47,1267800
1980-04-02,0.0,0.48,0.47,0.47,236400
1980-04-03,0.0,0.48,0.47,0.48,199400
1980-04-07,0.0,0.48,0.46,0.47,250200
1980-04-08,0.0,0.46,0.45,0.46,513600
1980-04-09,0.0,0.48,0.45,0.48,222800
1980-04-10,0.0,0.49,0.48,0.49,970200
1980-04-11,0.0,0.5,0.49,0.5,209000
1980-04-14,0.0,0.5,0.49,0.49,156600
1980-04-15,0.0,0.49,0.48,0.48,151400
1980-04-16,0.0,0.5,0.49,0.49,350000
1980-04-17,0.0,0.5,0.49,0.5,300200
1980-04-18,0.0,0.52,0.5,0.5,306800
1980-04-21,0.0,0.51,0.5,0.5,212000
1980-04-22,0.0,0.5,0.5,0.5,275400
1980-04-23,0.0,0.51,0.5,0.5,490800
1980-04-24,0.0,0.52,0.5,0.51,412400
1980-04-25,0.0,0.51,0.5,0.51,951200
1980-04-28,0.0,0.52,0.5,0.5,237600
1980-04-29,0.0,0.52,0.5,0.51,187800
1980-04-30,0.0,0.51,0.5,0.51,185400
1980-05-01,0.0,0.52,0.5,0.52,141200
1980-05-02,0.0,0.52,0.51,0.52,503000
1980-05-05,0.0,0.53,0.52,0.53,233400
1980-05-06,0.0,0.53,0.52,0.52,310200
1980-05-07,0.0,0.54,0.53,0.54,513600
1980-05-08,0.0,0.54,0.53,0.53,322800
1980-05-09,0.0,0.53,0.52,0.52,166200
1980-05-12,0.0,0.53,0.52,0.52,176400
1980-05-13,0.0,0.53,0.52,0.53,157200
1980-05-14,0.0,0.54,0.53,0.54,300800
1980-05-15,0.0,0.54,0.54,0.54,183800
1980-05-16,0.0,0.54,0.53,0.54,191600
1980-05-19,0.0,0.54,0.53,0.53,155600
1980-05-20,0.0,0.53,0.52,0.52,310800
1980-05-21,0.0,0.53,0.52,0.53,365000
1980-05-22,0.0,0.53,0.52,0.53,984000
1980-05-23,0.0,0.52,0.5,0.51,532400
1980-05-27,0.0,0.51,0.5,0.5,404000
1980-05-28,0.0,0.51,0.5,0.5,657600
1980-05-29,0.0,0.52,0.5,0.51,1818800
1980-05-30,0.0,0.52,0.5,0.52,523400
1980-06-02,0.0,0.52,0.51,0.51,219000
1980-06-03,0.0,0.52,0.5,0.51,243000
1980-06-04,0.0,0.52,0.5,0.51,242000
1980-06-05,0.0,0.52,0.51,0.52,452000
1980-06-06,0.0,0.53,0.51,0.53,666000
1980-06-09,0.0,0.53,0.52,0.53,176400
1980-06-10,0.0,0.53,0.52,0.53,452600
1980-06-11,0.0,0.53,0.48,0.52,254600
1980-06-12,0.0,0.53,0.52,0.52,229200
1980-06-13,0.0,0.54,0.52,0.54,644600
