Date,Open,High,Low,Close,Volume
1992-06-05,1.17,1.2,1.17,1.17,14559600
1992-06-08,1.17,1.2,1.17,1.17,1305600
1992-06-09,1.17,1.17,1.12,1.12,1940500
1992-06-10,1.12,1.16,1.12,1.12,665300
1992-06-11,1.12,1.12,1.06,1.06,1381300
1992-06-12,1.06,1.1,1.06,1.06,500900
1992-06-15,1.06,1.1,1.06,1.1,207700
1992-06-16,1.08,1.12,1.06,1.08,339700
1992-06-17,1.08,1.12,1.08,1.08,522100
1992-06-18,1.06,1.12,1.06,1.06,321700
1992-06-19,1.06,1.12,1.06,1.06,985300
1992-06-22,1.06,1.09,1.06,1.06,628400
1992-06-23,1.06,1.09,1.06,1.06,330100
1992-06-24,1.09,1.09,1.06,1.06,300500
1992-06-25,1.06,1.09,1.06,1.06,349700
1992-06-26,1.06,1.09,1.06,1.09,422400
1992-06-29,1.08,1.09,1.06,1.06,214100
1992-06-30,1.09,1.09,1.06,1.09,189600
1992-07-01,1.06,1.12,1.06,1.09,288000
1992-07-02,1.12,1.12,1.06,1.06,516800
1992-07-06,1.06,1.09,1.06,1.09,94800
1992-07-07,1.06,1.09,1.06,1.06,228000
1992-07-08,1.06,1.06,1.01,1.01,448400
1992-07-09,1.01,1.05,0.98,0.98,94900
1992-07-10,0.98,1.04,0.98,0.98,175200
1992-07-13,1.0,1.04,0.98,1.04,149300
1992-07-14,1.01,1.06,0.98,1.04,381700
1992-07-15,1.09,1.09,1.04,1.09,94800
1992-07-16,1.04,1.06,1.04,1.06,13700
1992-07-17,1.04,1.09,1.04,1.09,168100
1992-07-20,1.08,1.09,1.04,1.09,216100
1992-07-21,1.04,1.09,1.04,1.04,44400
1992-07-22,1.04,1.09,1.04,1.04,56900
1992-07-23,1.06,1.09,1.06,1.06,63600
1992-07-24,1.06,1.09,1.01,1.06,149600
1992-07-27,1.01,1.02,1.01,1.02,232900
1992-07-28,1.06,1.06,1.01,1.06,257600
1992-07-29,1.01,1.12,1.01,1.12,261600
1992-07-30,1.06,1.14,1.06,1.09,546000
1992-07-31,1.1,1.16,1.1,1.12,394900
1992-08-03,1.14,1.14,1.12,1.12,88100
1992-08-04,1.12,1.14,1.1,1.1,114500
1992-08-05,1.1,1.14,1.09,1.14,164000
1992-08-06,1.13,1.13,1.1,1.1,267600
1992-08-07,1.09,1.13,1.09,1.09,314400
1992-08-10,1.09,1.12,1.09,1.12,144800
1992-08-11,1.1,1.13,1.09,1.09,47300
1992-08-12,1.09,1.13,1.09,1.09,1644500
1992-08-13,1.09,1.09,1.09,1.09,127300
1992-08-14,1.09,1.14,1.09,1.14,343200
1992-08-17,1.12,1.14,1.09,1.09,82100
1992-08-18,1.09,1.09,1.09,1.09,64400
1992-08-19,1.09,1.14,1.04,1.06,456500
1992-08-20,1.06,1.09,1.01,1.06,334900
