Date,Open,High,Low,Close,Volume
1978-12-29,0.0,0.05,0.05,0.05,654200
1979-01-02,0.05,0.05,0.05,0.05,0
1979-01-03,0.0,0.06,0.06,0.06,168800
1979-01-04,0.0,0.06,0.06,0.06,177200
1979-01-05,0.0,0.06,0.06,0.06,333400
1979-01-08,0.0,0.06,0.06,0.06,299600
1979-01-09,0.0,0.06,0.06,0.06,818800
1979-01-10,0.0,0.06,0.06,0.06,502200
1979-01-11,0.0,0.06,0.06,0.06,143500
1979-01-12,0.0,0.06,0.06,0.06,582400
1979-01-15,0.0,0.06,0.06,0.06,194100
1979-01-16,0.0,0.06,0.06,0.06,447400
1979-01-17,0.0,0.06,0.06,0.06,177200
1979-01-18,0.0,0.06,0.06,0.06,88600
1979-01-19,0.0,0.06,0.06,0.06,624600
1979-01-22,0.0,0.06,0.06,0.06,590900
1979-01-23,0.0,0.06,0.06,0.06,54800
1979-01-24,0.0,0.06,0.06,0.06,388300
1979-01-25,0.0,0.06,0.06,0.06,173000
1979-01-26,0.0,0.06,0.06,0.06,160300
1979-01-29,0.0,0.06,0.06,0.06,189900
1979-01-30,0.0,0.06,0.06,0.06,156100
1979-01-31,0.0,0.06,0.06,0.06,240500
1979-02-01,0.0,0.06,0.06,0.06,362900
1979-02-02,0.0,0.06,0.05,0.05,122400
1979-02-05,0.0,0.06,0.05,0.05,173000
1979-02-06,0.0,0.06,0.05,0.05,88600
1979-02-07,0.0,0.05,0.05,0.05,143500
1979-02-08,0.0,0.05,0.05,0.05,181400
1979-02-09,0.0,0.05,0.05,0.05,215200
1979-02-12,0.0,0.06,0.05,0.06,650000
1979-02-13,0.0,0.06,0.05,0.06,430500
1979-02-14,0.0,0.06,0.05,0.05,156100
1979-02-15,0.0,0.06,0.05,0.06,101200
1979-02-16,0.0,0.06,0.06,0.06,312300
1979-02-20,0.0,0.06,0.05,0.06,181400
1979-02-21,0.0,0.06,0.05,0.06,384000
1979-02-22,0.0,0.06,0.06,0.06,928500
1979-02-23,0.0,0.06,0.06,0.06,1000300
1979-02-26,0.0,0.06,0.06,0.06,253200
1979-02-27,0.0,0.06,0.06,0.06,498000
1979-02-28,0.0,0.06,0.06,0.06,991800
1979-03-01,0.0,0.06,0.06,0.06,249000
1979-03-02,0.0,0.06,0.06,0.06,274300
1979-03-05,0.0,0.06,0.06,0.06,223700
1979-03-06,0.0,0.06,0.06,0.06,156100
1979-03-07,0.0,0.06,0.06,0.06,282700
1979-03-08,0.0,0.07,0.06,0.07,1836000
1979-03-09,0.0,0.07,0.07,0.07,886300
1979-03-12,0.0,0.07,0.07,0.07,1599600
1979-03-13,0.0,0.07,0.07,0.07,552900
1979-03-14,0.0,0.07,0.07,0.07,485300
1979-03-15,0.0,0.07,0.07,0.07,177200
1979-03-16,0.0,0.07,0.07,0.07,1059400
1979-03-19,0.0,0.07,0.07,0.07,1034000
1979-03-20,0.0,0.07,0.07,0.07,519100
1979-03-21,0.0,0.08,0.07,0.08,1253500
1979-03-22,0.0,0.08,0.08,0.08,1063600
1979-03-23,0.0,0.08,0.07,0.07,460000
1979-03-26,0.0,0.07,0.07,0.07,434700
1979-03-27,0.0,0.07,0.07,0.07,569800
1979-03-28,0.0,0.07,0.07,0.07,303800
1979-03-29,0.0,0.07,0.07,0.07,173000
1979-03-30,0.0,0.07,0.07,0.07,346100
1979-04-02,0.0,0.07,0.07,0.07,371400
1979-04-03,0.0,0.08,0.07,0.08,2296100
1979-04-04,0.0,0.08,0.08,0.08,2275000
1979-04-05,0.0,0.09,0.08,0.09,4642800
1979-04-06,0.0,0.09,0.08,0.08,1549000
1979-04-09,0.0,0.08,0.08,0.08,1439200
1979-04-10,0.0,0.08,0.08,0.08,1046700
1979-04-11,0.0,0.08,0.08,0.08,540200
1979-04-12,0.0,0.08,0.08,0.08,945400
1979-04-16,0.0,0.08,0.07,0.08,738600
1979-04-17,0.0,0.08,0.08,0.08,1173300
1979-04-18,0.0,0.08,0.08,0.08,299600
1979-04-19,0.0,0.08,0.07,0.07,434700
1979-04-20,0.0,0.07,0.07,0.07,211000
1979-04-23,0.0,0.08,0.07,0.07,185700
1979-04-24,0.0,0.07,0.07,0.07,194100
1979-04-25,0.0,0.07,0.07,0.07,12600
1979-04-26,0.0,0.07,0.07,0.07,122400
1979-04-27,0.0,0.07,0.07,0.07,447400
1979-04-30,0.0,0.07,0.07,0.07,413600
1979-05-01,0.0,0.07,0.07,0.07,198300
1979-05-02,0.0,0.07,0.07,0.07,574000
1979-05-03,0.0,0.07,0.07,0.07,194100
1979-05-04,0.0,0.07,0.06,0.07,278500
1979-05-07,0.0,0.07,0.06,0.06,350300
1979-05-08,0.0,0.06,0.06,0.06,654200
1979-05-09,0.0,0.06,0.06,0.06,848300
1979-05-10,0.0,0.07,0.06,0.06,371400
1979-05-11,0.0,0.07,0.06,0.07,907400
1979-05-14,0.0,0.07,0.06,0.07,455800
1979-05-15,0.0,0.07,0.06,0.06,105500
1979-05-16,0.0,0.07,0.06,0.06,122400
1979-05-17,0.0,0.07,0.06,0.06,493800
1979-05-18,0.0,0.07,0.06,0.06,223700
1979-05-21,0.0,0.07,0.06,0.07,232100
1979-05-22,0.0,0.07,0.07,0.07,80100
1979-05-23,0.0,0.07,0.07,0.07,371400
1979-05-24,0.0,0.07,0.07,0.07,261600
1979-05-25,0.0,0.08,0.07,0.08,1667200
1979-05-29,0.0,0.08,0.08,0.08,1135300
1979-05-30,0.0,0.08,0.07,0.07,607700
1979-05-31,0.0,0.07,0.07,0.07,510700
1979-06-01,0.0,0.07,0.07,0.07,206800
1979-06-04,0.0,0.08,0.07,0.07,742800
1979-06-05,0.0,0.08,0.07,0.08,1072000
1979-06-06,0.0,0.08,0.08,0.08,721700
1979-06-07,0.0,0.08,0.07,0.08,552900
1979-06-08,0.0,0.08,0.07,0.08,485300
1979-06-11,0.0,0.08,0.08,0.08,557100
1979-06-12,0.0,0.08,0.08,0.08,409400
1979-06-13,0.0,0.08,0.08,0.08,709000
1979-06-14,0.0,0.09,0.08,0.09,2490200
1979-06-15,0.0,0.09,0.08,0.08,683700
1979-06-18,0.0,0.08,0.08,0.08,932700
1979-06-19,0.0,0.08,0.08,0.08,422000
1979-06-20,0.0,0.08,0.08,0.08,696400
1979-06-21,0.0,0.08,0.08,0.08,1000300
1979-06-22,0.0,0.08,0.08,0.08,510700
1979-06-25,0.0,0.08,0.08,0.08,468500
1979-06-26,0.0,0.08,0.08,0.08,1291500
1979-06-27,0.0,0.09,0.08,0.08,223700
1979-06-28,0.0,0.08,0.08,0.08,198300
1979-06-29,0.0,0.08,0.08,0.08,519100
1979-07-02,0.0,0.08,0.07,0.07,662600
1979-07-03,0.0,0.08,0.07,0.08,1422400
1979-07-05,0.0,0.08,0.08,0.08,143500
1979-07-06,0.0,0.08,0.07,0.07,189900
1979-07-09,0.0,0.08,0.07,0.07,270100
1979-07-10,0.0,0.08,0.07,0.07,257400
1979-07-11,0.0,0.08,0.07,0.07,725900
1979-07-12,0.0,0.08,0.07,0.07,143500
1979-07-13,0.0,0.07,0.07,0.07,354500
1979-07-16,0.0,0.07,0.07,0.07,544400
1979-07-17,0.0,0.07,0.07,0.07,422000
1979-07-18,0.0,0.07,0.07,0.07,793500
1979-07-19,0.0,0.07,0.07,0.07,713300
1979-07-20,0.0,0.08,0.07,0.08,730100
1979-07-23,0.0,0.07,0.07,0.07,282700
1979-07-24,0.0,0.07,0.07,0.07,164600
1979-07-25,0.0,0.07,0.07,0.07,88600
1979-07-26,0.0,0.08,0.07,0.08,650000
1979-07-27,0.0,0.08,0.07,0.08,358700
1979-07-30,0.0,0.08,0.07,0.07,206800
1979-07-31,0.0,0.07,0.07,0.07,295400
1979-08-01,0.0,0.07,0.07,0.07,388300
1979-08-02,0.0,0.07,0.07,0.07,118100
1979-08-03,0.0,0.08,0.07,0.07,531800
1979-08-06,0.0,0.08,0.07,0.08,785000
1979-08-07,0.0,0.08,0.07,0.07,852600
1979-08-08,0.0,0.08,0.07,0.08,510700
1979-08-09,0.0,0.07,0.07,0.07,181400
1979-08-10,0.0,0.07,0.07,0.07,371400
1979-08-13,0.0,0.07,0.07,0.07,434700
1979-08-14,0.0,0.08,0.07,0.08,848300
1979-08-15,0.0,0.08,0.07,0.08,650000
1979-08-16,0.0,0.08,0.07,0.08,4102600
1979-08-17,0.0,0.08,0.07,0.07,671100
1979-08-20,0.0,0.08,0.07,0.07,236300
1979-08-21,0.0,0.08,0.07,0.07,299600
1979-08-22,0.0,0.08,0.07,0.08,1308400
1979-08-23,0.0,0.08,0.08,0.08,586600
1979-08-24,0.0,0.08,0.08,0.08,1278900
1979-08-27,0.0,0.08,0.08,0.08,1000300
1979-08-28,0.0,0.09,0.08,0.09,7926600
1979-08-29,0.0,0.1,0.09,0.09,1810700
1979-08-30,0.0,0.09,0.09,0.09,1228200
1979-08-31,0.0,0.09,0.09,0.09,704800
1979-09-04,0.0,0.09,0.08,0.08,920100
1979-09-05,0.0,0.08,0.08,0.08,877900
1979-09-06,0.0,0.08,0.08,0.08,337600
1979-09-07,0.0,0.08,0.08,0.08,426300
1979-09-10,0.0,0.08,0.08,0.08,350300
1979-09-11,0.0,0.08,0.08,0.08,763900
1979-09-12,0.0,0.08,0.08,0.08,481100
1979-09-13,0.0,0.08,0.08,0.08,400900
1979-09-14,0.0,0.09,0.08,0.08,776600
1979-09-17,0.0,0.09,0.08,0.08,561300
1979-09-18,0.0,0.08,0.08,0.08,240500
1979-09-19,0.0,0.08,0.08,0.08,422000
1979-09-20,0.0,0.08,0.08,0.08,388300
1979-09-21,0.0,0.08,0.08,0.08,704800
1979-09-24,0.0,0.08,0.08,0.08,223700
1979-09-25,0.0,0.08,0.08,0.08,139200
1979-09-26,0.0,0.08,0.08,0.08,202500
1979-09-27,0.0,0.08,0.08,0.08,481100
1979-09-28,0.0,0.08,0.08,0.08,633100
1979-10-01,0.0,0.08,0.08,0.08,320700
1979-10-02,0.0,0.08,0.08,0.08,548700
1979-10-03,0.0,0.08,0.08,0.08,375600
1979-10-04,0.0,0.08,0.08,0.08,877900
1979-10-05,0.0,0.08,0.08,0.08,257400
1979-10-08,0.0,0.08,0.08,0.08,168800
1979-10-09,0.0,0.08,0.07,0.08,1781100
1979-10-10,0.0,0.07,0.06,0.07,1958400
1979-10-11,0.0,0.08,0.07,0.07,1177600
1979-10-12,0.0,0.07,0.07,0.07,253200
1979-10-15,0.0,0.07,0.06,0.06,312300
1979-10-16,0.0,0.07,0.06,0.07,202500
1979-10-17,0.0,0.07,0.06,0.07,519100
1979-10-18,0.0,0.07,0.07,0.07,177200
1979-10-19,0.0,0.07,0.06,0.07,633100
1979-10-22,0.0,0.06,0.06,0.06,953900
1979-10-23,0.0,0.06,0.06,0.06,970700
1979-10-24,0.0,0.06,0.06,0.06,430500
1979-10-25,0.0,0.06,0.06,0.06,430500
1979-10-26,0.0,0.06,0.06,0.06,455800
1979-10-29,0.0,0.06,0.06,0.06,438900
1979-10-30,0.0,0.06,0.06,0.06,489600
1979-10-31,0.0,0.06,0.06,0.06,476900
1979-11-01,0.0,0.06,0.06,0.06,139200
1979-11-02,0.0,0.06,0.06,0.06,1498300
1979-11-05,0.0,0.06,0.06,0.06,185700
1979-11-06,0.0,0.06,0.06,0.06,75900
1979-11-07,0.0,0.06,0.06,0.06,185700
1979-11-08,0.0,0.06,0.06,0.06,371400
1979-11-09,0.0,0.06,0.06,0.06,219400
1979-11-12,0.0,0.06,0.06,0.06,337600
1979-11-13,0.0,0.07,0.06,0.07,1211300
1979-11-14,0.0,0.07,0.07,0.07,1186000
1979-11-15,0.0,0.07,0.07,0.07,295400
1979-11-16,0.0,0.07,0.07,0.07,325000
1979-11-19,0.0,0.07,0.07,0.07,561300
1979-11-20,0.0,0.07,0.07,0.07,531800
1979-11-21,0.0,0.07,0.07,0.07,350300
1979-11-23,0.0,0.07,0.07,0.07,63300
1979-11-26,0.0,0.07,0.07,0.07,472700
1979-11-27,0.0,0.07,0.07,0.07,696400
1979-11-28,0.0,0.07,0.07,0.07,590900
1979-11-29,0.0,0.08,0.08,0.08,717500
1979-11-30,0.0,0.07,0.07,0.07,325000
1979-12-03,0.0,0.07,0.07,0.07,223700
1979-12-04,0.0,0.07,0.07,0.07,189900
1979-12-05,0.0,0.07,0.07,0.07,257400
1979-12-06,0.0,0.07,0.07,0.07,173000
1979-12-07,0.0,0.07,0.07,0.07,240500
1979-12-10,0.0,0.07,0.07,0.07,1101600
1979-12-11,0.0,0.07,0.07,0.07,341800
1979-12-12,0.0,0.07,0.07,0.07,460000
1979-12-13,0.0,0.07,0.07,0.07,438900
1979-12-14,0.0,0.07,0.07,0.07,367200
1979-12-17,0.0,0.07,0.07,0.07,194100
1979-12-18,0.0,0.07,0.07,0.07,295400
1979-12-19,0.0,0.07,0.07,0.07,506400
1979-12-20,0.0,0.07,0.07,0.07,502200
1979-12-21,0.0,0.07,0.07,0.07,675300
1979-12-24,0.0,0.07,0.07,0.07,413600
1979-12-26,0.0,0.07,0.07,0.07,249000
1979-12-27,0.0,0.07,0.07,0.07,485300
1979-12-28,0.0,0.07,0.07,0.07,751300
1979-12-31,0.0,0.07,0.07,0.07,1578500
1980-01-02,0.0,0.07,0.06,0.07,206800
1980-01-03,0.0,0.07,0.06,0.06,806100
1980-01-04,0.0,0.07,0.06,0.07,206800
1980-01-07,0.0,0.07,0.07,0.07,350300
1980-01-08,0.0,0.07,0.07,0.07,287000
1980-01-09,0.0,0.07,0.07,0.07,552900
1980-01-10,0.0,0.07,0.07,0.07,185700
1980-01-11,0.0,0.07,0.07,0.07,181400
1980-01-14,0.0,0.07,0.07,0.07,316500
1980-01-15,0.0,0.07,0.07,0.07,531800
1980-01-16,0.0,0.07,0.06,0.07,1084700
1980-01-17,0.0,0.07,0.07,0.07,810300
1980-01-18,0.0,0.07,0.06,0.07,329200
1980-01-21,0.0,0.07,0.06,0.06,215200
1980-01-22,0.0,0.07,0.06,0.07,894800
1980-01-23,0.0,0.08,0.07,0.08,2076600
1980-01-24,0.0,0.08,0.08,0.08,996100
1980-01-25,0.0,0.08,0.07,0.07,687900
1980-01-28,0.0,0.07,0.07,0.07,650000
1980-01-29,0.0,0.07,0.07,0.07,295400
1980-01-30,0.0,0.08,0.07,0.07,725900
1980-01-31,0.0,0.08,0.07,0.07,384000
1980-02-01,0.0,0.07,0.07,0.07,430500
1980-02-04,0.0,0.07,0.07,0.07,552900
1980-02-05,0.0,0.07,0.07,0.07,375600
1980-02-06,0.0,0.07,0.07,0.07,578200
1980-02-07,0.0,0.07,0.07,0.07,308100
1980-02-08,0.0,0.07,0.07,0.07,299600
1980-02-11,0.0,0.07,0.07,0.07,785000
1980-02-12,0.0,0.07,0.07,0.07,460000
1980-02-13,0.0,0.07,0.06,0.07,578200
1980-02-14,0.0,0.07,0.06,0.06,189900
1980-02-15,0.0,0.07,0.06,0.06,1646100
1980-02-19,0.0,0.07,0.06,0.07,603500
1980-02-20,0.0,0.07,0.06,0.06,185700
1980-02-21,0.0,0.07,0.06,0.06,337600
1980-02-22,0.0,0.06,0.06,0.06,607700
1980-02-25,0.0,0.06,0.06,0.06,409400
1980-02-26,0.0,0.06,0.06,0.06,198300
1980-02-27,0.0,0.06,0.06,0.06,135000
1980-02-28,0.0,0.07,0.06,0.06,261600
1980-02-29,0.0,0.07,0.06,0.06,337600
1980-03-03,0.0,0.07,0.06,0.07,295400
1980-03-04,0.0,0.06,0.06,0.06,316500
1980-03-05,0.0,0.06,0.06,0.06,405100
1980-03-06,0.0,0.06,0.06,0.06,211000
1980-03-07,0.0,0.06,0.05,0.05,557100
1980-03-10,0.0,0.05,0.05,0.05,899000
1980-03-11,0.0,0.05,0.05,0.05,287000
1980-03-12,0.0,0.06,0.05,0.05,160300
1980-03-13,0.0,0.05,0.05,0.05,734400
1980-03-14,0.0,0.05,0.05,0.05,312300
1980-03-17,0.0,0.05,0.05,0.05,789200
1980-03-18,0.0,0.05,0.05,0.05,417800
1980-03-19,0.0,0.05,0.05,0.05,265900
1980-03-20,0.0,0.05,0.05,0.05,312300
1980-03-21,0.0,0.05,0.05,0.05,206800
1980-03-24,0.0,0.05,0.04,0.04,780800
1980-03-25,0.0,0.05,0.04,0.04,569800
1980-03-26,0.0,0.05,0.04,0.04,506400
1980-03-27,0.0,0.04,0.04,0.04,890500
1980-03-28,0.0,0.04,0.04,0.04,1747400
1980-03-31,0.0,0.04,0.04,0.04,823000
