Date,Open,High,Low,Close,Volume
1986-02-06,0.0,1.97,1.97,1.97,0
1986-02-07,1.97,1.97,1.97,1.97,0
1986-02-10,1.97,1.97,1.97,1.97,0
1986-02-11,1.97,1.97,1.97,1.97,0
1986-02-12,1.97,1.97,1.97,1.97,0
1986-02-13,0.0,1.97,1.97,1.97,0
1986-02-14,1.97,1.97,1.97,1.97,0
1986-02-18,1.97,1.97,1.97,1.97,0
1986-02-19,1.97,1.97,1.97,1.97,0
1986-02-20,1.97,1.97,1.97,1.97,0
1986-02-21,1.97,1.97,1.97,1.97,0
1986-02-24,1.97,1.97,1.97,1.97,0
1986-02-25,1.97,1.97,1.97,1.97,0
1986-02-26,1.97,1.97,1.97,1.97,0
1986-02-27,0.0,1.97,1.97,1.97,400
1986-02-28,0.0,1.97,1.97,1.97,400
1986-03-03,0.0,1.97,1.94,1.94,4200
1986-03-04,0.0,1.97,1.94,1.94,12400
1986-03-05,0.0,1.97,1.94,1.97,9000
1986-03-06,0.0,1.97,1.94,1.97,2000
1986-03-07,0.0,1.97,1.94,1.94,3600
1986-03-10,0.0,1.97,1.94,1.97,3000
1986-03-11,0.0,1.97,1.94,1.94,5800
1986-03-12,0.0,1.97,1.94,1.94,33200
1986-03-13,0.0,1.97,1.94,1.94,3800
1986-03-14,0.0,1.97,1.94,1.97,3000
1986-03-17,0.0,1.97,1.94,1.97,3800
1986-03-18,0.0,1.97,1.94,1.94,5000
1986-03-19,0.0,1.97,1.94,1.94,1800
1986-03-20,0.0,1.97,1.94,1.94,5200
1986-03-21,0.0,1.97,1.94,1.97,9000
1986-03-24,0.0,1.97,1.94,1.94,4200
1986-03-25,0.0,1.97,1.94,1.94,4400
1986-03-26,0.0,1.97,1.94,1.97,3200
1986-03-27,0.0,1.94,1.94,1.94,8200
1986-03-31,0.0,1.97,1.94,1.94,6600
1986-04-01,0.0,1.94,1.94,1.94,6800
1986-04-02,0.0,1.94,1.94,1.94,5600
1986-04-03,0.0,1.97,1.94,1.94,2800
1986-04-04,0.0,1.97,1.94,1.94,5800
1986-04-07,0.0,1.97,1.91,1.91,4000
1986-04-08,0.0,1.94,1.91,1.91,3000
1986-04-09,0.0,1.94,1.91,1.91,1800
1986-04-10,0.0,1.94,1.91,1.94,7200
1986-04-11,0.0,1.94,1.91,1.91,3600
1986-04-14,0.0,1.94,1.91,1.91,9800
1986-04-15,0.0,1.91,1.88,1.91,4800
1986-04-16,0.0,1.91,1.88,1.91,3200
1986-04-17,0.0,1.91,1.88,1.88,14400
1986-04-18,0.0,1.91,1.81,1.84,8000
1986-04-21,0.0,1.84,1.78,1.81,12200
1986-04-22,0.0,1.84,1.81,1.84,2200
1986-04-23,0.0,1.84,1.81,1.81,2200
1986-04-24,0.0,1.88,1.84,1.88,8600
1986-04-25,0.0,1.88,1.78,1.81,8800
1986-04-28,0.0,1.88,1.75,1.84,14800
1986-04-29,0.0,1.84,1.78,1.78,4000
1986-04-30,0.0,1.84,1.75,1.84,3000
1986-05-01,0.0,1.84,1.78,1.84,5400
1986-05-02,0.0,1.84,1.81,1.84,3200
1986-05-05,0.0,1.91,1.84,1.91,7000
1986-05-06,0.0,2.0,1.91,2.0,13600
1986-05-07,0.0,2.0,1.97,2.0,4800
1986-05-08,0.0,2.03,2.0,2.03,5400
1986-05-09,0.0,2.06,2.03,2.03,3000
1986-05-12,0.0,2.06,2.0,2.06,4200
1986-05-13,0.0,2.06,2.03,2.03,1600
1986-05-14,0.0,2.03,2.03,2.03,200
1986-05-15,0.0,2.03,2.0,2.0,2000
1986-05-16,0.0,2.0,1.97,2.0,1600
1986-05-19,0.0,2.0,1.91,1.91,1800
1986-05-20,0.0,1.91,1.88,1.91,1000
1986-05-21,0.0,1.84,1.78,1.84,4400
1986-05-22,0.0,1.91,1.81,1.84,6400
1986-05-23,0.0,1.88,1.81,1.84,3200
1986-05-27,0.0,1.94,1.88,1.94,600
1986-05-28,0.0,1.94,1.88,1.88,2000
1986-05-29,0.0,1.94,1.88,1.94,1800
1986-05-30,0.0,1.94,1.91,1.94,1200
1986-06-02,0.0,1.94,1.88,1.88,2200
1986-06-03,0.0,1.88,1.81,1.81,6600
