Date,Open,High,Low,Close,Volume
1995-05-09,3.38,3.7,3.38,3.61,2629200
1995-05-10,3.7,3.93,3.7,3.84,4705800
1995-05-11,3.84,3.98,3.84,3.93,3039000
1995-05-12,3.93,3.98,3.88,3.88,1584800
1995-05-15,3.88,3.93,3.88,3.88,1119300
1995-05-16,3.88,3.93,3.84,3.88,1203800
1995-05-17,3.88,3.88,3.75,3.79,1458800
1995-05-18,3.79,3.88,3.79,3.84,420200
1995-05-19,3.88,3.88,3.79,3.84,414400
1995-05-22,4.02,4.21,3.98,4.12,1283800
1995-05-23,4.07,4.21,4.02,4.16,1303500
1995-05-24,4.16,4.16,4.07,4.07,989700
1995-05-25,4.07,4.07,3.93,3.98,510500
1995-05-26,4.02,4.02,3.98,4.02,613600
1995-05-30,3.98,4.21,3.88,4.12,1501500
1995-05-31,4.02,4.16,3.98,4.07,2193900
1995-06-01,4.02,4.07,3.93,4.02,1504500
1995-06-02,3.98,4.02,3.93,3.98,834600
1995-06-05,3.98,4.12,3.93,4.07,3204000
1995-06-06,4.02,4.12,4.02,4.07,2015100
1995-06-07,4.07,4.16,4.02,4.07,1190000
1995-06-08,4.07,4.21,4.07,4.12,1448100
1995-06-09,4.07,4.16,4.07,4.07,1782800
1995-06-12,4.12,4.12,4.07,4.07,2554600
1995-06-13,4.02,4.12,4.02,4.12,1734400
1995-06-14,4.07,4.16,4.07,4.12,1136100
1995-06-15,4.12,4.25,4.12,4.16,1744800
1995-06-16,4.16,4.21,4.12,4.12,1245500
1995-06-19,4.12,4.21,4.07,4.21,1539000
1995-06-20,4.16,4.25,4.12,4.16,2288200
1995-06-21,4.16,4.16,4.02,4.02,1784200
1995-06-22,4.02,4.07,3.93,3.98,2418000
1995-06-23,4.02,4.16,4.02,4.02,1266300
1995-06-26,4.02,4.12,3.98,3.98,1429800
1995-06-27,3.98,4.16,3.98,4.12,1263800
1995-06-28,4.02,4.16,4.02,4.16,1961000
1995-06-29,4.07,4.21,4.07,4.12,1098100
1995-06-30,4.16,4.16,4.02,4.02,1102100
1995-07-03,3.98,4.07,3.98,4.07,299800
1995-07-05,4.02,4.16,4.02,4.12,938400
1995-07-06,4.12,4.16,4.02,4.02,1517000
1995-07-07,4.02,4.16,3.93,4.12,1615700
1995-07-10,4.07,4.12,3.98,3.98,627200
1995-07-11,3.93,4.07,3.93,3.98,1358800
1995-07-12,3.98,3.98,3.88,3.88,1030300
1995-07-13,3.84,3.88,3.75,3.88,2453700
1995-07-14,3.79,3.88,3.75,3.88,1149900
1995-07-17,3.88,3.93,3.84,3.84,947400
1995-07-18,3.84,3.93,3.84,3.88,4018000
1995-07-19,3.88,3.88,3.79,3.84,1287700
1995-07-20,3.84,3.88,3.79,3.84,1097100
1995-07-21,3.84,3.88,3.79,3.84,959900
1995-07-24,3.79,3.98,3.79,3.93,1604300
1995-07-25,3.88,4.02,3.88,3.93,898000
1995-07-26,3.93,3.98,3.88,3.98,1296200
1995-07-27,3.93,4.07,3.93,4.02,1643900
1995-07-28,3.98,4.02,3.93,3.93,651700
1995-07-31,3.93,4.02,3.93,4.02,731700
1995-08-01,3.98,3.98,3.88,3.88,1008500
1995-08-02,3.88,3.98,3.88,3.88,1249400
1995-08-03,3.88,3.93,3.88,3.88,979900
1995-08-04,3.88,3.93,3.79,3.79,1071000
1995-08-07,3.79,3.88,3.79,3.88,1070000
1995-08-08,3.88,3.98,3.84,3.88,1603500
1995-08-09,3.88,3.93,3.79,3.79,1522400
1995-08-10,3.79,3.84,3.65,3.7,1727100
1995-08-11,3.7,3.79,3.61,3.65,1148500
1995-08-14,3.65,3.7,3.61,3.65,991100
1995-08-15,3.65,3.7,3.61,3.65,1258100
1995-08-16,3.65,3.75,3.61,3.7,1688100
1995-08-17,3.7,3.79,3.7,3.79,1783100
1995-08-18,3.84,3.98,3.84,3.93,1335100
1995-08-21,3.93,4.02,3.79,3.79,1349800
1995-08-22,3.93,4.16,3.93,4.07,2717100
1995-08-23,4.02,4.12,3.93,3.93,1013900
1995-08-24,3.93,3.98,3.88,3.88,822600
