Date,Open,High,Low,Close,Volume
1962-01-02,0.0,0.52,0.52,0.52,1600
1962-01-03,0.0,0.52,0.51,0.51,4400
1962-01-04,0.0,0.52,0.51,0.51,6600
1962-01-05,0.0,0.51,0.5,0.5,9000
1962-01-08,0.0,0.5,0.49,0.5,5800
1962-01-09,0.0,0.5,0.5,0.5,4400
1962-01-10,0.0,0.5,0.5,0.5,4000
1962-01-11,0.0,0.5,0.5,0.5,3600
1962-01-12,0.0,0.51,0.5,0.51,3000
1962-01-15,0.0,0.51,0.5,0.5,3000
1962-01-16,0.0,0.5,0.5,0.5,3800
1962-01-17,0.0,0.5,0.5,0.5,1000
1962-01-18,0.0,0.5,0.5,0.5,3400
1962-01-19,0.0,0.5,0.5,0.5,800
1962-01-22,0.0,0.5,0.5,0.5,5400
1962-01-23,0.0,0.5,0.5,0.5,5800
1962-01-24,0.0,0.5,0.49,0.49,4400
1962-01-25,0.0,0.5,0.49,0.49,3400
1962-01-26,0.0,0.49,0.49,0.49,2200
1962-01-29,0.0,0.49,0.49,0.49,2000
1962-01-30,0.0,0.49,0.48,0.48,3600
1962-01-31,0.0,0.48,0.48,0.48,5400
1962-02-01,0.0,0.48,0.48,0.48,4600
1962-02-02,0.0,0.48,0.48,0.48,2200
1962-02-05,0.0,0.49,0.48,0.49,8800
1962-02-06,0.0,0.49,0.49,0.49,4400
1962-02-07,0.0,0.5,0.49,0.5,5800
1962-02-08,0.0,0.5,0.5,0.5,3800
1962-02-09,0.0,0.51,0.5,0.51,2600
1962-02-12,0.0,0.51,0.51,0.51,3000
1962-02-13,0.0,0.52,0.51,0.51,8400
1962-02-14,0.0,0.51,0.51,0.51,2000
1962-02-15,0.0,0.51,0.51,0.51,1800
1962-02-16,0.0,0.51,0.51,0.51,800
1962-02-19,0.0,0.51,0.51,0.51,1600
1962-02-20,0.0,0.51,0.51,0.51,1000
1962-02-21,0.0,0.51,0.51,0.51,5000
1962-02-23,0.0,0.51,0.51,0.51,3600
1962-02-26,0.0,0.51,0.51,0.51,2000
1962-02-27,0.0,0.51,0.51,0.51,1600
1962-02-28,0.0,0.51,0.51,0.51,1600
1962-03-01,0.0,0.51,0.51,0.51,3200
1962-03-02,0.0,0.51,0.51,0.51,1800
1962-03-05,0.0,0.51,0.5,0.51,3000
1962-03-06,0.0,0.5,0.5,0.5,1200
1962-03-07,0.0,0.5,0.5,0.5,1400
1962-03-08,0.0,0.51,0.5,0.51,1000
1962-03-09,0.0,0.51,0.5,0.5,1200
1962-03-12,0.0,0.51,0.5,0.5,2200
1962-03-13,0.0,0.5,0.5,0.5,2000
1962-03-14,0.0,0.5,0.5,0.5,3800
1962-03-15,0.0,0.51,0.5,0.51,6400
1962-03-16,0.0,0.51,0.51,0.51,2600
1962-03-19,0.0,0.51,0.51,0.51,1600
1962-03-20,0.0,0.51,0.51,0.51,1200
1962-03-21,0.0,0.51,0.5,0.51,2600
1962-03-22,0.0,0.51,0.51,0.51,3600
1962-03-23,0.0,0.51,0.51,0.51,1400
1962-03-26,0.0,0.51,0.51,0.51,2400
1962-03-27,0.0,0.51,0.51,0.51,6400
1962-03-28,0.0,0.51,0.51,0.51,1800
1962-03-29,0.0,0.51,0.5,0.5,2400
1962-03-30,0.0,0.5,0.5,0.5,2000
1962-04-02,0.0,0.51,0.5,0.5,1800
1962-04-03,0.0,0.5,0.49,0.49,2200
1962-04-04,0.0,0.5,0.49,0.49,1400
1962-04-05,0.0,0.5,0.49,0.49,3400
1962-04-06,0.0,0.5,0.49,0.5,2000
1962-04-09,0.0,0.49,0.49,0.49,2400
1962-04-10,0.0,0.49,0.49,0.49,1000
1962-04-11,0.0,0.5,0.49,0.5,3400
1962-04-12,0.0,0.49,0.49,0.49,4000
1962-04-13,0.0,0.5,0.49,0.49,1600
1962-04-16,0.0,0.49,0.49,0.49,2400
1962-04-17,0.0,0.5,0.49,0.5,2800
1962-04-18,0.0,0.5,0.5,0.5,1400
1962-04-19,0.0,0.51,0.5,0.51,2200
