Date,Open,High,Low,Close,Volume
1985-07-22,0.0,4.48,4.18,4.48,59400.0
1985-07-23,0.0,4.63,4.43,4.48,20800.0
1985-07-24,0.0,4.43,4.28,4.38,32600.0
1985-07-25,0.0,4.43,4.38,4.43,16600.0
1985-07-26,0.0,4.43,4.33,4.38,10400.0
1985-07-29,0.0,4.38,4.23,4.33,25000.0
1985-07-30,0.0,4.33,4.28,4.28,10400.0
1985-07-31,0.0,4.28,4.23,4.28,12800.0
1985-08-01,0.0,4.28,4.13,4.28,31800.0
1985-08-02,0.0,4.23,4.13,4.18,13000.0
1985-08-05,0.0,4.18,4.13,4.18,1200.0
1985-08-06,0.0,4.18,4.08,4.13,28600.0
1985-08-07,4.13,4.13,4.13,4.13,0.0
1985-08-08,0.0,4.13,4.08,4.08,600.0
1985-08-09,0.0,4.13,4.13,4.13,400.0
1985-08-12,0.0,4.03,3.93,4.03,3800.0
1985-08-13,0.0,4.08,4.03,4.08,4400.0
1985-08-14,0.0,4.03,4.03,4.03,1400.0
1985-08-15,0.0,3.98,3.98,3.98,1600.0
1985-08-16,0.0,3.93,3.93,3.93,800.0
1985-08-19,0.0,3.88,3.88,3.88,5200.0
1985-08-20,0.0,3.93,3.83,3.93,3000.0
1985-08-21,0.0,3.88,3.83,3.83,3400.0
1985-08-22,0.0,3.88,3.78,3.83,1600.0
1985-08-23,0.0,3.88,3.83,3.83,21800.0
1985-08-26,3.83,3.83,3.83,3.83,0.0
1985-08-27,0.0,3.78,3.68,3.68,9200.0
1985-08-28,0.0,3.73,3.63,3.73,12400.0
1985-08-29,0.0,3.88,3.73,3.88,7200.0
1985-08-30,0.0,3.98,3.93,3.98,8400.0
1985-09-03,0.0,4.03,3.98,3.98,10200.0
1985-09-04,0.0,3.93,3.93,3.93,800.0
1985-09-05,0.0,3.93,3.83,3.93,11400.0
1985-09-06,0.0,3.98,3.93,3.98,9800.0
1985-09-09,0.0,3.93,3.93,3.93,200.0
1985-09-10,0.0,3.93,3.88,3.93,9800.0
1985-09-11,0.0,3.98,3.88,3.88,5200.0
1985-09-12,0.0,3.98,3.88,3.88,5200.0
1985-09-13,0.0,3.98,3.88,3.88,7400.0
1985-09-16,0.0,3.83,3.78,3.83,2600.0
1985-09-17,0.0,3.88,3.78,3.78,4800.0
1985-09-18,0.0,3.73,3.73,3.73,800.0
1985-09-19,0.0,3.73,3.73,3.73,3200.0
1985-09-20,0.0,3.98,3.73,3.98,14200.0
1985-09-23,0.0,4.03,3.98,4.03,3200.0
1985-09-24,0.0,3.98,3.98,3.98,58000.0
1985-09-25,0.0,3.88,3.83,3.88,8000.0
1985-09-26,0.0,3.83,3.83,3.83,1400.0
1985-09-30,0.0,3.78,3.73,3.73,5600.0
1985-10-01,0.0,3.78,3.78,3.78,200.0
1985-10-02,0.0,3.78,3.78,3.78,3000.0
1985-10-03,0.0,3.83,3.78,3.78,3800.0
1985-10-04,3.78,3.78,3.78,3.78,0.0
1985-10-07,0.0,3.78,3.73,3.73,4800.0
1985-10-08,0.0,3.83,3.78,3.83,2000.0
1985-10-09,0.0,3.93,3.83,3.93,2800.0
1985-10-10,0.0,3.83,3.78,3.78,3200.0
1985-10-11,0.0,3.78,3.73,3.78,800.0
1985-10-14,0.0,3.93,3.83,3.93,2200.0
1985-10-15,0.0,3.88,3.88,3.88,800.0
1985-10-16,0.0,3.93,3.88,3.88,2000.0
1985-10-17,0.0,3.83,3.83,3.83,1400.0
1985-10-18,0.0,3.78,3.78,3.78,1600.0
1985-10-21,3.78,3.78,3.78,3.78,0.0
1985-10-22,0.0,3.78,3.78,3.78,400.0
1985-10-23,0.0,3.88,3.83,3.83,2000.0
1985-10-24,0.0,3.93,3.83,3.93,2200.0
1985-10-25,0.0,3.88,3.78,3.83,4600.0
1985-10-28,0.0,3.88,3.88,3.88,200.0
1985-10-29,0.0,3.88,3.83,3.88,800.0
1985-10-30,0.0,3.93,3.83,3.83,1400.0
1985-10-31,3.83,3.83,3.83,3.83,0.0
1985-11-01,0.0,3.78,3.78,3.78,400.0
1985-11-04,0.0,3.78,3.78,3.78,2200.0
1985-11-05,3.78,3.78,3.78,3.78,0.0
1985-11-06,0.0,3.83,3.83,3.83,200.0
1985-11-07,0.0,3.78,3.78,3.78,1200.0
1985-11-08,0.0,3.73,3.68,3.73,1000.0
1985-11-11,3.73,3.73,3.73,3.73,0.0
1985-11-12,0.0,3.83,3.73,3.78,4200.0
1985-11-13,0.0,3.78,3.73,3.73,3800.0
1985-11-14,0.0,3.73,3.68,3.68,3600.0
1985-11-15,0.0,3.63,3.63,3.63,5000.0
1985-11-18,0.0,3.58,3.58,3.58,400.0
1985-11-19,3.58,3.58,3.58,3.58,0.0
1985-11-20,0.0,3.58,3.58,3.58,1400.0
1985-11-21,0.0,3.63,3.58,3.58,4600.0
1985-11-22,0.0,3.68,3.58,3.68,1200.0
1985-11-25,0.0,3.58,3.58,3.58,11400.0
1985-11-26,0.0,3.58,3.58,3.58,800.0
1985-11-27,0.0,3.58,3.58,3.58,5600.0
1985-11-29,0.0,3.58,3.58,3.58,400.0
1985-12-02,0.0,3.58,3.58,3.58,200.0
1985-12-03,0.0,3.58,3.53,3.53,4600.0
1985-12-04,0.0,3.53,3.53,3.53,1000.0
1985-12-05,0.0,3.58,3.53,3.53,12400.0
1985-12-06,0.0,3.53,3.53,3.53,1000.0
1985-12-09,0.0,3.53,3.38,3.38,20800.0
1985-12-10,0.0,3.48,3.38,3.38,6600.0
1985-12-11,0.0,3.33,3.24,3.29,8200.0
1985-12-12,0.0,3.29,3.09,3.09,11000.0
1985-12-13,0.0,3.24,3.14,3.24,21200.0
1985-12-16,0.0,3.33,3.19,3.24,56400.0
1985-12-17,0.0,3.14,3.09,3.09,142800.0
1985-12-18,0.0,3.14,3.09,3.09,71600.0
1985-12-19,0.0,3.19,3.09,3.19,67400.0
1985-12-20,0.0,3.19,3.14,3.19,45800.0
1985-12-23,0.0,3.24,3.14,3.24,31800.0
1985-12-24,0.0,3.24,3.14,3.24,22800.0
1985-12-26,0.0,3.24,3.19,3.19,3800.0
1985-12-27,0.0,3.24,3.19,3.19,5000.0
1985-12-30,0.0,3.19,3.09,3.19,30000.0
1985-12-31,0.0,3.19,3.14,3.14,13600.0
1986-01-02,0.0,3.24,3.19,3.24,9200.0
1986-01-03,0.0,3.24,3.14,3.14,9200.0
1986-01-06,0.0,3.19,3.09,3.09,6600.0
1986-01-07,0.0,3.14,3.14,3.14,6600.0
1986-01-08,0.0,3.19,3.04,3.04,20400.0
