Date,Open,High,Low,Close,Volume
1972-06-01,0.36,0.36,0.36,0.36,0
1972-06-06,0.35,0.35,0.35,0.35,0
1972-06-07,0.35,0.35,0.35,0.35,0
1972-06-08,0.35,0.35,0.35,0.35,0
1972-06-09,0.34,0.34,0.34,0.34,0
1972-06-12,0.36,0.36,0.36,0.36,0
1972-06-14,0.35,0.35,0.35,0.35,0
1972-06-15,0.33,0.33,0.33,0.33,0
1972-06-16,0.32,0.32,0.32,0.32,0
1972-06-20,0.32,0.32,0.32,0.32,0
1972-06-21,0.32,0.32,0.32,0.32,0
1972-06-26,0.31,0.31,0.31,0.31,0
1972-06-28,0.3,0.3,0.3,0.3,0
1972-06-29,0.31,0.31,0.31,0.31,0
1972-07-05,0.31,0.31,0.31,0.31,0
1972-07-11,0.29,0.29,0.29,0.29,0
1972-07-12,0.3,0.3,0.3,0.3,0
1972-07-13,0.29,0.29,0.29,0.29,0
1972-07-18,0.28,0.28,0.28,0.28,0
1972-07-21,0.31,0.31,0.31,0.31,0
1972-07-24,0.32,0.32,0.32,0.32,0
1972-07-26,0.32,0.32,0.32,0.32,0
1972-07-28,0.3,0.3,0.3,0.3,0
1972-07-31,0.29,0.29,0.29,0.29,0
1972-08-01,0.3,0.3,0.3,0.3,0
1972-08-02,0.29,0.29,0.29,0.29,0
1972-08-04,0.29,0.29,0.29,0.29,0
1972-08-09,0.31,0.31,0.31,0.31,0
1972-08-10,0.32,0.32,0.32,0.32,0
1972-08-14,0.31,0.31,0.31,0.31,0
1972-08-15,0.32,0.32,0.32,0.32,0
1972-08-16,0.31,0.31,0.31,0.31,0
1972-08-18,0.3,0.3,0.3,0.3,0
1972-08-24,0.29,0.29,0.29,0.29,0
1972-08-25,0.29,0.29,0.29,0.29,0
1972-08-31,0.29,0.29,0.29,0.29,0
1972-09-06,0.29,0.29,0.29,0.29,0
1972-09-07,0.28,0.28,0.28,0.28,0
1972-09-08,0.27,0.27,0.27,0.27,0
1972-09-11,0.26,0.26,0.26,0.26,0
1972-09-12,0.26,0.26,0.26,0.26,0
1972-09-13,0.26,0.26,0.26,0.26,0
1972-09-14,0.26,0.26,0.26,0.26,0
1972-09-15,0.25,0.25,0.25,0.25,0
1972-09-18,0.26,0.26,0.26,0.26,0
1972-09-19,0.25,0.25,0.25,0.25,0
1972-09-20,0.26,0.26,0.26,0.26,0
1972-09-21,0.26,0.26,0.26,0.26,0
1972-09-22,0.27,0.27,0.27,0.27,0
1972-09-26,0.26,0.26,0.26,0.26,0
1972-10-02,0.25,0.25,0.25,0.25,0
1972-10-03,0.26,0.26,0.26,0.26,0
1972-10-04,0.25,0.25,0.25,0.25,0
1972-10-05,0.24,0.24,0.24,0.24,0
