Date,Open,High,Low,Close,Volume
1998-09-24,0.93,0.94,0.77,0.82,518656000
1998-09-25,0.79,0.8,0.71,0.78,121255800
1998-09-28,0.82,0.88,0.8,0.84,89772800
1998-09-29,0.86,0.87,0.83,0.85,39289500
1998-09-30,0.82,0.83,0.75,0.78,44113700
1998-10-01,0.74,0.75,0.69,0.69,44433100
1998-10-02,0.7,0.72,0.61,0.69,46816700
1998-10-05,0.68,0.68,0.6,0.62,33832300
1998-10-06,0.66,0.66,0.55,0.63,40270300
1998-10-07,0.61,0.62,0.54,0.54,35058300
1998-10-08,0.48,0.51,0.44,0.5,57172200
1998-10-09,0.53,0.56,0.51,0.53,38519700
1998-10-12,0.55,0.55,0.55,0.55,28198300
1998-10-13,0.55,0.55,0.51,0.51,15430600
1998-10-14,0.51,0.56,0.51,0.52,30935500
1998-10-15,0.52,0.57,0.52,0.57,29144900
1998-10-16,0.58,0.63,0.57,0.62,43343900
1998-10-19,0.64,0.8,0.64,0.79,78151300
1998-10-20,0.85,0.9,0.78,0.81,109292100
1998-10-21,0.85,0.89,0.82,0.88,65703000
1998-10-22,0.9,0.93,0.85,0.89,53323100
1998-10-23,0.9,0.91,0.86,0.87,32309700
1998-10-26,1.04,1.27,1.02,1.27,389981400
1998-10-27,1.41,1.57,1.39,1.43,571032600
1998-10-28,1.35,1.47,1.33,1.39,254555100
1998-10-29,1.41,1.44,1.38,1.39,81150800
1998-10-30,1.4,1.46,1.39,1.44,94944900
1998-11-02,1.51,1.52,1.45,1.46,123707800
1998-11-03,1.47,1.48,1.44,1.46,45978400
1998-11-04,1.48,1.49,1.42,1.43,44632600
1998-11-05,1.4,1.45,1.37,1.41,66085100
1998-11-06,1.39,1.46,1.39,1.46,48966500
1998-11-09,1.47,1.79,1.47,1.79,202355300
1998-11-10,1.95,2.43,1.93,2.27,577698700
1998-11-11,2.21,2.35,1.98,2.01,306874600
1998-11-12,1.97,2.3,1.95,2.19,223699400
1998-11-13,2.25,2.31,2.08,2.15,135688600
1998-11-16,2.25,2.25,2.12,2.21,82411000
1998-11-17,2.21,2.31,2.15,2.23,81555700
1998-11-18,2.26,2.58,2.17,2.56,201192000
1998-11-19,2.62,2.69,2.46,2.49,135973700
1998-11-20,2.6,2.6,2.43,2.55,67214100
1998-11-23,2.65,3.39,2.63,3.35,162518400
1998-11-24,3.28,4.06,3.09,3.41,342451900
