Date,Open,High,Low,Close,Volume
1973-02-21,1.06,1.06,1.06,1.06,54400.0
1973-02-22,1.06,1.06,1.06,1.06,56000.0
1973-02-23,1.05,1.05,1.05,1.05,113600.0
1973-02-26,1.06,1.06,1.06,1.06,280000.0
1973-02-27,1.05,1.05,1.05,1.05,387200.0
1973-02-28,1.06,1.06,1.06,1.06,144000.0
1973-03-01,1.05,1.05,1.05,1.05,80000.0
1973-03-02,1.05,1.05,1.05,1.05,422400.0
1973-03-05,1.04,1.04,1.04,1.04,281600.0
1973-03-06,1.04,1.04,1.04,1.04,184000.0
1973-03-07,1.03,1.03,1.03,1.03,91200.0
1973-03-08,1.03,1.03,1.03,1.03,38400.0
1973-03-09,1.03,1.03,1.03,1.03,140800.0
1973-03-12,1.02,1.02,1.02,1.02,432000.0
1973-03-13,1.03,1.03,1.03,1.03,88000.0
1973-03-14,1.03,1.03,1.03,1.03,48000.0
1973-03-15,1.03,1.03,1.03,1.03,40000.0
1973-03-16,1.04,1.04,1.04,1.04,137600.0
1973-03-19,1.03,1.03,1.03,1.03,155200.0
1973-03-20,1.03,1.03,1.03,1.03,441600.0
1973-03-21,1.03,1.03,1.03,1.03,384000.0
1973-03-22,1.0,1.0,1.0,1.0,225600.0
1973-03-23,0.98,0.98,0.98,0.98,192000.0
1973-03-26,0.95,0.95,0.95,0.95,384000.0
1973-03-27,0.98,0.98,0.98,0.98,304000.0
1973-03-28,0.99,0.99,0.99,0.99,326400.0
1973-03-29,1.01,1.01,1.01,1.01,329600.0
1973-03-30,1.0,1.0,1.0,1.0,102400.0
1973-04-02,0.99,0.99,0.99,0.99,195200.0
1973-04-03,0.98,0.98,0.98,0.98,73600.0
1973-04-04,0.96,0.96,0.96,0.96,110400.0
1973-04-05,0.97,0.97,0.97,0.97,112000.0
1973-04-06,0.97,0.97,0.97,0.97,136000.0
1973-04-09,0.97,0.97,0.97,0.97,120000.0
1973-04-10,1.01,1.01,1.01,1.01,196800.0
1973-04-11,1.04,1.04,1.04,1.04,270400.0
1973-04-12,1.04,1.04,1.04,1.04,267200.0
1973-04-13,1.02,1.02,1.02,1.02,112000.0
1973-04-16,1.01,1.01,1.01,1.01,155200.0
1973-04-17,1.01,1.01,1.01,1.01,30400.0
1973-04-18,1.01,1.01,1.01,1.01,59200.0
1973-04-19,1.01,1.01,1.01,1.01,134400.0
1973-04-23,0.99,0.99,0.99,0.99,193600.0
1973-04-24,0.97,0.97,0.97,0.97,462400.0
1973-04-25,0.94,0.94,0.94,0.94,504000.0
1973-04-26,0.94,0.94,0.94,0.94,144000.0
1973-04-27,0.91,0.91,0.91,0.91,230400.0
1973-04-30,0.91,0.91,0.91,0.91,97600.0
1973-05-01,0.92,0.92,0.92,0.92,393600.0
1973-05-02,0.94,0.94,0.94,0.94,200000.0
1973-05-03,0.0,1.0,0.99,0.99,176000.0
