Date,Open,High,Low,Close,Volume
1973-05-03,0.0,0.46,0.45,0.46,56800
1973-05-04,0.0,0.47,0.46,0.46,55600
1973-05-07,0.0,0.47,0.46,0.46,26400
1973-05-08,0.0,0.47,0.46,0.47,66800
1973-05-09,0.0,0.47,0.47,0.47,57200
1973-05-10,0.0,0.47,0.46,0.46,75200
1973-05-11,0.0,0.46,0.46,0.46,22400
1973-05-14,0.0,0.46,0.45,0.45,32400
1973-05-15,0.0,0.45,0.44,0.45,83200
1973-05-16,0.0,0.45,0.45,0.45,81600
1973-05-17,0.0,0.45,0.45,0.45,36000
1973-05-18,0.0,0.45,0.45,0.45,30000
1973-05-21,0.0,0.45,0.44,0.45,48000
1973-05-22,0.0,0.45,0.44,0.45,251600
1973-05-23,0.0,0.45,0.45,0.45,272000
1973-05-24,0.0,0.45,0.45,0.45,28400
1973-05-25,0.0,0.45,0.44,0.45,46400
1973-05-29,0.0,0.45,0.44,0.45,60000
1973-05-30,0.0,0.45,0.45,0.45,12000
1973-05-31,0.0,0.45,0.45,0.45,33600
1973-06-01,0.0,0.45,0.44,0.45,32400
1973-06-04,0.0,0.45,0.44,0.44,73600
1973-06-05,0.0,0.45,0.44,0.44,24800
1973-06-06,0.0,0.44,0.44,0.44,76400
1973-06-07,0.0,0.45,0.44,0.45,48000
1973-06-08,0.0,0.45,0.45,0.45,28400
1973-06-11,0.0,0.45,0.45,0.45,37600
1973-06-12,0.0,0.47,0.45,0.47,38800
1973-06-13,0.0,0.47,0.46,0.46,56000
1973-06-14,0.0,0.46,0.45,0.45,28400
1973-06-15,0.0,0.45,0.45,0.45,64000
1973-06-18,0.0,0.44,0.44,0.44,71200
1973-06-19,0.0,0.44,0.43,0.44,193200
1973-06-20,0.0,0.45,0.44,0.44,47200
1973-06-21,0.0,0.44,0.44,0.44,38000
1973-06-22,0.0,0.44,0.43,0.44,825600
1973-06-25,0.0,0.44,0.43,0.43,43600
1973-06-26,0.0,0.44,0.43,0.44,18400
1973-06-27,0.0,0.44,0.43,0.44,29600
1973-06-28,0.0,0.44,0.43,0.43,44800
1973-06-29,0.0,0.43,0.43,0.43,25200
1973-07-02,0.0,0.43,0.43,0.43,96400
1973-07-03,0.0,0.43,0.42,0.42,35200
1973-07-05,0.0,0.42,0.42,0.42,65200
1973-07-06,0.0,0.42,0.41,0.42,86800
1973-07-09,0.0,0.42,0.41,0.41,76400
1973-07-10,0.0,0.42,0.41,0.41,49200
1973-07-11,0.0,0.42,0.41,0.42,58400
1973-07-12,0.0,0.42,0.42,0.42,112800
1973-07-13,0.0,0.42,0.41,0.41,84000
1973-07-16,0.0,0.41,0.41,0.41,100000
1973-07-17,0.0,0.41,0.4,0.4,144400
1973-07-18,0.0,0.4,0.39,0.4,134400
1973-07-19,0.0,0.4,0.4,0.4,87600
1973-07-20,0.0,0.41,0.4,0.41,99600
1973-07-23,0.0,0.42,0.41,0.42,110000
1973-07-24,0.0,0.42,0.41,0.41,78400
1973-07-25,0.0,0.42,0.41,0.41,68000
1973-07-26,0.0,0.41,0.41,0.41,85200
1973-07-27,0.0,0.41,0.41,0.41,29600
1973-07-30,0.0,0.41,0.41,0.41,57600
1973-07-31,0.0,0.41,0.4,0.4,63600
1973-08-01,0.0,0.4,0.39,0.4,115600
1973-08-02,0.0,0.4,0.39,0.39,75200
1973-08-03,0.0,0.4,0.39,0.39,28000
1973-08-06,0.0,0.39,0.39,0.39,85600
1973-08-07,0.0,0.4,0.39,0.4,76800
1973-08-08,0.0,0.4,0.38,0.39,335200
1973-08-09,0.0,0.39,0.39,0.39,60000
1973-08-10,0.0,0.39,0.38,0.38,62800
1973-08-13,0.0,0.38,0.38,0.38,142400
1973-08-14,0.0,0.38,0.38,0.38,54800
1973-08-15,0.0,0.38,0.38,0.38,108400
1973-08-16,0.0,0.39,0.38,0.39,97600
1973-08-17,0.0,0.39,0.38,0.39,36400
1973-08-20,0.0,0.39,0.39,0.39,47200
1973-08-21,0.0,0.4,0.39,0.4,80800
1973-08-22,0.0,0.4,0.39,0.4,36000
1973-08-23,0.0,0.4,0.39,0.4,48400
1973-08-24,0.0,0.4,0.39,0.39,59600
1973-08-27,0.0,0.41,0.39,0.41,35200
1973-08-28,0.0,0.41,0.4,0.4,26000
1973-08-29,0.0,0.41,0.4,0.4,117200
1973-08-30,0.0,0.4,0.4,0.4,45600
1973-08-31,0.0,0.41,0.4,0.4,44000
1973-09-04,0.0,0.41,0.4,0.41,20000
1973-09-05,0.0,0.41,0.4,0.41,44800
1973-09-06,0.0,0.43,0.41,0.43,65200
1973-09-07,0.0,0.43,0.42,0.43,87200
1973-09-10,0.0,0.43,0.43,0.43,50400
1973-09-11,0.0,0.43,0.42,0.43,30400
1973-09-12,0.0,0.43,0.41,0.41,68000
1973-09-13,0.0,0.42,0.41,0.42,85200
1973-09-14,0.0,0.42,0.42,0.42,31200
1973-09-17,0.0,0.43,0.41,0.42,38800
1973-09-18,0.0,0.43,0.42,0.43,42400
1973-09-19,0.0,0.43,0.42,0.42,114400
1973-09-20,0.0,0.43,0.42,0.43,56000
1973-09-21,0.0,0.43,0.42,0.43,34400
1973-09-24,0.0,0.43,0.43,0.43,28800
1973-09-25,0.0,0.43,0.43,0.43,37600
1973-09-26,0.0,0.45,0.43,0.45,165200
1973-09-27,0.0,0.46,0.46,0.46,102400
1973-09-28,0.0,0.46,0.46,0.46,50800
1973-10-01,0.0,0.46,0.45,0.45,160400
1973-10-02,0.0,0.46,0.45,0.45,91600
1973-10-03,0.0,0.45,0.44,0.45,52000
1973-10-04,0.0,0.45,0.44,0.45,50000
1973-10-05,0.0,0.44,0.43,0.44,116800
1973-10-08,0.0,0.44,0.44,0.44,81200
1973-10-09,0.0,0.44,0.44,0.44,63600
1973-10-10,0.0,0.44,0.43,0.43,97600
1973-10-11,0.0,0.43,0.43,0.43,312400
1973-10-12,0.0,0.43,0.43,0.43,48000
1973-10-15,0.0,0.43,0.42,0.42,78000
1973-10-16,0.0,0.42,0.42,0.42,81600
1973-10-17,0.0,0.42,0.41,0.41,76800
1973-10-18,0.0,0.41,0.4,0.41,97200
1973-10-19,0.0,0.42,0.41,0.42,62000
1973-10-22,0.0,0.42,0.41,0.41,71600
1973-10-23,0.0,0.42,0.41,0.42,102800
1973-10-24,0.0,0.43,0.42,0.43,43200
1973-10-25,0.0,0.44,0.42,0.44,210000
1973-10-26,0.0,0.44,0.44,0.44,78000
1973-10-29,0.0,0.44,0.44,0.44,260000
1973-10-30,0.0,0.44,0.43,0.43,83600
1973-10-31,0.0,0.43,0.42,0.43,65200
1973-11-01,0.0,0.42,0.42,0.42,43600
1973-11-02,0.0,0.42,0.42,0.42,54800
1973-11-05,0.0,0.42,0.42,0.42,19200
1973-11-06,0.0,0.42,0.42,0.42,144000
1973-11-07,0.0,0.42,0.41,0.41,36800
1973-11-08,0.0,0.42,0.4,0.4,109200
1973-11-09,0.0,0.41,0.38,0.39,90800
1973-11-12,0.0,0.39,0.38,0.39,74400
1973-11-13,0.0,0.4,0.39,0.39,74000
1973-11-14,0.0,0.4,0.38,0.38,108800
1973-11-15,0.0,0.39,0.38,0.38,87600
1973-11-16,0.0,0.39,0.37,0.38,187200
1973-11-19,0.0,0.38,0.37,0.37,112400
1973-11-20,0.0,0.37,0.37,0.37,128800
1973-11-21,0.0,0.37,0.37,0.37,132400
1973-11-23,0.0,0.37,0.37,0.37,65200
1973-11-26,0.0,0.37,0.36,0.36,126000
1973-11-27,0.0,0.37,0.36,0.36,94000
1973-11-28,0.0,0.36,0.35,0.35,206400
1973-11-29,0.0,0.35,0.34,0.35,176800
1973-11-30,0.0,0.35,0.35,0.35,427200
1973-12-03,0.0,0.35,0.33,0.33,191200
1973-12-04,0.0,0.34,0.33,0.34,202400
1973-12-05,0.0,0.34,0.33,0.34,192800
1973-12-06,0.0,0.35,0.33,0.34,288800
1973-12-07,0.0,0.35,0.34,0.35,110800
1973-12-10,0.0,0.36,0.34,0.35,196000
1973-12-11,0.0,0.36,0.35,0.35,196400
1973-12-12,0.0,0.35,0.35,0.35,264400
1973-12-13,0.0,0.35,0.34,0.34,88400
1973-12-14,0.0,0.34,0.34,0.34,110800
1973-12-17,0.0,0.34,0.34,0.34,586000
1973-12-18,0.0,0.35,0.34,0.34,593600
1973-12-19,0.0,0.35,0.34,0.34,124400
1973-12-20,0.0,0.35,0.34,0.35,120400
1973-12-21,0.0,0.35,0.34,0.35,115200
1973-12-24,0.0,0.35,0.34,0.35,72000
1973-12-26,0.0,0.36,0.35,0.36,88800
1973-12-27,0.0,0.37,0.36,0.37,77600
1973-12-28,0.0,0.37,0.36,0.36,156400
1973-12-31,0.0,0.36,0.35,0.36,127600
1974-01-02,0.0,0.37,0.36,0.37,55200
1974-01-03,0.0,0.38,0.37,0.38,256800
1974-01-04,0.0,0.38,0.37,0.37,140000
1974-01-07,0.0,0.37,0.37,0.37,101200
1974-01-08,0.0,0.38,0.37,0.37,176000
1974-01-09,0.0,0.37,0.36,0.36,88800
1974-01-10,0.0,0.37,0.36,0.36,54800
1974-01-11,0.0,0.36,0.36,0.36,137600
1974-01-14,0.0,0.36,0.36,0.36,149600
1974-01-15,0.0,0.37,0.36,0.37,119600
1974-01-16,0.0,0.37,0.37,0.37,149600
1974-01-17,0.0,0.37,0.37,0.37,440000
1974-01-18,0.0,0.37,0.36,0.36,190400
1974-01-21,0.0,0.36,0.36,0.36,169600
1974-01-22,0.0,0.36,0.36,0.36,950000
1974-01-23,0.0,0.37,0.36,0.37,112800
1974-01-24,0.0,0.37,0.36,0.36,1103600
1974-01-25,0.0,0.36,0.36,0.36,164800
1974-01-28,0.0,0.36,0.36,0.36,123200
1974-01-29,0.0,0.36,0.36,0.36,107200
1974-01-30,0.0,0.37,0.36,0.37,172000
1974-01-31,0.0,0.37,0.36,0.36,162800
1974-02-01,0.0,0.36,0.36,0.36,79600
1974-02-04,0.0,0.36,0.36,0.36,434000
1974-02-05,0.0,0.36,0.36,0.36,294000
1974-02-06,0.0,0.36,0.36,0.36,455600
1974-02-07,0.0,0.36,0.36,0.36,154400
1974-02-08,0.0,0.36,0.36,0.36,103600
1974-02-11,0.0,0.36,0.36,0.36,394800
1974-02-12,0.0,0.36,0.35,0.36,276800
1974-02-13,0.0,0.36,0.36,0.36,357200
1974-02-14,0.0,0.36,0.36,0.36,358000
1974-02-15,0.0,0.36,0.36,0.36,335600
1974-02-19,0.0,0.37,0.36,0.37,146800
1974-02-20,0.0,0.37,0.37,0.37,117600
1974-02-21,0.0,0.37,0.37,0.37,256000
1974-02-22,0.0,0.38,0.37,0.38,154400
1974-02-25,0.0,0.38,0.37,0.37,166000
1974-02-26,0.0,0.37,0.37,0.37,139200
1974-02-27,0.0,0.38,0.37,0.37,248800
1974-02-28,0.0,0.38,0.37,0.37,170000
1974-03-01,0.0,0.38,0.38,0.38,180400
1974-03-04,0.0,0.38,0.37,0.38,56000
1974-03-05,0.0,0.38,0.38,0.38,165600
1974-03-06,0.0,0.38,0.38,0.38,555200
1974-03-07,0.0,0.38,0.38,0.38,167600
1974-03-08,0.0,0.38,0.38,0.38,62000
1974-03-11,0.0,0.38,0.38,0.38,141600
1974-03-12,0.0,0.38,0.38,0.38,69200
1974-03-13,0.0,0.39,0.38,0.38,114000
1974-03-14,0.0,0.38,0.38,0.38,344800
1974-03-15,0.0,0.38,0.38,0.38,56400
1974-03-18,0.0,0.38,0.38,0.38,378000
1974-03-19,0.0,0.38,0.37,0.38,120800
1974-03-20,0.0,0.38,0.37,0.37,70000
1974-03-21,0.0,0.38,0.37,0.38,246000
1974-03-22,0.0,0.38,0.38,0.38,188000
1974-03-25,0.0,0.38,0.38,0.38,201200
1974-03-26,0.0,0.38,0.38,0.38,150800
1974-03-27,0.0,0.39,0.38,0.39,75600
1974-03-28,0.0,0.39,0.38,0.38,136400
1974-03-29,0.0,0.38,0.38,0.38,79600
1974-04-01,0.0,0.39,0.38,0.38,112400
1974-04-02,0.0,0.38,0.38,0.38,80400
1974-04-03,0.0,0.38,0.38,0.38,242400
1974-04-04,0.0,0.38,0.38,0.38,48400
1974-04-05,0.0,0.38,0.37,0.38,151600
1974-04-08,0.0,0.38,0.37,0.37,60000
1974-04-09,0.0,0.37,0.37,0.37,70400
1974-04-10,0.0,0.37,0.37,0.37,146800
1974-04-11,0.0,0.37,0.37,0.37,388000
1974-04-15,0.0,0.37,0.36,0.37,149600
1974-04-16,0.0,0.38,0.37,0.38,168400
1974-04-17,0.0,0.38,0.37,0.38,175600
1974-04-18,0.0,0.38,0.37,0.38,174000
1974-04-19,0.0,0.38,0.38,0.38,597600
1974-04-22,0.0,0.38,0.38,0.38,42000
1974-04-23,0.0,0.38,0.37,0.37,167200
1974-04-24,0.0,0.37,0.36,0.37,156400
1974-04-25,0.0,0.36,0.36,0.36,284000
1974-04-26,0.0,0.36,0.35,0.35,244800
1974-04-29,0.0,0.35,0.35,0.35,206400
1974-04-30,0.0,0.36,0.35,0.36,161600
1974-05-01,0.0,0.37,0.35,0.37,139600
1974-05-02,0.0,0.37,0.37,0.37,124000
1974-05-03,0.0,0.37,0.36,0.37,81600
1974-05-06,0.0,0.37,0.37,0.37,72400
1974-05-07,0.0,0.38,0.37,0.38,82800
1974-05-08,0.0,0.38,0.38,0.38,69200
1974-05-09,0.0,0.38,0.38,0.38,116000
1974-05-10,0.0,0.38,0.38,0.38,60800
1974-05-13,0.0,0.38,0.37,0.37,82400
1974-05-14,0.0,0.37,0.37,0.37,59200
1974-05-15,0.0,0.37,0.36,0.37,71600
1974-05-16,0.0,0.37,0.36,0.36,60400
1974-05-17,0.0,0.37,0.36,0.36,60800
1974-05-20,0.0,0.37,0.36,0.36,42400
1974-05-21,0.0,0.37,0.36,0.36,61200
1974-05-22,0.0,0.36,0.35,0.35,380800
1974-05-23,0.0,0.36,0.35,0.36,70000
1974-05-24,0.0,0.36,0.36,0.36,100000
1974-05-28,0.0,0.37,0.36,0.37,40000
1974-05-29,0.0,0.37,0.36,0.36,44800
1974-05-30,0.0,0.37,0.36,0.36,51200
1974-05-31,0.0,0.36,0.36,0.36,33200
1974-06-03,0.0,0.37,0.36,0.37,42800
1974-06-04,0.0,0.37,0.36,0.36,166400
1974-06-05,0.0,0.36,0.36,0.36,122000
1974-06-06,0.0,0.37,0.36,0.37,50400
1974-06-07,0.0,0.37,0.37,0.37,102800
1974-06-10,0.0,0.38,0.37,0.38,42800
1974-06-11,0.0,0.38,0.37,0.37,99200
1974-06-12,0.0,0.37,0.37,0.37,35600
1974-06-13,0.0,0.37,0.37,0.37,30800
1974-06-14,0.0,0.37,0.37,0.37,24000
1974-06-17,0.0,0.37,0.37,0.37,44000
1974-06-18,0.0,0.37,0.37,0.37,60400
1974-06-19,0.0,0.37,0.36,0.36,443600
1974-06-20,0.0,0.36,0.35,0.35,82400
1974-06-21,0.0,0.35,0.35,0.35,104000
1974-06-24,0.0,0.35,0.35,0.35,44000
1974-06-25,0.0,0.36,0.35,0.36,251200
1974-06-26,0.0,0.36,0.35,0.36,67200
1974-06-27,0.0,0.36,0.35,0.35,82000
1974-06-28,0.0,0.36,0.35,0.35,74800
1974-07-01,0.0,0.35,0.35,0.35,116400
1974-07-02,0.0,0.35,0.35,0.35,79200
1974-07-03,0.0,0.36,0.35,0.35,69200
1974-07-05,0.0,0.36,0.35,0.36,24000
1974-07-08,0.0,0.36,0.35,0.35,42400
1974-07-09,0.0,0.36,0.35,0.36,44800
1974-07-10,0.0,0.36,0.35,0.36,40800
1974-07-11,0.0,0.36,0.35,0.35,36800
1974-07-12,0.0,0.36,0.35,0.36,78400
1974-07-15,0.0,0.37,0.36,0.37,82400
1974-07-16,0.0,0.37,0.36,0.36,103200
1974-07-17,0.0,0.36,0.36,0.36,49600
1974-07-18,0.0,0.36,0.36,0.36,33600
1974-07-19,0.0,0.37,0.36,0.37,82800
1974-07-22,0.0,0.37,0.36,0.36,64000
1974-07-23,0.0,0.37,0.37,0.37,185600
1974-07-24,0.0,0.38,0.37,0.38,46000
1974-07-25,0.0,0.38,0.38,0.38,106000
1974-07-26,0.0,0.38,0.38,0.38,86800
1974-07-29,0.0,0.38,0.38,0.38,31200
1974-07-30,0.0,0.38,0.37,0.37,39200
1974-07-31,0.0,0.37,0.36,0.36,120400
1974-08-01,0.0,0.36,0.36,0.36,52800
1974-08-02,0.0,0.36,0.35,0.36,55200
1974-08-05,0.0,0.37,0.36,0.36,46800
1974-08-06,0.0,0.37,0.36,0.36,150800
1974-08-07,0.0,0.37,0.36,0.37,45200
1974-08-08,0.0,0.37,0.36,0.37,71600
1974-08-09,0.0,0.38,0.37,0.38,47600
1974-08-12,0.0,0.38,0.38,0.38,52400
1974-08-13,0.0,0.38,0.37,0.38,163600
1974-08-14,0.0,0.38,0.37,0.37,32800
1974-08-15,0.0,0.37,0.36,0.37,181200
1974-08-16,0.0,0.37,0.36,0.36,41600
1974-08-19,0.0,0.36,0.35,0.35,32800
1974-08-20,0.0,0.36,0.35,0.35,68400
1974-08-21,0.0,0.35,0.35,0.35,40400
1974-08-22,0.0,0.35,0.34,0.34,137200
1974-08-23,0.0,0.34,0.34,0.34,56800
1974-08-26,0.0,0.34,0.34,0.34,34400
1974-08-27,0.0,0.34,0.34,0.34,36400
1974-08-28,0.0,0.34,0.33,0.33,435200
1974-08-29,0.0,0.33,0.32,0.33,77600
1974-08-30,0.0,0.33,0.32,0.33,84400
1974-09-03,0.0,0.33,0.33,0.33,72000
1974-09-04,0.0,0.33,0.32,0.33,45600
1974-09-05,0.0,0.33,0.33,0.33,32400
1974-09-06,0.0,0.34,0.33,0.34,46400
1974-09-09,0.0,0.34,0.33,0.33,67600
1974-09-10,0.0,0.34,0.33,0.34,56400
1974-09-11,0.0,0.34,0.33,0.33,48400
1974-09-12,0.0,0.33,0.31,0.32,123600
1974-09-13,0.0,0.32,0.3,0.3,125200
1974-09-16,0.0,0.3,0.3,0.3,77600
1974-09-17,0.0,0.32,0.31,0.32,144800
1974-09-18,0.0,0.32,0.32,0.32,66800
1974-09-19,0.0,0.34,0.33,0.34,67200
1974-09-20,0.0,0.35,0.34,0.35,154400
1974-09-23,0.0,0.35,0.34,0.34,72000
1974-09-24,0.0,0.34,0.34,0.34,34400
1974-09-25,0.0,0.35,0.34,0.34,116800
1974-09-26,0.0,0.34,0.34,0.34,28400
1974-09-27,0.0,0.34,0.34,0.34,38400
1974-09-30,0.0,0.34,0.32,0.33,50800
1974-10-01,0.0,0.32,0.32,0.32,69200
1974-10-02,0.0,0.33,0.32,0.32,67200
1974-10-03,0.0,0.33,0.32,0.33,28400
1974-10-04,0.0,0.33,0.32,0.33,240800
1974-10-07,0.0,0.34,0.33,0.34,41200
1974-10-08,0.0,0.35,0.34,0.34,82000
1974-10-09,0.0,0.36,0.34,0.36,52800
1974-10-10,0.0,0.37,0.36,0.36,92000
1974-10-11,0.0,0.37,0.36,0.37,53600
1974-10-14,0.0,0.38,0.37,0.37,90400
1974-10-15,0.0,0.37,0.37,0.37,70400
1974-10-16,0.0,0.37,0.36,0.37,58400
1974-10-17,0.0,0.38,0.37,0.38,72000
1974-10-18,0.0,0.39,0.38,0.38,90000
1974-10-21,0.0,0.39,0.38,0.38,44800
1974-10-22,0.0,0.38,0.37,0.38,46400
1974-10-23,0.0,0.38,0.37,0.37,36800
1974-10-24,0.0,0.37,0.36,0.36,59600
1974-10-25,0.0,0.37,0.36,0.37,46000
1974-10-28,0.0,0.37,0.36,0.37,30000
1974-10-29,0.0,0.37,0.36,0.37,40000
1974-10-30,0.0,0.37,0.37,0.37,40800
1974-10-31,0.0,0.37,0.37,0.37,65200
1974-11-01,0.0,0.37,0.37,0.37,88800
1974-11-04,0.0,0.37,0.37,0.37,48000
1974-11-05,0.0,0.37,0.37,0.37,144800
1974-11-06,0.0,0.38,0.37,0.37,74000
1974-11-07,0.0,0.38,0.37,0.38,174400
1974-11-08,0.0,0.39,0.38,0.38,153200
1974-11-11,0.0,0.39,0.38,0.38,74800
1974-11-12,0.0,0.38,0.37,0.37,258000
1974-11-13,0.0,0.38,0.37,0.38,130400
1974-11-14,0.0,0.38,0.37,0.38,122800
1974-11-15,0.0,0.38,0.38,0.38,54000
1974-11-18,0.0,0.37,0.37,0.37,76800
1974-11-19,0.0,0.37,0.36,0.36,294400
1974-11-20,0.0,0.36,0.35,0.35,73200
1974-11-21,0.0,0.36,0.35,0.36,69200
1974-11-22,0.0,0.36,0.36,0.36,68400
1974-11-25,0.0,0.36,0.36,0.36,60800
1974-11-26,0.0,0.37,0.36,0.36,58000
1974-11-27,0.0,0.37,0.36,0.36,94400
1974-11-29,0.0,0.37,0.36,0.37,32800
1974-12-02,0.0,0.37,0.36,0.36,73200
1974-12-03,0.0,0.36,0.36,0.36,80800
1974-12-04,0.0,0.36,0.36,0.36,76000
1974-12-05,0.0,0.37,0.36,0.36,60800
1974-12-06,0.0,0.36,0.35,0.35,96400
1974-12-09,0.0,0.35,0.35,0.35,68000
1974-12-10,0.0,0.37,0.35,0.36,68000
1974-12-11,0.0,0.37,0.36,0.37,70000
1974-12-12,0.0,0.37,0.36,0.36,81200
1974-12-13,0.0,0.36,0.35,0.36,121200
1974-12-16,0.0,0.37,0.36,0.36,73600
1974-12-17,0.0,0.38,0.37,0.37,107200
1974-12-18,0.0,0.38,0.37,0.38,104400
1974-12-19,0.0,0.38,0.37,0.37,52800
1974-12-20,0.0,0.37,0.37,0.37,155200
1974-12-23,0.0,0.37,0.36,0.37,102800
1974-12-24,0.0,0.37,0.37,0.37,14400
1974-12-26,0.0,0.37,0.37,0.37,33200
1974-12-27,0.0,0.37,0.37,0.37,33600
1974-12-30,0.0,0.38,0.37,0.37,90000
1974-12-31,0.0,0.38,0.37,0.37,84000
1975-01-02,0.0,0.39,0.38,0.39,58400
1975-01-03,0.0,0.4,0.38,0.4,130400
1975-01-06,0.0,0.4,0.4,0.4,79600
1975-01-07,0.0,0.4,0.4,0.4,46400
1975-01-08,0.0,0.4,0.39,0.4,59200
1975-01-09,0.0,0.4,0.39,0.4,130400
1975-01-10,0.0,0.41,0.4,0.41,192000
1975-01-13,0.0,0.41,0.41,0.41,125600
1975-01-14,0.0,0.41,0.4,0.4,84800
1975-01-15,0.0,0.4,0.39,0.4,63200
1975-01-16,0.0,0.4,0.38,0.39,200400
1975-01-17,0.0,0.39,0.39,0.39,82000
1975-01-20,0.0,0.39,0.39,0.39,206800
1975-01-21,0.0,0.39,0.38,0.39,53200
1975-01-22,0.0,0.39,0.38,0.39,73600
1975-01-23,0.0,0.39,0.39,0.39,68400
1975-01-24,0.0,0.4,0.39,0.4,94800
1975-01-27,0.0,0.42,0.4,0.41,137600
1975-01-28,0.0,0.42,0.4,0.4,160400
1975-01-29,0.0,0.41,0.4,0.41,154400
1975-01-30,0.0,0.42,0.4,0.41,134000
1975-01-31,0.0,0.42,0.4,0.42,160400
