Date,Open,High,Low,Close,Volume
1995-11-17,5.25,5.63,5.23,5.57,35659200.0
1995-11-20,5.55,5.69,5.29,5.37,8434000.0
1995-11-21,5.33,5.35,5.13,5.27,6440000.0
1995-11-22,5.25,5.51,5.25,5.43,3480800.0
1995-11-24,5.47,5.63,5.45,5.63,1279200.0
1995-11-27,5.63,5.75,5.57,5.65,2403200.0
1995-11-28,5.65,5.67,5.49,5.57,1054800.0
1995-11-29,5.55,5.79,5.53,5.65,1331200.0
1995-11-30,5.71,5.93,5.69,5.87,2426000.0
1995-12-01,5.87,5.89,5.77,5.81,978400.0
1995-12-04,5.83,5.87,5.71,5.75,594000.0
1995-12-05,5.75,5.75,5.57,5.67,1148800.0
1995-12-06,5.65,5.81,5.65,5.69,1216000.0
1995-12-07,5.73,5.75,5.61,5.65,641200.0
1995-12-08,5.63,5.79,5.57,5.79,668800.0
1995-12-11,5.81,5.87,5.79,5.87,660000.0
1995-12-12,5.83,5.85,5.63,5.65,971600.0
1995-12-13,5.69,5.69,5.51,5.61,528400.0
1995-12-14,5.63,5.63,5.45,5.45,639200.0
1995-12-15,5.49,5.53,5.39,5.41,1366400.0
1995-12-18,5.41,5.43,5.33,5.35,741600.0
1995-12-19,5.33,5.51,5.31,5.45,643600.0
1995-12-20,5.47,5.61,5.47,5.57,360400.0
1995-12-21,5.55,5.67,5.53,5.61,301600.0
1995-12-22,5.63,5.65,5.57,5.65,208400.0
1995-12-26,5.63,5.63,5.49,5.51,240000.0
1995-12-27,5.57,5.71,5.57,5.71,351600.0
1995-12-28,5.73,5.75,5.67,5.69,344400.0
1995-12-29,5.67,5.71,5.59,5.63,219200.0
1996-01-02,5.63,5.67,5.59,5.65,169200.0
1996-01-03,5.67,5.77,5.59,5.63,682000.0
1996-01-04,5.65,5.69,5.51,5.59,414800.0
1996-01-05,5.51,5.55,5.35,5.45,773600.0
1996-01-08,5.45,5.47,5.41,5.47,48800.0
1996-01-09,5.49,5.49,5.41,5.41,864000.0
1996-01-10,5.35,5.41,5.25,5.35,458400.0
1996-01-11,5.37,5.53,5.37,5.47,477600.0
1996-01-12,5.45,5.61,5.43,5.61,338400.0
1996-01-15,5.61,5.65,5.57,5.59,580800.0
1996-01-16,5.55,5.55,5.31,5.45,512800.0
1996-01-17,5.37,5.41,5.25,5.41,126400.0
1996-01-18,5.35,5.39,5.19,5.27,696000.0
1996-01-19,5.27,5.29,5.21,5.23,792800.0
1996-01-22,5.23,5.47,5.23,5.37,568800.0
1996-01-23,5.33,5.35,5.27,5.27,798400.0
1996-01-24,5.25,5.35,5.25,5.35,776400.0
1996-01-25,5.33,5.53,5.33,5.53,1303200.0
1996-01-26,5.53,5.55,5.49,5.53,634800.0
1996-01-29,5.55,5.55,5.41,5.45,652000.0
1996-01-30,5.45,6.07,5.41,5.97,2810800.0
1996-01-31,5.93,6.15,5.89,5.95,1136400.0
1996-02-01,5.93,5.95,5.71,5.83,516800.0
1996-02-02,5.87,6.01,5.87,5.97,702400.0
1996-02-05,6.01,6.11,5.97,6.07,756400.0
1996-02-06,6.07,6.17,6.05,6.11,455200.0
1996-02-07,6.15,6.36,6.13,6.32,650800.0
1996-02-08,6.3,6.34,6.15,6.17,571600.0
1996-02-09,6.21,6.21,6.11,6.19,520800.0
1996-02-12,6.15,6.17,5.97,6.03,619200.0
1996-02-13,5.97,5.99,5.89,5.93,204400.0
