Date,Open,High,Low,Close,Volume
1993-12-14,8.99,9.51,8.96,9.46,1077400.0
1993-12-15,9.41,9.41,9.09,9.25,897800.0
1993-12-16,9.28,9.28,9.2,9.25,571200.0
1993-12-17,9.25,9.25,9.04,9.04,1053000.0
1993-12-20,9.04,9.33,9.04,9.33,1284800.0
1993-12-21,9.3,9.56,9.3,9.46,882800.0
1993-12-22,9.49,9.49,9.38,9.46,200600.0
1993-12-23,9.49,9.67,9.49,9.64,195800.0
1993-12-27,9.7,9.93,9.7,9.88,68400.0
1993-12-28,9.85,9.85,9.77,9.83,273600.0
1993-12-29,9.88,9.96,9.88,9.96,264400.0
1993-12-30,9.96,10.06,9.96,10.01,156200.0
1993-12-31,9.96,9.98,9.88,9.93,133000.0
1994-01-03,9.96,9.96,9.67,9.8,467800.0
1994-01-04,9.8,9.8,9.33,9.43,2250200.0
1994-01-05,9.2,9.28,9.09,9.28,2933400.0
1994-01-06,9.2,9.28,8.99,9.09,2753200.0
1994-01-07,9.07,9.07,8.68,8.73,3428400.0
1994-01-10,8.75,8.99,8.73,8.96,1411000.0
1994-01-11,8.99,8.99,8.86,8.94,1185400.0
1994-01-12,8.91,8.91,8.73,8.78,2209200.0
1994-01-13,8.75,8.78,8.7,8.73,1033400.0
1994-01-14,8.75,8.81,8.7,8.75,1366000.0
1994-01-17,8.73,8.78,8.68,8.75,1157400.0
1994-01-18,8.75,8.75,8.68,8.7,1118400.0
1994-01-19,8.68,8.88,8.68,8.83,1327800.0
1994-01-20,8.83,8.86,8.7,8.78,1121400.0
1994-01-21,8.81,8.81,8.73,8.78,1460800.0
1994-01-24,8.78,8.78,8.68,8.7,2101400.0
1994-01-25,8.68,8.75,8.62,8.7,1470400.0
1994-01-26,8.68,8.73,8.68,8.7,723600.0
1994-01-27,8.7,8.75,8.68,8.7,1610600.0
1994-01-28,8.75,9.02,8.73,8.99,1285200.0
1994-01-31,8.99,9.28,8.99,9.15,1316000.0
1994-02-01,8.83,8.88,8.78,8.83,3041400.0
1994-02-02,8.81,8.81,8.7,8.78,3352000.0
1994-02-03,8.81,8.96,8.78,8.94,2135600.0
1994-02-04,8.91,9.04,8.88,8.91,1256600.0
1994-02-07,8.91,9.12,8.91,9.09,799400.0
1994-02-08,8.99,9.04,8.94,8.96,916600.0
1994-02-09,8.91,9.02,8.91,9.02,769800.0
1994-02-10,8.99,9.07,8.94,8.94,977600.0
1994-02-11,8.94,8.96,8.88,8.94,690800.0
1994-02-14,8.96,9.02,8.94,8.99,616800.0
1994-02-15,8.96,9.09,8.96,9.02,701200.0
1994-02-16,9.02,9.12,8.99,9.07,668800.0
1994-02-17,9.12,9.2,9.07,9.07,995000.0
1994-02-18,9.07,9.09,8.99,9.02,434000.0
1994-02-22,8.88,8.96,8.81,8.88,1151800.0
1994-02-23,8.88,8.96,8.88,8.96,1016000.0
1994-02-24,8.94,8.94,8.83,8.86,537800.0
1994-02-25,8.81,8.83,8.75,8.75,651200.0
1994-02-28,8.81,8.81,8.7,8.73,520400.0
1994-03-01,8.7,8.73,8.68,8.73,751800.0
1994-03-02,8.68,8.7,8.6,8.6,1084800.0
1994-03-03,8.6,8.6,8.47,8.47,731600.0
1994-03-04,8.47,8.49,8.36,8.41,1008400.0
1994-03-07,8.41,8.41,8.39,8.39,600000.0
1994-03-08,8.39,8.41,8.36,8.39,1083600.0
1994-03-09,8.37,8.47,8.37,8.47,268400.0
1994-03-10,8.45,8.5,8.37,8.39,1073200.0
1994-03-11,8.39,8.6,8.39,8.58,297400.0
1994-03-14,8.63,8.63,8.55,8.6,343400.0
1994-03-15,8.6,8.68,8.58,8.66,630600.0
1994-03-16,8.66,8.68,8.53,8.55,474000.0
1994-03-17,8.53,8.66,8.53,8.6,672600.0
1994-03-18,8.6,8.6,8.45,8.47,991400.0
1994-03-21,8.47,8.53,8.45,8.47,422000.0
1994-03-22,8.47,8.5,8.39,8.5,550200.0
1994-03-23,8.53,8.63,8.5,8.63,512000.0
1994-03-24,8.58,8.71,8.58,8.66,419600.0
1994-03-25,8.71,8.71,8.66,8.66,231600.0
1994-03-28,8.68,8.74,8.58,8.74,484600.0
1994-03-29,8.71,8.79,8.71,8.74,313200.0
1994-03-30,8.68,8.74,8.58,8.6,595000.0
1994-03-31,8.58,8.6,8.47,8.5,674200.0
1994-04-04,8.37,8.45,8.34,8.39,944200.0
1994-04-05,8.45,8.55,8.45,8.53,1030000.0
1994-04-06,8.76,8.87,8.71,8.82,834000.0
1994-04-07,8.82,8.84,8.74,8.84,1355400.0
1994-04-08,8.82,9.11,8.82,9.05,897400.0
1994-04-11,9.03,9.05,8.92,9.0,469200.0
1994-04-12,9.03,9.03,8.79,8.79,437600.0
1994-04-13,8.87,9.0,8.84,9.0,1111000.0
1994-04-14,8.95,8.97,8.92,8.95,703000.0
1994-04-15,9.03,9.13,8.97,9.0,590600.0
1994-04-18,9.0,9.05,8.92,8.95,499200.0
1994-04-19,9.0,9.0,8.87,8.95,628400.0
1994-04-20,8.95,8.97,8.66,8.71,755000.0
1994-04-21,8.74,8.97,8.71,8.87,671400.0
1994-04-22,8.9,8.95,8.87,8.9,280200.0
